time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.00727956602387568,0.0454947648125223,0.0373086070578597,0.0143114520070898,0.154106451201453,0.0767992455639406,2.29529236824152e-16,1.08946472211503e-15,1.11935756895188e-15,2.45905601456918e-15,1.73303861031404e-15,5.96144608927606e-16,2.12798671994118e-15,0.0203025558758569,6.8050305122862e-18,1.96460687487312e-17,1.95642437131258e-15,2.30453615946819e-17,2.67514844172218e-16,6.85874534422298e-18,2.70722610815167e-16,0.027096898997338,0.0579797077172254,3.3690978678357e-17,0.0145543427682774,0.0199406340824627,0.029604464095283,0.124135543887243,1.90099946390102e-15,1.42581629255814e-15,1.11759448969178e-17,0.0900879006453355,2.28352116144226e-16,-3.27841348886382e-06,-0.00253136398157355,-0.157065911750293,-0.00160763596886683,2.65683585752862,-0.00196259778130941,0.0376454795990962,-0.00842890225791229,7.38523905098124e-05,-7.73623542539343e-05,9.8298339385037e-05,1.55414437742727e-05,0.000385579405283081,-0.000126974113980073,-2.92508982021507e-05,0.00969110443333242,0.000732839427980299,-338.627400767665,8.49318604547631,-232.181895465846,-0.824574888211325,0.0206813385985017,-0.56537468634973,-0.110097034362697,-0.989113141496113,0.0976413659481925,-0.762477723984374,-0.0899486651454886,-0.640731580356512,-0.0105494284943622,0.000483502330700783,0.00846047000295955,-0.0273787000244332,-0.00322983536849792,-0.023007095398267
0.02,0.00809815350278208,0.0480123622540155,0.0371181194679153,0.014764841385692,0.153010491632385,0.0764996222457215,1.72146927618114e-16,2.12838959400648e-15,1.9146716985811e-15,2.27393872101065e-15,1.29977895773553e-15,4.47108456695704e-16,1.59599003995588e-15,0.0199613672932155,5.10377288421464e-18,1.47345515615484e-17,1.46731827848443e-15,1.72840211960115e-17,2.00636133129163e-16,5.14405900816723e-18,6.3912900533966e-16,0.0267315803743476,0.0576840370602465,8.05829909382162e-17,0.0142134530672768,0.0198610834675066,0.0295902247332911,0.124160708850103,1.42574959792576e-15,1.21056494628142e-14,8.38195867268839e-18,0.0898214308614883,1.7288923142697e-16,-2.07300617370284e-06,-0.0034966122446213,-0.157863430567641,-0.00496367193080525,2.65789447164113,-0.00430946559821393,0.0375162158912885,-0.00837691385642226,5.87861245779528e-05,-6.9365213465332e-05,7.94894359702059e-05,1.16726734021248e-05,0.000346466065244551,-0.0001051835216381,-6.41104886519613e-06,0.00964566718792637,0.000705022941431586,-337.994411366408,7.98807677219472,-232.234822169168,-0.824040780456739,0.0194751770927118,-0.566195646063669,-0.109385024007324,-0.989182538232766,0.0977385419284486,-0.761754729108516,-0.0904399079663154,-0.641521905883077,-0.0105593050514759,0.000500118863640396,0.00844717270360562,-0.027352739056391,-0.00324747469015612,-0.0230354740444003
0.04,0.00887771996128405,0.0506924884615307,0.0368568106201542,0.0153022148686841,0.152269953234111,0.0764191602506712,4.27595019699863e-16,3.35859212370294e-15,2.70132291532485e-15,1.70545404075798e-15,1.12082481450489e-15,3.82140912130124e-16,1.19699252996691e-15,0.0199954296538523,7.22340460563534e-17,6.55375378196924e-17,3.58270870145107e-15,1.96508683148057e-16,2.28534968267506e-16,8.33827796100971e-17,7.23841432048795e-16,0.0266775212327382,0.0576380283845332,3.45975792994262e-16,0.0141998183736161,0.0200405559967064,0.0302915527015193,0.124108545268281,1.85970073486126e-15,1.01973710335626e-14,6.28646900451632e-18,0.0894286783428616,1.73976751227721e-15,-3.11043384720073e-07,-0.0053821960279587,-0.158909866431409,-0.0125695324519362,2.65988947753501,-0.00864682919664821,0.0371404986778263,-0.00830077586838899,0.000123944047370185,-7.81574995276287e-05,0.000152559036199485,-2.57675847196536e-05,0.000365058282466537,-0.000143603017759921,4.90630203281766e-05,0.00948980238448358,0.000637735642789089,-338.047154692751,8.13988360796382,-232.906151631528,-0.823312507279485,0.0198246543099201,-0.567242010467014,-0.110206158763567,-0.989115421993592,0.0974950488231014,-0.7610598471824,-0.0909146739827366,-0.642279091253416,-0.010568764026435,0.000516029441998384,0.00843437663973792,-0.0273277875552401,-0.00326452237028698,-0.02306266270902
0.06,0.00956944246394205,0.0530406298510566,0.036544776981846,0.0157328405173082,0.151717895098917,0.0765509541693291,3.8138269390684e-16,2.5189440927772e-15,2.02599218649363e-15,2.39226675149661e-15,8.40618610878665e-16,2.86605684097593e-16,2.42024548248193e-15,0.0199915095131724,2.93156526914104e-16,4.91531533647693e-17,3.38225298986328e-15,1.47381512361043e-16,2.39927725165143e-15,1.21772157230253e-16,5.42881074036596e-16,0.02666551414487,0.0580234940216286,2.59481844745697e-16,0.0141581044003901,0.0200453655941539,0.0304533160457213,0.124873396560109,2.66196766995192e-15,8.37672416575073e-15,4.71485175338724e-18,0.0896058212238839,1.30482563420791e-15,-3.14902006043863e-07,-0.0070808882968798,-0.159969845418015,-0.0205434514110029,2.66154987384565,-0.0122740122352702,0.0364234337693483,-0.0082984253383427,2.56223502094746e-05,-6.30252460195168e-05,3.42179828971553e-05,2.60759428340849e-05,0.000326479632736762,-7.69449337397567e-05,-1.61442698211089e-05,0.00955338168166493,0.000635819219424638,-338.85929944741,7.80826002044714,-233.98507567195,-0.822736750426139,0.0189581412880835,-0.568106353051203,-0.109782138076983,-0.989172534429617,0.0973939386683467,-0.760428052485392,-0.091354073014615,-0.642964703803338,-0.0105773329515717,0.00053042712289416,0.00842273372672589,-0.0273051013613457,-0.00328030010897547,-0.0230872813696665
0.08,0.0101538443404395,0.0549033421712688,0.0361756954136403,0.0160677344035012,0.151395043538738,0.0767985529100474,2.8603702043013e-16,2.28611362292924e-15,1.51949413987022e-15,6.90775384724049e-15,5.86673544159355e-15,2.14954263073195e-16,6.47940657056656e-15,0.0200381000690127,2.19867395185578e-16,3.6864865023577e-17,2.53668974239745e-15,1.10536134270782e-16,1.79945793873857e-15,9.13291179226896e-17,9.9667064047149e-16,0.0266115478277635,0.0580857703459921,2.69966674857631e-15,0.0140996800331658,0.0198634242366888,0.0303551760085723,0.125195065303184,1.99647575246394e-15,1.3590069903697e-14,3.53613881504044e-18,0.0897490672877589,9.78619225655929e-16,-4.66144901822158e-07,-0.0084452893821784,-0.160906763291492,-0.0272399762653531,2.66276094702194,-0.0150415421208438,0.0357572859871181,-0.00829664210824341,0.000131801582529163,-7.3430772649489e-05,0.000163645510029549,-4.30478278530144e-06,0.000384381758248227,-0.000159666231751576,2.37801668771525e-05,0.00959243181666574,0.00064807578246459,-338.959771794401,7.76743858291604,-234.50476756876,-0.82222747995323,0.0188417682072207,-0.568847043571983,-0.110053201500547,-0.989152602894775,0.097290395342873,-0.759889558812132,-0.0917424803189777,-0.643545783696253,-0.0105846087062945,0.000542613876875798,0.00841281150672524,-0.0272857653777734,-0.00329424686012497,-0.0231081465196609
0.1,0.0100237774840119,0.0565893467722891,0.0359352082194838,0.0166305155598699,0.151252301214726,0.0772401519841855,5.28112820220898e-16,1.79908770760461e-15,2.50229287054347e-15,6.64576995395089e-15,4.40005158119514e-15,1.21117141643206e-14,4.88216355909402e-15,0.0203317439415063,1.82851173719662e-16,3.49089563268879e-17,3.32146986505938e-15,1.22735549154267e-16,2.24130410803625e-15,7.32976905982472e-17,7.51332606528171e-16,0.0271503414238525,0.0589357463025244,3.08249377870239e-15,0.0145570307770464,0.0209068547694016,0.0318300294323535,0.125784700415585,4.31204552975338e-15,1.01925524277726e-14,2.65210411128034e-18,0.0884540477960679,1.03216514590293e-14,1.99583975776871e-07,-0.00944096761123075,-0.16174753625906,-0.032390532693713,2.6635529984626,-0.0165910579133025,0.0356290650415821,-0.00812781601002889,-3.0036528563237e-05,-6.14186648427971e-05,-4.02761439084522e-05,2.78019642573663e-05,0.000283350886581083,-2.5194807265041e-05,-2.65014778639093e-05,0.00956796521948454,0.00053985511961314,-340.867364988211,7.95527698731946,-236.45111412479,-0.821515084685372,0.0191727948146616,-0.569864343132101,-0.110712172841073,-0.989139879036824,0.096670132325485,-0.759467785576495,-0.0920690229053402,-0.643996877083105,-0.010590282722493,0.000552054986342781,0.0084050529969866,-0.0272706205380835,-0.00330597220138544,-0.0231243441738784
0.12,0.0102902329984012,0.0575986789057033,0.0355982356553472,0.0168520887492305,0.151375032872798,0.0777891181911947,3.96084615165673e-16,1.34931578070346e-15,3.56585050974292e-15,6.27905072112724e-15,8.71020561586194e-15,1.13438787799256e-14,3.6616226693205e-15,0.0204741131158746,1.37138380289746e-16,2.61817172451659e-17,2.51498263383311e-15,1.6932313123505e-15,2.01277116185903e-15,1.34863732325644e-16,1.85509231406787e-15,0.0268546716269011,0.0585732375755163,2.68851948974977e-15,0.0143748892209916,0.0197916641448594,0.0312590310268991,0.125536067535121,3.23403414731502e-15,7.64441432082938e-15,1.98907808346031e-18,0.0889700833806582,7.74698808099055e-15,-2.13156532001696e-07,-0.00994563898260498,-0.162358396639536,-0.0354732488530989,2.66381577477109,-0.0170235182815984,0.0347855151409463,-0.00818204487210888,-5.71944800571375e-05,-5.97729594785465e-05,-7.40266543996951e-05,3.2924790297892e-05,0.000267449625188217,-3.06131156777571e-06,-3.5229308686287e-05,0.0096004062350452,0.00054828395585761,-339.707250047849,8.38941419023428,-235.824655524885,-0.821295176792348,0.0202827152190075,-0.570142827755441,-0.112072389329139,-0.988980378551398,0.0967346390409932,-0.759178164665208,-0.0923283933400729,-0.64430115790584,-0.0105941546737452,0.000558416810989996,0.00839975155265912,-0.0272602209633792,-0.00331528555586699,-0.023135270149952
0.14,0.0103285493845621,0.058120698354042,0.0352910926535476,0.0170145552945269,0.151752905892095,0.0782911282283317,8.980400533246e-16,1.01198683552759e-15,2.67438788230718e-15,4.7092880408454e-15,6.5326542118964e-15,8.50790908494413e-15,2.74621700199036e-15,0.0205429918769158,6.59626194370577e-16,2.8087511295611e-17,1.88623697537483e-15,1.44077287115164e-15,1.81553644423919e-15,9.27610723001959e-16,1.47249489526614e-15,0.0270475943680658,0.059024201035117,2.01638961731232e-15,0.0144632913306641,0.0196912161360274,0.0314858723237371,0.126074572061704,2.42552561048626e-15,8.97174658123504e-15,1.49180856259524e-18,0.0892577698715313,5.81085182381478e-15,-2.19266550475078e-07,-0.00994454522235703,-0.162714386700351,-0.0363882298676565,2.66359314067876,-0.0163510617553251,0.0342689391649027,-0.0082098525341314,9.42380926010304e-05,-7.437686224677e-05,0.000115390479767218,-7.43672671492038e-06,0.000347071377093207,-0.000125110343210449,8.14219987143656e-06,0.00963542416432122,0.000533701390314257,-340.711219612358,8.05786058499368,-236.609893917486,-0.82120952863044,0.0194217023445871,-0.570296157767707,-0.11140754680914,-0.989051694709629,0.096773465919024,-0.759027812689393,-0.0925209359078452,-0.644450662178798,-0.0105961350067092,0.000561585462965038,0.00839704194462612,-0.0272548221936651,-0.00332219928598546,-0.0231406384807411
0.16,0.00997547073652284,0.0582329610941878,0.0351651018769226,0.0172087930856353,0.152210630186946,0.0788690397599241,6.7353003999345e-16,5.65654088616047e-15,5.03458651447395e-15,4.93098847844274e-15,6.85130599609932e-15,6.38585893506515e-15,2.26757017283561e-15,0.0206586322822761,4.94719645777932e-16,2.62508041524094e-17,1.99183816447409e-15,1.32752507878955e-15,1.76375430019448e-15,7.11865698848018e-16,1.48094045350564e-15,0.0274450002066978,0.0591728561544614,1.98847884526721e-15,0.0147086787457844,0.0201361485829347,0.0317808361642272,0.126295991439393,1.87574970647606e-15,7.07239903687712e-15,2.81598490661195e-16,0.0887022765724931,5.25193982111378e-15,-3.75437938629909e-08,-0.00946593402567141,-0.162836304202178,-0.0352272687035326,2.66297261472736,-0.0146869288097038,0.0343972248644427,-0.00813677097252163,9.11418582520616e-05,-8.12303714964436e-05,0.00011155084592106,-2.87237139040138e-05,0.00032679881690278,-0.000116016794423922,1.26870097819133e-05,0.00963820163973875,0.000508982972733323,-341.5175115546,7.9684218316965,-237.252572383357,-0.82112048065996,0.0191587082453249,-0.570433256515717,-0.111277831380276,-0.989081766114651,0.0966152378397173,-0.759015981880065,-0.0926520635961516,-0.644445757501759,-0.0105962379220046,0.000561666042841497,0.00839690668573986,-0.0272543973783958,-0.00332690775881045,-0.0231404623658499
0.18,0.00981895921967816,0.0578734819908608,0.0349557088003792,0.0171852360314057,0.152864043953844,0.0793123554719906,1.37572723033636e-15,5.16151847272345e-15,5.60600683270241e-15,3.69824135883204e-15,5.13847949707446e-15,4.78939420129883e-15,1.06448428841105e-14,0.0206463025007213,3.71039734333449e-16,2.83640191498522e-17,1.88645835386681e-15,1.07132874515723e-15,1.32281572514586e-15,5.33899274136013e-16,1.11070534012923e-15,0.0273555574853422,0.0589875469732297,3.52581645349025e-15,0.014666058091736,0.0199921877763699,0.0316416974345256,0.125727681557852,1.40681227985704e-15,1.15162561305548e-14,2.54530583951778e-16,0.0885948637191002,3.93895486583531e-15,-7.9458708505178e-08,-0.00857573447500288,-0.162762150187586,-0.0322471808793577,2.66207101260634,-0.0122332093993437,0.0345309475791838,-0.00812156885669174,7.69312633259127e-05,-6.33750490977807e-05,9.32538015675792e-05,3.23087074271922e-05,0.000373685009820104,-0.000122779397383243,-9.53165614001965e-06,0.00959587287655714,0.000507254346450291,-340.936987498545,8.02133683913135,-236.701379364652,-0.821284796739461,0.0193226380154276,-0.570191124365108,-0.111518423455772,-0.989045064675379,0.0967135009769335,-0.75913512586477,-0.0927311368121516,-0.644294029883722,-0.0105945671137907,0.000558963864842416,0.00839919494961383,-0.0272586755458942,-0.00332974708354444,-0.0231350142002065
