Data File:	S8R_200809_1_34.AKF
Measurement Programm:	5.4.17

------------------------MEASURING INFOS------------------------
Diagram Title #1	Forces and Moments at Shoulder Joint
Diagram Title #2	Measured Relative to Humerus

Comment #1	Shoulder Joint; Standard Test; Standing Position; Abduction; 2,4 kg; 150 deg.
Comment #2	S8R, 11 Months PO  *  three times

BodyWeight [N]:	830

Implant Type:	Shoulder Joint

Axes Directions X, Y, Z:	Medial, Anterior, Superior
Axes Origin:	Center of
Angle of Rotation (Deg):	Y = -52	X = -90	Y = -63,1
Displacement X, Y, Z (mm):	0	0	0
Activity Code:	shoulderactivities	1P_1_1_1_4_6	2P_1_67






---------------------------DATA--------------------------------

Number of Data Sets =	1200
Number of analog channels =	0
Time-Offset(sec) =	0.0
Max. Force (N, sec):	1678,71	2,737

Time	Fx	Fy	Fz	F	Mx	My	Mz	Marker
[s]	[N]	[N]	[N]	[N]	[Nm]	[Nm]	[Nm]	[0/1]

0.000	00135.85	00014.51	00145.62	00199.68	00000.46	00000.03	00000.10	0
0.010	00134.30	00013.06	00143.63	00197.07	00000.45	00000.03	00000.09	0
0.021	00131.64	00014.39	00138.89	00191.90	00000.44	00000.00	00000.09	0
0.031	00133.48	00014.21	00141.64	00195.15	00000.43	00000.01	00000.10	0
0.041	00135.48	00014.99	00144.15	00198.39	00000.44	00000.01	00000.12	0
0.051	00143.86	00015.62	00153.65	00211.06	00000.47	00000.03	00000.15	0
0.061	00148.55	00016.99	00158.82	00218.13	00000.49	00000.03	00000.17	0
0.071	00148.37	00016.29	00159.44	00218.41	00000.48	00000.03	00000.17	0
0.081	00152.11	00014.74	00165.07	00224.96	00000.48	00000.06	00000.17	0
0.092	00149.94	00014.94	00161.74	00221.06	00000.47	00000.04	00000.17	0
0.102	00152.46	00014.65	00164.22	00224.56	00000.48	00000.04	00000.18	0
0.112	00153.24	00016.69	00164.36	00225.33	00000.48	00000.03	00000.20	0
0.122	00151.70	00016.22	00163.30	00223.48	00000.47	00000.03	00000.19	0
0.132	00154.53	00014.64	00167.28	00228.20	00000.47	00000.05	00000.19	0
0.142	00150.84	00014.53	00161.54	00221.49	00000.45	00000.02	00000.19	0
0.152	00152.21	00014.51	00161.71	00222.54	00000.45	00000.02	00000.19	0
0.163	00149.82	00016.13	00157.53	00217.99	00000.44	-00000.01	00000.21	0
0.173	00144.45	00016.29	00150.84	00209.49	00000.42	-00000.03	00000.19	0
0.183	00144.28	00014.71	00152.48	00210.43	00000.40	-00000.01	00000.19	0
0.193	00138.95	00013.19	00147.55	00203.11	00000.37	-00000.01	00000.17	0
0.203	00137.16	00011.32	00146.16	00200.76	00000.36	-00000.01	00000.16	0
0.213	00134.67	00010.42	00143.21	00196.86	00000.36	-00000.01	00000.15	0
0.223	00134.39	00011.28	00141.87	00195.74	00000.36	-00000.02	00000.15	0
0.234	00141.49	00011.61	00150.38	00206.80	00000.39	00000.00	00000.17	0
0.244	00144.81	00013.23	00154.30	00212.02	00000.41	00000.00	00000.19	0
0.254	00149.36	00013.87	00159.90	00219.25	00000.43	00000.02	00000.20	0
0.264	00154.62	00014.07	00166.34	00227.54	00000.45	00000.04	00000.21	0
0.274	00149.30	00014.53	00158.83	00218.47	00000.43	00000.02	00000.20	0
0.284	00149.98	00014.74	00158.61	00218.79	00000.44	00000.02	00000.20	0
0.294	00150.35	00016.37	00157.85	00218.61	00000.45	00000.02	00000.22	0
0.304	00148.17	00016.64	00155.14	00215.17	00000.44	00000.02	00000.21	0
0.315	00152.83	00015.20	00162.60	00223.67	00000.45	00000.06	00000.22	0
0.325	00147.12	00014.21	00156.19	00215.04	00000.42	00000.06	00000.20	0
0.335	00148.76	00013.45	00158.09	00217.50	00000.43	00000.06	00000.20	0
0.345	00144.95	00014.63	00153.08	00211.32	00000.42	00000.05	00000.20	0
0.355	00139.50	00013.95	00146.74	00202.95	00000.40	00000.05	00000.18	0
0.365	00137.78	00013.69	00144.04	00199.80	00000.39	00000.05	00000.18	0
0.376	00137.55	00015.72	00141.89	00198.24	00000.39	00000.03	00000.19	0
0.386	00145.55	00016.04	00151.70	00210.84	00000.41	00000.07	00000.22	0
0.396	00143.78	00015.94	00148.72	00207.47	00000.40	00000.07	00000.23	0
0.406	00146.77	00015.58	00152.07	00211.92	00000.40	00000.08	00000.24	0
0.416	00143.08	00016.39	00147.81	00206.37	00000.37	00000.07	00000.26	0
0.426	00146.81	00017.31	00151.61	00211.75	00000.38	00000.08	00000.28	0
0.436	00151.29	00019.29	00155.74	00217.98	00000.40	00000.08	00000.31	0
0.447	00150.59	00019.33	00155.00	00216.97	00000.39	00000.09	00000.32	0
0.457	00147.18	00018.05	00151.84	00212.23	00000.37	00000.09	00000.31	0
0.467	00141.84	00019.38	00144.13	00203.14	00000.35	00000.07	00000.30	0
0.477	00147.15	00019.40	00150.80	00211.59	00000.36	00000.09	00000.32	0
0.487	00144.69	00019.63	00147.04	00207.22	00000.34	00000.08	00000.32	0
0.497	00147.23	00019.13	00149.84	00210.94	00000.33	00000.09	00000.33	0
0.508	00145.92	00019.14	00148.19	00208.85	00000.31	00000.09	00000.33	0
0.518	00148.04	00018.29	00150.61	00211.98	00000.30	00000.09	00000.34	0
0.528	00145.35	00018.46	00146.93	00207.49	00000.28	00000.07	00000.34	0
