time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0381672996635449,0.0922039986341161,0.0449488374660246,0.0159887101956071,0.108397333644954,0.0332203914438793,1.7493009884733e-14,6.15990915073674e-14,2.06933146438393e-16,7.5640052597699e-15,0.0144841064797739,0.0313579465195208,6.16363715114118e-17,0,1.61688463758961e-13,0,1.63382220079444e-14,0.0136285539813465,9.80042928162964e-16,7.28069502977934e-15,0,-6.16297582203915e-33,3.15544362088405e-30,-6.31088724176809e-30,0,0.0520871914133951,0.0428296436925958,0.0661592862894694,0.00471506576580202,0.0421107478678053,2.30317346028789e-16,0.026101971932256,0.0367277208228866,-0.110550140561304,-0.018563094845049,-0.153553299806765,-0.00058178363263323,2.65494752254596,-0.00124524030995937,-2.34460211263891e-08,-9.29094132029382e-08,0.000130719281301638,-0.00013367688428087,3.39637189080006e-05,-9.37300540332218e-05,0.000268650676066196,-0.000100412554460016,0.000644194195472921,-0.00112105776843661,-0.000445898291715298,-234.689374993391,65.9872408814129,-265.705227219397,-0.650829396513032,0.182992673450255,-0.736841080625946,-0.394453304662564,-0.912763873006006,0.106154145354098,-0.562938199378066,-0.220986515944043,-0.796407900169187,-0.0123302714207482,-0.000316961990089473,0.00556486392645417,-0.0202137263925923,-0.00793508234950165,-0.0285970492119817
0.02,0.0379909914570331,0.091983481748227,0.0446265194613593,0.0161108704868931,0.107507863068102,0.0335601520034242,1.56338116932468e-14,7.02411240571406e-14,1.55199859828795e-16,1.20805510035087e-14,0.0147843604977904,0.0312551471863699,1.89152033463918e-16,2.9420765193055e-19,1.21413677264237e-13,0,1.49116207928158e-14,0.0139404422915315,3.14899583873866e-15,8.69777143408631e-14,0,0,3.15544362088405e-30,1.8970000377818e-14,6.14590277253436e-14,0.0520436814856335,0.0429464673881914,0.065927531075019,0.00465536520460066,0.0419193709492988,4.22404619529121e-15,0.0257078062548538,0.036943062582855,-0.110498420251586,-0.0185062194005605,-0.153566525980886,-0.000933734468320208,2.6541607436378,-0.00145921391899797,8.70380711730966e-08,2.02172063986829e-07,0.00010264550550033,-0.000143818324526026,3.71473151810703e-06,-0.000115570221044901,0.000259861753314819,-7.954003574219e-05,0.000732451065889832,-0.00108892647487907,-0.00038824180553344,-234.094207031559,66.108278606215,-265.411642283563,-0.650227213717185,0.183624372199708,-0.737215477642629,-0.395363237275378,-0.912424095703794,0.105689073182837,-0.562697149670134,-0.221316653195153,-0.796486570364876,-0.0123319301805416,-0.000314874024132841,0.00556130570132657,-0.0202050708903568,-0.00794693676633339,-0.0285998740652474
0.04,0.0373798727409874,0.0910852863457251,0.043557002231391,0.0158732767783862,0.106146735094903,0.032897033820228,1.17253587699349e-14,5.33232671674824e-14,1.16399894871596e-16,4.78768219613521e-14,0.0160926470898912,0.0298810043058413,3.03719939113236e-16,2.31869469676067e-19,9.10602579481663e-14,-7.70371977754894e-34,1.11837155946116e-14,0.0145215545149348,2.37007672612196e-15,6.52332857556417e-14,0,0,0,1.42275002833632e-14,5.26461561139486e-14,0.0522051138069961,0.0426350799879571,0.0661595438000534,0.00435880533218539,0.041344716118653,3.1680346464684e-15,0.0249530242558453,0.0385149221546865,-0.110232804084589,-0.0181547072272133,-0.153635371964615,-0.00112776139646986,2.65263660797763,-0.000976864368346186,-1.74446609050263e-07,-3.74017548522202e-07,7.54825367666639e-05,-0.000163548269846918,-3.23984595787377e-05,-0.00014644933667494,0.000265556048636813,-5.92749180535596e-05,0.000845062823904742,-0.00124322469474775,-0.000187365370041023,-233.566948247909,66.7911708317238,-265.411932930231,-0.649152622064111,0.185632701892929,-0.737659388373266,-0.397559272835889,-0.911574556931883,0.104778107143813,-0.562473467801308,-0.221637320114971,-0.796555394402565,-0.0123334723857492,-0.000312802579843056,0.00555800163623932,-0.0201970390245136,-0.00795845112685735,-0.0286023453671925
0.06,0.0370748300788224,0.0899687093621832,0.0433922348628668,0.0159466008601155,0.104179718696398,0.0331650637252803,1.89217860959309e-14,3.99927968970148e-14,8.72999211536972e-17,3.59807702945686e-14,0.0175417642495113,0.0299388021115441,2.27789954334927e-16,1.7390210225705e-19,6.82961084413911e-14,1.48905422641558e-18,1.49004072670913e-13,0.0156405302501549,1.77755754459146e-15,1.24114382210055e-13,1.23259516440783e-32,4.43693441810883e-14,0,1.07234457889687e-14,3.94924994969807e-14,0.0524756660756769,0.0431339993665477,0.0658412834885388,0.00418403209328755,0.0410581325416039,2.40531317511264e-15,0.0239029965504227,0.0399814345336673,-0.110163490365725,-0.0174753866618334,-0.153458426085202,-0.000827454442460334,2.65125538155924,0.000506022582067411,2.20344677781507e-07,3.50536160739203e-07,7.98381547444176e-05,-0.000166225980904611,-3.10950165806967e-05,-0.000146728623339722,0.00027383843152736,-6.23941099014705e-05,0.00067523353910589,-0.00120374749187515,2.51502206493529e-05,-232.999910842833,68.6778658773631,-265.662507172314,-0.647266487073751,0.190784969939959,-0.738002161213783,-0.402686018240804,-0.909503233887696,0.103188363012452,-0.562312020707842,-0.221943038415107,-0.79658425735545,-0.0123345714508718,-0.000310907611208014,0.00555566848480579,-0.0201912418564092,-0.00796942871920939,-0.0286033817648524
0.08,0.0363350532414278,0.0891496593957676,0.042053068121405,0.0155190433321888,0.103515716392971,0.0319256345240263,1.41913395719479e-14,2.99945976727599e-14,6.54749408652729e-17,2.70141002325045e-14,0.018801125589387,0.0293406667468782,1.70842465751195e-16,7.09646968989359e-19,5.12220813310398e-14,1.11679066981168e-18,1.15824111012955e-12,0.0163425601577315,1.33439849591449e-15,1.08604017405185e-13,3.19360575299505e-17,4.89113422591672e-14,3.30329596958718e-14,8.04258434172643e-15,2.96193746227343e-14,0.0523744465973079,0.0422992371582134,0.0661075942556621,0.00414593784290276,0.0411373727720947,1.80398488133447e-15,0.0243979895348523,0.0418040727760791,-0.110167350454022,-0.0167557620968958,-0.153227284125794,-0.000618235481939432,2.65010786297947,0.00215327890843349,-4.58318075205628e-07,-6.90309530743784e-07,2.14347289038e-05,-0.000216651032352253,-0.000114271265423937,-0.000221393718441937,0.000297151827343352,-1.8752437962367e-05,0.000712427903871129,-0.00144020617467387,-0.000175351155078582,-233.035321468128,69.8893106341578,-266.100172015971,-0.646325486683346,0.193838609636538,-0.738031136658684,-0.405814276777999,-0.908197765079497,0.1024284739111,-0.56225354848014,-0.222229196248949,-0.796545749819831,-0.0123349289752389,-0.000309351482202472,0.00555496152720281,-0.0201891422625041,-0.00797970394331884,-0.0286019990539439
0.1,0.0364450910646152,0.0881603121762737,0.0428318465616469,0.0159252925528793,0.10142243662076,0.0331705843381127,4.03769130874348e-14,2.24959482545692e-14,4.91062056489547e-17,2.02876282993487e-14,0.0198462413437664,0.0307614154716593,7.65994224784357e-16,7.52263433575281e-19,3.84190987105574e-14,1.67375659641932e-18,8.83977231195411e-13,0.0175867882918366,1.01599375385662e-15,8.14530130538799e-14,2.39520431474628e-17,4.22116838981068e-14,1.01247456761295e-13,6.03193825629477e-15,2.2230462814085e-14,0.0525850729361084,0.0434677235276248,0.0651549933446334,0.00412235647606031,0.0410910345010813,1.35298866100085e-15,0.0231982688669521,0.0425091164221564,-0.110275378645494,-0.0160110583432935,-0.152972877118961,-0.000609583417587366,2.64928168976829,0.00392856923251489,6.49852747802631e-07,9.82066940097219e-07,5.13943191076775e-05,-0.000196985730346283,-7.60521439750299e-05,-0.000189060778466572,0.000294458266434479,-4.10937309222672e-05,0.000564989989494047,-0.00119387416075023,2.33890160166773e-05,-232.402552130146,72.1995094924142,-266.167624014611,-0.644397915251774,0.200192351472363,-0.738020561523277,-0.412008378669636,-0.905596215792067,0.100720354691127,-0.562332819874427,-0.222492924762948,-0.796416158878325,-0.0123342867775448,-0.000308292058271244,0.00555644620495185,-0.0201919887033331,-0.00798917378570968,-0.0285973457619175
0.12,0.0359702896208557,0.0876605991002914,0.0419704150685265,0.0156122214769889,0.101214847934934,0.0322964940821947,4.85648535940145e-14,1.68727137597139e-14,6.06781468104876e-17,1.5252222292931e-14,0.0205415700743982,0.0311289833792744,6.84271430775403e-16,7.68605354119048e-19,2.88144746087606e-14,4.34946962215654e-18,1.04272124458616e-12,0.0181476412035721,7.67850965386567e-16,2.43434290510099e-13,9.44038870263572e-17,3.17031034273159e-14,1.16996652542303e-13,4.5521464913617e-15,1.66763779131006e-14,0.052262308424846,0.0427139721445934,0.0650450748785007,0.00427741282771335,0.041492665590947,1.09767291504982e-15,0.0241371940079609,0.0436200798884678,-0.110521830588975,-0.0152569742027912,-0.152727506722455,-0.000880552052493492,2.64885003775624,0.00579755236128829,1.55741314666457e-07,2.0065660161754e-07,3.31857763267234e-06,-0.000253105300826805,-0.00015361400318816,-0.000266233426719715,0.00033265636974832,-5.31548506630911e-06,0.000443978934593387,-0.00133846276177561,-0.000322307326887961,-232.561827222946,73.3712025218395,-266.36740510187,-0.643971203437218,0.203167227183546,-0.7375799393572,-0.415005146719661,-0.904274894671406,0.100287801168485,-0.562577511341504,-0.22273391733373,-0.796175951534566,-0.0123324338905743,-0.000307874481080335,0.00556058057858588,-0.0202007749721838,-0.0079978272362906,-0.0285887205069079
0.14,0.0356906554136485,0.0873605912970686,0.0415778429806556,0.0155018164391055,0.10118091307484,0.0317952180249154,3.64236401955091e-14,1.26545353197852e-14,4.55086101078657e-17,1.14391667196981e-14,0.0208860615461513,0.0320478412495852,5.13203573081552e-16,5.76454015589286e-19,2.16108559565698e-14,1.45308203998099e-17,7.90188104515717e-13,0.0186055631094343,5.75888224039925e-16,1.8257571788253e-13,7.08029152697679e-17,2.37773275704862e-14,1.3564824442808e-13,3.41410986852126e-15,1.25072834348253e-14,0.0518096679137696,0.0422662423100446,0.0646383471612029,0.00449172916481803,0.0419915470968531,8.7399296664755e-16,0.0250535873876507,0.0441579377845137,-0.110939526457192,-0.0145139880780655,-0.152522764084406,-0.00147430860893931,2.64886532044806,0.00771779480891787,-1.50104671214617e-07,-2.33705886099797e-07,0.000106822621351031,-0.000149504797602852,3.06674123936321e-06,-0.000118957391252934,0.000272532741001644,-8.26488113139516e-05,0.00064060773953278,-0.00138786199399245,-0.000765591362333541,-232.672266486409,74.4510043951108,-266.297277070453,-0.643848538555232,0.206020129075251,-0.736895356082604,-0.417863725963547,-0.902987122781749,0.100020810905527,-0.563007808671138,-0.222954945425582,-0.795809838897207,-0.0123292089659546,-0.000308221695044603,0.00556770818137603,-0.0202162258911271,-0.00800576381152875,-0.0285755743024247
0.16,0.0358872145369894,0.0872256297564099,0.0420921170703702,0.0156428168839405,0.100936111450889,0.0323190335383083,4.82297579740292e-14,9.49558084687854e-15,3.41314575808992e-17,8.59636802148145e-15,0.0207766469465695,0.0339411141113486,7.09546848404218e-16,8.9876916166966e-19,1.6208141967427e-14,4.09308642084523e-17,6.60461496322171e-13,0.0190651993387753,4.36526427922497e-16,2.02404348819705e-13,1.77852145353717e-16,1.78518164292179e-14,1.01736183321046e-13,2.57447192534866e-15,9.383400152873e-15,0.0514061472339877,0.0424262026573248,0.0637009293720864,0.00479338136265688,0.0425010245843165,6.58999342091759e-16,0.0255713395837875,0.0438912518794569,-0.111555731979378,-0.0138100437776622,-0.152388653141768,-0.0023972779134556,2.64935431955145,0.0096329871037856,2.55735345389556e-07,4.13666640050267e-07,0.000132936087245146,-0.000121992120388353,4.34434580621831e-05,-8.02141613250678e-05,0.000255828282846052,-0.000102143893531188,0.000494511095556081,-0.00123994104407655,-0.00100879597026859,-232.560823600909,75.6524836225208,-265.860056414925,-0.643796975557145,0.209428395528674,-0.735979076747266,-0.421222593469236,-0.901460109338216,0.0997055566304244,-0.563636685608439,-0.2231619006095,-0.795306514969348,-0.0123244987258918,-0.000309423836788961,0.00557806030598021,-0.0202388073154456,-0.00801319506325025,-0.0285575011779222
0.18,0.0356622550420121,0.0876145966411865,0.0415807520506382,0.0154440931088034,0.102245734531209,0.0313143502091045,3.61723184805202e-14,7.12168563515884e-15,2.55985931856744e-17,6.48490527773747e-15,0.0202163365350869,0.0350259272345708,5.32160136303164e-16,6.74076871252245e-19,1.21561064755701e-14,3.06981481563392e-17,4.95367690833506e-13,0.0188606543648794,3.31532470019701e-16,1.51803261614748e-13,1.33389109015288e-16,2.03691034964259e-14,7.63021374907767e-14,2.02384478882604e-15,7.04875997747353e-15,0.0504899890999802,0.0413800310946147,0.0633448523527954,0.00519595620908717,0.0433444011228431,4.94249506568819e-16,0.0275916739435419,0.0435689698176932,-0.112389039086865,-0.0131806822839633,-0.152353592826203,-0.00362215995863996,2.65031561547638,0.0114741101782517,-5.07498270553265e-07,-7.46366186511524e-07,0.000130401808710281,-0.000119043031738578,4.41327596801142e-05,-7.93537450292148e-05,0.000247889095482481,-0.000100456107004145,0.000346522799980683,-0.00134763361666456,-0.00182157740895301,-232.977335325395,75.6777202812491,-265.299507966732,-0.645197320618908,0.209578593934098,-0.734708942664228,-0.421529103905203,-0.901225300211503,0.100529462445413,-0.564470747974214,-0.223363331702148,-0.794658163446615,-0.0123182333186112,-0.000311526924179996,0.00559176605521008,-0.0202687564439197,-0.00802042795843884,-0.0285342204691318
