time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.028662669374578,0.11551094272137,0.0101953058223918,0.0328961499579062,0.100253959008575,0.0974589780912027,2.84555570444701e-15,2.13432315960475e-14,1.37300316601466e-14,7.46205991483468e-16,0.0144426486904166,9.86009310137309e-14,4.15222986501273e-16,1.47658453546031e-15,-1.12690012905986e-31,-8.0118685686509e-32,1.67006346711466e-14,0.0168940036838679,8.04515335174476e-15,3.94430452610506e-31,0.0661772481083625,0.043881100175911,0.0110987072839819,9.91819296528675e-14,0.0176180136954575,0.00549365902214091,0.00242235563150317,0.00852961839114517,-7.88860905221012e-32,0,9.36805125336286e-19,5.94566164954695e-16,0.022716987357955,-6.19182467049257e-08,-0.0403665656548273,-0.227903009329454,0.000825753086843044,2.65602323066274,0.000418927240217258,0.0744146437018414,2.02378059757092e-07,0.000150575275340686,-9.51273770489442e-05,0.000173885447316512,-1.61985033261074e-05,0.000269094182869458,-0.000129919590002657,6.62964165715098e-06,-0.00210490181372405,-0.000430123926905441,-191.10197672021,103.37268387141,-208.787753414943,-0.634200459007971,0.343057694563348,-0.692893351097381,-0.445007489850046,-0.89442718438963,0.0443660433462332,-0.635632755859831,-0.110913582519965,-0.763982445407369,-0.0117018879836788,0.00343841311603826,0.00586062296972958,-0.0228240091493437,-0.00398263399562815,-0.0274327308704037
0.02,0.0287257860160445,0.115554847537597,0.0102814373169624,0.032812893742477,0.100300186247833,0.0971797703566636,2.13416677833526e-15,8.21125993076925e-14,1.02975237451098e-14,1.66969165795555e-15,0.0144539092690771,8.21480466262758e-14,3.6589049597077e-14,1.11401119392314e-15,2.07176311772461e-14,4.35690262993412e-16,1.25254760033598e-14,0.0167458199232088,3.26007198514961e-14,6.97844660359615e-18,0.0660897284885072,0.0438401172168831,0.0111310497122541,1.06673569180293e-13,0.0175583252466405,0.00542106973538697,0.00234368572361369,0.00851693364415758,3.36524860607628e-18,6.30450204384538e-15,1.4714090471796e-18,7.17544653330163e-16,0.022658521691783,3.99158356534121e-08,-0.0403992261714688,-0.228175807121626,0.00150514487769106,2.65623562325904,0.000253781560413894,0.0743901258156195,-2.64469391839495e-07,0.0001634343784181,-9.22199467863239e-05,0.000196944628083129,-2.00270329951024e-05,0.000258934298168727,-0.000134912895027705,1.11928545033273e-05,-0.00210184978461754,-0.000434127730479051,-190.911000415006,103.563681949766,-208.443544238414,-0.63418527065713,0.344027120096736,-0.692426445999493,-0.445036081940814,-0.894427189277971,0.0440782128843329,-0.636171716430272,-0.109916610278579,-0.763677867951553,-0.0116948762743761,0.00344911291598528,0.00586832665691428,-0.0228433618980456,-0.00394683517414003,-0.0274217942429657
0.04,0.0287887873707786,0.115478013467231,0.010530556607901,0.0328063239864939,0.100537707078436,0.097191024561968,1.60178002203403e-15,6.15850582624774e-14,7.72421045437637e-15,1.2583535859836e-15,0.0143348691799963,6.16186534194214e-14,2.74420852743856e-14,8.37513449034029e-16,1.55382233829342e-14,3.30556493208384e-16,9.39410700251971e-15,0.0166878303169768,2.44505398886213e-14,8.66915104642665e-18,0.0658265870036845,0.0437370497350238,0.0113438508969928,8.00081150274079e-14,0.0175256338100571,0.00539281390338242,0.00229861834318848,0.00834312086621182,2.52393645455721e-18,4.72837653288401e-15,1.1035567853847e-18,5.38158489997622e-16,0.0224273299403015,-1.36074125390206e-07,-0.0402498859590441,-0.228175645474519,0.00282204794112824,2.65658420663602,-0.000278626076860034,0.0749986168744237,4.41388063421839e-07,0.000198361727125721,-9.48523525178731e-05,0.000270223386379562,-6.67669362302824e-05,0.000205291625124477,-0.000142583371595118,3.09997884969263e-05,-0.00209076895177138,-0.000440815984344621,-190.607405833481,103.710664657195,-208.027594545141,-0.634082102531513,0.345007981265035,-0.692032788321941,-0.445075483525606,-0.894427190957948,0.0436785306474828,-0.636708192953937,-0.108918435451721,-0.763373729862432,-0.0116878719201955,0.00345970748437355,0.00587603972349651,-0.0228626254507365,-0.00391099317076493,-0.0274108733921053
0.06,0.0287477565340953,0.11537276467095,0.0106548815176503,0.0326892666331349,0.100922327565944,0.0971093235844458,1.20437708530925e-15,4.61887936968552e-14,5.81867982313493e-15,9.55072961532008e-16,0.0142977418194034,4.62139900645632e-14,2.05815639557887e-14,6.28135086775521e-16,1.16592094175601e-14,2.60069648429847e-16,7.04558025188971e-15,0.0165052513062054,1.83379049164655e-14,1.51507146488637e-17,0.065591059843077,0.0437952725601167,0.0114828792563173,6.00060862705511e-14,0.017442458525845,0.00524763186500827,0.00214986937863562,0.0083278026780622,4.46331180182232e-18,3.54831456032774e-15,8.27667589038523e-19,4.03618867498216e-16,0.0222873111323881,1.30575572980259e-07,-0.0399478456992544,-0.228160113122555,0.0040860915468383,2.65682764069671,-0.00103419327008121,0.0757461078718554,-6.08178774266993e-07,0.000160741783343109,-9.15983505071558e-05,0.000190972926307858,-1.59909851761197e-05,0.000262681916424833,-0.000134312853667189,9.57389283075228e-06,-0.00208191248392346,-0.000449738892521423,-190.380304938348,103.860275333025,-207.580106595091,-0.63417443820327,0.345968201817345,-0.691468571419439,-0.445091257276822,-0.894427190855729,0.0435175016937654,-0.637261360329175,-0.107916768826517,-0.763054342519229,-0.0116807280581229,0.00347017481072184,0.00588406726233182,-0.0228824883308621,-0.00387502578549805,-0.0273994049780309
0.08,0.028788345249394,0.115169819323265,0.0108942134003643,0.0327194457266735,0.101161088668302,0.0972028814053154,9.05237963717738e-16,3.46422601873424e-14,4.36430206989667e-15,7.16304721149005e-16,0.0142012919185097,3.46612478477594e-14,1.54365045585758e-14,4.76324815685596e-16,8.74440706316999e-15,1.96652286988148e-16,5.28449248564479e-15,0.0165832052702123,1.37534286873489e-14,2.03181272399195e-17,0.0655286880563473,0.0436487467287725,0.011865249246964,4.50045647029106e-14,0.0174154439721546,0.00525419641818593,0.00209549710414622,0.00799737658208964,3.34748385136674e-18,2.66123592024579e-15,6.20750691778892e-19,3.02714150623662e-16,0.0220858805309551,-2.55917013337368e-07,-0.0396261323189773,-0.228089615930064,0.00530484944584766,2.6570256357934,-0.00181965233394988,0.0765400512211437,1.06473875740609e-06,0.000216813648904173,-9.55464845715211e-05,0.000311332363873846,-9.32266599644598e-05,0.000172795126896993,-0.000146025663869696,4.17379361823301e-05,-0.00207697313543055,-0.000461835396115596,-190.148234723436,104.049353085687,-207.245129236346,-0.634062932214873,0.346960033620759,-0.691073753705753,-0.44513684840638,-0.894427190093493,0.0430486679502966,-0.63784908511496,-0.10691253848293,-0.762704565171301,-0.0116733092567518,0.00348050269579774,0.0058926836596927,-0.0229035920826188,-0.00383896634340862,-0.0273868453336203
0.1,0.0286680981319441,0.115089513901851,0.0109171177046735,0.0325434436656449,0.10158655912807,0.0971217960990839,2.09201757223298e-14,2.67905887466329e-14,3.30617084536418e-15,5.37228540861753e-16,0.0142376787127802,2.59959358858187e-14,2.08063464469635e-14,5.99678191156783e-15,1.04076553738679e-14,8.23161585572052e-15,3.96336936423357e-15,0.0163258568788583,1.22485714832363e-14,1.52385954299398e-17,0.0652810095115862,0.043918422334228,0.0118532566436161,3.37603585726778e-14,0.0173331391437004,0.00501585532278235,0.00188806623754368,0.0081255051847027,2.51061288852571e-18,5.49521565965015e-15,1.08428913392328e-18,2.27035612967743e-16,0.0220892441073864,3.01093248431701e-07,-0.0393214472114179,-0.227978075102696,0.00642046860690891,2.65720652266187,-0.00260636647570173,0.0772996352833395,-1.23974865099969e-06,0.000154901464184926,-9.12415669907444e-05,0.000178158732420557,-8.0558763903111e-06,0.000271982990995905,-0.000133071951572539,6.30353913776279e-06,-0.00207053509295175,-0.000468211846981916,-189.985673891735,104.208736597452,-206.789845955012,-0.634286931414195,0.347911705177382,-0.690389407535871,-0.445145281734224,-0.894427190942007,0.0429613576757994,-0.638486298549654,-0.105911243225679,-0.762310996328108,-0.0116655066036941,0.00349068404602532,0.00590210549739897,-0.0229264728500579,-0.00380301229305168,-0.0273727132443043
0.12,0.0287632632237837,0.11488577560891,0.011120250567719,0.0326700496196369,0.101676323863738,0.097281968890137,1.57037179602088e-14,2.00929415599741e-14,2.48554342063246e-15,4.11915360304572e-16,0.0141646322132516,1.94969519143635e-14,1.56047598352223e-14,4.50983470040739e-15,7.80574153040081e-15,6.17988461429138e-15,2.97252702317517e-15,0.0166325721604182,9.197036852105e-15,1.32630364756911e-17,0.0654977104959745,0.0435712493418774,0.0124426667972012,2.53450342768488e-14,0.0172744740526764,0.00512993307705233,0.00188387908368604,0.00755751955612059,1.88295966639428e-18,4.12516805710466e-15,8.13216850442456e-19,1.72149286725377e-16,0.0219089548022298,-6.6367634465956e-07,-0.0390767824459379,-0.227864844660409,0.00734818656351877,2.65740237992733,-0.00335526565323786,0.0779157263780612,2.38254379740301e-06,0.000150963832656836,-9.04609472958697e-05,0.000169373876341151,-2.07335609445119e-06,0.00027798565829217,-0.000132290369805053,3.72204838896837e-06,-0.00207482360201652,-0.000484120487686454,-189.826900549602,104.460573811997,-206.606580802099,-0.634052030889624,0.348914926080695,-0.690098830953108,-0.44521873231748,-0.894427177795723,0.0421936489769938,-0.639183802557816,-0.104923394447836,-0.76186294557832,-0.0116572485303208,0.00350071204631446,0.00591247330679426,-0.022951518503727,-0.00376754107270347,-0.0273566248437015
0.14,0.0285346458396093,0.114963110343363,0.0109281602470591,0.0323733943362092,0.102043027806658,0.0970844571176084,1.17777884701564e-14,1.53916207780013e-14,1.89117298624801e-15,3.08936520228429e-16,0.0143536701102111,3.85207850292292e-14,5.11759293121703e-14,1.98762158173164e-14,6.23307810989861e-15,4.63491346071851e-15,2.61917320299921e-15,0.0161481778060472,7.82021732392171e-15,9.2416655572973e-16,0.0651859412947887,0.0442423127309419,0.0119712469560691,1.90160077223475e-14,0.0172305830463318,0.00471928681921815,0.00159666432604527,0.00807031179056836,1.41221974979576e-18,3.76673061218064e-15,9.98409518931049e-19,3.81586395281003e-16,0.022234007257257,8.63253853279141e-07,-0.0389360875390186,-0.227811367998928,0.00798795388113822,2.65764127076051,-0.00401799747858677,0.0782584806065423,-3.09569715229049e-06,8.05570611744768e-05,-8.55403047407555e-05,6.87890300109928e-06,0.000111574281689727,0.000414561763706951,-0.000121723899073516,-3.9049954671472e-05,-0.00207185516333076,-0.000480301959813726,-189.826891400571,104.6408627318,-206.158080727422,-0.634574096548791,0.349804921948579,-0.689167782597123,-0.445205688800052,-0.894427079543938,0.0423331316887052,-0.639947568010207,-0.103964007906636,-0.761353134398099,-0.0116485065369997,0.00351057705493193,0.00592384275038541,-0.0229789434429118,-0.00373309186128031,-0.0273383187779198
0.16,0.0287531357374612,0.114812741887867,0.0110825233510649,0.0326602495490874,0.101744622887728,0.097279231511681,8.83334135261719e-15,1.15536732375639e-14,1.42639923365053e-15,2.31702390171322e-16,0.0143282911441284,2.8892396818817e-14,3.8386326658924e-14,1.4907161862987e-14,4.67768786919214e-15,3.47618509553886e-15,1.9680871607919e-15,0.0168371783669884,5.86516299294124e-15,6.93124916797297e-16,0.065829881332811,0.0436042985853838,0.0127915599156731,1.42620057917603e-14,0.0171750391490072,0.00504792795464079,0.00171492394697384,0.00718575679238302,2.12495545461862e-18,2.82504795913547e-15,7.48807139198288e-19,2.87515715039729e-16,0.0221348342406354,-9.89859453316243e-07,-0.0389374018564665,-0.227894148030383,0.00823913856555243,2.65793971338754,-0.0045372391380018,0.0782111065914743,3.40510419074248e-06,0.000134340215374994,-8.88815449291362e-05,0.000130339395411686,2.6063998826948e-05,0.000311121062009596,-0.000130032325006681,-6.76117653316741e-06,-0.00209117841612899,-0.000497868346556641,-189.843558541044,105.015750200322,-206.297967780636,-0.634124675053738,0.350778709496779,-0.689086491996299,-0.445321447061871,-0.894427190245431,0.0410951351912205,-0.64077851869212,-0.103051279168872,-0.760778104209362,-0.0116392956224528,0.00352026734856548,0.00593618429129411,-0.0230087808384705,-0.00370031801684017,-0.0273176708579253
0.18,0.0284762359422552,0.115086443841907,0.0106358862333551,0.0322888443035809,0.101852394317868,0.0968983350819872,6.62844138121553e-15,8.6713829064848e-15,1.07010025568155e-15,1.74172952962204e-16,0.0146913798697525,2.16709256642385e-14,2.87910678998614e-14,1.11841377306968e-14,3.50826590189409e-15,2.6076129595138e-15,1.47609046402279e-15,0.0162077192761665,4.40630197141709e-15,5.19843687597972e-16,0.0656886875421351,0.0445520103924131,0.0119682157798384,1.07008833919104e-14,0.017161581765658,0.00451640639209983,0.001435794899495,0.00796284371969642,1.59371659096396e-18,2.11977209490724e-15,5.44822287653103e-18,2.16091932858925e-16,0.0228173092438475,1.17658484667378e-06,-0.0391060270061788,-0.228195338183956,0.00801499839180634,2.65829719323869,-0.00484633788543469,0.0776724474462562,-3.91728313558269e-06,0.000181330991084638,-9.05571428700958e-05,0.00023787057543202,-4.80143312066918e-05,0.000218563628551768,-0.000136878925496535,2.15331609036613e-05,-0.0020985548669785,-0.000486676140276945,-190.130418487952,105.270509746586,-206.007149949025,-0.634931751242902,0.351546005311447,-0.687951362679939,-0.445292442131028,-0.894426960693775,0.0414131979576768,-0.641672739860596,-0.102204672506183,-0.760138342565154,-0.0116296698473991,0.00352977512564685,0.00594938950946175,-0.0230408901216103,-0.00366991845351217,-0.0272946985905489
