time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0381399899858961,0.0922461649439273,0.0449235629808036,0.0159864695450386,0.108377294348768,0.0332028825335305,1.02232754725178e-16,9.25196729850276e-18,0,1.17472104954058e-15,0.014489292456865,0.0315962733304473,6.90487902339964e-14,1.90984487692586e-19,8.7590152888091e-20,5.49261241274915e-17,9.91187760089921e-23,0.0136330507502385,3.31179662601844e-15,1.25141629708989e-13,-7.70371977754894e-34,3.98698416147308e-20,0,0,0,0.0522324362692571,0.042855190155476,0.0661385902951876,0.00449872682798857,0.0419031671759063,3.59609639215985e-30,0.0260403248642323,0.0366705959494412,-0.110550140561363,-0.0185630948450923,-0.15355329980639,-0.000581783632731916,2.65494752254593,-0.00124524030998875,-7.31597096443344e-05,-0.000130886213945924,0.000144023002462155,-0.000137734967928322,4.3167386607128e-05,-9.0399969581696e-05,0.0002750929989697,-0.000111449719868554,0.000587460220025194,-0.00105318360841259,-0.00042587544132649,-234.601362179775,66.0898908943664,-265.662920776207,-0.650711006898773,0.183312744010191,-0.736866082395057,-0.394754872590152,-0.912646407298272,0.106043037545563,-0.562938199378066,-0.220986515944043,-0.796407900169187,-0.0123302714207482,-0.000316961990089473,0.00556486392645417,-0.0202137263925923,-0.00793508234950165,-0.0285970492119817
0.02,0.0380038311032536,0.0919502096327563,0.0445768707324302,0.0160827165432509,0.107588329578257,0.0334880749099166,7.66745660438813e-17,9.44180224276828e-16,7.60828672078532e-17,1.02350695463472e-15,0.014775200043824,0.0309748136548731,5.17872008548501e-14,4.40703739334792e-19,6.5692614666068e-20,9.64240185267518e-17,7.43390819873551e-23,0.013917893935642,2.80161329585095e-15,2.62150763822346e-13,0,5.14594733572446e-16,1.71624901071342e-14,0,0,0.0518871938948225,0.0428531468744327,0.0659750327307407,0.00488259646252778,0.0421501041154895,2.77972289860064e-16,0.0258400194840613,0.0370277534909962,-0.110498420251591,-0.0185062194005469,-0.153566525980924,-0.000933734468199865,2.65416074363778,-0.0014592139190912,7.51737792763581e-05,0.000134474355343821,0.000129951528929468,-4.55303278174949e-05,7.79106832325526e-05,-2.92527466447102e-05,0.000295841010141251,-8.23718270490787e-05,0.000698327762391681,-0.00117358646483444,-0.000417983665203215,-234.20971417172,65.9779288019724,-265.467159785321,-0.650381608945629,0.183215421447743,-0.737181030744159,-0.394977917547546,-0.912574044578487,0.105835050013999,-0.562697149670134,-0.221316653195153,-0.796486570364876,-0.0123319301805416,-0.000314874024132841,0.00556130570132657,-0.0202050708903568,-0.00794693676633339,-0.0285998740652474
0.04,0.0373587724489138,0.0911483089532425,0.0436535416817674,0.0159213378326922,0.105999716671776,0.0330147802630387,1.06351056379813e-14,7.08135168207621e-16,5.70621504058896e-17,7.67630215976039e-16,0.0161089370556415,0.0304053599391041,3.90321235640782e-14,2.47300381459478e-18,4.92694609995512e-20,7.23180138950639e-17,1.77206957604281e-14,0.0145615329627378,2.10120997188821e-15,1.96728959612286e-13,2.20438844903548e-17,3.85946050179335e-16,1.28718675803505e-14,0,4.85638441972524e-14,0.0524917097540695,0.0428018949711878,0.0660728329007761,0.00394071652972656,0.0409234967122377,2.08479217395048e-16,0.0247206143674024,0.0383606865170495,-0.11023280408457,-0.0181547072271952,-0.153635371964613,-0.00112776139644433,2.65263660797762,-0.000976864368406372,-0.000139080205481024,-0.000248806074220951,0.000123792776747933,2.89386916628831e-05,0.000108317844732114,1.92521089106713e-05,0.000337206247111276,-6.03380297063031e-05,0.000830402053181679,-0.00108757600832799,-0.000136442048962792,-233.357453412287,67.0355840207281,-265.312131613477,-0.648866349747607,0.186397023410603,-0.737718516663967,-0.398278691772586,-0.91129123313532,0.104510153050433,-0.562473467801308,-0.221637320114971,-0.796555394402565,-0.0123334723857492,-0.000312802579843056,0.00555800163623932,-0.0201970390245136,-0.00795845112685735,-0.0286023453671925
0.06,0.0371067144351329,0.0898852016061538,0.0432659933522632,0.0158761710118266,0.104381515321837,0.0329869977741763,7.97632922848585e-15,5.33616929369475e-16,1.19164456403098e-16,6.94090968034521e-16,0.0175193956275467,0.0292355211037808,2.92740926730575e-14,1.85475286094609e-18,3.69520957496634e-20,5.85707130599052e-17,1.32905218203208e-14,0.0155839545387288,1.57590747891615e-15,1.57872717932348e-13,5.59688766148011e-17,5.0979004161115e-16,1.5897883225007e-14,0,3.64554930968408e-14,0.0520869745159403,0.04290195642373,0.0659602731660038,0.00475014973789176,0.0416317664805985,1.56359413046286e-16,0.0242288951348171,0.0401929812713723,-0.110163490365769,-0.0174753866619121,-0.153458426085232,-0.00082745444229241,2.65125538155926,0.00050602258218238,0.000187627471136276,0.000335576737517999,0.000128880138278197,-5.59230033393004e-06,9.46412861421249e-05,-3.85640934461896e-06,0.000332938618356214,-7.06945063202722e-05,0.000624189336701059,-0.00141509038671925,-4.67599632745566e-05,-233.286916183289,68.3500935549252,-265.800533570462,-0.647658392002692,0.189755655436057,-0.737923707776434,-0.401718311421224,-0.909889561155567,0.10355377718369,-0.562312020707842,-0.221943038415107,-0.79658425735545,-0.0123345714508718,-0.000310907611208014,0.00555566848480579,-0.0201912418564092,-0.00796942871920939,-0.0286033817648524
0.08,0.0362753032946753,0.0893034866249823,0.0422904076638077,0.0156387372825683,0.103155496007496,0.0322190786265038,1.01762461998237e-13,4.00212697027106e-16,1.03415138068051e-16,5.37480423922286e-16,0.018853816611199,0.0306106976983545,2.27345628937048e-14,1.69842528610123e-18,1.59866492459202e-18,5.05496884909945e-17,9.9678913652405e-15,0.0164353382661532,1.18193060918711e-15,2.0382452570534e-13,8.56453255484482e-17,3.82342531208363e-16,1.1923412418755e-14,2.62624643751345e-17,2.73416198226296e-14,0.0530994078971393,0.0427144204779466,0.0658994959381427,0.00354568936153031,0.0400541797465357,1.17269559784715e-16,0.0237846195489012,0.0414269521521996,-0.110167350454017,-0.0167557620968651,-0.153227284125895,-0.000618235481759491,2.65010786297949,0.00215327890846675,-0.000349985611733145,-0.000625935208820518,0.000123024232843757,0.000124847596726664,0.000150580008223819,7.97500389760804e-05,0.00042709955459526,-3.36412630684148e-05,0.000636717960219724,-0.00105144600328666,-3.91193164944553e-05,-232.578784075723,70.4930635377096,-265.906096889928,-0.645633311860001,0.195687109879252,-0.738149159481871,-0.407549277198702,-0.907491807183889,0.101794923984128,-0.56225354848014,-0.222229196248949,-0.796545749819831,-0.0123349289752389,-0.000309351482202472,0.00555496152720281,-0.0201891422625041,-0.00797970394331884,-0.0286019990539439
0.1,0.0363150951345315,0.0881481081817204,0.042255849678932,0.0156614034417615,0.102008841756382,0.0324445546967645,1.17553410180139e-13,3.00310514342224e-16,2.15804602819543e-16,4.14577086718072e-16,0.0198080122453656,0.0297077154824,1.70640106195566e-14,2.16381342288995e-17,1.19899869344402e-18,6.95799285435769e-17,7.49158834232739e-15,0.0173945453925307,9.03981160260641e-16,2.43093421283054e-13,6.42339941613362e-17,3.3630627796163e-16,3.86753300106951e-14,1.96968482813509e-17,2.05067323135752e-14,0.0520926547751,0.0427643620008866,0.0655163436645367,0.00454811958310918,0.0417575866649971,1.39596551213892e-16,0.0239987902297574,0.0429130406933879,-0.110275378645448,-0.0160110583432893,-0.152972877118967,-0.000609583417696686,2.64928168976824,0.0039285692324882,0.000192565287985788,0.00034436625011198,0.00013271257909986,-4.18697006236387e-06,9.7240769447642e-05,-5.82217643285466e-06,0.000359341604654085,-7.06610421893982e-05,0.000499179272617307,-0.00151303447826882,-0.000155842151193216,-232.843902916187,71.6206737989586,-266.356672021987,-0.64506952797468,0.198417539227354,-0.737913127817553,-0.410344716228863,-0.906283206896452,0.10133095657565,-0.562332819874427,-0.222492924762948,-0.796416158878325,-0.0123342867775448,-0.000308292058271244,0.00555644620495185,-0.0201919887033331,-0.00798917378570968,-0.0285973457619175
0.12,0.0356623581666413,0.087899488073414,0.0416188031515713,0.0155284035731447,0.101385987559978,0.0318365581960325,8.81650576350938e-14,2.25232885756668e-16,1.61853452114657e-16,3.57327565842851e-16,0.0205920203813813,0.0318302233504691,1.27980079646672e-14,1.62286006716746e-17,1.41689193766553e-18,1.52771292335916e-16,3.41344234999094e-13,0.0180553079696203,6.93383086207719e-16,1.82320065962246e-13,4.81754956210021e-17,2.79297195956056e-16,2.90064975080202e-14,8.69286781908686e-17,1.5492190574937e-14,0.0527774636112162,0.0425443999414238,0.0651662889414007,0.00361166818515391,0.0405903389673435,1.04697413410419e-16,0.0241484052926538,0.0435049898026473,-0.110521830588942,-0.0152569742028869,-0.152727506722391,-0.000880552052525599,2.64885003775627,0.00579755236124673,-0.000324917964079625,-0.000581124065064282,0.000134518952241708,1.07941725124225e-05,0.000105652309827922,2.28468029343397e-06,0.00038095063927654,-6.7245331614715e-05,0.000487110590172412,-0.00111012891751023,-0.000400988344734529,-232.34320399527,73.5932699876511,-266.255176622048,-0.643683698218632,0.203882822372622,-0.737633439717153,-0.415675543436789,-0.903996359081342,0.100022124333609,-0.562577511341504,-0.22273391733373,-0.796175951534566,-0.0123324338905743,-0.000307874481080335,0.00556058057858588,-0.0202007749721838,-0.0079978272362906,-0.0285887205069079
0.14,0.0358366529691596,0.0872733121166856,0.0417942260781755,0.0155412550252259,0.101031993974542,0.0320686161622302,8.52092397759941e-14,1.6986397461049e-16,1.66653139744283e-16,1.56477603170697e-15,0.020866181669906,0.0319338858912398,9.705778235423e-15,1.76528997944102e-17,1.06266895324914e-18,1.19588959466126e-16,2.56008176249233e-13,0.0186597583634858,5.50569761986322e-16,1.36744330293383e-13,1.39078923175742e-15,2.1113501462049e-16,7.18535548692626e-14,9.14716981289614e-17,1.16191429312025e-14,0.0517067035881524,0.0423848776690414,0.0645523801834354,0.00468132078563796,0.042223806561823,7.85230600578144e-17,0.0249542898027306,0.0441533826274524,-0.110939526457124,-0.0145139880780087,-0.152522764084495,-0.00147430860900945,2.64886532044803,0.00771779480883106,9.07879678272731e-05,0.000162377909519733,0.000125611973254845,0.000102042158414834,0.000137735021729727,6.53632372273924e-05,0.000435883132663469,-3.84559886577463e-05,0.000650637520433095,-0.00142882267445028,-0.000680832202800449,-232.695699131012,74.4467165337328,-266.314425932601,-0.64386555893017,0.205992963903128,-0.736888078914257,-0.417838111702361,-0.902996970753044,0.100038908529789,-0.563007808671138,-0.222954945425582,-0.795809838897207,-0.0123292089659546,-0.000308221695044603,0.00556770818137603,-0.0202162258911271,-0.00800576381152875,-0.0285755743024247
0.16,0.0356704660254279,0.0873462488619626,0.041746635755503,0.0155582256973822,0.101197152101748,0.0318638158740702,8.37478320659279e-14,1.27397980957867e-16,1.50607089183294e-16,1.17358202378023e-15,0.0208028275835074,0.0339810550270876,7.27933367656718e-15,1.32396748458077e-17,7.97001714936858e-19,1.07047192257262e-16,1.92006132186876e-13,0.0189630605307722,4.12927321489741e-16,1.02558247720024e-13,1.04309192381806e-15,1.74850030157429e-16,5.38901661519431e-14,1.67961270978261e-16,9.07114690074636e-15,0.0515102923832709,0.0421768800824103,0.0638637114925204,0.00456417422684179,0.0422319638672685,1.92683780599987e-16,0.0257867761523109,0.0439397797644845,-0.111555731979312,-0.0138100437776052,-0.152388653141838,-0.00239727791337872,2.64935431955141,0.00963298710377984,-0.000111054478179413,-0.000198519500763929,0.000130746768701487,-5.71356616697778e-05,7.07634636335777e-05,-3.83281360110113e-05,0.000308519187907273,-8.35834938106537e-05,0.000595019588681971,-0.00121309488092265,-0.00113955894524205,-232.570633857737,75.5902045239546,-265.851662846342,-0.643847124458684,0.209263461223408,-0.735982122149094,-0.421068844096245,-0.901527604179819,0.0997447113046455,-0.563636685608439,-0.2231619006095,-0.795306514969348,-0.0123244987258918,-0.000309423836788961,0.00557806030598021,-0.0202388073154456,-0.00801319506325025,-0.0285575011779222
0.18,0.036087928070628,0.0873729092031198,0.0422427023475957,0.0156017697868478,0.101757483717636,0.0321749770441666,7.53540000866711e-14,9.55484857184005e-17,1.92864755902847e-16,8.8018651783517e-16,0.0201653204375895,0.0348767246752145,5.45950025742535e-15,1.01506939107519e-17,1.29139136042014e-18,8.02853941929468e-17,1.44004599140129e-13,0.0190503772233636,3.09695491117306e-16,7.69186857900098e-14,7.82318942863536e-16,1.57004247908472e-16,4.04176246139551e-14,1.25970953233696e-16,6.80336017555971e-15,0.0502551889327339,0.0418501518241019,0.0630408256385339,0.00567033500409742,0.0439067557157343,1.4451283544999e-16,0.0271878457606054,0.0434923662858033,-0.112389039086895,-0.013180682283999,-0.152353592826243,-0.00362215995860536,2.65031561547639,0.011474110178318,0.000231990771061233,0.000414612290437671,0.000120114009408951,8.89942604750673e-05,0.000129173207308687,5.28548256535128e-05,0.000415245765253087,-3.83498901483515e-05,0.000277549176601985,-0.00141801177384863,-0.00157183969499558,-232.977009409274,75.762878670826,-265.320551687513,-0.645137268140093,0.209795192650372,-0.73469985871615,-0.421730808348538,-0.901135803499462,0.100485764867803,-0.564470747974214,-0.223363331702148,-0.794658163446615,-0.0123182333186112,-0.000311526924179996,0.00559176605521008,-0.0202687564439197,-0.00802042795843884,-0.0285342204691318
