time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.00740748818562028,0.0723990532863585,0,0.019956917720977,0.0630293233066478,0.0581442880254038,2.64238887687307e-15,0.0062290335146334,1.49627460547566e-16,0.0132990581141767,5.66968556224545e-16,3.88525237268268e-15,0.0246182263916276,0.0344827375988844,4.70338412582487e-16,4.49686750902986e-15,2.30341221348713e-31,1.33802315647384e-14,3.42622679994453e-17,1.02501614006616e-14,0.0445479769988742,0.0292948713818522,0.0378253322443269,0,0.0123300759687038,0.0108892548509674,0.0151424145167811,0.0283682323141629,0.00887097612499656,0.0101879162741285,7.67779187857892e-18,0.0215205654118725,2.21201840782769e-17,-0.0522954570076176,-0.00612191351929545,-0.342102306646293,0.00121409984547395,3.02532073506678,-0.000214249327303784,0.0696528966622683,-0.00313720503745686,0.00010035578669943,1.07429299377568e-05,0.000122699841915028,4.58255998670365e-05,0.000181308576468387,-9.63762347180851e-05,-0.00019272078598016,0.00186670350135717,0.00155355549551324,-208.683867826742,157.148060145217,-128.651163752855,-0.716641972858259,0.539662682248238,-0.441801394436981,-41.5198243098787,4.25875922209677,-20.3183901509895,-0.830026225738856,0.107056070121009,-0.547353142345921,-0.0106335020730343,0.00258809948007618,0.0111823423863551,-0.034462543065269,0.00444494922273035,-0.0227260063056627
0.02,0.00755789192708947,0.0722759902966115,8.13508020207755e-18,0.0198320828014662,0.0630747684476645,0.0577865638972066,5.68570557363809e-15,0.00609070703218355,2.08172045199202e-15,0.0129330106763198,2.65967045480247e-15,2.913939279512e-15,0.024328083396879,0.0346048360991205,3.55922753644817e-16,3.37278661181672e-15,1.97215226305253e-31,3.17522400921216e-14,2.5696700999584e-17,7.68762105049615e-15,0.0446732561258891,0.0292904774503718,0.0378438962450557,0,0.0122894838153993,0.0108922819661264,0.0151424232863563,0.0283353675565107,0.00891625078848707,0.010274951705368,5.75834390893419e-18,0.021470826726592,3.07105166559195e-17,-0.0526715305392761,-0.00616638876664624,-0.342294559314344,0.00222895574219748,3.02539057743619,-0.000586995105480216,0.069864484614789,-0.00316005358893282,0.000101764091353234,6.64905516320506e-06,0.000124765891248222,3.56139439317937e-05,0.000177521734714866,-9.52130163059032e-05,-0.000188955426160627,0.0018714168889721,0.0015392532043927,-208.629867688873,157.292647621078,-128.27384154153,-0.716769417258752,0.540395105568383,-0.440698005850135,-41.5198243098787,4.2528278513804,-20.3196314049894,-0.830565388517013,0.107924490667879,-0.546363834556847,-0.0106199867604122,0.00258466223326145,0.0111959728853857,-0.0344849290090925,0.00448100589126349,-0.0226849304200719
0.04,0.00770477213229233,0.0721721814135662,8.33523802425744e-17,0.0197186809840173,0.0633538008395281,0.0575335612254038,5.15001064087786e-15,0.00589252423109587,2.00288985789629e-15,0.0124559567269543,2.59188230943644e-15,1.40328307201684e-14,0.0234956666745405,0.0347588677040431,2.61307998169033e-15,2.53570498284924e-15,2.47790052087598e-16,2.54607833886756e-14,2.47585836227513e-17,1.78319851668465e-14,0.0443351786795465,0.0292500025975694,0.0377995201694281,0,0.012232781454059,0.0109445279965025,0.0151921792229894,0.0282888631633645,0.00899477115347394,0.0104734228534389,9.56832239573267e-18,0.0214327984015521,4.68746491032819e-17,-0.0532155243685483,-0.00597794915991901,-0.342117502500457,0.00416789988564073,3.02545856212243,-0.00133749292907934,0.0709194601090877,-0.00322691006468011,0.000116820433258988,5.67044753267771e-06,0.000144081119459179,2.76509216190624e-05,0.00017364897252962,-0.000105239014295505,-0.00018404423105381,0.00187398698255788,0.00150069572808512,-208.081591157442,157.135545850616,-127.766021542702,-0.716612906469675,0.541159646056856,-0.440013840419484,-41.5198243098787,4.22431599523845,-20.3255785250687,-0.831097458303235,0.108797811531412,-0.545380647812037,-0.0106065383091519,0.0025812940986179,0.0112094902816589,-0.0345070204531371,0.00451726602008352,-0.0226441086791636
0.06,0.00781937795156516,0.0720564738300428,1.83454608930662e-16,0.019619896392067,0.0636101956533981,0.0573243708428345,3.86250798065838e-15,0.00570981805643017,1.70495364346628e-15,0.01202737920079,3.05909837667062e-15,1.08528680072126e-14,0.0227379513832543,0.0348799695244228,2.05000258840469e-15,1.94252286002917e-15,3.07171965100591e-16,2.00241423114155e-14,3.51628333874134e-17,1.33766923449098e-14,0.0439219173795065,0.0291821659400057,0.0377233821160788,3.42620740403825e-15,0.0121787440830458,0.0110022131025868,0.0152474228151868,0.0282583150396875,0.00905598361770974,0.010645430384202,1.64293904241994e-17,0.0213928245850696,1.64174196013635e-15,-0.0539326958839728,-0.00559755165552494,-0.341916153845434,0.00592327522399042,3.02547250460958,-0.00200096238888787,0.071906381987298,-0.00328962856003982,9.91281816096391e-05,8.68886672437729e-06,0.00012122676530562,3.90554269575068e-05,0.000177071591264,-9.36905522811466e-05,-0.000199251527040608,0.00187449041013973,0.00146638688150718,-207.494371634916,156.951854160468,-127.234983362436,-0.716450298349327,0.541933749111993,-0.439325370959361,-41.5198243098787,4.19586146248695,-20.3314726565109,-0.831630672394948,0.109683082226294,-0.544389608832926,-0.0105929314351006,0.00257817103065117,0.0112230675062408,-0.0345291594085445,0.00455402230380172,-0.0226029609148667
0.08,0.00791726973931033,0.0718984737225715,1.38528982139572e-16,0.0194905891983085,0.0638732800752904,0.0570713232000241,1.0954621458592e-14,0.0055247237141047,3.32135021965572e-15,0.0116010997023444,3.03566101440389e-15,8.13965100540933e-15,0.0219593630807261,0.0350696196883359,1.60712051959374e-15,1.45689214502188e-15,9.01476890966043e-16,2.33214036138298e-14,4.46997978418119e-17,1.129393238697e-14,0.0438878464365672,0.0291070886595006,0.0376667831757043,4.95319691216874e-15,0.0120958945047564,0.0110493903179544,0.0152921280923194,0.0281977520479928,0.00913133994062858,0.010830392768077,1.78493984911019e-17,0.0213126849528976,1.23166728210105e-15,-0.0547426829692972,-0.00522341605766489,-0.341656154647421,0.00748157713640232,3.02550807790162,-0.00248818272163406,0.0726838611104185,-0.00334053071689321,0.000125519896247194,-3.40611997668949e-07,0.000154287832759621,1.65099876704164e-05,0.000174503526137747,-0.000110445543370539,-0.000141954997852602,0.0018795421510933,0.00143322616412706,-207.126274990629,156.912090595042,-126.774556831482,-0.71638482598359,0.542709710396406,-0.438473432880386,-41.5198243098787,4.17563604838397,-20.3356384138698,-0.83217425893024,0.110582482709118,-0.54337603672944,-0.0105789390541893,0.00257544564127264,0.0112368827856425,-0.034551729025987,0.0045913652538328,-0.0225608775792045
0.1,0.00797491014823213,0.0717686921422878,1.11189098852153e-16,0.0193957741498354,0.0640732662953092,0.056891942333691,1.10776325638475e-14,0.00538066502712267,2.49101266474178e-15,0.0112793775622246,2.27674576080291e-15,8.49002978102229e-15,0.0214878453721437,0.0352218884079305,1.20559574199921e-15,1.11971905986824e-15,8.4658206532854e-16,1.7491052710372e-14,1.06734542921809e-15,8.47044929022737e-15,0.0438582311612107,0.0290426742839979,0.0376262365307659,4.02039584028236e-15,0.0120436355058416,0.0111087378442984,0.0153560643818815,0.0282000433437626,0.00918047436741165,0.0109550062949224,1.39944919144019e-17,0.0212684796813977,9.24063562993865e-16,-0.055641928959413,-0.00489990391734555,-0.341378745791226,0.00874054148439418,3.02558296944139,-0.00274769206025426,0.0731539150518961,-0.00337552658501315,0.000177634690202097,-8.03264233319451e-06,0.000221132715490387,-1.52601603593893e-05,0.000164403421951286,-0.000144777523274639,-8.6523037830757e-05,0.00188295367367117,0.00141487374295572,-206.958273635999,157.005559959202,-126.382371103867,-0.71640180785999,0.543486689479601,-0.437482191698635,-41.5198243098787,4.16190787953879,-20.3384498214199,-0.832737455035739,0.111492050552622,-0.542326335008887,-0.0105643583116206,0.00257324195667224,0.011251096204272,-0.0345751128293394,0.00462913035089298,-0.0225172941481894
0.12,0.00798567167907519,0.0716023166534363,8.33918241391151e-17,0.0192725826322798,0.0642189267960452,0.0566575976745901,8.31361626485469e-15,0.00524711336011683,1.86825949855633e-15,0.0109997874780928,1.70755932060218e-15,2.90520638639064e-14,0.0211156690605787,0.035418300359023,9.04196806499408e-16,8.43578986737487e-16,6.34936548996405e-16,1.75125637948429e-14,8.06220838662541e-16,6.35283696767047e-15,0.0442775558951462,0.028980798270599,0.0376157290581712,3.01529688021176e-15,0.0119740138699809,0.0111394164325644,0.015392016644051,0.0281678803043881,0.00923239195691092,0.0110577432758246,1.04958689358014e-17,0.0211717402517793,7.01893128014755e-16,-0.0566098986916124,-0.0046447305883183,-0.341132712239816,0.00962184173423188,3.02569601893921,-0.00276117304340953,0.0732356490743365,-0.00338819311022626,0.000124846856576319,8.36623987566306e-07,0.000153491748601398,1.79950981253581e-05,0.000173372881148059,-0.000110067521977012,-0.000153340807201598,0.00189009317387003,0.00140321336142699,-207.079990944845,157.277688431069,-126.062313226397,-0.71658651884501,0.54424896741872,-0.436230240209511,-41.5198243098787,4.16109298996594,-20.3386152249714,-0.833328332069375,0.11240170914456,-0.541229846508723,-0.0105490350648677,0.00257165784413953,0.0112658262739374,-0.0345996459399647,0.00466689921581223,-0.0224717681383048
0.14,0.00796948541291721,0.0715310001461317,6.25438681043363e-17,0.019282249169907,0.0641681582186264,0.0566761276486903,6.46066163614753e-15,0.00523773330043763,1.40119462391724e-15,0.0109862551849073,1.28066949045163e-15,3.898104496883e-14,0.0215475628608638,0.035385414215077,6.82339774570903e-16,6.32684240053115e-16,4.76202411747303e-16,1.39320487290001e-14,6.18552859696627e-16,4.76462772575282e-15,0.0440901851022224,0.0289421292407403,0.0375872753828481,2.26147266015881e-15,0.0120132657764116,0.0112099088172049,0.0154707904837218,0.0283129831917295,0.00919914318045096,0.0110026855112436,9.17763332775717e-18,0.0212124039427755,5.26419846011066e-16,-0.0575967087174961,-0.00450152671094951,-0.340995146125022,0.010060467193608,3.0258457302623,-0.00251606557831423,0.0728875215460006,-0.00337934542077692,0.000171257505575203,-7.79733211541956e-06,0.000213141733695354,-1.25437965020939e-05,0.000164659318742837,-0.000140311751498478,-0.000100219734749998,0.00188243101390254,0.001419834414303,-207.285231447946,157.597761651297,-125.762965217675,-0.716822887885853,0.544996292510105,-0.434906873426053,-41.5198243098787,4.16293421522518,-20.3382381653748,-0.833952574374897,0.113296455557382,-0.540080565148956,-0.0105328847453071,0.00257077223066126,0.0112811291802642,-0.0346255643708168,0.00470404892967447,-0.0224240501781646
0.16,0.00791312014113332,0.0712825570376471,1.06537078856254e-14,0.0191260333252511,0.0640965645854722,0.0563474227835861,4.84549622711062e-15,0.00517017110606328,1.05089596793793e-15,0.0108647279295425,9.60502117838726e-16,2.92357837266214e-14,0.0216168807044432,0.035573862435715,8.80560066016392e-16,4.74513180039836e-16,3.5723536015908e-16,1.04490365467499e-14,4.7383825027026e-16,6.39400806572205e-14,0.0452821915052903,0.0288816163429567,0.0376166205003121,1.69610449511911e-15,0.0119221338256387,0.0111578928626861,0.0154339730968051,0.0282191709807899,0.00922271115382886,0.0109953245751758,6.88322499581788e-18,0.0210399453717049,3.948148845083e-16,-0.058582887931695,-0.0044355218115609,-0.341018055050537,0.0100220220605905,3.02602954186164,-0.00200844508967888,0.0720262244720594,-0.00333768295697071,0.00013658534502244,-2.1071337994267e-06,0.000168475560815275,9.33569724239768e-06,0.000171604809341909,-0.0001176550016289,-0.000136745599653415,0.00189477000625551,0.00143053092461847,-207.956619618221,158.181634286675,-125.543918928206,-0.7173961284842,0.54568540421024,-0.433093794076743,-41.5198243098787,4.19059435815189,-20.3325572905254,-0.83461240132544,0.114158380688892,-0.538878468369513,-0.0105159073974575,0.00257065335932989,0.0112969836423681,-0.0346529602698782,0.00473983590970303,-0.0223741393310787
0.18,0.00784049744010392,0.071148576097847,8.07204378223443e-15,0.0191319219326523,0.0637556668011225,0.0563033590083379,3.63412217033295e-15,0.00525929015490389,9.80555083346204e-16,0.0110677754394513,7.20376588379043e-16,2.37151959466869e-14,0.0226504100406966,0.0354590957372085,6.7422986297889e-16,4.17632723075948e-16,3.03160151626349e-16,7.83677741006234e-15,3.55639070913557e-16,4.79952790911116e-14,0.045693562186965,0.0288407953123216,0.0376065147064799,1.27207837133933e-15,0.0119582620644083,0.0111551630800359,0.0154376004915421,0.0283160222357371,0.00913771243532195,0.0107929340353075,5.16241874686341e-18,0.021023664754419,3.11543423113974e-16,-0.0594913058951248,-0.00449923736585305,-0.341287561482766,0.00950592021659091,3.02624607789194,-0.0012407955913515,0.0706720445286279,-0.0032709283148431,0.000143088157139474,-9.83047554266442e-06,0.000175642575921649,5.75792901147131e-07,0.000183284126040188,-0.000122327770082631,-5.52826254390856e-05,0.00188697532811221,0.00147409279021474,-208.649773869689,158.757604946916,-125.314180177269,-0.718022023562286,0.546329165116081,-0.431241019643408,-41.5198243098787,4.22023827544808,-20.3264265315312,-0.835305834265238,0.114969115871801,-0.537630231328291,-0.0104981945752021,0.00257136485656175,0.01131328422419,-0.0346817514837093,0.00477349749205924,-0.0223223127484301
