time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0073120160035758,0.0454279515087851,0.0375581352323627,0.014399891011389,0.153881909828883,0.0771426569769982,4.8208777272308e-16,1.32987921832356e-16,1.44410013743407e-15,3.08628999926662e-16,3.34141998946408e-15,3.77336401410802e-15,4.61975758049621e-15,0.0203246902287328,2.99782387657819e-16,2.61011204318199e-17,1.18730328506881e-15,6.54878952906179e-17,5.38681291241724e-16,0,3.77889376726616e-18,0.0270931628160156,0.0577703946599981,4.85694422328768e-16,0.0145535019300761,0.0196750788572754,0.0294597217056747,0.124164283281211,1.63656346332238e-15,2.66952059709244e-15,1.28028210445004e-16,0.0899188657060698,3.3703173485938e-18,-8.79043563990332e-07,-0.00253127635602883,-0.157067003500351,-0.00160763596886732,2.65683585752862,-0.00196259778131093,0.0377291575205067,-0.00840821524110502,6.15061291787469e-05,-2.78071032603609e-05,8.75281914325702e-05,4.23978786402333e-05,0.000420267494965554,-8.80907622377879e-05,9.25391259444691e-05,0.00954745539435222,0.0006432532986332,-338.290933810545,8.60018616959884,-231.952585870216,-0.824568476565472,0.0209625553016358,-0.565373680612851,-0.110376611402,-0.989082313284533,0.0976380110568023,-0.762477723984374,-0.0899486651454886,-0.640731580356512,-0.0105494284943622,0.000483502330700783,0.00846047000295955,-0.0273787000244332,-0.00322983536849792,-0.023007095398267
0.02,0.00811958920835328,0.0479687744281565,0.0372869564897494,0.0148195383423362,0.15285945300635,0.0767342008509135,8.51442836217313e-16,1.01164055585374e-15,3.18901751019093e-15,2.31471749944996e-16,3.12192937479933e-15,2.830023010581e-15,3.46481818537214e-15,0.0199732138979045,4.28698433817063e-16,1.95758403238649e-17,8.90477463801604e-16,4.91159214679635e-17,4.04010968431293e-16,7.91140032370498e-17,2.83417032544962e-18,0.0266680967431217,0.0575620571562561,1.27013816578094e-15,0.0141760282670345,0.0197217918670896,0.0294368542258497,0.124067251230741,1.22742259749178e-15,2.00214044781932e-15,9.6021157833753e-17,0.0897243167251009,2.52773801144535e-18,-5.5917843421442e-07,-0.00349652668254043,-0.157863980328638,-0.00496367193080455,2.65789447164112,-0.00430946559821386,0.0375642619994968,-0.00836503267334648,4.64060490393221e-05,-8.20515066733084e-05,6.0919573146917e-05,5.1913299168737e-06,0.000300059851532957,-0.000102155161780765,-4.47089372793824e-05,0.00953613085603696,0.000640709920802098,-337.640356392325,8.11506056740568,-231.997460825086,-0.82402870614622,0.0198052239107562,-0.566201770178115,-0.109713239784696,-0.98914741991935,0.0977260798499459,-0.761754729108516,-0.0904399079663154,-0.641521905883077,-0.0105593050514759,0.000500118863640396,0.00844717270360562,-0.027352739056391,-0.00324747469015612,-0.0230354740444003
0.04,0.00895024877362662,0.0506382238823112,0.037070657069378,0.0152855648846947,0.152070841980857,0.0767451252839742,6.38582127162984e-16,7.58730416890302e-16,2.39176313264319e-15,1.73603812458747e-16,6.70548653547329e-15,9.70916602318433e-15,2.5986136390291e-15,0.0199412606529002,3.65433293069916e-16,1.77675703706302e-17,6.67858097851242e-16,3.68369411009725e-17,6.23638513163312e-16,5.93355024277873e-17,7.69759850163599e-16,0.0264790328596069,0.0575935406865405,9.52603624335704e-16,0.0140447251521942,0.0196536268847797,0.0293791828175854,0.124461592407938,1.58947491970594e-15,1.50160533586449e-15,7.20158683753147e-17,0.0896896268090024,4.07582210103435e-18,-6.46308513479836e-07,-0.00538206297423061,-0.158909791193061,-0.012569532451936,2.65988947753501,-0.00864682919664747,0.0370114891189893,-0.00833268624279532,7.4840921022872e-05,-6.00965928906847e-05,9.91088552865329e-05,1.957286749511e-05,0.00038005717489801,-0.000114368275091723,2.25000521767138e-05,0.00958797776491131,0.000646327470658855,-337.644531156481,8.03098094647793,-232.576811515632,-0.823375582998948,0.019584246178106,-0.567158801944197,-0.109966249723783,-0.989131839923515,0.0975993195222663,-0.7610598471824,-0.0909146739827366,-0.642279091253416,-0.010568764026435,0.000516029441998384,0.00843437663973792,-0.0273277875552401,-0.00326452237028698,-0.02306266270902
0.06,0.00955795730827144,0.0530230731160607,0.0366480472395075,0.0157454706227722,0.151624504060687,0.076690568888766,5.05852099080231e-16,6.52505329407931e-16,2.06819104831449e-15,3.20542824953217e-15,5.02911490160494e-15,1.45905848787652e-14,1.94896022927182e-15,0.0200133354379632,8.06188076174125e-16,7.69704410054199e-17,5.46570724674099e-16,1.58448809799137e-15,1.70932748714001e-15,4.45016268208405e-17,5.95817223654163e-16,0.0265586364734457,0.0578474915859083,2.60525320888628e-15,0.0141475361738697,0.019941220333892,0.0301853266163507,0.124703385045638,1.93942113806866e-15,1.3601011654881e-15,5.40119012814862e-17,0.0894407766140792,1.16335139272437e-15,-2.91935378465782e-07,-0.00708075068096253,-0.159970623741636,-0.0205434514110051,2.66154987384565,-0.0122740122352775,0.0365049668580302,-0.00827825381763015,7.86595957864963e-05,-7.26423599078611e-05,0.000102451899708547,5.04704421679244e-06,0.000358853062509195,-0.000120343733005947,1.89145910660847e-08,0.00955415360263582,0.000625899960535996,-338.346744313434,8.01550082553025,-233.652642016463,-0.822703902181065,0.019490017025228,-0.568135924381133,-0.110311242509501,-0.989117980009052,0.0973501484273274,-0.760428052485392,-0.091354073014615,-0.642964703803338,-0.0105773329515717,0.00053042712289416,0.00842273372672589,-0.0273051013613457,-0.00328030010897547,-0.0230872813696665
0.08,0.0100638373693888,0.0549097722791369,0.0362831986212985,0.0161157802642986,0.151305198158032,0.0769213981942338,4.98884197702311e-16,4.89378997055948e-16,1.59061241981093e-15,4.6194398446178e-15,3.77252666471558e-15,1.09429386590737e-14,1.95849236365149e-15,0.0200938873224108,6.04641057130594e-16,6.87892131988446e-17,6.42084549032662e-16,2.01710503509479e-15,1.90884564250807e-15,6.49781566727311e-17,5.40003379915782e-16,0.0264640044841039,0.0578663888722025,4.4966819586066e-15,0.0141079179122489,0.0198405710944434,0.0302704045692476,0.124731646028368,1.46818832741315e-15,1.03991953443627e-15,4.05089259611146e-17,0.0892638410926967,1.27482762747562e-15,-2.77888476539872e-07,-0.00844510737898253,-0.160907717186015,-0.0272399762653532,2.66276094702195,-0.015041542120841,0.0359968099458945,-0.00823737318510548,6.94480801758813e-05,-7.01749211469598e-05,8.72882180303513e-05,6.52584297804483e-06,0.000345420275684207,-0.000109385132756955,1.31439713889623e-07,0.00956086203326067,0.000617868206230995,-338.174391319985,8.20254592924644,-234.029590958372,-0.822132386216466,0.0199411275098021,-0.568947001897064,-0.111147193674397,-0.989043811966569,0.0971526600199066,-0.759889558812132,-0.0917424803189777,-0.643545783696253,-0.0105846087062945,0.000542613876875798,0.00841281150672524,-0.0272857653777734,-0.00329424686012497,-0.0231081465196609
0.1,0.0101404073971129,0.0565571055520049,0.0358862092451092,0.0165747769621617,0.151276036792826,0.0772109286254688,4.29411212742565e-16,8.02523290931009e-16,1.37052510363153e-15,4.6079883648615e-15,3.78406743095581e-15,2.19414788314289e-14,6.2195444174384e-15,0.0203677170902926,5.30704246694651e-16,5.25036361743472e-17,6.54598483599979e-16,1.51282877632109e-15,2.00703066480092e-15,4.46699902354585e-16,7.15217636666338e-16,0.0267427511914114,0.0583102011520604,5.1040600510375e-15,0.0143648226972002,0.0202970184102031,0.0314269836715689,0.124786549079932,3.91796939792475e-15,7.79939650827201e-16,3.0381694470836e-17,0.0885255119130014,9.56120720606713e-16,2.13520328329902e-08,-0.00944044522225794,-0.161750276309249,-0.0323905326937116,2.6635529984626,-0.0165910579133014,0.0355938114928188,-0.008136540222317,0.000136992497170961,-7.57660793919602e-05,0.000168994381637101,1.20979772042239e-05,0.000413882069265162,-0.000173851286286632,-1.07575385300394e-06,0.00949870697944689,0.000552282729574703,-339.062194662749,8.60401607875961,-235.18111426604,-0.821507756551996,0.020846517416162,-0.569816135816216,-0.112375401416844,-0.988949170190179,0.096702160971513,-0.759467785576495,-0.0920690229053402,-0.643996877083105,-0.010590282722493,0.000552054986342781,0.0084050529969866,-0.0272706205380835,-0.00330597220138544,-0.0231243441738784
0.12,0.010349669226462,0.0575934771818976,0.0355189064753031,0.0168216568875788,0.151445433274357,0.077689197371387,1.26125422644266e-15,6.01892468198257e-16,1.02789382772365e-15,3.45599127364611e-15,2.83805057321684e-15,1.69396078753979e-14,4.66465831307877e-15,0.0204954978627638,4.3378666045873e-16,4.70379808058235e-17,4.90948862699984e-16,1.13462158224082e-15,1.50527299860069e-15,3.35024926765938e-16,5.36413227499753e-16,0.0270058631803256,0.0588273066046642,9.95476014470842e-15,0.0144824262406076,0.0203511528627556,0.031660398133355,0.125541943151555,2.93847704844355e-15,5.849547381204e-16,2.2786270853127e-17,0.0887388361287294,8.21118317396949e-16,4.28072193840232e-08,-0.00994584873066514,-0.162357264812835,-0.0354732488530955,2.66381577477108,-0.0170235182816116,0.0348995312681764,-0.00815382843509414,5.14333328015509e-05,-7.18814061765247e-05,5.89794281604195e-05,3.57926439815272e-06,0.000330961967349088,-8.95489773451838e-05,-5.34164039211096e-07,0.00955020489434372,0.000546267785167742,-340.302898553771,8.34605350082857,-236.302317668368,-0.821224991770492,0.020140844367363,-0.570248945005358,-0.111932523538831,-0.989008565790109,0.0966083172818038,-0.759178164665208,-0.0923283933400729,-0.64430115790584,-0.0105941546737452,0.000558416810989996,0.00839975155265912,-0.0272602209633792,-0.00331528555586699,-0.023135270149952
0.14,0.00988306727435991,0.0582094270407826,0.0355171370282649,0.0172190264145911,0.151585951797991,0.078460568259846,1.07682542630257e-15,5.74634830110298e-16,9.82642129072508e-16,2.96929407718919e-15,5.94968323041018e-15,1.71520553481485e-14,3.49849373480906e-15,0.0207022843948591,3.25339995344047e-16,1.67699742003931e-16,3.68229097762766e-16,1.14174555632944e-15,1.24499601824819e-15,5.07427752261143e-16,5.1309969263202e-16,0.0272421544891414,0.0586262056041072,7.93006649291936e-15,0.0146418485234544,0.0201978391716939,0.0316639132802795,0.125628525633191,4.55437386077904e-15,2.57928042032e-15,1.29026922843778e-16,0.0880470689937556,6.49098720414001e-15,-8.8453794722703e-08,-0.00994448573693438,-0.162716879412159,-0.0363882298676666,2.66359314067876,-0.0163510617553327,0.034865681461443,-0.00806217980948563,-7.56765773656882e-05,-8.16328373567369e-05,-0.000114513151172072,-2.24033812421187e-05,0.000226557774183524,3.9127945624328e-05,-2.94386854921478e-06,0.00959310926355776,0.000495594067314871,-340.194116897162,8.69366680972378,-236.448163426046,-0.820960454902272,0.0209796592721123,-0.57059949648022,-0.112959418999463,-0.988913984023644,0.0963810243864821,-0.759027812689393,-0.0925209359078452,-0.644450662178798,-0.0105961350067092,0.000561585462965038,0.00839704194462612,-0.0272548221936651,-0.00332219928598546,-0.0231406384807411
0.16,0.00987666116425588,0.058250460946536,0.0352180639018916,0.0172541788004656,0.152165838254789,0.0789125823176038,1.62686232609133e-15,6.08716518720493e-16,7.3698159680438e-16,2.30356545299684e-15,5.12283154082526e-15,1.28860093372321e-14,5.44912659740184e-15,0.0207555793837088,3.86024395349141e-16,1.33346245509507e-16,2.76171823322075e-16,8.92124407715809e-16,1.14616511980617e-15,4.031601176778e-16,5.39701015484553e-16,0.0273441229808202,0.0587471849170374,6.25026196949934e-15,0.0146693842482245,0.0202477053766675,0.0316599988666166,0.125563626764927,3.41578039558426e-15,4.37016366852578e-15,2.04795088592304e-16,0.0880861678431575,5.55281453269192e-15,-7.49083762433312e-08,-0.00946566733825328,-0.162838444316897,-0.035227268703537,2.66297261472736,-0.0146869288097058,0.0347008695497335,-0.00806163931058802,5.76588052606883e-05,-7.26835144905337e-05,6.66855623998754e-05,-8.31144302958582e-07,0.000326015649980524,-9.3346867243982e-05,-1.07383872827876e-06,0.00957643051346663,0.000503108990214129,-340.433517996069,8.61675168600997,-236.608901199642,-0.82097027581452,0.020779672489154,-0.570592684355728,-0.112890774860694,-0.988920315149322,0.0963964897510175,-0.759015981880065,-0.0926520635961516,-0.644445757501759,-0.0105962379220046,0.000561666042841497,0.00839690668573986,-0.0272543973783958,-0.00332690775881045,-0.0231404623658499
0.18,0.00948695066198071,0.0579339524889094,0.0351452426594412,0.0173312254860071,0.152716957753719,0.0794696300751412,1.2201467445685e-15,6.91972245900212e-15,5.52736197603284e-16,1.95246696878783e-15,3.96940453886081e-15,9.80324466818607e-15,1.19404159401739e-14,0.0207140733902376,5.52149297484073e-16,1.0000968413213e-16,2.0712886749155e-16,6.77751288356183e-16,9.87382069366221e-16,3.22826272170989e-16,6.63717846805014e-16,0.0274475807431343,0.0586906322519838,4.79463258864136e-15,0.0146718083991111,0.0200373908175842,0.0316022576124522,0.125546480566476,2.56896428287541e-15,1.47879541255998e-14,6.13831145191316e-16,0.0881414647405713,5.55808555922069e-15,-2.63198935658021e-07,-0.00857565162632353,-0.162763915596574,-0.0322471808793529,2.66207101260634,-0.012233209399349,0.0347544330706488,-0.00806628203783694,9.65974430011452e-05,-0.000110489661812788,0.000125770902847021,-9.08209046104559e-05,0.000304101743539857,-0.000115698000749389,7.12582073347722e-08,0.00957255831140515,0.000495021279624085,-340.537728613296,8.3112102676636,-236.490918695403,-0.821197766375134,0.0200422647307601,-0.570291623754859,-0.112234826810068,-0.988977016222231,0.0965805624082174,-0.75913512586477,-0.0927311368121516,-0.644294029883722,-0.0105945671137907,0.000558963864842416,0.00839919494961383,-0.0272586755458942,-0.00332974708354444,-0.0231350142002065
