time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.00730195181534695,0.0457467064446329,0.0365752560585359,0.0144743457108576,0.153363467774732,0.0768363759892291,5.12172454022376e-16,2.4422461469958e-16,1.35743530270741e-16,3.80894391445582e-16,4.90689608102478e-16,0.0031946230990956,0.00283723344879243,0.0316435598056475,5.44903106048806e-16,4.28892171609955e-16,7.97521071699084e-07,2.19018698923955e-16,8.01545325289094e-17,2.93176085522515e-15,1.90486712526224e-16,0.000318690192246965,0.00642203476364739,3.09296206422035e-15,0.000954100887476741,0.00654085885948741,0.00800114362620481,0.0187423559273889,0.00174720456599984,0.00348281429929265,1.83966070137012e-16,0.0377724917700063,0.0102365015824882,-4.74956910180792e-08,-0.00249605297412335,-0.157296333677805,-0.00160763596885537,2.65683585752862,-0.00196259778129923,0.0562806887955196,-0.00405161229287807,8.4934370819135e-05,-1.17281517885887e-05,0.00011476248352143,0.000109037986788715,0.000352054260839753,-0.000139976413315987,-2.83024805121657e-06,0.00102969456200412,0.000248551249464549,-177.125174312412,105.25575199065,-132.817628190508,-0.72255300226168,0.429373520175137,-0.541807658763739,-0.508743244293373,-0.859462271082941,0.0500491355650233,-0.762477723984374,-0.0899486651454886,-0.640731580356512,-0.0105494284943622,0.000483502330700783,0.00846047000295955,-0.0273787000244332,-0.00322983536849792,-0.023007095398267
0.02,0.00812733463929541,0.0482154549380662,0.036439604411876,0.0148450128325808,0.152276405189042,0.0765718329938186,3.84129340516782e-16,1.83168461024685e-16,3.88776290064723e-16,3.33223879550375e-16,3.68017206076858e-16,0.00289436464055337,0.00290412087105523,0.0315010398460902,5.64360284622234e-16,3.21669128707466e-16,5.98140326744419e-07,1.67185021883959e-16,1.74689360736131e-15,4.88951136695705e-15,1.42865034394668e-16,0.000238941471606248,0.00598297716586841,2.70454923426292e-15,0.000714892934230063,0.00666937032043946,0.00814285972117496,0.0188222797119755,0.00176368594087356,0.00360337885224427,1.72234017051668e-16,0.0374777477358721,0.0106356869278298,-7.71766136186931e-08,-0.00346057682473946,-0.158097083485879,-0.00496367193080453,2.65789447164111,-0.00430946559823951,0.0558561339317903,-0.00408052942374915,1.21048651745552e-05,-0.000135387690123172,1.67594390198762e-05,-0.000103217491865253,0.000332947486357184,-4.7878262521802e-05,3.87501282637294e-06,0.00101283701629104,0.000266304776500204,-177.157018473417,105.238917119457,-133.170251660358,-0.722073159872385,0.428942629994627,-0.542787778017526,-0.50875698529942,-0.859459362159419,0.0499593305156342,-0.761754729108516,-0.0904399079663154,-0.641521905883077,-0.0105593050514759,0.000500118863640396,0.00844717270360562,-0.027352739056391,-0.00324747469015612,-0.0230354740444003
0.04,0.00899216267314455,0.0507936884388451,0.0363021212721368,0.0152509946427052,0.151538733152559,0.0765828972018899,2.88097005387586e-16,2.49780583863467e-16,5.66422327396728e-16,1.84300297484765e-15,2.76012904557644e-16,0.00237037823803124,0.002935523963242,0.0315799032423747,4.23270213466675e-16,2.93264465397373e-16,4.48604976827787e-07,1.52279811373192e-16,1.31286146469626e-15,3.68286598880742e-15,1.07148775796001e-16,0.000179163283934546,0.00574603131630119,2.85156680150375e-15,0.000535786396742846,0.006770927443798,0.00828434990179377,0.0189786503579794,0.00179561756777624,0.00371675704073602,1.29226800210854e-16,0.0372610559712391,0.0106681828717011,-7.72637634690147e-08,-0.0053453111916179,-0.159146212380409,-0.0125695324519417,2.659889477535,-0.00864682919664451,0.0553374695688785,-0.00403960999614996,2.20338365903781e-05,1.78857870361257e-05,2.33124808350531e-05,0.000157845644356984,0.000303932003253585,-8.25971638897564e-05,-1.54851027517771e-06,0.00100653082622161,0.00028006699130882,-177.316287880231,105.241069410875,-133.588799005036,-0.721712529455704,0.428352066892182,-0.54373295983952,-0.508604178288265,-0.859551250196105,0.0499343380253666,-0.7610598471824,-0.0909146739827366,-0.642279091253416,-0.010568764026435,0.000516029441998384,0.00843437663973792,-0.0273277875552401,-0.00326452237028698,-0.02306266270902
0.06,0.00971047603838503,0.0530485020066852,0.0360558633583064,0.0156359114829289,0.151019792269568,0.0767234241493387,2.95919610460005e-15,2.05759080118456e-15,7.32707798406556e-16,1.44318585179751e-15,2.29458786497704e-15,0.00191199583693873,0.00285945357855521,0.0317063167245479,6.58601473298507e-16,2.5056900235402e-16,3.36453581686022e-07,5.52849681024057e-16,1.00365965894855e-15,3.39580738654856e-15,8.03615818470012e-17,0.000134348388339177,0.00547611875528515,2.19799294191639e-15,0.000401624497260351,0.00686319535766491,0.00839710911101432,0.0191088961036295,0.0017266865100604,0.00378120648404152,3.77779678201538e-16,0.0370420680192215,0.0105449432643266,-1.22295379612175e-07,-0.00704301742484901,-0.160210939664407,-0.0205434514109985,2.66154987384566,-0.0122740122352826,0.0548661286828904,-0.00397310485078991,5.06559454496517e-05,-0.000106064456415597,6.49656617090676e-05,-5.12735004162127e-05,0.000350582542583622,-8.79175193649428e-05,8.28677042096062e-07,0.0010031069666941,0.000293554336186523,-177.347881077361,105.186496072977,-133.904827603616,-0.721337858392176,0.427831453909284,-0.544639276123249,-0.508487975379072,-0.859625227815018,0.049844223324983,-0.760428052485392,-0.091354073014615,-0.642964703803338,-0.0105773329515717,0.00053042712289416,0.00842273372672589,-0.0273051013613457,-0.00328030010897547,-0.0230872813696665
0.08,0.0100308830454217,0.0549161609784694,0.0357305575348843,0.0160952674665739,0.150759006897968,0.0768622475836169,2.21939707845003e-15,2.47925235153008e-15,8.28515263410008e-16,1.27217449980615e-15,1.96183626889232e-15,0.00155533219722812,0.0027118087034118,0.0317933045934688,6.44636934299954e-16,1.87926751765515e-16,2.5234010166356e-07,4.2511616669547e-16,8.64169780955311e-16,2.5514248062477e-15,2.78907433575015e-15,0.000100747754137296,0.00497069731750204,2.03025075287449e-15,0.000301097396268321,0.00695562936567049,0.00839099429226806,0.0190787732772431,0.00162435221247424,0.0036605637386728,2.84643190681453e-16,0.0367299547564494,0.0101036258392153,-9.57884813267741e-08,-0.00840681996904227,-0.161152666703071,-0.027239976265352,2.66276094702194,-0.0150415421208507,0.0547002059472594,-0.00383732249784269,5.09191461996598e-05,-0.000205214161457058,7.12957473553948e-05,-0.000213632651853521,0.000388548862584135,-7.54150926793074e-05,2.39719902812183e-06,0.00100495578369179,0.00030426774529821,-176.96427890636,104.884670825635,-133.852214046443,-0.721051567449514,0.427358881507767,-0.545388873625993,-0.50837339048131,-0.859695303790998,0.0498044223964286,-0.759889558812132,-0.0917424803189777,-0.643545783696253,-0.0105846087062945,0.000542613876875798,0.00841281150672524,-0.0272857653777734,-0.00329424686012497,-0.0231081465196609
0.1,0.00958583818326149,0.0566422556942058,0.0354680694279188,0.016849780732343,0.150695537232859,0.0771039970228313,1.66454780883752e-15,3.61446179947051e-15,3.87237097821294e-15,1.76549540407204e-15,1.60692294483008e-15,0.00139158883460031,0.00253122897740202,0.0318914370728764,6.87298596971269e-16,6.00378053502027e-16,1.89255030036262e-07,1.46324058173897e-15,6.48127335716482e-16,2.05312829560528e-15,2.0918057518126e-15,7.55532030204993e-05,0.00438505455690308,3.10340002840162e-15,0.000225755052471161,0.00711154298053485,0.00828153255675901,0.0189513956519383,0.00144946502331413,0.00336099376336348,2.1348239301109e-16,0.0362468953746151,0.00914663433518125,1.48603108307507e-07,-0.00940067901641466,-0.162000446885324,-0.0323905326936914,2.66355299846259,-0.0165910579133197,0.054818966903288,-0.00358581806402521,2.52527736860333e-05,-0.000305626246031975,4.43157385751346e-05,-0.000378927492080993,0.000410741025137315,-3.87157419386136e-05,4.26818647602788e-06,0.00102032721591268,0.000302979544496537,-176.255165775749,104.406533082036,-133.507969473165,-0.720815303386302,0.426982247514898,-0.545995841294822,-0.508296943847271,-0.859743780640049,0.0497478494638764,-0.759467785576495,-0.0920690229053402,-0.643996877083105,-0.010590282722493,0.000552054986342781,0.0084050529969866,-0.0272706205380835,-0.00330597220138544,-0.0231243441738784
0.12,0.0106511221158078,0.0574272076090767,0.0351117252066668,0.0166176868240431,0.150819262963257,0.0778742902516234,1.24841085662814e-15,2.71084634960287e-15,2.90427823365969e-15,1.67191590019202e-15,1.31128400569808e-15,0.00113515635773658,0.00281610651512043,0.0321802972612984,9.61494307007345e-16,4.5028354012652e-16,1.41941246388871e-07,1.86315230642604e-15,4.86095501787362e-16,1.62803347694915e-15,1.56939973318509e-15,5.66606210505097e-05,0.00488125608625439,3.83076269416358e-15,0.000169278065345584,0.00709959335626174,0.00862423818444313,0.019430804294858,0.0016741067539766,0.00384680803332657,1.74657457611674e-16,0.0364493117104628,0.00968975097834544,-1.71266620537528e-07,-0.0099045770098096,-0.162606189707117,-0.0354732488531132,2.66381577477108,-0.017023518281594,0.0537050564012609,-0.00371973511321715,6.95263876708866e-05,-0.00011338236996552,8.85741606202863e-05,-6.36161243498185e-05,0.000362491225250605,-0.000103368983758012,8.41099679634963e-07,0.00100771620131923,0.000319034886894397,-177.494535445116,105.086415740488,-134.572692000386,-0.72068177807367,0.426682797627095,-0.546406044038396,-0.508235866899119,-0.859780979275558,0.049728978204491,-0.759178164665208,-0.0923283933400729,-0.64430115790584,-0.0105941546737452,0.000558416810989996,0.00839975155265912,-0.0272602209633792,-0.00331528555586699,-0.023135270149952
0.14,0.0103413872153516,0.0580304442973506,0.03484709807144,0.0169631881350177,0.15118629196404,0.0783097113524717,9.36308142471102e-16,2.19829661236726e-15,3.66265601188723e-15,1.25393692514401e-15,9.83463004273562e-16,0.00114534553644674,0.00273587803159721,0.0322705330522206,7.21120730255508e-16,3.3771265509489e-16,1.06455919804596e-07,1.55250581075376e-15,4.80117610294788e-16,1.26446348781264e-15,6.79803250255913e-15,4.24930579683993e-05,0.00459793423948073,3.42794348241666e-15,0.000126937057712899,0.00717498195270317,0.00858450012849761,0.0193846513008244,0.0016013750242831,0.00371824046607025,1.30993093208755e-16,0.0362267161589923,0.00925030709055463,-5.54897041674155e-08,-0.00990202128842142,-0.162964934290586,-0.0363882298676515,2.66359314067877,-0.0163510617553132,0.0537270907856438,-0.00360517027181018,7.75133862602972e-05,-0.000265725933445462,0.000113731922193584,-0.000302922272993586,0.000452296323049767,-9.90683006095024e-05,3.58663177276638e-06,0.00101454071762266,0.000319884370671487,-177.264960892986,104.900770166322,-134.454226198057,-0.720654909309145,0.426464737474587,-0.546611680610064,-0.508194429411741,-0.859804462397773,0.0497464406339934,-0.759027812689393,-0.0925209359078452,-0.644450662178798,-0.0105961350067092,0.000561585462965038,0.00839704194462612,-0.0272548221936651,-0.00332219928598546,-0.0231406384807411
0.16,0.00947159176258285,0.0582950458803257,0.0348277014981115,0.0174368871367901,0.151561247606764,0.0788563716415247,7.02231106853326e-16,1.64872245927544e-15,2.74699200891541e-15,9.40452693858009e-16,7.37597253205171e-16,0.00136447184320215,0.00265458500301856,0.0322863300497489,5.40840547691631e-16,2.53284491321168e-16,7.98419313537996e-08,1.16437935806532e-15,3.60088207721091e-16,9.4834761585948e-16,5.09852437691931e-15,3.18684392313178e-05,0.00428287964578028,2.66154167407583e-15,9.51907085222087e-05,0.00725050008660575,0.00850258860171109,0.0192880586017479,0.00148498391493047,0.00352764285750361,1.59346120599659e-16,0.0360013124544001,0.00883313290167945,6.40622677816578e-08,-0.00942223372223117,-0.163087864982516,-0.0352272687035209,2.66297261472736,-0.0146869288096835,0.0539722410060072,-0.00349493033616113,8.30688958847966e-05,-9.09515599684932e-05,0.000103677532883253,-2.43670829958688e-05,0.00036707258379172,-0.000119266487600372,4.51494253858462e-07,0.00102592129882085,0.000314571541221019,-176.947161623112,104.671544459392,-134.207808801546,-0.720715039692077,0.42633267257692,-0.546635421332234,-0.508181811140773,-0.859810509792642,0.0497708155026725,-0.759015981880065,-0.0926520635961516,-0.644445757501759,-0.0105962379220046,0.000561666042841497,0.00839690668573986,-0.0272543973783958,-0.00332690775881045,-0.0231404623658499
0.18,0.00993036333709068,0.0577946461695251,0.0345333938196142,0.0170893020733358,0.15220378479822,0.0794562136935865,9.83812790650077e-16,1.98204265078395e-15,2.06024400668655e-15,7.05339520393506e-16,5.53197939903878e-16,0.00143289666461587,0.00278611841363367,0.0323830549767527,4.91266716199054e-16,1.95312999053782e-16,5.98814437342992e-08,8.73284518548989e-16,2.70066155790818e-16,8.91494325483824e-16,3.82389328268947e-15,2.3900567725425e-05,0.00453514446365583,1.99615625555687e-15,7.13862354386661e-05,0.0072035358125993,0.00865965677160745,0.0194733119216021,0.00162466257155066,0.00379165609225485,1.19509590449744e-16,0.0362053748130509,0.00939553430844998,-1.58980217418373e-07,-0.00853186730442947,-0.163010813915321,-0.0322471808793426,2.66207101260636,-0.0122332093993285,0.0535298457544205,-0.00363669450535561,7.54026231341379e-05,-0.000220808054607962,0.00010957149009754,-0.000239695856669674,0.000409308181195595,-9.84568999454378e-05,2.96762969957952e-06,0.0010126694399986,0.00032546255016386,-177.683143651117,105.053718879017,-134.67525323334,-0.720926409706633,0.426241897917385,-0.546427448292351,-0.508163064476987,-0.859814607720391,0.0498912843289055,-0.75913512586477,-0.0927311368121516,-0.644294029883722,-0.0105945671137907,0.000558963864842416,0.00839919494961383,-0.0272586755458942,-0.00332974708354444,-0.0231350142002065
