time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0381778031482835,0.0922325968256646,0.0449347526900821,0.0160143985657966,0.10835909212682,0.0332278205782202,2.23288127727117e-14,0,4.49272189200253e-17,1.53389527665767e-15,0.0143838951138127,0.0316419096329402,1.75799046676097e-17,4.02849504714773e-19,1.47301533290553e-14,-1.31255410576103e-30,1.02796268606332e-15,0.0136495291329908,4.65325994607976e-16,9.85290804407204e-16,1.14684694812363e-17,3.52960215059308e-15,6.70356496448858e-15,2.62510821152207e-30,1.21432488643687e-14,0.0520535052539016,0.0428537195180337,0.0662038081738303,0.00478488216047688,0.042261076495068,2.90289743866008e-17,0.0255482519146707,0.0367012697094647,-0.110550140561302,-0.0185630948450515,-0.153553299806768,-0.000581783632575075,2.65494752254593,-0.00124524030997756,-2.98451344220724e-07,-5.71614595618348e-07,0.00014497692159349,-0.000135755878848402,5.90090034029665e-05,-0.000104226245779407,0.000255324225143089,-0.000114353767260625,0.000608037429340855,-0.00112233083610324,-0.000552255740951358,-234.601551432146,66.2086464173254,-265.641809158034,-0.650700059845587,0.183638897198468,-0.7367945355068,-0.395058654766361,-0.91251118882008,0.106075395697384,-0.562938199378066,-0.220986515944043,-0.796407900169187,-0.0123302714207482,-0.000316961990089473,0.00556486392645417,-0.0202137263925923,-0.00793508234950165,-0.0285970492119817
0.02,0.0379645146746276,0.0919640773870337,0.0445648331685735,0.0160545130283805,0.107605179192554,0.033464987480612,3.03523414294074e-14,2.3518285652633e-14,3.75037214130252e-17,5.02908147287798e-15,0.0148839017549951,0.0309337859475767,1.31849285007072e-17,7.45826380620827e-19,1.10506730488796e-14,6.91224022497012e-18,2.7316316797543e-15,0.0139038689331295,9.07822140763878e-15,8.71042447993303e-15,9.0284996014176e-18,2.65223702265296e-15,1.4987522193802e-14,4.11282291544154e-16,2.25386924785406e-14,0.0520701300051371,0.0428549300122677,0.0659049498468475,0.00458974309503697,0.0417852220169648,2.29263506112412e-17,0.0263609708847765,0.0369958246818288,-0.110498420251566,-0.0185062194005501,-0.153566525980874,-0.000933734468341326,2.65416074363779,-0.00145921391903984,3.72687315846482e-07,6.03346502490828e-07,0.000142989233123814,-0.00013532314388366,3.36771079523931e-05,-8.0761096953034e-05,0.000299006158722561,-0.000107302669379908,0.000594468905982168,-0.00110199779839414,-0.00028884178309663,-234.212266811451,65.8587593080252,-265.492645363849,-0.6503911634268,0.182885190734587,-0.737254597507745,-0.39467039380708,-0.912711101353248,0.105800405097077,-0.562697149670134,-0.221316653195153,-0.796486570364876,-0.0123319301805416,-0.000314874024132841,0.00556130570132657,-0.0202050708903568,-0.00794693676633339,-0.0285998740652474
0.04,0.0374418167811134,0.0911037360221019,0.0436853120811749,0.0159634508581966,0.105972957737684,0.0330762537645314,2.27642560720549e-14,1.77890939562095e-14,2.85969622413811e-17,7.43612987323809e-15,0.0159638854278355,0.0303774914673201,2.99982152167011e-16,7.36820557122164e-19,8.28814764381663e-15,5.18418016872759e-18,7.02674486755415e-14,0.0145954996013861,6.8090255096357e-15,1.56770335996152e-14,7.67811272934481e-18,1.98917776698971e-15,2.1861463745673e-14,3.08461718658115e-16,1.69128888588821e-14,0.0521816466333035,0.0428047918344414,0.0661436741178238,0.00444878947279622,0.0415279735085875,1.71947629584309e-17,0.024121919348214,0.0384233418214221,-0.110232804084615,-0.0181547072272184,-0.153635371964597,-0.00112776139646487,2.65263660797763,-0.000976864368309307,-4.99726532716991e-07,-7.91418105560901e-07,0.000143531217503612,-0.000128924022430269,5.3412952043675e-05,-8.89243977612019e-05,0.000262020924525809,-0.000111284395967582,0.000596435125851827,-0.00121253210963815,-0.000303113120881293,-233.406925658993,67.1650051061307,-265.316414630444,-0.648896724272659,0.186726043694176,-0.737608585792311,-0.398583509369537,-0.911147828797016,0.104598375403965,-0.562473467801308,-0.221637320114971,-0.796555394402565,-0.0123334723857492,-0.000312802579843056,0.00555800163623932,-0.0201970390245136,-0.00795845112685735,-0.0286023453671925
0.06,0.0369918061641717,0.0899549869888471,0.0432037342192735,0.0158202509837544,0.104415260473432,0.0328983749450939,1.88121149566564e-14,1.33418204671569e-14,6.3220046626358e-17,5.61177729445512e-15,0.0176945930155464,0.0293537185336149,2.24986614125258e-16,1.10949831047318e-18,6.2161768481087e-15,8.74975148878479e-18,5.27005865066524e-14,0.0155510867503023,5.3944792636532e-15,1.17577751997112e-14,7.45300000644076e-18,1.49706699488238e-15,1.63960978092544e-14,2.71056317329606e-16,1.26846666441614e-14,0.0524917376365728,0.0428894866731929,0.0658671800779602,0.00408601339228633,0.0408638717453307,1.95277945496283e-17,0.0250015804071026,0.040106755778737,-0.110163490365743,-0.0174753866618347,-0.153458426085179,-0.000827454442427633,2.65125538155924,0.000506022582088517,6.14629504108184e-07,9.28527770966278e-07,0.000140714017952617,-0.000129354958445613,4.19721995165617e-05,-8.16243675188702e-05,0.000277248696559312,-0.000107140348194736,0.000538464949258182,-0.0012474965599314,0.000149574885034111,-233.2194974864,68.2308612537599,-265.800555974667,-0.647590335416854,0.189459486883938,-0.738059523551022,-0.401445444534652,-0.91002521337554,0.103419853428531,-0.562312020707842,-0.221943038415107,-0.79658425735545,-0.0123345714508718,-0.000310907611208014,0.00555566848480579,-0.0201912418564092,-0.00796942871920939,-0.0286033817648524
0.08,0.0365096407123847,0.0891283945800667,0.0424568963770442,0.0157228123412665,0.103101400293328,0.0324426833128405,3.76881944670568e-14,1.00093305364278e-14,4.74150349697685e-17,4.21004708990238e-15,0.018646042580153,0.0301132213970284,7.99620192685329e-16,9.24911223933196e-19,4.66231818307154e-15,7.95656357279761e-18,5.90000765539005e-13,0.0164952145129177,4.07389763364317e-15,3.23485435607911e-14,5.60334384412501e-18,1.12322179935438e-15,1.22970733569406e-14,2.35307401141049e-16,9.53101356823785e-15,0.0524094725390014,0.0427586575041146,0.0659661586524815,0.0042381603461724,0.0413008006872493,2.76499439451862e-17,0.0230628961154476,0.041588974521096,-0.110167350453998,-0.0167557620968738,-0.153227284125782,-0.000618235481885942,2.65010786297948,0.00215327890844343,-6.58097985826393e-07,-9.59446627609466e-07,0.000110740301902066,-7.35686477867339e-05,0.000100132939273245,-8.28559384332541e-05,8.82562499259955e-05,-9.60368950389745e-05,0.000844264175102786,-0.00134784924357243,-0.000240236797834347,-232.729182098448,70.4679977303679,-265.926249659864,-0.645858813540385,0.195559392235777,-0.737985716041021,-0.407423978006013,-0.907516788714985,0.102073406655192,-0.56225354848014,-0.222229196248949,-0.796545749819831,-0.0123349289752389,-0.000309351482202472,0.00555496152720281,-0.0201891422625041,-0.00797970394331884,-0.0286019990539439
0.1,0.0361976620419552,0.0881946643254886,0.0422551075064556,0.0156255172608707,0.102032165482502,0.032399887501033,5.42141770621241e-14,7.50699790232074e-15,3.55612762273264e-17,3.15753531742677e-15,0.0200503026357506,0.0296764048377379,7.0150619976617e-16,6.93683417949897e-19,3.49685416163262e-15,3.53550701544013e-17,4.42500574153992e-13,0.0173558761653761,3.07887343487964e-15,2.42614076705925e-14,1.75186775185741e-17,8.45655394636605e-16,8.56925835613291e-14,2.47511385236233e-16,9.14368114202065e-15,0.0525296694516734,0.0427977504859448,0.0653834566588112,0.00399939704832312,0.0408748238385021,2.64614036290116e-15,0.0249857097401514,0.04282136920006,-0.110275378645479,-0.0160110583432789,-0.152972877118938,-0.000609583417526017,2.64928168976829,0.00392856923247512,8.66918744513454e-07,1.29891732126493e-06,0.00011610091179822,-8.40001260334166e-05,9.11490099444526e-05,-8.46073201365191e-05,0.000119472665811072,-9.84513765205388e-05,0.00061612947372239,-0.00133120539046426,9.84647449907459e-05,-232.823440590712,71.3921043639654,-266.396992678429,-0.645064172497756,0.197800052295302,-0.738083567539449,-0.40977299764097,-0.90655332275816,0.1012282737207,-0.562332819874427,-0.222492924762948,-0.796416158878325,-0.0123342867775448,-0.000308292058271244,0.00555644620495185,-0.0201919887033331,-0.00798917378570968,-0.0285973457619175
0.12,0.0359131885478251,0.0876850028496127,0.0418285336578077,0.0155497620486163,0.101354591577879,0.0320979710563019,9.36242993506926e-14,5.63098563607729e-15,2.60161772498538e-16,2.54019802846894e-15,0.0205406069997723,0.0310046512791776,8.74607366427371e-16,1.21756274221267e-18,2.62303204366524e-15,5.54844454103789e-17,3.43224374850443e-13,0.0180970583358907,2.30943421072246e-15,2.00468766131761e-13,4.03983202157232e-17,6.38577097379906e-16,1.05306133542216e-13,1.85633538927174e-16,7.39413999683731e-15,0.0522265638511533,0.0425584336659323,0.0651298642602248,0.00428585325738814,0.0415169552949235,1.98460527217586e-15,0.0242902788159563,0.0436858496307686,-0.110521830588989,-0.0152569742028022,-0.152727506722458,-0.00088055205255684,2.64885003775625,0.00579755236131848,-4.76499724103606e-09,-3.15509821000084e-08,9.98559267209229e-05,-4.58068305456282e-05,0.00015127613034541,-9.99420185309945e-05,-3.83338682074403e-05,-9.80661794156715e-05,0.000453042851448815,-0.00137422207283534,-0.000365554477026788,-232.622358076062,73.2842364111225,-266.390598336351,-0.644070272701186,0.202904821876909,-0.737565669674043,-0.414759471262789,-0.904377714194691,0.100376944891731,-0.562577511341504,-0.22273391733373,-0.796175951534566,-0.0123324338905743,-0.000307874481080335,0.00556058057858588,-0.0202007749721838,-0.0079978272362906,-0.0285887205069079
0.14,0.0357584167466235,0.0873329001252919,0.0417486037589557,0.0155677733533139,0.101036117944724,0.0320031015160702,1.06183540289547e-13,4.22323922705794e-15,1.95121329373903e-16,1.97349138326429e-14,0.0208880415869606,0.0321855127811654,6.55955524820527e-16,1.49048304355149e-18,1.96727403274892e-15,7.01684854040072e-17,2.57418281137744e-13,0.0186574410384902,1.73207565804184e-15,1.50351574598791e-13,1.15750334196075e-15,4.78932823034929e-16,1.2688486328839e-13,2.9430158667341e-16,5.55273630993649e-15,0.0518485376142659,0.0424372178185902,0.0645455191461619,0.00448201376271763,0.0419644504547323,1.48845395413189e-15,0.0248849625624193,0.0440866707533201,-0.110939526457224,-0.0145139880780627,-0.152522764084409,-0.00147430860893147,2.64886532044808,0.00771779480898517,6.388172984899e-08,2.98480276651852e-08,0.000127147652174576,-0.000105264371566128,7.00061790168049e-05,-8.5475784997369e-05,0.000189119328008742,-0.000102729791937128,0.000632657946817768,-0.00134881274668023,-0.000718791635799626,-232.606214539759,74.5472042558202,-266.271137304062,-0.643740493780468,0.206310283551742,-0.736908572054959,-0.418135069786723,-0.902872118755231,0.0999249748005601,-0.563007808671138,-0.222954945425582,-0.795809838897207,-0.0123292089659546,-0.000308221695044603,0.00556770818137603,-0.0202162258911271,-0.00800576381152875,-0.0285755743024247
0.16,0.0357651450560001,0.0872757815261935,0.0417855000849396,0.0155217725462439,0.101201572920691,0.0319372688148731,1.52017718099361e-13,3.16823224536678e-15,2.25379621953324e-16,1.49053261419329e-14,0.0207733276406428,0.0336903390764443,7.74282814609763e-16,1.17553359560498e-18,1.47784916680118e-15,7.37864270086414e-17,3.24619966417772e-13,0.0189696626485973,1.31683845178446e-15,1.70625064288834e-13,9.2258600554312e-16,3.69254016361564e-16,1.18937056794973e-13,2.28127001386939e-16,4.16455223245235e-15,0.0513354577445241,0.0421141890729227,0.0638706501357728,0.00481102317850281,0.0425509014309038,1.26878125931571e-15,0.025879273897288,0.0440216917385486,-0.111555731979354,-0.0138100437776616,-0.152388653141772,-0.00239727791344508,2.64935431955143,0.00963298710376793,-1.17716201229096e-07,-8.38070658522893e-08,0.000138877208565207,-0.000130322183807616,3.07393601017969e-05,-7.42211996977465e-05,0.000295468684407881,-0.000103630849591642,0.000506204575314515,-0.0013111880679436,-0.00109437464483992,-232.681611888524,75.4770623243824,-265.90799610926,-0.64399521125024,0.208898616017089,-0.735956205295467,-0.420727589577646,-0.901671879035328,0.0998805182459747,-0.563636685608439,-0.2231619006095,-0.795306514969348,-0.0123244987258918,-0.000309423836788961,0.00557806030598021,-0.0202388073154456,-0.00801319506325025,-0.0285575011779222
0.18,0.0358897734382348,0.0875194503525801,0.0421504623348021,0.0156661693558486,0.101750257690249,0.0320269593645293,1.14013288574504e-13,2.38397038040317e-15,1.69034716464993e-16,1.11908545476346e-14,0.0202224459553572,0.0354819548123195,1.41081142377403e-15,8.81650196703735e-19,1.11248945412285e-15,1.24002522483117e-16,3.40297980995539e-13,0.0190357250764695,9.99119005522397e-16,1.27968798216604e-13,6.95966166800901e-16,2.76940512271173e-16,8.92027925962191e-14,2.04889441319878e-16,3.13395000605215e-15,0.0506243066433729,0.0419552673276042,0.0630311714029964,0.00516252991601881,0.0432466453784899,9.51585944486784e-16,0.0270139435131196,0.0433272146210177,-0.112389039086849,-0.0131806822839649,-0.152353592826212,-0.00362215995869771,2.65031561547637,0.0114741101781943,2.19050484366518e-07,1.95082202480572e-07,0.000139454684407835,-0.000131080306697022,2.59584629028419e-05,-7.02271637817369e-05,0.000306029856062383,-0.000102894676159473,0.000406328998640676,-0.00121557230857365,-0.0016565094928101,-232.751510513479,75.9979011314902,-265.207593213854,-0.644832536511097,0.210550381598062,-0.734751343425499,-0.422436875857206,-0.900836022634067,0.100207515889967,-0.564470747974214,-0.223363331702148,-0.794658163446615,-0.0123182333186112,-0.000311526924179996,0.00559176605521008,-0.0202687564439197,-0.00802042795843884,-0.0285342204691318
