time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0288652261434036,0.115676170330883,0.0105477328627011,0.0328170071854254,0.100045437248645,0.0970287218902939,2.02291115507511e-14,7.89304433941967e-15,9.84971186184675e-15,4.97936252076281e-14,0.0168467824000721,5.94442666803324e-14,1.75162308040602e-46,1.31312445861341e-14,-3.08148791101958e-33,1.63364512820339e-14,1.92639942875616e-14,0.0221378846001093,1.18329135783152e-30,7.85403430022533e-15,0.0608995685343703,0.0408822280642526,0.0107253771038033,0,0.0159864434306982,0.00576401420607604,0.000686110723099756,0.00533339099226557,0,1.97215226305253e-31,0,0,0.0266855628814893,-1.06335119787558e-07,-0.0403665656548035,-0.227903009329469,0.000825753086878131,2.65602323066275,0.00041892724024438,0.0743820511740166,2.97965957124064e-07,0.000139732542726247,-9.20738696802716e-05,0.000156669094675258,6.94524510248139e-06,0.00028832369593528,-0.000134411978219455,1.14335747129436e-05,-0.00210386490299581,-0.000368558374673742,-181.609790425251,111.222965307822,-204.678245013571,-0.614846737922922,0.376549508930659,-0.692945853721358,-0.476924223965325,-0.878450739286681,0.0294547660278757,-0.635632755859831,-0.110913582519965,-0.763982445407369,-0.0117018879836788,0.00343841311603826,0.00586062296972958,-0.0228240091493437,-0.00398263399562815,-0.0274327308704037
0.02,0.0289481121063019,0.115698672703919,0.0106824918992487,0.0327710147031639,0.100034816569623,0.0968097680326876,1.5171833663063e-14,5.91978325456471e-15,7.38857038798831e-15,3.73452189057192e-14,0.0168388767613586,4.4591083531987e-14,0,9.84942773032008e-15,3.74561132889344e-18,1.22734241963054e-14,1.44479957156709e-14,0.0220289705615704,8.87468518373638e-31,5.89052572516895e-15,0.0607980390679358,0.0408346906866694,0.0107605710269,1.12979905511022e-18,0.0159626337649377,0.00572360972788266,0.000646684334713358,0.00528376001655027,1.2004808278077e-18,1.47956736475345e-31,2.22379125540538e-18,2.30838279449086e-18,0.026639636868106,-1.21140592362007e-08,-0.0403992261714721,-0.228175807121513,0.00150514487769233,2.65623562325905,0.000253781560409978,0.0743591821371062,4.34947182494854e-07,0.000139739115250523,-9.26006362550419e-05,0.000153294970066545,5.76842281305902e-06,0.000287550442448186,-0.000130494873600293,2.58864746476492e-06,-0.00209974170870832,-0.000371012672245737,-181.406039211068,111.413883617702,-204.360751230833,-0.61472553982301,0.377545091930388,-0.692511526437347,-0.476989114135957,-0.878428251111975,0.0290721970988039,-0.636171716430272,-0.109916610278579,-0.763677867951553,-0.0116948762743761,0.00344911291598528,0.00586832665691428,-0.0228433618980456,-0.00394683517414003,-0.0274217942429657
0.04,0.0289848359352314,0.115635757069454,0.0109289863430088,0.0327373336438286,0.100275692126914,0.0968237936906304,1.13788752472971e-14,4.44012104206327e-15,5.54338523059931e-15,2.80089141792884e-14,0.0167297494091599,3.34570406493128e-14,5.2819598972004e-18,7.39205925099651e-15,2.80920849667007e-18,9.20592825278682e-15,1.08359967867531e-14,0.0219211376184144,2.35736018092683e-18,4.43229392236174e-15,0.0604659252642256,0.0408194955410984,0.0108857825390391,1.18327856081348e-17,0.0159331394346789,0.00566198334987244,0.000598682952403609,0.00520566550900478,2.32072305780652e-18,1.11078009542534e-31,7.2114620242209e-18,1.73128709586814e-18,0.0264583698856448,3.95801939193394e-08,-0.0402498859590444,-0.228175645474519,0.00282204794112723,2.65658420663602,-0.000278626076858663,0.0749691477123453,3.84163043217335e-07,0.000144057490494247,-9.14906712931277e-05,0.000153916528326379,4.84015515968202e-06,0.000291298359947872,-0.000129712114541168,-1.4888005377348e-06,-0.00208690778988678,-0.00037486311159671,-181.103376581047,111.548120862875,-203.938150922494,-0.61459097866606,0.378548815950952,-0.692082887293441,-0.477061179021254,-0.878402061703935,0.0286783797507328,-0.636708192953937,-0.108918435451721,-0.763373729862432,-0.0116878719201955,0.00345970748437355,0.00587603972349651,-0.0228626254507365,-0.00391099317076493,-0.0274108733921053
0.06,0.0289841377212274,0.115514891792693,0.0110295090021048,0.0326554196042498,0.100683527622982,0.0967135948121625,8.53415643547272e-15,3.33282716450092e-15,4.15843205385301e-15,2.10075891869191e-14,0.0166813471698159,2.50927804869837e-14,5.08418285408329e-18,5.54733313945407e-15,2.10690637250255e-18,6.90529307307729e-15,8.13871246722824e-15,0.0217752886756042,1.76802013569512e-18,3.32453893308365e-15,0.0603549266718072,0.0407392830122955,0.0111230354452625,1.02120255106705e-17,0.0158524339477667,0.00556958175188117,0.000464211310910786,0.00504892540027665,2.4997022030633e-18,1.68136571047618e-18,1.55482662034971e-17,3.42348881046804e-18,0.0262216449650919,-1.96100656403854e-09,-0.0399478456992541,-0.228160113122555,0.00408609154683987,2.65682764069671,-0.00103419327008581,0.0757193646767897,-1.86372263651981e-07,0.000147049684077105,-9.89327701190156e-05,0.000142898857278012,-3.93446110023399e-06,0.000316118670281124,-0.000123840478133942,-1.36548756517316e-05,-0.00208106170685,-0.000387466232136585,-180.858778103453,111.658180709428,-203.491461248614,-0.614632042860522,0.379460131441718,-0.691547149900378,-0.477042251817808,-0.8784191962398,0.0284676247343949,-0.637261360329175,-0.107916768826517,-0.763054342519229,-0.0116807280581229,0.00347017481072184,0.00588406726233182,-0.0228824883308621,-0.00387502578549805,-0.0273994049780309
0.08,0.0289568775436968,0.115360002184244,0.0111995019063529,0.032595680430519,0.10099501766891,0.0967377191146317,6.4078172839983e-15,2.50108890189884e-15,3.12841352516504e-15,1.5755691890189e-14,0.0166203496951873,1.88195853652373e-14,4.5368603492437e-18,4.16098786484094e-15,5.41382434763591e-18,5.17896980480793e-15,6.10403435042113e-15,0.0217221988405729,1.32601510177134e-18,2.49340419981273e-15,0.0602121056571435,0.0407167998040905,0.0113834294746795,8.15109150120732e-18,0.0157734023907898,0.00548540233951109,0.000347996864077206,0.00491791211918593,5.84150967866824e-18,3.69348625499834e-18,1.2431279187701e-17,2.7437329907272e-18,0.0260872127419511,-2.64484835298432e-08,-0.0396261323189806,-0.228089615930069,0.00530484944583836,2.6570256357934,-0.00181965233395841,0.076515157054714,3.13866928668107e-07,0.000176541102901181,-0.000169469509664669,4.10206868899223e-05,-9.07604225013712e-05,0.000551164846538695,-6.60112767956136e-05,-0.000132000363910996,-0.00207401116710195,-0.000397891590522536,-180.639975165742,111.823846362178,-203.117327589733,-0.614578050484754,0.380450016293002,-0.691051087087644,-0.477096608882622,-0.878400989114016,0.0281163318415018,-0.63784908511496,-0.10691253848293,-0.762704565171301,-0.0116733092567518,0.00348050269579774,0.0058926836596927,-0.0229035920826188,-0.00383896634340862,-0.0273868453336203
0.1,0.0289318117744802,0.1152116195535,0.0113203462068984,0.0325483706394917,0.101312576178237,0.0967611463702007,1.3170320160597e-14,4.94607686208847e-15,2.34631014387377e-15,1.19523810211051e-14,0.0166038769927437,1.41146890239277e-14,3.40264526193266e-18,3.12074089863069e-15,4.06036826072693e-18,3.88422735360593e-15,9.86238769914632e-15,0.0216466459630431,9.94511326328533e-19,1.87005314985954e-15,0.0600711880678227,0.0407998823955376,0.0115059735709245,6.11331862590549e-18,0.0157732028319729,0.0053826715216926,0.000260906821694849,0.0047666332055535,4.3811322590011e-18,2.77011469124883e-18,9.3604647776199e-18,4.48557090257202e-14,0.0260017422641288,2.70851970268571e-08,-0.0393214472114229,-0.227978075102701,0.00642046860690029,2.65720652266187,-0.00260636647570065,0.0772777642314393,-3.60763123593159e-07,0.000146366339685128,-9.46040603390286e-05,0.000148098612223455,9.11536896478372e-07,0.000304362919124579,-0.000126480903582416,-8.5026551931728e-06,-0.00207045351949619,-0.000405191443217933,-180.43106503388,111.982427303531,-202.722053732144,-0.614580362458815,0.381432103991068,-0.69050744248338,-0.477146579244305,-0.878384608899233,0.0277780626466338,-0.638486298549654,-0.105911243225679,-0.762310996328108,-0.0116655066036941,0.00349068404602532,0.00590210549739897,-0.0229264728500579,-0.00380301229305168,-0.0273727132443043
0.12,0.028890038952445,0.115105398528317,0.0113953659881129,0.0324904773740887,0.101564165348529,0.0967815549459873,9.89211909584088e-15,3.72774845431785e-15,1.78762175591282e-15,8.98207048806089e-15,0.016617165590471,1.05984783750227e-14,2.51398390921039e-17,2.34335509871708e-15,3.0452761955452e-18,2.92568722973551e-15,7.40890918917905e-15,0.0216431659465529,7.34329543312921e-18,1.40253986239465e-15,0.0600711944228945,0.0407695152345965,0.0117903024492252,6.35266023546208e-18,0.0156489905651396,0.00526704157986335,0.000195629061993955,0.00459044931441995,5.51323046978828e-18,4.04445523839358e-18,7.29390314449748e-18,3.36442724648892e-14,0.0259985795496774,-1.08854080774092e-07,-0.0390767824459401,-0.227864844660413,0.00734818656351252,2.65740237992733,-0.00335526565324341,0.077895582397975,4.63473562016782e-07,0.000111830095443013,-3.29002038765898e-05,0.000247380016486739,8.84327729820328e-05,7.4789859315865e-05,-0.000193703976458325,0.000121740144054919,-0.00207001097639193,-0.000417562797520362,-180.302357807787,112.212672553145,-202.434494081458,-0.614538926873698,0.382463414294082,-0.68997365462997,-0.47725606509491,-0.878339329306913,0.0273252799218058,-0.639183802557816,-0.104923394447836,-0.76186294557832,-0.0116572485303208,0.00350071204631446,0.00591247330679426,-0.022951518503727,-0.00376754107270347,-0.0273566248437015
0.14,0.0288650743372316,0.115038433544407,0.0113940572397813,0.0324659413968248,0.101696164326006,0.09679069671838,8.10829160903614e-15,7.14224298319422e-15,1.34134003434763e-15,6.73655286604561e-15,0.0166917848342887,1.170134715694e-13,1.1679584711999e-15,1.75751632403781e-15,4.87460950446584e-15,2.19426542230162e-15,5.55668189188425e-15,0.0216215268766829,1.92344893686744e-15,1.05190489679599e-15,0.0600768869260959,0.0409000458765843,0.0118115921265998,6.31047079009803e-18,0.0156681130814551,0.00515351778086718,0.000146693093482315,0.00443903342178465,6.79431608093841e-16,3.67217192564323e-16,5.4913246641993e-18,2.56260598901735e-14,0.026104683215668,8.9863691375245e-08,-0.0389360875390079,-0.227811367998954,0.00798795388113826,2.65764127076051,-0.00401799747858632,0.0782419974178229,-3.75347203138518e-07,0.000142849301429516,-8.91749165826325e-05,0.000157519203265405,9.43889126618289e-06,0.000282813075731237,-0.000133471911016505,4.60798195855549e-06,-0.00207439407043533,-0.000421786874756272,-180.216068104083,112.445978539787,-202.154269284372,-0.614573577393923,0.383463738953871,-0.689387321378014,-0.477361667700297,-0.878295636973526,0.0268814486897315,-0.639947568010207,-0.103964007906636,-0.761353134398099,-0.0116485065369997,0.00351057705493193,0.00592384275038541,-0.0229789434429118,-0.00373309186128031,-0.0273383187779198
0.16,0.0288356569559811,0.115056931317251,0.0113059495144544,0.0324266592622237,0.101680910502029,0.096739169719712,6.08345324922283e-15,5.35668223739563e-15,1.00600502576072e-15,5.05241464953417e-15,0.0168207227577842,8.77678432525217e-14,8.77807360495948e-16,1.31813724302835e-15,3.65595712834936e-15,1.64569906672621e-15,4.16751141891316e-15,0.0216902110130044,1.44401910634487e-15,7.88928672596991e-16,0.0603028970871462,0.0408996270795319,0.0119917546322447,9.4784531361095e-18,0.0155477261271576,0.00504242128485484,0.000110003680963981,0.00427753613648712,5.09573706070381e-16,2.75412894423242e-16,7.30365766321161e-18,1.92195449176297e-14,0.0263299482341678,-9.76461144768844e-08,-0.0389374018564726,-0.227894148030392,0.0082391385655356,2.65793971338754,-0.00453723913801183,0.0781959309452299,3.62533998382369e-07,0.000178298116047557,-0.000112443677322803,0.000101741778398434,-3.36260919896268e-05,0.000423860084446688,-8.9065809627513e-05,-8.77240090334088e-05,-0.00208488613411471,-0.000430941113019206,-180.26764242408,112.774335464422,-202.040529868542,-0.614583049004068,0.384479399669976,-0.68881294057696,-0.477523855417356,-0.878224324891058,0.0263249440073346,-0.64077851869212,-0.103051279168872,-0.760778104209362,-0.0116392956224528,0.00352026734856548,0.00593618429129411,-0.0230087808384705,-0.00370031801684017,-0.0273176708579253
0.18,0.0288382725356204,0.115141734103224,0.0111270131039795,0.0324255146968686,0.101464170735437,0.0966397686361066,4.5625899369171e-15,4.0175116780467e-15,7.54503769320539e-16,3.78931098715061e-15,0.0170272762058157,6.58258824393855e-14,6.58355520371961e-16,1.00582532167632e-15,2.74196784626201e-15,1.2391221169164e-15,3.12937964987044e-15,0.0217459015849328,1.09901172887541e-15,5.96629350849744e-16,0.0605988375669091,0.0410812487929494,0.0118840084668764,7.62610252903621e-18,0.0155957701804444,0.0049463595761087,8.24936851156165e-05,0.00416291122102845,3.82180279552785e-16,2.06559670817432e-16,5.47774324740871e-18,1.4414658688222e-14,0.0267063233175642,1.44334179235934e-07,-0.0391060270061754,-0.228195338183951,0.00801499839181505,2.6582971932387,-0.00484633788541948,0.0776606960559448,-3.86610500272449e-07,0.00014795453558034,-9.16098614526738e-05,0.000150649230807219,4.30402535563177e-06,0.000300763004325735,-0.000127692825850402,-7.63674796267866e-06,-0.00210243702617608,-0.000431092211897787,-180.422225765356,113.125144888025,-201.992737177747,-0.614696902253026,0.385416352307002,-0.688187440843625,-0.477669834090432,-0.878160554043484,0.0257986612454894,-0.641672739860596,-0.102204672506183,-0.760138342565154,-0.0116296698473991,0.00352977512564685,0.00594938950946175,-0.0230408901216103,-0.00366991845351217,-0.0272946985905489
