time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0381271208159456,0.0922288877559055,0.0449279502287137,0.0159846576234943,0.108408935042896,0.0331855074527794,2.32818131421722e-14,3.24720703978197e-16,2.38472255015396e-18,1.46523514834491e-17,0.0144560517545942,0.0314139527739562,1.30074779098697e-17,4.81482486096809e-35,4.56802382119978e-15,0,0,0.0136153083140152,0,2.36845467001574e-14,4.64043483191734e-32,0,-7.88860905221012e-31,0,1.97215226305253e-31,0.0521048982700668,0.0428245433866053,0.0661523426584052,0.00472564849338953,0.0421289068649479,1.57672030547183e-16,0.0260192288339105,0.0367387399218011,-0.110550140561387,-0.018563094845081,-0.15355329980638,-0.000581783632686047,2.65494752254593,-0.00124524030993593,-3.19702267746227e-07,-5.58988495284274e-07,0.00011526632858182,-0.000104999941429151,4.17442238097877e-05,-7.40833351014873e-05,0.000211710984675875,-8.9746910338227e-05,0.000630204990149678,-0.00111849768100665,-0.000438455509058357,-234.675717717583,66.0314076472516,-265.691901718497,-0.650810693516255,0.183120548741556,-0.736825831410302,-0.394572880983139,-0.912712941063767,0.10614767452655,-0.562938199378066,-0.220986515944043,-0.796407900169187,-0.0123302714207482,-0.000316961990089473,0.00556486392645417,-0.0202137263925923,-0.00793508234950165,-0.0285970492119817
0.02,0.0380510110513525,0.0919500723763422,0.0446331523098438,0.0161059046525647,0.107513790776862,0.0335813486888441,3.05334733242846e-14,5.91641448175695e-15,1.78854191261547e-18,2.1829442513635e-13,0.0148265246117637,0.0311638931951592,5.9981628643335e-17,1.47880312024139e-19,3.42601786589982e-15,0,1.21486217419696e-14,0.0139571366199645,9.22949495846635e-15,3.91495712652688e-14,2.17524450310167e-32,4.5373259981667e-18,6.71446752264036e-15,0,1.4791141972894e-31,0.0520108153390073,0.0429285559552657,0.0659463841811709,0.00464293183318883,0.041903186000522,1.41564387116591e-16,0.0258750980594417,0.0369350176070321,-0.11049842025157,-0.0185062194005448,-0.15356652598093,-0.000933734468215792,2.65416074363778,-0.00145921391907208,5.54065590311782e-07,9.37898395461609e-07,0.000111289946901399,-0.000104490082467147,3.88118576784133e-05,-7.53981646183582e-05,0.000207376702379119,-8.68588054278773e-05,0.00062174367782369,-0.00109833466479221,-0.000406625398531278,-234.127795861865,66.0353368411878,-265.440754752231,-0.65026647401956,0.183406525869095,-0.737235077186916,-0.395159349455342,-0.912510011158648,0.105709829596282,-0.562697149670134,-0.221316653195153,-0.796486570364876,-0.0123319301805416,-0.000314874024132841,0.00556130570132657,-0.0202050708903568,-0.00794693676633339,-0.0285998740652474
0.04,0.0376394466416313,0.0909683459477293,0.0438822692514173,0.0159917792990369,0.105869329713205,0.0333385863804061,4.52469797736626e-14,4.43731086131769e-15,1.3414064344616e-18,1.64864776767942e-13,0.0161633253682893,0.0300300302474425,1.43344765682309e-16,1.10910234018104e-19,2.56964658310472e-15,0,2.24824575445643e-14,0.0146562023727939,1.04798354290385e-14,2.93621784489504e-14,2.43318179377259e-15,7.41855644217495e-18,5.76428258959464e-15,2.77876683953516e-15,9.73703226693891e-17,0.0522556371848899,0.0429689674387373,0.0659806154407178,0.0043213874284762,0.0412590182868335,1.52258507283676e-16,0.024856734952953,0.0383497241560468,-0.110232804084553,-0.0181547072272004,-0.15363537196462,-0.00112776139645213,2.65263660797761,-0.000976864368486461,9.33302901094656e-07,1.59074047057205e-06,0.000162009370450944,-0.000152768718857385,4.66532263387252e-05,-9.85270871612935e-05,0.000322659132809952,-0.000123389343392121,0.000685812621504895,-0.00117795320067413,-9.48491583867012e-05,-233.476924603899,66.8819345682133,-265.402646000288,-0.648989758807037,0.185909980858331,-0.73773285949647,-0.39782213632802,-0.911480019123605,0.104602689190301,-0.562473467801308,-0.221637320114971,-0.796555394402565,-0.0123334723857492,-0.000312802579843056,0.00555800163623932,-0.0201970390245136,-0.00795845112685735,-0.0286023453671925
0.06,0.0366099026380355,0.0901724727595001,0.0428930137926071,0.0157697066492328,0.104603459958458,0.0324487214445238,1.36656984465958e-13,3.32798314598825e-15,1.0060548258462e-18,1.23648582575936e-13,0.0174066717642957,0.0297514186568863,1.73691801301176e-16,8.31826755135782e-20,1.92723493732853e-15,7.3707257935299e-17,1.68618431584229e-14,0.0154169682211248,5.45885497645235e-14,3.23952597569735e-14,1.82488634532944e-15,7.10176173162607e-16,1.06176396232424e-14,2.12831581608173e-15,7.30277420020418e-17,0.0523967932638719,0.0426106191426181,0.0661249404536569,0.00425387639259051,0.0412137346237455,1.14193880462757e-16,0.0239740583918186,0.0402517984004222,-0.110163490365727,-0.0174753866619256,-0.153458426085251,-0.000827454442328163,2.65125538155924,0.000506022582114335,-1.91772256302266e-06,-3.31229387459294e-06,0.00022087590787536,-0.000220930167874469,4.89901777392791e-05,-0.00014027246302014,0.000468972160476311,-0.000166440022574853,0.000909846527907596,-0.0013020886120462,-0.000135574393764405,-233.130740713356,68.5723929346784,-265.665020359599,-0.647510405960411,0.190456813421288,-0.737872940548976,-0.402373835989498,-0.909610289317262,0.10346215578299,-0.562312020707842,-0.221943038415107,-0.79658425735545,-0.0123345714508718,-0.000310907611208014,0.00555566848480579,-0.0201912418564092,-0.00796942871920939,-0.0286033817648524
0.08,0.0369480556273518,0.0888753326119609,0.0428023543304194,0.0157857664193686,0.102870023895831,0.0329612233962729,2.02724195050496e-13,2.5231605556534e-15,7.54541119384647e-19,9.27364369319404e-14,0.0189621472525256,0.0296840785682079,1.30268850975882e-16,1.50966791914559e-17,1.4454262029964e-15,6.44658648386096e-17,1.39579552748093e-14,0.0166515036138711,4.09414123233904e-14,1.09700295781229e-13,1.45450879734251e-15,7.24785809815531e-16,7.96322971743168e-15,1.59623686206129e-15,5.47708065015313e-17,0.0525108588673612,0.0430822342397809,0.0656853521247694,0.00405393760144031,0.0409180049844548,2.47439037114554e-16,0.0241328194315214,0.0414175213528616,-0.110167350454031,-0.0167557620968796,-0.153227284125915,-0.000618235481825085,2.6501078629795,0.00215327890849555,2.21273684588701e-06,3.89224732458287e-06,0.00018799297567164,-0.000182666678487473,4.71535500113769e-05,-0.00011599540856772,0.00038822804020011,-0.000142277077106119,0.000565213226854291,-0.00128694273912803,6.74371342688504e-05,-232.813017872673,70.1006654587636,-266.066552056455,-0.645937190922434,0.194493535378641,-0.738198760551081,-0.406433497262149,-0.907967420887851,0.102014581847515,-0.56225354848014,-0.222229196248949,-0.796545749819831,-0.0123349289752389,-0.000309351482202472,0.00555496152720281,-0.0201891422625041,-0.00797970394331884,-0.0286019990539439
0.1,0.0353783209268116,0.0886356109026947,0.0416566750748172,0.0155160802938117,0.102429950637901,0.0314789125266759,1.52043146287841e-13,1.89237041674004e-15,5.65905839538488e-19,6.95523276989488e-14,0.0195447045770749,0.0303313873755784,3.55517435037112e-16,1.13225093935919e-17,1.0840696522473e-15,4.83493986289572e-17,1.04684664561068e-14,0.0170811571223974,3.07204030264208e-14,8.9349000664001e-14,1.1298664463374e-15,5.43589357361648e-16,3.56440467799494e-14,1.22655637273236e-15,1.20400351966257e-16,0.0523697851157321,0.0422280871360387,0.0658208777096363,0.0042935541070022,0.0414901527365526,1.85579277835916e-16,0.0234952708071979,0.0431404215904989,-0.110275378645425,-0.0160110583432816,-0.152972877118956,-0.000609583417672348,2.64928168976823,0.00392856923245469,-4.12920644229465e-06,-7.36900860043894e-06,0.000241787958128637,-0.000243670746309869,5.01688887286782e-05,-0.000153099981886619,0.000519779329918541,-0.000181666944921639,0.000529993052898811,-0.00142906945874155,-0.000391643379455483,-232.740615292664,71.9501816922047,-266.207358686006,-0.644982166177208,0.199391859415371,-0.737726840851163,-0.411249544944597,-0.905868939192021,0.101367039958676,-0.562332819874427,-0.222492924762948,-0.796416158878325,-0.0123342867775448,-0.000308292058271244,0.00555644620495185,-0.0201919887033331,-0.00798917378570968,-0.0285973457619175
0.12,0.0369501012596874,0.0871992574953301,0.0424449424329593,0.0157262554657204,0.100812323517673,0.0331780275588146,1.59265642866262e-13,1.41927781255503e-15,1.66198349858989e-16,5.22472307727081e-14,0.0209312290129781,0.0308110355389957,2.84822221942237e-16,9.584127863308e-18,8.14923011480375e-16,3.85441092541575e-17,7.85134984208004e-15,0.0184793790823678,2.30403022698149e-14,6.70117504979948e-14,1.1614404313372e-14,4.07692018021236e-16,2.67330350849611e-14,9.75998185174705e-16,9.33421004113798e-17,0.0522939560528754,0.0432589042736875,0.0647574117714817,0.0040898569493484,0.0411359240459164,2.56731733194908e-16,0.0248360499486782,0.0432423164716228,-0.110521830588938,-0.0152569742028977,-0.152727506722406,-0.000880552052562876,2.64885003775625,0.00579755236123468,5.42617666543809e-06,9.78749378037852e-06,0.000198926666902761,-0.00019432689251372,4.84604453480933e-05,-0.000122978914415348,0.000413662670238514,-0.000150358142080758,0.000557364126791663,-0.00127839662058838,-7.73122573161309e-05,-232.536940532232,73.0806983816361,-266.478419380355,-0.64388986533992,0.202358906641659,-0.737873101702001,-0.414260004756128,-0.904642584896633,0.100052196632509,-0.562577511341504,-0.22273391733373,-0.796175951534566,-0.0123324338905743,-0.000307874481080335,0.00556058057858588,-0.0202007749721838,-0.0079978272362906,-0.0285887205069079
0.14,0.0372000505361503,0.0866736000016496,0.0425488293901326,0.01571531618739,0.100317662634982,0.0334702653398174,1.20731304531529e-13,1.0828330643901e-15,1.30792093447245e-16,6.08476208594388e-14,0.021394112299253,0.0319172663825307,7.47440625047199e-16,7.74626793669823e-18,6.11470386722895e-16,8.10033959566577e-17,6.76361358454107e-15,0.0191685565387887,1.73746252479744e-14,5.07316930652873e-14,8.83770649837215e-15,3.08908461857451e-16,7.01412353353832e-14,7.4242220152525e-16,3.02409318455625e-16,0.0519675598426236,0.0432248038379765,0.0640747512491867,0.00425982414432122,0.0414756753867629,2.07546703662091e-16,0.0257645707243793,0.0435263692414393,-0.11093952645712,-0.0145139880780201,-0.152522764084523,-0.00147430860905209,2.64886532044803,0.00771779480883246,7.4542854055478e-06,1.34085837936895e-05,0.000297363180505055,-0.000303471124679805,5.6557180720578e-05,-0.000189611729372081,0.000648696936524771,-0.000222620216103005,0.00035648953938136,-0.00123468208544876,-0.000255156786296158,-232.534230767583,74.2632882574559,-266.42456976639,-0.643526490044513,0.205519819915248,-0.737316255234478,-0.417411149476187,-0.903252309043152,0.099514815485845,-0.563007808671138,-0.222954945425582,-0.795809838897207,-0.0123292089659546,-0.000308221695044603,0.00556770818137603,-0.0202162258911271,-0.00800576381152875,-0.0285755743024247
0.16,0.0363512420081996,0.0870009064092269,0.0421636607929306,0.0156029130074725,0.100882702905228,0.0325829494045593,9.39093745074305e-14,8.17939673657327e-16,2.00601342994624e-16,4.56360447120515e-14,0.0209860913244758,0.0335596343190136,5.85847369136667e-16,7.35017203760645e-18,4.61325765039675e-16,6.09693763702006e-17,7.21656245440962e-15,0.0191789585159503,1.30372523910414e-14,3.80491951425459e-14,1.31084391279757e-14,2.32901767684094e-16,5.26059265015337e-14,5.62666666123436e-16,2.26806988841719e-16,0.0513835328773897,0.0424294030951388,0.0636762848455965,0.00471791548006697,0.0423681082735066,1.55660027746568e-16,0.0262424798182391,0.0437904648137275,-0.111555731979318,-0.0138100437775913,-0.152388653141829,-0.00239727791335172,2.64935431955143,0.00963298710379447,3.03441276091712e-06,5.47129384670064e-06,0.000146228445744382,-0.000140620294702895,3.99470296673564e-05,-9.0697073173499e-05,0.00029667468347973,-0.000111435635641237,0.000425634110786098,-0.00126213745831569,-0.000911137123337608,-232.654977586939,75.3511319590697,-265.972572076744,-0.643914197755796,0.208547713823508,-0.736126590327708,-0.420406105605971,-0.901840033184472,0.0997159010140835,-0.563636685608439,-0.2231619006095,-0.795306514969348,-0.0123244987258918,-0.000309423836788961,0.00557806030598021,-0.0202388073154456,-0.00801319506325025,-0.0285575011779222
0.18,0.0348994168273262,0.0879854590980495,0.0415081601857803,0.015525349707523,0.102287939062713,0.0309344639110179,7.04320308805663e-14,6.18056504712801e-16,1.50451007245968e-16,3.4227033534037e-14,0.0198595864542066,0.0357166710442907,4.393855268525e-16,5.51262902820484e-18,3.52130220587172e-16,4.57270322776505e-17,1.74090208555696e-14,0.018684594013892,9.93910888691165e-15,2.85368963569084e-14,9.84925029014444e-15,1.7467632576307e-16,3.94544448761482e-14,4.29216429575511e-16,1.86763288504138e-16,0.050542331887256,0.0414141314996316,0.0633590732290456,0.00532564491001723,0.0435655684243035,1.16745020809926e-16,0.0264160055915909,0.0437198200474295,-0.112389039086903,-0.0131806822839886,-0.152353592826209,-0.00362215995853796,2.65031561547637,0.0114741101783039,-5.13747259220876e-06,-9.24888084004822e-06,0.000148444288863732,-0.000143019875470585,4.04110306555962e-05,-9.24309221546622e-05,0.000301329235876421,-0.000113111487370202,0.00040217873941337,-0.0012988760923413,-0.00196715441670234,-232.801502217623,76.2193791697266,-265.104300230546,-0.644965569396164,0.211162191038059,-0.734458946006847,-0.422997190869899,-0.900542104015619,0.100485299478564,-0.564470747974214,-0.223363331702148,-0.794658163446615,-0.0123182333186112,-0.000311526924179996,0.00559176605521008,-0.0202687564439197,-0.00802042795843884,-0.0285342204691318
