time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0287468614237459,0.115623522139732,0.0103993438209991,0.0328458649021024,0.100144416966184,0.0971865078451764,6.0427159794107e-18,0,0,3.90177544942503e-18,0.0223193336816939,0,0.0161043548640287,2.41731057484412e-19,0,0,0,0.0199697684463894,0,0,0.0433225473094815,0.0339364653725306,0.00935132527883231,0,0.0117504384325991,0,0,0,9.10035091724672e-18,8.70273813488814e-20,0,0,0.0407093539648461,-6.97897542242048e-08,-0.0403665656548331,-0.227903009329453,0.000825753086872677,2.65602323066275,0.000418927240222861,0.0742668786646277,3.55480279552514e-08,0.000144659556240351,-9.11153942744157e-05,0.000157410981137871,6.32390501288451e-06,0.000290207490729471,-0.00013130200276688,-3.27374749892087e-07,-0.00195839183596951,-0.000770487782391701,-165.971861395962,145.199512026036,-191.693140738489,-0.568024447129503,0.49693286469383,-0.656053317536317,-0.590097806972188,-0.807151558278593,0.017056968518857,-0.635632755859831,-0.110913582519965,-0.763982445407369,-0.0117018879836788,0.00343841311603826,0.00586062296972958,-0.0228240091493437,-0.00398263399562815,-0.0274327308704037
0.02,0.0288895417989676,0.115625963516624,0.0104906447474366,0.0327879980884049,0.100160402435042,0.0969604728305535,8.99186394027917e-18,0,1.24373352506322e-18,1.3080018134097e-17,0.0223434454827411,0,0.0159974914909318,1.81298293113309e-19,7.1810124090075e-18,0,1.28499569652723e-17,0.0197621778687516,0,0,0.043293698214829,0.0339705581769289,0.00938489016231084,0,0.011640367748914,0,0,8.64919252156065e-18,7.28938875191161e-18,1.12576916957054e-18,0,4.40786620418255e-18,0.0406369364507147,1.01833399738693e-07,-0.0403992261714692,-0.228175807121508,0.00150514487770047,2.65623562325905,0.000253781560417618,0.0742503865056695,-1.98243162033325e-08,0.000148687034295864,-9.46248549827181e-05,0.00016275431474017,5.76259014913318e-06,0.000298328808256434,-0.000135041566430192,-1.72937481168271e-06,-0.00193914420061427,-0.000764899763909983,-165.826556153465,145.18852886929,-191.440615312385,-0.568020208426486,0.497326968264039,-0.655758285846569,-0.589655484159755,-0.807481986036925,0.0167108415762782,-0.636171716430272,-0.109916610278579,-0.763677867951553,-0.0116948762743761,0.00344911291598528,0.00586832665691428,-0.0228433618980456,-0.00394683517414003,-0.0274217942429657
0.04,0.0288570535913977,0.115599872120068,0.0107329310802919,0.032747505392112,0.100431431548997,0.0969119914127543,1.31968088922001e-17,0,2.53414023698542e-18,9.81001360057275e-18,0.0222063480850181,1.53296047255316e-18,0.0159925186845532,1.35973719834982e-19,6.58528719484219e-18,0,9.63746772395422e-18,0.0197690684266286,0,2.24040535696741e-18,0.0430113855545723,0.033924701440652,0.00961256434862462,0,0.0117239872878898,0,2.24135458828249e-18,6.48689439117049e-18,5.46704156393371e-18,8.44326877177902e-19,0,6.16852778046511e-18,0.0403955089663088,-1.75898518598461e-07,-0.0402498859590426,-0.228175645474516,0.00282204794113245,2.65658420663602,-0.000278626076856654,0.0748672594115601,3.55884144872383e-09,0.000165178579375992,-0.000108216397077895,0.000186178490720645,4.35023571384462e-06,0.000330907600035711,-0.000150197768919612,-7.45325138320279e-06,-0.00194761755870811,-0.000782066358955732,-165.65624607369,145.218197016668,-191.213681904171,-0.567885692026909,0.497822075909086,-0.655499062950273,-0.589306499158002,-0.807746235739183,0.0162440358076374,-0.636708192953937,-0.108918435451721,-0.763373729862432,-0.0116878719201955,0.00345970748437355,0.00587603972349651,-0.0228626254507365,-0.00391099317076493,-0.0274108733921053
0.06,0.028971418902042,0.115418399964762,0.0108365102078965,0.0326708050174891,0.100793858672948,0.0968906334602749,9.89760666915008e-18,1.04419438135389e-18,2.65305684081659e-18,7.35751020042956e-18,0.0222190617396603,1.14972035441487e-18,0.0157667693176603,7.35729805326356e-18,3.0750493606766e-17,0,1.14126816897005e-17,0.0194654403179063,0,1.68030401772556e-18,0.0428931080554251,0.0340583687537797,0.00979298159298727,0,0.0115141440801523,4.88222973416674e-18,6.94045132669656e-18,4.86517079337786e-18,5.45143473333725e-18,2.58513267677049e-18,0,4.62639583534883e-18,0.0402530079367302,4.3229591506607e-07,-0.0399478456992553,-0.228160113122557,0.00408609154683625,2.65682764069671,-0.00103419327008618,0.075623988053207,-5.05239374157286e-08,0.000209918318170057,-0.000143917779710293,0.000251106566762468,3.87049933257427e-07,0.000416250181950009,-0.00019085429084949,-2.29302563302406e-05,-0.00190889839880768,-0.000776236439331831,-165.535964884297,145.036841246313,-190.926338591396,-0.568149053341985,0.497792392797547,-0.655293359389136,-0.588465071021933,-0.808363735531209,0.0160290756184516,-0.637261360329175,-0.107916768826517,-0.763054342519229,-0.0116807280581229,0.00347017481072184,0.00588406726233182,-0.0228824883308621,-0.00387502578549805,-0.0273994049780309
0.08,0.028778841171386,0.115326296408862,0.0111217776571487,0.032639776872109,0.101047358433543,0.0969159840649236,1.07673091828082e-17,7.83145786015416e-19,3.09101447866024e-18,5.72937794141154e-18,0.0220587374777823,8.62290265811155e-19,0.0159266042027487,8.43855922936167e-18,2.30628702050745e-17,1.15044766697861e-18,9.7860937476018e-18,0.0197195674389908,2.64045522863085e-18,1.26022801329417e-18,0.0426452218014806,0.0340444396357555,0.0101010926124766,1.2734948114795e-18,0.011785164302779,3.84369551005683e-18,5.61183710133432e-18,3.6488780950334e-18,5.31954931168118e-18,1.93884950757787e-18,2.65893635182387e-19,4.5682362086659e-18,0.0400880627236623,-5.68292263092047e-07,-0.0396261323189827,-0.228089615930072,0.00530484944583348,2.6570256357934,-0.00181965233396704,0.0764280511931941,-3.68920542444386e-08,0.000160976302002949,-0.000104268145752536,0.000180209418717368,4.60894154385587e-06,0.000321082060588317,-0.000146130476539579,-6.12209016269681e-06,-0.00194859750326225,-0.000808848410761359,-165.522503062679,145.259032825664,-190.865845275256,-0.567979256611939,0.498446531159859,-0.654943218632923,-0.588259433293127,-0.808523048029205,0.0155344760842621,-0.63784908511496,-0.10691253848293,-0.762704565171301,-0.0116733092567518,0.00348050269579774,0.0058926836596927,-0.0229035920826188,-0.00383896634340862,-0.0273868453336203
0.1,0.0290396106930323,0.115081464796867,0.0110057766687346,0.0325259548166922,0.101514185519128,0.0968848467236025,8.07548188710647e-18,5.87359339511572e-19,2.31826085899517e-18,4.29703345605863e-18,0.0222406038709673,6.46717699355698e-19,0.0155042777783401,6.32891942202256e-18,1.72971526538059e-17,2.78654452060374e-15,7.33957031069842e-18,0.0191116841657962,1.98034142147307e-18,9.45171009971572e-19,0.0427506495521575,0.0343139337972492,0.0103004985837894,9.55121108609622e-19,0.0112550307646547,2.88277163253988e-18,8.4048160380221e-15,2.73665857127504e-18,3.98966198376094e-18,9.0317697376926e-15,6.67449884027337e-19,5.80035833719045e-15,0.0400375054233205,1.3028604121727e-06,-0.039321447211401,-0.227978075102713,0.00642046860688815,2.65720652266188,-0.00260636647568048,0.0771993036436724,7.84712365907465e-08,0.000240198317893103,-0.000167990207412535,0.000299416673501877,-5.63029595109195e-06,0.000467652161831992,-0.000217465840801527,-3.47855495812109e-05,-0.00186780287656187,-0.000784613491655331,-165.517273849946,144.865879830808,-190.576802276884,-0.56871868288377,0.497760327099556,-0.654823423912655,-0.586804356753315,-0.809579768380798,0.015532080473071,-0.638486298549654,-0.105911243225679,-0.762310996328108,-0.0116655066036941,0.00349068404602532,0.00590210549739897,-0.0229264728500579,-0.00380301229305168,-0.0273727132443043
0.12,0.028586570809889,0.115105142935495,0.0114306074429055,0.0325686630463349,0.101521716362476,0.0970024156688754,2.86808936481847e-17,4.40519504633679e-19,1.73869564424638e-18,3.22277509204397e-18,0.0219501001337233,2.55862907416066e-18,0.0160292836669946,4.74668956651692e-18,1.29728644903544e-17,2.0899083904528e-15,5.50467773302381e-18,0.0199009227254977,1.4852560661048e-18,9.47977988451144e-18,0.0424405249174741,0.0342461268329138,0.0105935738633607,6.52680968263906e-18,0.0119939093294682,9.99245810262619e-18,6.30361202851653e-15,4.82031637572915e-18,6.69431151356083e-18,6.77382730326939e-15,5.00587413020502e-19,4.35026875289281e-15,0.039949594457396,-1.44488230641276e-06,-0.0390767824459373,-0.227864844660409,0.00734818656352099,2.65740237992733,-0.00335526565324542,0.0778268648545097,-1.13758387486263e-07,0.000157124514121118,-0.000101207058653084,0.000174536003951556,4.88074602031366e-06,0.000313431252302377,-0.000142622258295223,-5.01740016673889e-06,-0.00197808554100128,-0.000844097894383929,-165.654155813721,145.48454412698,-190.761693645461,-0.568198841072021,0.499016453651774,-0.654318466795199,-0.587174707787814,-0.809325990101773,0.014741244183568,-0.639183802557816,-0.104923394447836,-0.76186294557832,-0.0116572485303208,0.00350071204631446,0.00591247330679426,-0.022951518503727,-0.00376754107270347,-0.0273566248437015
0.14,0.0289472479235172,0.114921777273552,0.0111053083109597,0.0324515217793189,0.101883418852086,0.0969247764700873,2.15106702361386e-17,1.36173373983681e-15,1.16237632042732e-17,1.46107098030863e-15,0.0222756625239753,3.09357832921145e-15,0.0155462122259936,3.56001717488853e-18,9.72964836776582e-18,1.97511476512599e-15,7.16930259387342e-16,0.0191602753876004,2.00533924750573e-15,1.97812489109631e-15,0.0427997244955995,0.0345964532356831,0.0107248684304414,1.66469494143896e-17,0.0112934758936183,2.89530719715811e-16,1.59582240381538e-14,1.4889457118994e-14,1.10796558490049e-15,5.08037047745201e-15,9.73366311617004e-19,3.9276776313282e-15,0.0400505419684074,1.18574291017303e-06,-0.038936087539024,-0.227811367998957,0.00798795388111839,2.6576412707605,-0.00401799747860759,0.0781826092841193,1.2506506761594e-07,0.000100740500379454,-5.27971378633831e-05,8.56102779884995e-05,1.7394404698746e-05,0.00021090012556477,-9.1866225762946e-05,1.74833735694801e-05,-0.00187955537555307,-0.000806292703251831,-165.826276218345,145.049570759,-190.562834526746,-0.56927550430344,0.497949838987533,-0.654195198738384,-0.585396454183809,-0.810611178576819,0.0148495318217561,-0.639947568010207,-0.103964007906636,-0.761353134398099,-0.0116485065369997,0.00351057705493193,0.00592384275038541,-0.0229789434429118,-0.00373309186128031,-0.0273383187779198
0.16,0.0285249370520125,0.115066754279932,0.0113454537711565,0.0324987323055754,0.10164854977328,0.0969507630888023,1.61330026771039e-17,1.02452409790906e-15,1.94935581515594e-17,1.09580323523147e-15,0.0220946850197199,2.32018374690858e-15,0.0161343078346346,3.29901539106419e-18,1.07990574020181e-17,1.48518475229075e-15,5.37697694540506e-16,0.0199778749940139,1.51167940637173e-15,1.48359366832223e-15,0.0427573956575246,0.0345647730091189,0.0109407852668114,1.32878812051119e-17,0.0119892645144615,2.17148039786858e-16,1.19707182469492e-14,1.11700991873521e-14,8.31143204467974e-16,3.81829258828036e-15,2.3189489331823e-18,2.95183584715213e-15,0.0401428408939642,-1.5739295720653e-06,-0.0389374018564686,-0.227894148030386,0.00823913856554641,2.65793971338755,-0.00453723913799657,0.0781459633942713,-1.99626017178168e-07,0.000128653777463308,-7.63440568921886e-05,0.000129301899700075,1.13834592588414e-05,0.000261057817692393,-0.000116908607093253,6.6133861185083e-06,-0.00199567777417746,-0.000860469364057658,-166.190349590169,145.783053981334,-190.920245913137,-0.568949982091931,0.499085934631751,-0.653612383397334,-0.58571634627937,-0.810393472684568,0.0140989762533,-0.64077851869212,-0.103051279168872,-0.760778104209362,-0.0116392956224528,0.00352026734856548,0.00593618429129411,-0.0230087808384705,-0.00370031801684017,-0.0273176708579253
0.18,0.0289285788160862,0.115017366313884,0.0108423584939273,0.0324155608063455,0.101645799380113,0.0967753657038562,1.2099752007828e-17,7.72936907964242e-16,1.46201686136695e-17,8.21943654825332e-16,0.0225435364887547,1.75030671939306e-15,0.0157385301894875,1.89446390346374e-17,8.09929305151356e-18,1.11388856421806e-15,4.05889466373123e-16,0.019292753406613,1.13863394312263e-15,1.115782176718e-15,0.0433947462761667,0.0349733876527658,0.0109206084688938,1.20620212380087e-17,0.0113172040322873,1.62861029840144e-16,8.97894190491039e-15,8.37757439051395e-15,6.30464749477725e-16,2.87003251682689e-15,3.59281104062812e-18,2.21453968042906e-15,0.0404909083785007,1.26404226128145e-06,-0.0391060270061766,-0.228195338183952,0.00801499839181306,2.65829719323869,-0.00484633788542689,0.0776190433294566,1.47640784778628e-07,0.000182459672852765,-0.000115871956465553,0.000216018637191949,-5.2770229456783e-07,0.00034261905705419,-0.000162754178273654,-1.4659742051685e-05,-0.00190485603130702,-0.000815949869116577,-166.595571086468,145.537375667723,-190.912854643052,-0.570135290987118,0.498068426937662,-0.653355639800314,-0.584073855143796,-0.811576026941495,0.0142156333422792,-0.641672739860596,-0.102204672506183,-0.760138342565154,-0.0116296698473991,0.00352977512564685,0.00594938950946175,-0.0230408901216103,-0.00366991845351217,-0.0272946985905489
