time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,5.18503534935887e-15,-9.86076131526265e-32,0.0465614956318735,1.39143888361062e-15,0.227372458656962,0.0135411207933315,1.97178004752074e-16,1.82960549772212e-15,2.30642478406631e-15,2.23692431948355e-15,3.34836843970435e-16,0,1.1467313757885e-17,0.047998625348001,7.9055925893314e-17,0,0,-1.48676928773644e-30,0.15365900474724,0.0456631665366229,0,0.0532636633392279,0.0917914000190605,0.0709486966959214,0.0347822314106043,0,0.0400636076711995,0.233298428218273,0,3.60835632804895e-16,2.67796059749957e-17,0.131363273102823,9.80176639832272e-16,-1.483804148607e-05,-0.00291164251422444,-0.192408061962263,-0.00189784503522133,2.90932530737363,-0.00223501345239408,-0.0102592384567667,-0.0156347049855799,-0.000639262718760274,0.000333319616856148,-0.00085727199559464,0.000653474006380624,-0.000322912744964628,0.000582780930662328,-1.27305461770995e-05,0.0193813412675436,0.00159316072367882,-453.226399745927,46.5435756982593,-310.484064021792,-0.822038394171603,0.0844183089234208,-0.563139794035443,-35.9075408542615,0.678496143194819,-3.60608282703503,-0.812342099005426,-0.0149471383092093,-0.582989620181889,-0.00983198959769307,-0.000436162232717585,0.00928684617025813,-0.0291692071076739,-0.000536714979492231,-0.0209337236042916
0.02,1.03522259688043e-14,0,0.0491389705727613,1.04357916270796e-15,0.223037508745605,0.0162919416362886,6.72577345480105e-16,2.54544448393786e-15,3.9095738971448e-15,1.67769323961266e-15,5.81755031937333e-15,1.52333266452241e-14,8.60048531841374e-18,0.046881005837471,5.92919444199856e-17,1.9432577366868e-15,2.25626544844853e-29,0,0.14514362351081,0.0394790051699487,0,0.0523026328324226,0.0888102469213749,0.0660154085436491,0.0339234964729651,-7.88860905221012e-31,0.0372930910316562,0.230061102611171,2.15282418490094e-16,5.08025077070077e-15,4.88116856544283e-17,0.127025395925642,7.35132479874204e-16,-2.53559867724404e-06,-0.00390242816171065,-0.193142851755244,-0.00565473164679133,2.91036339717954,-0.00466686877130571,-0.00848336621910812,-0.0150881818807677,-0.000556723716362785,0.000285807082622688,-0.000759731534575733,0.000588186517380457,-0.000245206636926564,0.000523819725038109,2.62163712424564e-05,0.0190795393022879,0.00144452014673787,-448.13709859105,44.4894180746132,-303.673674720538,-0.82505390011067,0.0819083445925777,-0.55908593704213,-35.9075408542615,0.908978070210172,-3.54490285855019,-0.811665283464138,-0.0156167892542616,-0.583914020650702,-0.00984295166397584,-0.00041887883268981,0.00927602349051534,-0.0291449043259743,-0.000560760498159792,-0.0209669165518912
0.04,1.50131316933501e-14,7.08073258448704e-18,0.051813228741335,1.93179808584667e-15,0.218896061306089,0.0194292967520413,5.04562570056336e-16,1.92631047403918e-15,2.93305746214978e-15,1.26275080475064e-15,5.01078284156893e-15,2.05923855480024e-14,1.97094912803279e-16,0.0460793461362701,5.05086598342799e-17,1.45744330251509e-15,7.26149212467738e-17,2.54996642112211e-16,0.136203252728377,0.0334551130830213,8.50818070861994e-16,0.0520335817237083,0.086048690015096,0.0605889193390568,0.0333094666408338,0,0.0348439465172894,0.227674429483847,1.62766251222979e-16,5.05749616935329e-15,3.6608764240819e-17,0.122363965826022,5.51349359905654e-16,-7.03498216927831e-07,-0.00582646759219049,-0.194175220029408,-0.0141669684370464,2.91236183742859,-0.00911393821270409,-0.00688951994891326,-0.0144991726357527,-0.000522077610348187,0.000244181923236367,-0.000666677436453285,0.000490561555960622,-0.000154038031317972,0.000424349353575953,-8.07472655437626e-05,0.0189255218136427,0.00145737924172582,-444.405155655536,42.7832857200325,-297.744192169134,-0.828131808736779,0.0797249971926413,-0.554834779173931,-35.9075408542615,1.14436435524615,-3.49460116578617,-0.811013189166447,-0.0162669731926681,-0.584801669441203,-0.00985347948851219,-0.000402318259265996,0.00926557341561565,-0.0291214892233391,-0.000584107004490908,-0.0209987898371003
0.06,1.12598487700124e-14,5.31054943836518e-18,0.0541875433336984,2.40685928180036e-15,0.215098120753011,0.0225812325409573,3.78421927542251e-16,4.68683244310391e-15,2.50312552259126e-15,2.83016425369853e-15,3.5519784459994e-14,1.6174095923966e-14,1.83412749097662e-16,0.0454209551894533,7.24447675917942e-16,1.40606371221312e-15,1.60986920758576e-16,1.91247481584158e-16,0.128099132950329,0.0279690814621574,9.3493673311541e-16,0.051989246990044,0.0836893219879788,0.0556653804660627,0.032935471859896,5.92936785792219e-15,0.0331114596885075,0.225541996338046,1.22074688417234e-16,7.25706056954566e-15,3.9354919259923e-15,0.117848290517225,1.01699657578755e-14,-1.02703834491849e-07,-0.0075534883000569,-0.195285373854549,-0.023089847177054,2.91409896860152,-0.0127853897199618,-0.00541809322925506,-0.0139334403044634,-0.000546010002801374,0.00025064852460942,-0.000665303344204826,0.000475525130539564,-0.000152202656457805,0.000399163504796739,-0.000162482325752819,0.0187202868798194,0.00148297307853402,-441.515202179645,41.2387927605895,-292.615647918394,-0.83103787379169,0.0776213332730324,-0.550773075726024,-35.9075408542615,1.36661111509214,-3.44503074236291,-0.810416314845901,-0.016877302052165,-0.585611264668832,-0.00986308057503377,-0.000387285013082717,0.00925599376736316,-0.0291000569342892,-0.000606022412947826,-0.0210278604108118
0.08,1.10267794904512e-14,3.98291207877395e-18,0.0562294581975419,2.97179135808056e-15,0.211802904676441,0.0254980080791701,3.07342705261689e-16,5.90925916053326e-15,5.0605095434767e-15,6.55991656587031e-15,3.39175866676426e-14,1.61654716588425e-14,2.24831024932952e-15,0.0449454131386524,2.6115656877372e-15,1.92375892434369e-15,2.32900187028871e-16,2.54054656141099e-15,0.120171414022162,0.02382665812155,1.77470781370004e-15,0.0521561880267759,0.0818443572738369,0.051018240094363,0.0327015428377031,9.47729020472646e-15,0.0316962111546261,0.22409389927758,5.44546838041786e-16,1.242488595805e-14,2.96117193877626e-15,0.114134019404331,4.09173351711515e-14,-2.24449370205863e-08,-0.00897365524742289,-0.196344690067485,-0.0306733266112039,2.91547816939166,-0.0155245987813407,-0.00437430491809056,-0.0134693800676325,-0.000540969824232964,0.000252529102881383,-0.00066594138208201,0.000482690263661846,-0.000158681708235797,0.000405143544272702,-0.000144530340452237,0.0185796460041423,0.0015099652136127,-439.62422743243,39.9926226202597,-288.715137653384,-0.833457208165077,0.0758196148355001,-0.547357714994382,-35.9075408542615,1.55375501952902,-3.40324688331862,-0.809901002715144,-0.0174310689361375,-0.586307533327646,-0.00987133395882611,-0.000374473857128972,0.00924771885040226,-0.0290815533429014,-0.000625906819957806,-0.0210528617061237
0.1,1.06774499563461e-14,1.16994005785726e-15,0.0580836654022547,2.72930228801625e-15,0.208898782537206,0.0285501576911225,2.72910614657079e-16,4.98029883562033e-15,5.8590605020604e-15,5.87671057716112e-15,3.59640464032762e-14,2.24899422913515e-14,2.16159098002753e-15,0.0446603890344296,1.9586742658029e-15,1.6594780419071e-15,5.06877206993098e-16,1.90540992105824e-15,0.11351611123831,0.020446716039054,1.70315516377926e-15,0.0524670763756637,0.0802895712935571,0.0470144879980241,0.0326279776358653,1.11536988182369e-14,0.0307522553651871,0.222838200252873,8.80630398971998e-16,2.11100472807538e-14,2.22180601162212e-15,0.110449462628621,3.06880013783624e-14,2.10153188169283e-08,-0.00999523874981435,-0.197294876308707,-0.0364015199083395,2.91643757447219,-0.0171593673605032,-0.00335094658859836,-0.0130179417960852,-0.000425867123337339,0.000207425681993311,-0.000603204735321805,0.000476535845965925,-0.000125551045982245,0.000430523462829377,8.4333753007613e-05,0.0183947310664599,0.00152561040902856,-438.043257287939,39.1633343362728,-285.524148323863,-0.835407310675437,0.0746897373047396,-0.544532890109847,-35.9075408542615,1.70620269002066,-3.38253840225537,-0.809487735896206,-0.017916633843381,-0.586863356894394,-0.00987791579088088,-0.000364415560092743,0.00924109028525646,-0.0290667139477166,-0.000643342261702047,-0.0210728199635545
0.12,8.4994934755759e-15,8.79343232144957e-16,0.0593640175633129,3.96366499272804e-15,0.20682486978194,0.0308948273623378,2.52913077499893e-16,5.75652932848358e-15,4.58344770714673e-15,6.82827680099554e-15,4.60593516541974e-14,2.26221079290408e-14,5.81867388117941e-15,0.0445069675337658,2.98497271583226e-15,2.12922857522996e-15,3.94514549134467e-16,3.28148323720338e-15,0.107722795732204,0.0183728618301148,1.60318942170159e-15,0.0529915225299965,0.0789439926560045,0.0432873478272064,0.0326160235304299,1.4332903023587e-14,0.0296543390888862,0.22236615519271,1.69794416780323e-15,1.71681323735579e-14,1.03190200987646e-14,0.107714132864756,4.52932041325045e-14,-1.86182752382563e-08,-0.0105335391744175,-0.198042234768091,-0.0398407423787152,2.91691765120792,-0.0176946638535904,-0.00259005820998044,-0.01268084857869,-0.000460612715791535,0.000199686840869436,-0.000555052952651251,0.000405406309355358,-3.39629606858194e-05,0.000316741095974023,-0.000150743463595859,0.0183273603234644,0.00156872226294544,-437.133226218876,38.4830113574527,-283.424779955573,-0.836787586228567,0.0736665717752727,-0.542549326547041,-35.9075408542615,1.81400195083806,-3.36206738997698,-0.809190169071415,-0.0183280667613677,-0.587260889423913,-0.0098826129884248,-0.000357439200143479,0.00923633945195015,-0.0290560290547986,-0.000658115806013444,-0.0210870943790991
0.14,6.43313094910871e-15,6.60459356313318e-16,0.0601884066827283,4.46719903163379e-15,0.20546646226092,0.0328624714620991,2.40032889323957e-16,4.31739699636266e-15,3.80313048104742e-15,5.64383503601084e-15,3.68471086732073e-14,1.89537347968878e-14,7.081600677778e-15,0.0443868537613576,5.46100705680378e-15,1.99990085573977e-15,1.23579240812685e-15,2.46111242790253e-15,0.103793056971099,0.01680983804435,1.72545822412872e-15,0.05331292256907,0.0780985318763464,0.0409116622673609,0.0326140282297722,1.93129765560347e-14,0.0290273619040115,0.22175540439466,2.43245503160096e-15,1.46509379757345e-14,1.76179443201495e-14,0.10578256014839,4.82784137735171e-14,-3.58746546529947e-09,-0.0105730044935463,-0.198560212321821,-0.0408829039890974,2.91694604160734,-0.0171414331250437,-0.00199830415932118,-0.0124405935479141,-0.000400703661153848,0.000204713926181401,-0.00058210131012846,0.000477827469202048,-0.000124267913470488,0.000424641323246695,0.000114807968882637,0.0182446629095687,0.00157765630760205,-436.478864109619,37.88522225681,-281.790334904692,-0.837904260954614,0.0727278953608651,-0.540950185054484,-35.9075408542615,1.89662403167059,-3.34169089856477,-0.80901491308559,-0.0186650089055639,-0.587491691726505,-0.00988532519136824,-0.00035365391346167,0.00923358237645749,-0.0290497360433276,-0.000670214569821692,-0.0210953819222087
0.16,4.8248482118315e-15,4.9582727592897e-16,0.0607505011907268,3.35039927372533e-15,0.204743101780067,0.0344290301720109,4.56949981302546e-16,3.23804774727198e-15,4.75421738664721e-15,4.2328762770081e-15,4.79394222343695e-14,1.81834886837087e-14,1.3440507537154e-14,0.0443922125922361,4.93621023965993e-15,3.15147410983708e-15,1.93537651811807e-14,1.84728187042846e-15,0.100988137599235,0.016383653168046,1.29409366809654e-15,0.0535830605483887,0.0774179953519623,0.0391528372321787,0.0326182993849904,1.83587170688232e-14,0.0285178108817127,0.22124302840342,1.82434127370071e-15,1.09942275669519e-14,2.29462633669469e-14,0.104350722021414,4.73314738187319e-14,-2.41906070971631e-08,-0.0101377624709049,-0.198844850064123,-0.0396238895534523,2.91658499742041,-0.0156079995362173,-0.00142582862241444,-0.0122622132191004,-0.000342000423476686,0.000135407490951961,-0.000449299043827711,0.000336909378841923,3.63092359122325e-05,0.000280131900046522,-2.11694893688428e-05,0.0181783922544596,0.0015881192135356,-435.687077022861,37.7127534003292,-280.747241242752,-0.838380045631787,0.072569561008598,-0.540233799295696,-35.9075408542615,1.93101780854578,-3.34631774863048,-0.808961984193551,-0.0189318560058135,-0.587556033887669,-0.00988605679965895,-0.000352950656436264,0.00923282597694067,-0.0290478354969744,-0.000679796392975746,-0.0210976922909893
0.18,5.03078602515458e-15,3.72461537913892e-16,0.060946294910231,3.45987295752095e-15,0.204652666008105,0.0355877342170554,3.4271248597691e-16,2.8709919999697e-15,3.75627357260133e-15,8.90640088281007e-15,3.60196803019056e-14,1.4229220399555e-14,1.22223314900806e-14,0.0443733047807258,3.93826461764827e-15,6.28476551180679e-15,2.03989213687973e-13,1.38578585728915e-15,0.100081688649346,0.0162708783567683,2.07305519230126e-15,0.0536921912017298,0.0772073458838517,0.0386980558273083,0.0326279891048144,2.00840916795121e-14,0.02832126972064,0.220866426401981,3.65470651865631e-15,8.30264292415302e-15,1.77962143252279e-14,0.103781835583875,3.6188076601417e-14,-9.75481933634302e-09,-0.00928822783735135,-0.198907954827893,-0.0363354748332974,2.9159199598148,-0.013290395694809,-0.00103911623600532,-0.0121876022094114,-0.00031502310743528,0.000137692674050879,-0.000442773977984802,0.000355158537133351,1.14500028604391e-05,0.000299211448483695,5.03764657461049e-05,0.0181405074490884,0.00156837864475127,-435.394287544281,37.3792419085246,-280.211068040367,-0.838719088914025,0.0720052711179088,-0.539782855250576,-35.9075408542615,1.94718427064459,-3.33387807524635,-0.809025754973695,-0.0191364653703839,-0.587461593197692,-0.00988490175788576,-0.000355022456749898,0.00923398316137641,-0.0290501253488677,-0.000687143412093222,-0.0210943011580557
