time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0134275278195004,0.126977434088107,0,0.0431336166337331,0.124425091520963,0.128673488492733,2.32758772176898e-19,0.00389489137019819,1.1183536030567e-16,0.0128602324033287,3.49145513590392e-15,2.88889491658085e-33,0,4.85691345567063e-18,1.06991344036407e-17,1.12645750629883e-17,1.10086309821591e-17,5.32768723887424e-18,0.0040586272790553,0.0183400269415134,2.13519789239976e-17,0.0299318574258194,0.0541121206054039,7.6688148208208e-16,0.0119402777112457,0.0357500363154296,0.03973944004128,0.111613782944814,4.00653077430909e-16,5.90630868856268e-17,2.87963784811013e-15,0.111466429895541,1.2523019885605e-16,-0.000130245114549213,-0.00247684396948243,-0.162280067669459,-0.001623626930487,2.91607737033539,-0.00140239282720501,0.0631043039358854,-0.00913310664804047,0.000209567723844252,-4.35249880544511e-05,0.000299736877587725,-2.91092004632747e-05,0.000217563767062657,-0.000171501869504546,8.7163452991938e-07,0.00818574243323801,-0.000116461875420611,-325.755200344474,-47.9531951185033,-284.528107433701,-0.74857141886312,-0.110194376853904,-0.653833335163507,-35.9075408542615,2.43938832372648,-1.68020841481453,-0.702120790950231,-0.166085516361416,-0.692417501346106,-0.0112679233402006,0.00150317479357567,0.00734017287751146,-0.0252114309856718,-0.00596372246404868,-0.024863009717791
0.02,0.0141497954173242,0.12798266038251,4.83755177646879e-17,0.0425570516090486,0.125491596968464,0.127392054392307,9.56178434161306e-18,0.00551220331701753,9.65385548624267e-16,0.0137166896476876,2.61859135192793e-15,1.02389098230045e-14,1.76298992324689e-15,4.13472463003027e-18,2.78242996776602e-15,3.95871794398259e-16,7.93894041152083e-17,1.45097766192712e-15,0.00541420102195145,0.0178268751395592,1.24516804771732e-15,0.0296199437575712,0.0537972086727792,6.80685817809167e-16,0.0129315765060557,0.0363582296044006,0.0404421649202911,0.112127600924313,6.31710248783181e-16,6.24619426803198e-16,2.94628159890379e-15,0.110184094903879,1.80155441752348e-16,3.13881003443009e-05,-0.00335076643159186,-0.162874903999001,-0.00508091917540656,2.916690713239,-0.00344963594923504,0.0635478664723478,-0.00896241935700771,0.000198086362735033,-3.85858117093488e-05,0.000272321560095153,4.67406160739327e-05,0.000314536700334154,-0.000188053593091271,1.14418213045154e-07,0.00784400462375119,6.57176398394482e-05,-326.019888590285,-48.1756714205246,-285.640499138438,-0.74754687418825,-0.110464342338305,-0.654959006322641,-35.9075408542615,2.4167027222789,-1.67716408724627,-0.701507058368114,-0.166239058129984,-0.693002469412463,-0.011274580499499,0.00151678136780126,0.00732713979497052,-0.0251893933579059,-0.00596923577137634,-0.0248840144825321
0.04,0.0146065766968505,0.128827684324867,5.64074762135502e-17,0.0426047496012035,0.125537892800836,0.12694883312361,5.32165978239528e-17,0.00544191886086679,1.20473538329036e-15,0.0133536979533405,3.22362507341605e-15,2.34659538190873e-14,1.28789686040482e-14,3.55954988680139e-18,3.52770967328653e-15,6.9733908375767e-16,7.75659684079143e-17,1.48897095018553e-15,0.00530544787848997,0.0174344203556075,1.51378090879404e-15,0.0293354528959913,0.0541338274329791,5.20960939647397e-16,0.0126999924397086,0.0365366156910672,0.0406888836952333,0.112585634716159,4.73782686587386e-16,9.63272266711212e-16,2.21618874954457e-15,0.110236944168749,3.50800066989538e-16,2.63450335613228e-05,-0.00507309467169752,-0.163427566367542,-0.0130384769213641,2.91789953926629,-0.00724333908843605,0.0630378660149468,-0.00895104934981726,0.000190544508344132,-4.30126381857567e-05,0.000252491133412847,7.09204308993231e-05,0.000358026162944273,-0.000192248915178716,-5.71550951289377e-07,0.00791416305402548,6.05431402604217e-05,-326.452787049672,-48.1952356125773,-286.306706795691,-0.747233610406828,-0.110316411254024,-0.655341301068695,-35.9075408542615,2.43207536024676,-1.68351064045068,-0.700911011863331,-0.166389987799362,-0.6935691208588,-0.0112810174464143,0.00152984033966523,0.00731450631562114,-0.0251679907936843,-0.00597465528464567,-0.0249043615424916
0.06,0.0148623399928588,0.129398064882817,4.93813628980876e-17,0.0426524452272856,0.125638401534358,0.126667640557161,4.00867375045623e-17,0.00532433990214802,9.05238529870862e-16,0.0130499668940059,2.41771880506203e-15,3.19507872658043e-14,2.54860764686925e-14,2.66966241510104e-18,2.64578225496489e-15,5.23004312818252e-16,2.53889105993035e-16,3.03221327688909e-15,0.00518521680346797,0.0169731172944764,1.00557077691122e-14,0.0291714727964074,0.0547085125914646,1.03117825933553e-15,0.0125320497864993,0.0368566175473727,0.0411277374491337,0.113199449433497,3.55337014940539e-16,9.88317097571808e-16,7.80289802776012e-15,0.110236634596992,3.98363402999517e-16,2.01492631895448e-05,-0.0066584773450761,-0.164156462929681,-0.0215031319883982,2.91897001887749,-0.0104721068481051,0.0624607930078278,-0.0089385786900692,0.000187176443579887,-5.4504690095141e-05,0.000249398407207325,4.41516203120405e-05,0.000350856238066579,-0.000186142496812131,1.35362029917201e-06,0.00799479824334265,4.85339793750427e-05,-327.341560247218,-48.3999637875153,-287.259984424876,-0.747025510992008,-0.11045345923401,-0.655555428068726,-35.9075408542615,2.45039611816788,-1.67876753164011,-0.700358175260102,-0.16653215085167,-0.69409327116682,-0.0112869615439162,0.00154167979557475,0.00730284131324968,-0.0251481397907681,-0.00597976001025439,-0.0249231824910906
0.08,0.0146883924721981,0.129685069341907,4.04538335645034e-17,0.0427520777808722,0.125757723088727,0.126451672724313,7.76471630893422e-16,0.00499021898603426,7.34576321478636e-16,0.0127386237209048,3.0096079520734e-15,3.05942272587136e-14,2.36828855225647e-14,2.00224681132578e-18,2.18498025060902e-15,1.07992965662827e-15,7.83155129546104e-16,7.47817830665945e-15,0.00496475786914026,0.0165207334904704,8.73569825989423e-15,0.0288262077328951,0.0553606048613674,7.84608026038269e-16,0.012208277375169,0.0372939068336429,0.0417962901212664,0.113080976550675,5.12074855742958e-16,1.74434672221901e-15,1.11680760596559e-14,0.109438300667545,9.94077795564113e-16,5.06249788164006e-06,-0.00796688792423695,-0.164898075054681,-0.0286370053203514,2.91978678072801,-0.0130553521922182,0.0623269682076968,-0.00882667854044352,0.000157891701808544,-8.58393906666229e-05,0.000213843627586149,-9.36693736297259e-06,0.000350314758225398,-0.000163129269798241,3.81976979517709e-06,0.00805018292042414,3.53665972935042e-06,-327.473411037208,-48.1065407936373,-287.613870580907,-0.746818117125713,-0.109709170290022,-0.655916608942844,-35.9075408542615,2.46632933842162,-1.7065801664367,-0.699871382041031,-0.166660380393313,-0.694553357350703,-0.0112921731112372,0.00155170523824562,0.00729265425012626,-0.0251306602433668,-0.00598436441775967,-0.0249397030545349
0.1,0.0144519792260637,0.129910483079376,3.04014333957489e-17,0.042854533601659,0.12608742735539,0.126398996510685,5.88104543329999e-16,0.00474821525984964,8.11346244758335e-16,0.0125178554107773,2.71346531378637e-15,2.29699008638544e-14,1.77621641419231e-14,1.88888065795588e-18,1.9325971403763e-15,2.47764239498208e-15,1.01989652987845e-15,5.60863372999454e-15,0.00499377340384235,0.0165157298683726,6.55177369492061e-15,0.0288401250329881,0.0565689517244563,5.94160317163941e-16,0.0120294588993995,0.0378530516574502,0.042603383899525,0.113981942689709,5.50884541195519e-16,1.77935299749221e-15,8.59356242990884e-15,0.109325566303476,7.62495583293981e-16,6.31746424052239e-07,-0.00892412844031477,-0.165626815488914,-0.0339829885914594,2.92033587057611,-0.0147941841019178,0.0618310097748995,-0.00881378139636725,0.000252378047308072,-3.81422352908755e-06,0.000328525223927073,0.000137726384736079,0.000372470301216584,-0.000238529385807615,-2.14030948989393e-06,0.00816097544442381,-3.4100488795795e-05,-328.978181349675,-48.6317739072398,-289.334861328835,-0.74631744405029,-0.110325678904233,-0.656382904470069,-35.9075408542615,2.45993762354213,-1.68766374250465,-0.699469664518442,-0.166771084391665,-0.694931359077489,-0.01129645579824,0.00155944515021234,0.00728436585807726,-0.0251162355550125,-0.0059883395261032,-0.0249532761669824
0.12,0.0142700669124486,0.129578936150607,2.46029365749141e-17,0.0428221859122236,0.126423477319451,0.126531069865905,4.43815837299867e-16,0.00460218437210646,1.11552380941171e-14,0.0123335547215626,2.03548508001082e-15,2.08670099818686e-14,1.46189452281192e-14,1.56246801896635e-18,3.6801164253638e-15,1.98611929854198e-15,7.64922397408837e-16,4.6903101129207e-15,0.00465058094541012,0.0161763429243355,7.13256240055931e-15,0.0284962778735443,0.0573011221644928,5.64144445854682e-16,0.0117235265051016,0.0379773916442056,0.0427294856423382,0.114014226245099,2.05264766850755e-14,2.45879848040341e-15,7.13402443960001e-15,0.109102034302359,5.967264077351e-16,4.65979213193112e-07,-0.00951414772691015,-0.166372115003365,-0.0373648098526248,2.92068990871336,-0.0154619439517989,0.0612667721856286,-0.00879565319057214,0.000198505985197966,-1.0523425992961e-05,0.00026084003267263,0.000113470962600539,0.000333654166437327,-0.000195758851288699,2.57637341161946e-06,0.00824083255640709,-4.1710049850846e-05,-329.198556577547,-48.4679948555678,-289.502143951408,-0.746383501233599,-0.109890250048982,-0.6563808361237,-35.9075408542615,2.48017122383824,-1.70289020535586,-0.699167671714193,-0.166862507010088,-0.695213255472062,-0.01129966102693,0.00156458556380491,0.00727828973196631,-0.0251053917360563,-0.00599162228750925,-0.0249633983732872
0.14,0.0137150454971443,0.129374256544751,7.11989262666439e-16,0.0429312286374339,0.126917388672499,0.12677938695433,1.135031134081e-15,0.00434388141467194,9.06681545731008e-15,0.0122148467722914,1.75965038329696e-15,2.470491960921e-14,1.41769993030229e-14,1.46758860666708e-18,3.2283283079481e-15,2.06458786063612e-15,1.12276086742168e-15,5.92018087839126e-15,0.00479674353243689,0.015957090066189,6.21403355579204e-15,0.0283549023180946,0.0585728358739088,5.60034387354522e-16,0.0114879431984701,0.0383097124528986,0.0432289858704167,0.114522575636881,1.6196755555977e-14,3.80084406563906e-15,5.35440819942705e-15,0.108939995930741,4.59037870130713e-16,1.82291239717823e-07,-0.00968041160340782,-0.167053783928224,-0.0385559510032825,2.92080798934581,-0.0151351246209203,0.0607361960336429,-0.00879151798360993,0.000227119467219107,-7.09751597396255e-05,0.000289683346972742,2.44905615350357e-05,0.000375391977807479,-0.000211545495749034,-6.31682928238558e-06,0.00838487615104526,-7.19598853293003e-05,-330.243740290397,-48.8087917638115,-290.521128051573,-0.746238268033856,-0.110291229740263,-0.656478706405785,-35.9075408542615,2.48187046093049,-1.69009426962715,-0.698975492655018,-0.166934736130187,-0.69538913892929,-0.0113016882464336,0.00156699167719213,0.00727462360514047,-0.0250984910586376,-0.00599421585759005,-0.0249697139157132
0.16,0.0129309168709996,0.128743440105586,5.36977211656512e-16,0.0429871888445558,0.127359812157016,0.127001766313529,8.51473641906319e-16,0.00401560582506523,6.80596285516058e-15,0.0120707507804122,1.54313638577405e-15,1.8528689706907e-14,2.02733731758896e-14,1.21229136843111e-18,2.42124623096107e-15,1.57661174837937e-15,8.88179137025594e-16,4.69071548527913e-15,0.00471223281076557,0.0154560266798311,4.6728033574054e-15,0.0283022276484304,0.0584446894648898,5.20270113158042e-16,0.0114801717971023,0.0381655863921478,0.043300970821771,0.114211905677723,1.69123548813839e-14,2.96579415503851e-15,4.86488512382008e-15,0.108325028370176,3.44278402598035e-16,1.98934993444267e-08,-0.00941503132738306,-0.167643125032544,-0.0375781034589133,2.92069748930166,-0.0139236501930679,0.060631108565972,-0.00873038913513195,0.000219528906295296,-0.000138648906473768,0.000279206869766762,3.0492959747125e-05,0.000618729194064808,-0.000259504138802169,1.08969985802319e-05,0.00837690972729834,-9.57417040519615e-05,-330.011047907064,-48.5940949980359,-290.003847875783,-0.746618127108124,-0.109939447258036,-0.656105700485947,-35.9075408542615,2.50674524908337,-1.70107119635918,-0.698898710321396,-0.166989559205973,-0.695453147111496,-0.0113024831865226,0.00156671556363061,0.0072734479370849,-0.0250957339938562,-0.00599618441942359,-0.0249720122921308
0.18,0.0119148877174355,0.128369691914127,4.18518872396314e-16,0.0431624225413083,0.127911130503104,0.127238875024056,6.49882800231263e-16,0.003593003735005,6.01034142853052e-15,0.0118870079298994,1.15871192165477e-15,1.46695388857349e-14,1.85059746431865e-14,1.32324497332397e-18,4.12459182794795e-15,1.28268480421542e-15,6.66349612841888e-16,8.61327989350661e-15,0.00494604474516117,0.0156554006977092,3.50460251805403e-15,0.0284075082892589,0.0587193883999809,4.64759122201e-16,0.0114669279201319,0.0380841106418107,0.0434778654875101,0.114457208681651,1.26842661610377e-14,4.81987871686221e-15,3.72988926951166e-15,0.108062139203405,3.12960459111955e-16,7.55750753776846e-08,-0.00875523412075848,-0.168118454036712,-0.0346652053195575,2.92040030413015,-0.0119755168370612,0.0605530035634814,-0.00871985462108239,0.000200784113548291,-2.46934805193266e-05,0.000258230537707586,9.8389150364002e-05,0.000349966223177416,-0.000196316557024146,-1.6960505669734e-06,0.00843768365427855,-0.000132042866148563,-330.336321441821,-48.8126471599261,-290.419407394554,-0.746442820043036,-0.110299254531833,-0.65624476444077,-35.9075408542615,2.49438510578712,-1.69178240539473,-0.698938535172295,-0.167030234949821,-0.695403353934833,-0.0113020358866293,0.00156398977797603,0.00727472951553271,-0.0250971640063169,-0.0059976449853576,-0.0249702243416055
