time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0176650578465692,0.0831463968679707,0.0339472459287232,0.0232352586190818,0.161029316319068,0.0882629755042955,3.01696795407728e-18,7.26241663462937e-16,7.6710186890237e-16,4.97331898618029e-16,6.85947284257514e-16,0,3.00540220738689e-16,0.0208969000729203,5.79651477943688e-16,4.54775938737577e-18,4.19993941336948e-07,2.23778251651633e-17,0.0696460089828434,0.0252694135402135,2.14424633518032e-16,0.0331507540502093,0.109316497219517,6.67859517645232e-15,0.00153883313967508,5.18427652039944e-15,0.0111056401195502,0.213163275437809,1.60537854993159e-14,7.01190930005218e-17,5.98878185684e-18,0.129835824532103,6.63951531522828e-16,-0.000109860193321036,-0.00255558265600673,-0.15680579416596,-0.00160763596889047,2.6568358575286,-0.00196259778133413,0.0179689342306764,-0.013293375680594,0.000117168954775346,-9.2426219668862e-05,0.000225069034866179,-6.455001916199e-06,0.00048253037605196,-9.65531074109386e-05,-1.74791651595549e-05,0.0237108658953807,9.65917186909565e-06,-404.979708201331,-26.9752445809915,-309.514460096706,-0.793414016634427,-0.0528484186226448,-0.606383742243401,-0.0370925986041998,-0.998243371760985,0.0461985915807784,-0.762477723984374,-0.0899486651454886,-0.640731580356512,-0.0105494284943622,0.000483502330700783,0.00846047000295955,-0.0273787000244332,-0.00322983536849792,-0.023007095398267
0.02,0.0181937916855446,0.0861487179299953,0.0337291293805518,0.0229485337162095,0.16015375186002,0.0879160629188056,2.26272596555795e-18,5.44681247597202e-16,1.21984674999066e-15,6.5545360405963e-16,5.14460463193135e-16,2.27806883158412e-15,2.25405165554018e-16,0.0206649826007524,4.34738608457766e-16,9.15339119414461e-16,3.14995323759392e-07,1.67833688738725e-17,0.0700777266261613,0.0254531387876129,6.94558293918559e-16,0.0325608975706305,0.109333100756031,8.90838383337417e-15,0.00174039155521699,3.88820739029956e-15,0.0117527085598208,0.212898295102355,1.20513792801818e-14,5.25893197503914e-17,4.49158639263e-18,0.129920668346952,4.9796364864212e-16,-1.98972954000209e-05,-0.00352117056033769,-0.157598310475693,-0.00496367193079941,2.65789447164113,-0.0043094655981762,0.0176775767895053,-0.0132827535163455,8.83100430536927e-05,-9.97720001704555e-05,0.000129369654925239,-2.16906715258651e-05,0.000425024240926603,-0.000129673952242251,-6.03857215513027e-07,0.0237266259519619,0.000382155245192521,-404.408932113871,-27.3896448560871,-310.107821174237,-0.792404965440764,-0.0536676835305688,-0.607629945352667,-0.0367673299639927,-0.998279850767115,0.0456673077781679,-0.761754729108516,-0.0904399079663154,-0.641521905883077,-0.0105593050514759,0.000500118863640396,0.00844717270360562,-0.027352739056391,-0.00324747469015612,-0.0230354740444003
0.04,0.0188535978956043,0.0886978403265507,0.0334508769287427,0.0231936251612877,0.159556379644143,0.0877772912255343,1.69704447416844e-18,5.44002965544411e-16,9.14885062492993e-16,4.91590203044722e-16,3.85845347394851e-16,2.10802709284719e-15,6.95810182247337e-15,0.0205910180073499,9.61180507503071e-16,7.47288299687517e-16,2.36246418486852e-07,8.30778341541411e-17,0.070387617825442,0.0249726563989191,1.30025963795168e-15,0.0322050206087168,0.110051266868088,6.79687129657039e-15,0.00160114042335292,6.88347838790069e-05,0.0124571479225514,0.213033085532329,9.03853446013627e-15,6.46255253087276e-15,3.3686897944725e-18,0.129153688216902,4.26444330556399e-16,1.7431146340587e-06,-0.00540719614613139,-0.15863757470219,-0.012569532451933,2.65988947753501,-0.00864682919665324,0.0175009657312099,-0.0131585930347983,0.000109540400437532,-4.13738509962714e-05,0.000155672014650517,6.96811091530163e-05,0.000409282245095358,-0.000155711053521226,-6.51194249070208e-07,0.0239267751271977,0.000344087967192525,-404.440220853115,-27.5896877924369,-310.742349152492,-0.791812555954561,-0.0540150560763636,-0.608370980528963,-0.0368952635501549,-0.998271464564318,0.0457473776753996,-0.7610598471824,-0.0909146739827366,-0.642279091253416,-0.010568764026435,0.000516029441998384,0.00843437663973792,-0.0273277875552401,-0.00326452237028698,-0.02306266270902
0.06,0.019372385264174,0.0904646512080385,0.033241661924472,0.0235186780783246,0.15906382953883,0.0877370472395979,1.52362352954911e-15,1.29343980018871e-15,6.86163796869744e-16,3.68692652283542e-16,2.89384010546138e-16,1.04426951208096e-14,5.21857636685499e-15,0.020597866043373,7.20885380627302e-16,5.60466224765638e-16,1.77184772008019e-07,6.23083756156058e-17,0.0697231332561304,0.0247932716190945,1.38150961880185e-15,0.0323429991109581,0.110891653207953,5.09765347242776e-15,0.0017021573804629,0.000722483740704177,0.0130859380201778,0.213784241756965,6.77890084510215e-15,4.84691439815454e-15,2.52651734585425e-18,0.128025380750782,3.19833247917299e-16,4.32092311814693e-07,-0.0071064246020755,-0.159693215526626,-0.0205434514110379,2.66154987384566,-0.0122740122352288,0.0174439266059447,-0.0129940100151097,9.92873263795086e-05,-9.43802383804699e-05,0.000137323874906322,-1.97165270615673e-05,0.000406932876567349,-0.000138721416978793,-2.18362470411376e-06,0.0239289004210353,0.000354239796821018,-405.577087125944,-27.8741803424899,-312.058744773513,-0.791378733517186,-0.0543892498799355,-0.608901888348388,-0.0369602061614488,-0.998257690898786,0.0459948445146522,-0.760428052485392,-0.091354073014615,-0.642964703803338,-0.0105773329515717,0.00053042712289416,0.00842273372672589,-0.0273051013613457,-0.00328030010897547,-0.0230872813696665
0.08,0.0197467637936066,0.0920129987574412,0.0329070702577647,0.0238344833414164,0.15885891676791,0.087941224652842,1.40263207809823e-15,1.13299225193831e-15,1.18871165447122e-15,1.21375511895571e-15,3.68834915055305e-15,1.38306824670041e-14,3.91393227514122e-15,0.0206524809954929,5.40664035470477e-16,4.20503619100643e-16,1.32888555506216e-07,9.22623719166158e-17,0.0700374734019662,0.0244588190810542,1.03613221410138e-15,0.032494872058933,0.111552961607874,3.84620462929414e-15,0.00173940792499968,0.00100460630277199,0.0137382043916153,0.214158383195386,5.08417563382657e-15,3.64095842537777e-15,2.50767659264464e-18,0.127338235622015,2.39874935937974e-16,1.37787502978269e-07,-0.00847137584032056,-0.160625458637739,-0.0272399762653507,2.66276094702195,-0.0150415421208268,0.0172020090913113,-0.0128880461822929,0.000115454699108342,-0.00011747507734907,0.00013753786259991,-6.47037337615771e-05,0.000399847005792905,-0.000153231091688653,5.31380243436119e-06,0.0239708673212411,0.000322578671461163,-406.273726431047,-28.1097388538019,-313.059071064575,-0.790927181766495,-0.0547235892587385,-0.609458384076838,-0.0370146391292209,-0.9982521584266,0.046071082978031,-0.759889558812132,-0.0917424803189777,-0.643545783696253,-0.0105846087062945,0.000542613876875798,0.00841281150672524,-0.0272857653777734,-0.00329424686012497,-0.0231081465196609
0.1,0.019964556139642,0.0932523720285138,0.0325588389178717,0.0241247734814028,0.158919775729345,0.0883007865334276,1.05206483736936e-15,8.49744188953728e-16,1.84504602604464e-15,4.80563455035287e-15,3.26590820687262e-15,1.15417319704889e-14,3.00047705072825e-15,0.0207976084439732,4.15382810100159e-16,3.15377714325482e-16,9.96664033874753e-08,4.09787841996816e-16,0.0702301903616046,0.0244181674443782,9.40977554904354e-16,0.0327125968584409,0.112643831032799,2.88465347197059e-15,0.00172271817520335,0.00111057084399228,0.0144562118552935,0.214862298662749,4.36427518698415e-15,2.94076826377121e-15,1.88075744448348e-18,0.127298269762745,1.79906201953481e-16,2.75314569824431e-08,-0.00946751682170081,-0.161463750544745,-0.0323905326937134,2.6635529984626,-0.0165910579132773,0.0164670473441689,-0.0128698495397427,0.000129094085344611,-7.00127211960977e-05,0.000180961417043232,2.40877769404548e-05,0.000425818297276054,-0.000166852687430861,-8.07941628221162e-06,0.0240910712801481,0.000242287714700828,-407.594073532828,-28.3559143174756,-314.465173772773,-0.790550609914152,-0.0549978196789171,-0.609922104038646,-0.0370674523782274,-0.998249246882254,0.0460917028672228,-0.759467785576495,-0.0920690229053402,-0.643996877083105,-0.010590282722493,0.000552054986342781,0.0084050529969866,-0.0272706205380835,-0.00330597220138544,-0.0231243441738784
0.12,0.0200083000309039,0.0935764016051145,0.0322507426486185,0.0242229038111866,0.159120233919395,0.0886726493698579,7.89048628027021e-16,6.37308141715296e-16,4.2036228289468e-15,4.42775247102833e-15,6.56612183663432e-15,2.03554291710265e-14,2.25035778804618e-15,0.0209346804132829,3.11537107575119e-16,2.85106564519771e-16,7.47497950905625e-08,3.07340881497612e-16,0.0698308264243553,0.0241478626632683,7.05733166178265e-16,0.0330022209804272,0.112657568233718,2.16349010397794e-15,0.00191941814353925,0.00126397002562878,0.0144513652236511,0.214851900199193,3.2732063902381e-15,2.41331360708364e-15,1.41056808336265e-18,0.127168039519596,2.5725509328691e-16,4.56498310503151e-08,-0.0099737978099427,-0.162073977755214,-0.0354732488530965,2.6638157747711,-0.0170235182816051,0.0159520674336657,-0.0128429012260847,9.95568216935793e-05,-0.000113230553954084,0.000100904192999251,-6.14873570171409e-05,0.000370903581531072,-0.000138920651925403,1.21309767251658e-05,0.0240541875077423,0.000258836396904909,-407.963467322786,-28.3279704827796,-314.727386962787,-0.790576410144806,-0.0548956634718577,-0.609897865100819,-0.0374277623940608,-0.998214677179794,0.0465469748212836,-0.759178164665208,-0.0923283933400729,-0.64430115790584,-0.0105941546737452,0.000558416810989996,0.00839975155265912,-0.0272602209633792,-0.00331528555586699,-0.023135270149952
0.14,0.0199572351150733,0.0936669572692388,0.0319999718231384,0.0242925244685197,0.159575427071236,0.0891343806726454,1.15619321551416e-15,2.18297688651902e-15,3.15271712171009e-15,4.2076967063468e-15,5.11627268247451e-15,1.6045287532945e-14,1.42184369358612e-14,0.0210909635406784,2.33652830681339e-16,4.29091201525249e-16,5.60623421320861e-08,3.49311109534891e-15,0.0697209110505488,0.0243213668602245,6.02270189216418e-16,0.0334667750094749,0.112962352671444,2.54502043058111e-15,0.00220260233251598,0.00160089583138834,0.0146028813308925,0.215256449320242,2.54202009427255e-15,1.80998520531273e-15,6.67777233627149e-16,0.127249024814281,3.49982123831223e-16,7.29914117032473e-08,-0.00997363821816282,-0.162431807686768,-0.0363882298676466,2.66359314067876,-0.0163510617553321,0.0155434313707526,-0.0128437569387594,0.000115084322857809,-9.73507859036477e-05,0.000128631264778093,-3.06138967662199e-05,0.000388645356010592,-0.000155020776437914,8.29224271517773e-06,0.0240499205835324,0.000271296062454142,-409.022606634499,-28.5023671531266,-315.656714791132,-0.790463333433312,-0.0550827161754738,-0.610027550915718,-0.0374334111884205,-0.9982126185749,0.0465865629193748,-0.759027812689393,-0.0925209359078452,-0.644450662178798,-0.0105961350067092,0.000561585462965038,0.00839704194462612,-0.0272548221936651,-0.00332219928598546,-0.0231406384807411
0.16,0.0195199608282111,0.093541752474311,0.0318412785256052,0.0244340812695344,0.160187977017721,0.0896565497476467,1.12787021412236e-15,2.17081120293157e-15,3.20755262782411e-15,4.11121987813857e-15,4.47661541399956e-15,1.56218907672609e-14,1.18114065646003e-14,0.0211902539253299,2.00546416335008e-16,3.34307411997855e-16,4.20467546432169e-08,2.65798579044693e-15,0.0700867786395979,0.0244340376125843,4.60572332482317e-16,0.0337991442655703,0.113628102462809,5.82514192648275e-15,0.0022869793158003,0.00164593434439196,0.0152683979101329,0.215593966453489,2.0659940399027e-15,1.36800774021086e-15,9.22417800477862e-16,0.126409621232207,7.7298019937328e-16,3.46008254747152e-08,-0.00949581644419443,-0.162551425124892,-0.0352272687035195,2.66297261472735,-0.0146869288097284,0.0158134355795491,-0.0127350104334127,0.000115265626101563,-0.000104221593964752,0.000120878747078051,-4.36590489437605e-05,0.000383190406618412,-0.000156296533969599,1.25706026256468e-05,0.0241242438242552,0.00017115481667663,-409.789183502686,-28.6476671503943,-316.342308972145,-0.790368173651754,-0.0552532992001047,-0.610135413663143,-0.0373947498388587,-0.998220586399218,0.0464466745127177,-0.759015981880065,-0.0926520635961516,-0.644445757501759,-0.0105962379220046,0.000561666042841497,0.00839690668573986,-0.0272543973783958,-0.00332690775881045,-0.0231404623658499
0.18,0.0188088472846127,0.092823996337349,0.0318478402097315,0.0244973692273481,0.160770306057132,0.090104002328903,9.00587449203432e-16,1.62810840219868e-15,2.6250462960432e-15,3.67203068537058e-15,1.82309519376686e-14,1.17242858103243e-14,1.17282204262744e-14,0.0212577653585666,3.28423573330156e-16,2.56654945837797e-16,3.15350647811603e-08,1.99348934283519e-15,0.0697705832389093,0.0245794695398673,3.47889668094112e-16,0.034199951209717,0.113380434401384,4.36885644486203e-15,0.00265589954171429,0.00136502329230896,0.016012273974479,0.215494348372622,1.56278994160852e-15,1.45854690355408e-15,7.3566394699508e-16,0.125204595578537,5.80877056460227e-16,-6.42769489907563e-08,-0.0086062851340797,-0.162479004774926,-0.0322471808794147,2.66207101260637,-0.0122332093992979,0.0164855961238764,-0.0125857068666313,9.38157318036318e-05,-8.02348581706896e-05,0.000138286013387621,6.49181186971251e-06,0.000411647854342406,-0.000126064523113608,-1.36794499217125e-05,0.024052182768171,9.53139975238714e-05,-409.896298878831,-28.6313792241365,-316.215398806919,-0.790565079070229,-0.0552212075154899,-0.609883164216896,-0.0375055941634386,-0.998210527784861,0.0465733037900137,-0.75913512586477,-0.0927311368121516,-0.644294029883722,-0.0105945671137907,0.000558963864842416,0.00839919494961383,-0.0272586755458942,-0.00332974708354444,-0.0231350142002065
