time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0584809826411289,0.139464421773067,0.0596326052904315,0.0229939953985761,0.134562996728635,0.0390994257686456,2.41054828467071e-15,0,0,1.29743329732375e-16,-3.15544362088405e-30,3.94430452610506e-30,7.19099243856728e-14,0,0.000970693128878821,-8.58964755196707e-32,0,0.00226939070627585,0.0824723023214318,0.038419450584697,0.0124566095985848,0.0355271734157251,0,5.5153550829269e-18,0.0466954648551066,0.0591533257715871,0.066547605214794,0.145436863844693,0,0.014589227260537,5.49126461308311e-16,0.10621334809328,0,-0.110403026693609,-0.0186130503361856,-0.153632780657375,-0.000581783632666651,2.65494752254591,-0.00124524031000759,-6.48158475150139e-05,-0.00011595956038427,0.000189655299803475,-0.000182194195371621,6.47564084467799e-05,-0.000129164378476077,0.000356974420684855,-0.000157879889978492,0.00224942198356962,-0.00670156273296679,-0.0188485822311506,-292.579228086006,-74.4112258611118,-403.342030956705,-0.580733368100818,-0.147697025867234,-0.80058375184877,-0.074500973516733,-0.99714727243858,0.0121211391114538,-0.562938199378066,-0.220986515944043,-0.796407900169187,-0.0123302714207482,-0.000316961990089473,0.00556486392645417,-0.0202137263925923,-0.00793508234950165,-0.0285970492119817
0.02,0.0583103987647083,0.139320295541166,0.0593128264737841,0.023232408883976,0.133729226537532,0.0393585138364752,1.68038293301449e-14,1.28828263814194e-15,3.56841924488764e-19,2.52598559749102e-16,1.88277076077795e-14,3.64088405108935e-14,7.39987781072758e-14,9.53821961716753e-19,0.00113848641105859,1.02621676678605e-15,9.1340121603972e-07,0.00297892703685932,0.0823180961989668,0.0387354059244362,0.0127709980988658,0.0357689280002527,0,4.53227962532344e-18,0.0468531843232453,0.0589861632297034,0.0662589771138498,0.145569163603879,5.35516797878221e-16,0.0151758460267117,3.77306589711132e-14,0.106330138544466,6.74533853803285e-15,-0.110350721804432,-0.0185563928517408,-0.153646208204277,-0.000933734468230017,2.6541607436378,-0.00145921391908562,3.36909493935743e-05,6.02731211835829e-05,0.000198322084234678,-0.000191138237191471,7.73985069591814e-05,-0.000165503142349313,0.000370044569991575,-0.000102214830918588,0.00195615008275061,-0.00677629205420248,-0.0188711751197846,-292.594630761506,-74.8056265597466,-403.941110747295,-0.580134045663527,-0.148318821372611,-0.800903250267289,-0.0742126912468782,-0.997173882072982,0.0116929623874829,-0.562697149670134,-0.221316653195153,-0.796486570364876,-0.0123319301805416,-0.000314874024132841,0.00556130570132657,-0.0202050708903568,-0.00794693676633339,-0.0285998740652474
0.04,0.0581876234540622,0.139066361818791,0.0588457332588188,0.0231166201645999,0.132280671475951,0.038887613172596,1.65896340561624e-14,9.6630125461903e-16,2.67631443366575e-19,2.66064274448653e-16,3.54138084127829e-14,2.73066303831692e-14,5.56171775372509e-14,1.41864541693245e-18,0.00126386333854242,7.71327455922808e-16,6.85050293540918e-07,0.00550895649768884,0.0827994524896012,0.0396599961679961,0.014507687527935,0.0358748133093778,6.41567334175678e-14,1.26369004752997e-17,0.0472677870651371,0.0590952761650886,0.0661539732329518,0.145126613490476,4.01637598408665e-16,0.0158690271289056,5.26900222287818e-14,0.106223025364305,5.05933543342649e-15,-0.110085070971119,-0.0182049125709338,-0.153714965603792,-0.00112776139646771,2.65263660797762,-0.000976864368447621,-4.08667876699012e-06,-7.21471451551202e-06,0.000213579983739176,-0.000207631866522014,8.8128377054701e-05,-0.000196593012114339,0.000397308130847099,-7.72087965350666e-05,0.00221507088992998,-0.00698359562819823,-0.0190527210711141,-292.528238287708,-74.8969565576318,-405.818980512066,-0.578305002515163,-0.14806531124643,-0.802271766717136,-0.0748011349206079,-0.997151922553606,0.00963501750054757,-0.562473467801308,-0.221637320114971,-0.796555394402565,-0.0123334723857492,-0.000312802579843056,0.00555800163623932,-0.0201970390245136,-0.00795845112685735,-0.0286023453671925
0.06,0.0581226926495478,0.138727417229047,0.0587856546596318,0.0231006918238152,0.130958001915636,0.0384842330118765,1.3843701245376e-14,7.24910158446359e-16,2.24697817469635e-16,2.01105174512563e-16,1.17419676003219e-13,2.04865732567811e-14,4.20806254004777e-14,1.07060111559462e-18,0.0015867139858668,5.82099145995671e-16,5.96447798078398e-07,0.00901873982494552,0.0835835507830545,0.0405945853654877,0.0165866718124617,0.0368211885594773,5.21929524488594e-14,9.57506713699235e-17,0.0486694234477834,0.0593273786731091,0.0663227043486459,0.145757906901165,3.01228198806499e-16,0.0183588085754435,1.13420508566473e-13,0.108029572157207,3.79450157506984e-15,-0.110012364327512,-0.0175267622812528,-0.153539759018875,-0.000827454442355064,2.65125538155929,0.000506022582189202,4.42661180087644e-06,7.71237820099945e-06,0.000163573026202656,-0.000157628527901521,4.61191163204686e-05,-7.93234098467138e-05,0.000310467739648467,-0.000207623119392462,0.00223818463672165,-0.00747737648173665,-0.0198304382919211,-295.060090685654,-76.3530859442138,-410.863790328936,-0.576778664185792,-0.149253770020304,-0.803149851942201,-0.0739184704769672,-0.997231939727216,0.00803231661723125,-0.562312020707842,-0.221943038415107,-0.79658425735545,-0.0123345714508718,-0.000310907611208014,0.00555566848480579,-0.0201912418564092,-0.00796942871920939,-0.0286033817648524
0.08,0.0580658077635152,0.138263777501555,0.0586630761140868,0.0229422496424631,0.12993315447205,0.0378755738244944,1.56721527261677e-14,5.49126181234129e-16,1.68523363102226e-16,1.99158984089999e-16,8.80647570024037e-14,6.52326662427253e-14,3.25813603539926e-14,2.88176849918501e-18,0.00181280707803839,2.69976215536276e-15,1.2296836544893e-06,0.0124051364701616,0.0839830647709696,0.0416805537442384,0.0177165545615491,0.0372458670352601,6.21532921645958e-14,9.96129109983945e-17,0.0493302530554214,0.0595340613026101,0.0662392631878098,0.145501309079045,1.40012835234734e-15,0.0200608259941372,8.52810650627008e-14,0.108545108417249,2.84587618130237e-15,-0.110015152034442,-0.0168075116174038,-0.153309138751109,-0.000618235481770654,2.65010786297945,0.0021532789084127,-1.40709365212822e-06,-2.4463035824911e-06,0.000259951902288901,-0.000260666618621596,0.000128578848525589,-0.00033091007943008,0.000486764717001338,8.76368181602623e-05,0.00200121551654591,-0.00777100315359246,-0.020119432826647,-295.598505180738,-76.2965944483072,-413.589070291788,-0.575029548601946,-0.148420223703942,-0.804557304006566,-0.0750551733152845,-0.997162412196125,0.00581761650652612,-0.56225354848014,-0.222229196248949,-0.796545749819831,-0.0123349289752389,-0.000309351482202472,0.00555496152720281,-0.0201891422625041,-0.00797970394331884,-0.0286019990539439
0.1,0.0580354383282148,0.137887580303176,0.0587059771647189,0.0228451052164208,0.129173652157138,0.0374341042421876,5.10595290429079e-14,4.13380451393032e-16,1.26392522326669e-16,9.07696679460981e-16,6.60485677517969e-14,1.60251510605067e-13,2.44621677942946e-14,4.58013577437508e-18,0.00194545500628219,2.37731369797427e-15,1.24794035767941e-06,0.0150417922174072,0.0844344298930513,0.0428294753242327,0.0183841923007792,0.0374641981750334,4.6614969123444e-14,8.40715282367243e-17,0.0497427391201302,0.059521912351206,0.0660015329804382,0.144973372904843,6.22961466624761e-15,0.0213786746421989,6.39965151561509e-14,0.108866260326709,2.13521044383245e-15,-0.110123185640336,-0.0160628025029763,-0.153054718094306,-0.000609583417624291,2.64928168976823,0.00392856923248608,-4.72358063233953e-07,-8.52750959438318e-07,0.000220180406524308,-0.000214513662726064,9.62255949685988e-05,-0.000219992810183613,0.00040866572762943,-4.27847900698865e-05,0.0023193478245539,-0.00801540242944153,-0.020429511863641,-295.442717891892,-75.8940715546371,-415.235017654745,-0.573414255404872,-0.14730010216759,-0.805914866223408,-0.0764565786619323,-0.99706650788775,0.0035735735390463,-0.562332819874427,-0.222492924762948,-0.796416158878325,-0.0123342867775448,-0.000308292058271244,0.00555644620495185,-0.0201919887033331,-0.00798917378570968,-0.0285973457619175
0.12,0.0579158905133075,0.13740643028316,0.0588907043248117,0.0228943081547742,0.128593848208366,0.0372148082877406,1.09115660469798e-13,3.10035338544774e-16,2.83690045505369e-16,6.86274408961596e-16,4.95364258138444e-14,1.20188632953781e-13,1.85213207235839e-14,3.43510183078131e-18,0.00222928804155918,1.7829852734807e-15,1.05736898320324e-06,0.0179626678829026,0.0848871885852233,0.0431826741323127,0.0191052311029697,0.038646318797318,7.08268869605678e-14,6.62903556777683e-17,0.0508587246382889,0.0595064774371758,0.0663390419313487,0.145698618128409,1.02416342039194e-14,0.0234339139706344,4.83409928919363e-14,0.110938585875845,1.61108797157367e-15,-0.110366036769118,-0.0153099211685203,-0.152811327243591,-0.000880552052581269,2.64885003775626,0.00579755236126836,5.80219930307522e-07,1.05241565976078e-06,0.000215903174794968,-0.000215209917991548,9.21888643595917e-05,-0.000222130536554675,0.000405827150248431,-4.0569191898947e-05,0.00223451307906333,-0.00838247453131711,-0.0213896707568603,-298.009725003144,-77.1822089882358,-419.045557619883,-0.573131585751895,-0.14843663853183,-0.805907407680863,-0.0755576345786234,-0.997136912318623,0.00300365586685591,-0.562577511341504,-0.22273391733373,-0.796175951534566,-0.0123324338905743,-0.000307874481080335,0.00556058057858588,-0.0202007749721838,-0.0079978272362906,-0.0285887205069079
0.14,0.0579564395369882,0.137273775481159,0.0589807721046177,0.0227752970436241,0.128634933458117,0.0369731861040792,1.33781698215492e-13,2.36123842611132e-16,2.66982534849017e-16,5.35000351164956e-16,2.19534388660141e-13,9.01414747153251e-14,1.41147690663842e-14,3.54970352263975e-18,0.00223923590895776,3.53759220068333e-15,1.15071114225143e-06,0.0189501298637353,0.085437861099938,0.0440176823137131,0.0186494713576982,0.0394635410648226,6.05658227850126e-14,5.00671476070113e-17,0.0513926050306966,0.0597949461336261,0.0664410724892512,0.145841579400797,1.17942462687574e-14,0.0243178111113238,3.63006363481991e-14,0.111541309092413,1.20859621176172e-15,-0.110781963665093,-0.0145674927493771,-0.152607640253745,-0.00147430860899499,2.64886532044799,0.00771779480880955,-1.77979131038061e-07,-3.10696004087528e-07,9.55764411605916e-05,-8.41711227047357e-05,-9.34608557117511e-06,9.32818807235126e-05,0.000187440413857693,-0.000401053156396737,0.00285222223226728,-0.00844716337451118,-0.0214965603156547,-298.606607273091,-77.5863557000826,-420.561914844593,-0.572491132574707,-0.148749222439215,-0.806304887711254,-0.0754692237988581,-0.997146715597101,0.00168042646751998,-0.563007808671138,-0.222954945425582,-0.795809838897207,-0.0123292089659546,-0.000308221695044603,0.00556770818137603,-0.0202162258911271,-0.00800576381152875,-0.0285755743024247
0.16,0.057942494838611,0.137017782028751,0.0592619356757315,0.0227140561768493,0.128917402424745,0.0368961827556633,1.10194329106892e-13,2.00581800675151e-16,2.00236901136763e-16,4.40232861352141e-16,1.64650791495069e-13,7.30089236541207e-14,1.12184972414985e-14,2.66227764197981e-18,0.0021901909505148,2.65895163866263e-15,8.63032363586475e-07,0.0193186269919962,0.0854819596945998,0.0445417449189463,0.0174832228417007,0.0395865669668138,1.02939253028007e-13,1.27976039518891e-16,0.051288553630286,0.0595275082046672,0.066126374965145,0.145087886724102,8.84568470156794e-15,0.0246711268401284,2.72304854403152e-14,0.111586940332488,9.06447158821287e-16,-0.111399486848301,-0.0138630341859056,-0.152472983987191,-0.00239727791337928,2.64935431955136,0.00963298710373179,-1.59790867329798e-07,-2.78534431798773e-07,8.84824884064551e-05,-8.87784103372592e-05,-1.76700167726262e-05,8.03475839257183e-05,0.00019011756564469,-0.000379347762607617,0.00257446651599968,-0.0084460310675649,-0.0216356046024673,-297.657162192501,-76.7728824379409,-419.387231859222,-0.572439306730042,-0.147645752162416,-0.806544463733292,-0.0767937301463072,-0.997046766846343,0.000683908963141855,-0.563636685608439,-0.2231619006095,-0.795306514969348,-0.0123244987258918,-0.000309423836788961,0.00557806030598021,-0.0202388073154456,-0.00801319506325025,-0.0285575011779222
0.18,0.0579585086069126,0.137026163966166,0.0595564075720687,0.0227994273454541,0.129650697647401,0.0370323449292943,9.37151268281145e-14,1.50436350506363e-16,1.73705498698898e-16,3.95915316872092e-16,1.41777836706767e-13,5.47578594598093e-14,8.4138729311238e-15,5.51771204320889e-18,0.00208275979203691,2.04755719815594e-15,6.47273714076453e-07,0.0187009844092622,0.0858741237915788,0.044482622765607,0.0158204522736874,0.0406443151590356,9.13897768265665e-14,9.59820296391681e-17,0.0514297021718872,0.0595025985392016,0.0665542775465075,0.145747648007063,6.6342635261759e-15,0.0243652649450181,2.04924407562745e-14,0.11249975244398,6.82408774712776e-16,-0.11223069423295,-0.0132342934177703,-0.152439283975689,-0.00362215995863461,2.65031561547644,0.0114741101783693,2.19818563301333e-09,3.15129012367719e-08,0.000155570401298911,-0.000158925872915103,3.88452399342708e-05,-7.89959583070344e-05,0.000304010902214639,-0.000216548478429817,0.00258274150780307,-0.00830872947055098,-0.0219476212005117,-298.38465727592,-77.6040068833616,-419.367156722763,-0.573260832028591,-0.149093917766591,-0.805694124433644,-0.0755396424044411,-0.997142498070539,0.000775220648355557,-0.564470747974214,-0.223363331702148,-0.794658163446615,-0.0123182333186112,-0.000311526924179996,0.00559176605521008,-0.0202687564439197,-0.00802042795843884,-0.0285342204691318
