time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0299123810395486,0.13046096356442,0.0284362376462913,0.0318660435349542,0.17069012334454,0.101169384857563,5.72174391406946e-16,3.25909279093064e-16,8.29754138614745e-18,5.26543925599677e-16,1.91173645835082e-17,2.41022900143416e-15,4.92585736559231e-15,0.022520542888811,3.42161563914485e-17,1.64090582637978e-15,7.945306735226e-06,1.49229140868404e-15,0.157248067260064,0.0549089253346194,1.49760787903954e-15,0.0227910295515854,0.175181672505437,6.79297766688104e-17,2.30385307321102e-16,2.1856140464874e-16,6.79186225009565e-16,0.277181639265611,1.67358040886199e-17,3.18372781209279e-15,9.21507241386499e-18,0.187116935062043,7.83377735075578e-17,-2.81250821320134e-07,-0.0025770322437993,-0.15644507639738,-0.00160763596891664,2.65683585752859,-0.00196259778136496,-0.0103871221335955,-0.0203036145194465,6.65403750031479e-05,0.00017888934566984,-0.000435541062011197,-0.000518856824765354,0.00046416459480925,-0.000733920297180534,-5.80119931030805e-05,0.0466283632253746,-0.00246110262002719,-468.315382819822,-55.119422630197,-393.342192028564,-0.762648199162602,-0.0897615793756131,-0.640554902550934,-0.000187842924330286,-0.999999952361041,0.000244934587543433,-0.762477723984374,-0.0899486651454886,-0.640731580356512,-0.0105494284943622,0.000483502330700783,0.00846047000295955,-0.0273787000244332,-0.00322983536849792,-0.023007095398267
0.02,0.030395013281162,0.13280107582801,0.0286083643318281,0.0324192132515734,0.16937991061409,0.10172492944682,6.42241528459379e-16,5.14478374608859e-16,2.82466306931345e-16,2.35927193695341e-15,6.03457561606411e-16,2.88626369011155e-15,4.40268020358613e-15,0.0218443929563852,1.9525384635269e-16,1.45300352813144e-15,5.95893270614313e-06,2.53093919120892e-15,0.160391616018428,0.05144426344062,2.239592656613e-15,0.0195141303824959,0.175276693895174,1.68899753359959e-15,2.3052085736406e-06,1.8896853234629e-16,7.16694575510849e-06,0.2719794425369,1.63853525169398e-17,2.47253697136464e-15,1.76363962159845e-17,0.185405060596776,1.66545522598124e-15,-7.57548471316575e-08,-0.00354116647463801,-0.157228339111876,-0.00496367193078377,2.65789447164113,-0.00430946559814032,-0.00977269166073309,-0.0200708509734247,0.00107108270527211,0.00228733858640717,9.15369195506398e-05,0.00236169568465606,4.47814221281538e-05,-0.00158102847398108,-7.05866633942885e-05,0.0537960567964334,-0.00184423925670607,-461.999217640468,-54.6371906955811,-388.737142651881,-0.762054341609758,-0.0901224651322455,-0.641210668744841,-0.000318736045182913,-0.99999985629692,0.000431060869101552,-0.761754729108516,-0.0904399079663154,-0.641521905883077,-0.0105593050514759,0.000500118863640396,0.00844717270360562,-0.027352739056391,-0.00324747469015612,-0.0230354740444003
0.04,0.0304923194122329,0.133123479216669,0.0291547909723019,0.0324723951793578,0.168217396247767,0.101296963837488,9.67005555487859e-16,7.01555268406132e-16,5.51815223985561e-16,2.18622556966893e-15,2.1148984865964e-15,4.76238717560348e-15,6.58737090294554e-15,0.0221258114518944,9.93262153107889e-16,1.57262903826276e-15,4.46917289826891e-06,3.06738548912552e-15,0.155495470645928,0.0513461782178172,3.48813234423126e-15,0.0225415012437718,0.17526831965521,1.97617096725154e-15,1.72890244486626e-06,2.55070794563734e-16,5.37517079251325e-06,0.278633228705657,2.22815268494487e-16,1.92010305796736e-15,1.67740324588734e-17,0.175175172257222,2.08266473753349e-15,-2.2679902872053e-08,-0.00542875797437738,-0.158272617248086,-0.0125695324519371,2.65988947753501,-0.00864682919665062,-0.00525146290072602,-0.0187863815716297,0.00189753496049101,0.000634760973528538,0.00138755079215913,-0.000979198489824932,-0.000185383016120423,-0.00186660766572321,-6.85264288476104e-05,0.0494299154969432,-0.00206128822039941,-465.141712712475,-54.9685161454225,-391.398389804791,-0.762045204897782,-0.0900553379844019,-0.641230958230194,-0.000862781404343455,-0.99999859601449,0.00143651567927716,-0.7610598471824,-0.0909146739827366,-0.642279091253416,-0.010568764026435,0.000516029441998384,0.00843437663973792,-0.0273277875552401,-0.00326452237028698,-0.02306266270902
0.06,0.0314984389745129,0.137067939691116,0.028321462821628,0.0332766734332551,0.168346287357788,0.102329065860229,5.80446969828165e-15,6.79506923996378e-06,7.51108211324043e-16,2.36209404451495e-15,4.32424389099773e-15,9.5136979550884e-15,1.16379767655526e-14,0.0218230729677699,8.16812402792859e-16,1.29705281343566e-15,3.35186469364853e-06,3.32199851274197e-15,0.162643788258613,0.0494774627686871,6.53711576319018e-15,0.0182634834133715,0.178810550374581,1.4894634366934e-15,1.29667459182576e-06,1.97818998510528e-16,4.03135642540491e-06,0.274224979362775,2.90039066889352e-16,2.72830343150163e-15,1.45530729669279e-17,0.18092467781379,1.72007415398186e-15,9.55006422704636e-08,-0.00712645109240983,-0.159303189882313,-0.0205434514110804,2.66154987384569,-0.0122740122351532,-0.00868866314547561,-0.0194592879037598,0.000400901418781419,-0.000158050425728732,-0.00100502369291273,-0.00190433511734973,0.00119113538435644,-0.000695741634316557,-8.77991707130204e-05,0.0473071416164764,-0.00262117403924486,-462.066654976269,-55.2316445875755,-390.485043027021,-0.760625757967346,-0.090918942268979,-0.642792503264693,-0.000436946058604872,-0.999999870960376,0.000259147398444015,-0.760428052485392,-0.091354073014615,-0.642964703803338,-0.0105773329515717,0.00053042712289416,0.00842273372672589,-0.0273051013613457,-0.00328030010897547,-0.0230872813696665
0.08,0.0314872930832428,0.13637496581865,0.0289352773959727,0.0330075220995673,0.167843713040032,0.101269060648354,4.77826532797334e-15,5.09626730028346e-06,5.63331158493032e-16,2.13618291792253e-15,4.29459285246179e-15,1.31020484218483e-14,9.59864517234707e-15,0.022868480324831,6.9474406384873e-16,1.00436248075277e-15,2.51389009503123e-06,3.24515785977777e-15,0.153760244928935,0.0538725220497372,4.91468255779395e-15,0.0261654292603186,0.172554853919846,1.19399801598963e-15,9.72504682905379e-07,6.48851114268801e-15,3.02350513752836e-06,0.281208180640592,2.17529300167014e-16,2.06368095194006e-15,1.91353349971121e-16,0.181766789087709,2.02268286557886e-15,4.22571593006021e-07,-0.00849321551094736,-0.160283340392146,-0.0272399762653567,2.66276094702195,-0.0150415421207921,-0.00966575429237278,-0.0195363306004201,0.000169132943360421,-0.000469447221922147,0.000328976916004228,-0.000485706875206951,0.000538802157389415,-0.000124793340414574,5.77591019547499e-06,0.0434225607555723,-0.0021064761174059,-468.937414557588,-56.1284265516389,-396.370854752193,-0.760554283412423,-0.0910328626162673,-0.642860949122673,-0.000712557844848145,-0.999999292792764,0.000952194984762567,-0.759889558812132,-0.0917424803189777,-0.643545783696253,-0.0105846087062945,0.000542613876875798,0.00841281150672524,-0.0272857653777734,-0.00329424686012497,-0.0231081465196609
0.1,0.031910791923243,0.138948658567353,0.0277123619790328,0.0336479901970215,0.168508623371911,0.102708838992264,3.60029091019302e-15,3.82218099625729e-06,1.61426351622698e-15,2.36024786448029e-15,3.22094463934633e-15,9.97980977417652e-15,1.03093750334059e-14,0.0225048926599369,1.76670958304522e-15,1.29717300722142e-15,1.88541283176035e-06,3.6737941226695e-15,0.163434912698061,0.0488809172609439,1.6709603339263e-14,0.0219214859276726,0.177201192424857,1.40368269348572e-15,7.29377803011669e-07,5.62129422207337e-15,2.26762199696105e-06,0.277719376346611,3.55793744428193e-15,2.02423698059722e-15,3.31872437171637e-16,0.180087899592057,1.5333349644472e-15,1.63936978417499e-07,-0.00948856139995679,-0.161093821730427,-0.0323905326937083,2.66355299846262,-0.0165910579132289,-0.00957429857073027,-0.0193143136581538,0.000743169547208267,-0.00027633421682749,0.00153273272859088,-0.00018328380153019,-0.000365629647151704,-0.000324011602884779,3.31399428165216e-05,0.0467864008938284,-0.00247530070277626,-465.11978516817,-56.2486269184482,-393.812132342528,-0.759954689228191,-0.0919040839638034,-0.643445809428314,-0.000165616229811913,-0.99999971602221,0.00073520525324966,-0.759467785576495,-0.0920690229053402,-0.643996877083105,-0.010590282722493,0.000552054986342781,0.0084050529969866,-0.0272706205380835,-0.00330597220138544,-0.0231243441738784
0.12,0.0314561985427001,0.13725870657657,0.027944727654977,0.0333047924405786,0.168565821075643,0.102137501204019,4.30712037339072e-15,2.86662479039229e-06,1.21069763717023e-15,4.46238176646419e-15,2.41570847950974e-15,7.48485733063231e-15,7.73203127505436e-15,0.022589905787226,1.36756773508854e-15,9.72879755416062e-16,1.4140569577341e-06,2.75534559200211e-15,0.156791824816997,0.0510144246302739,1.26232715716184e-14,0.0231826217737183,0.179022619430912,1.05276202011429e-15,5.47032953264767e-07,6.61113657160247e-15,1.70071264113864e-06,0.281908875396005,5.0574911350215e-15,4.53443264246959e-15,2.7230660652344e-16,0.175296157799314,1.15000122333539e-15,-2.11620682876321e-07,-0.0099973534942505,-0.161695979184239,-0.0354732488531058,2.6638157747711,-0.0170235182816058,-0.00777743253159331,-0.0187154208204069,-0.000297645711518643,-0.00139938176730756,0.000136617565397343,-0.00145411239680548,0.000523207944423053,0.000628681377486818,4.10713209132151e-05,0.0465187683679756,-0.00240974003570017,-468.239333679997,-56.4269343826009,-396.138117797065,-0.760227484718726,-0.0916140599700026,-0.643164858721348,-0.000717263086831676,-0.999998548739713,0.0015453323697836,-0.759178164665208,-0.0923283933400729,-0.64430115790584,-0.0105941546737452,0.000558416810989996,0.00839975155265912,-0.0272602209633792,-0.00331528555586699,-0.023135270149952
0.14,0.0316592337440454,0.138820007641091,0.0273003242717455,0.0337358451617034,0.16957632287986,0.10326972445752,5.03195002636409e-15,2.14996243064278e-06,1.9381426368668e-15,3.88799545834482e-15,3.40508813291522e-15,8.90036976602013e-15,8.75040699696321e-15,0.0227678880362151,1.03091419784015e-15,7.33371745311246e-16,1.06054121879633e-06,2.38696988458008e-15,0.162480835290344,0.0505810471635075,9.50590512177126e-15,0.0218586883933073,0.180171266682517,8.63882940420025e-16,4.10274492568613e-07,5.02679179257832e-15,1.27553231177205e-06,0.27923634507348,3.79476965994716e-15,5.79844433268353e-15,2.49043410525975e-16,0.180346045752285,1.12672895662925e-15,6.61778571336054e-07,-0.00999731241057254,-0.162046667449324,-0.0363882298676076,2.66359314067876,-0.0163510617553138,-0.0106275566873903,-0.0193201557723307,-0.000908725011064042,0.00193093103753165,0.000143173797939565,-0.00147259657357353,0.00169353766450544,0.000196356762708917,-0.000307498947312554,0.0466804119275834,-0.00285704231152377,-466.988320384831,-56.4475457010059,-396.284285134408,-0.759249656635953,-0.0917748427971671,-0.644296001173174,-0.000749277824214002,-0.999999685105153,0.000261481043423772,-0.759027812689393,-0.0925209359078452,-0.644450662178798,-0.0105961350067092,0.000561585462965038,0.00839704194462612,-0.0272548221936651,-0.00332219928598546,-0.0231406384807411
0.16,0.0310422478712901,0.137165211590166,0.027545646141012,0.0334485251245676,0.170139829661557,0.103160043875316,3.90004498768704e-15,1.61246836375703e-06,1.45567622193773e-15,2.91788736405807e-15,3.04008281241477e-15,6.85789282630376e-15,2.58990439070594e-14,0.0228340626202472,8.00528660534422e-16,5.50973478494558e-16,7.95405070556185e-07,2.02994346031596e-15,0.158851214699024,0.0522174575065977,7.17730372927316e-15,0.0227357534854021,0.182727665420875,7.82513283272708e-16,0.000162822231085062,0.000122396440987766,0.000256611517306598,0.283166426236686,2.74990725102432e-06,5.95996892187702e-05,1.88660486638949e-16,0.176115639986686,1.09750100322944e-15,-1.49597766253586e-08,-0.00952137208518376,-0.162157531122146,-0.0352272687034966,2.66297261472734,-0.0146869288097422,-0.00868381255766392,-0.0187964337169425,0.00128149104543373,0.000166097316288119,0.00173534677610349,-7.72042668842702e-05,-0.000257470532391884,-0.00103433023019365,2.7081546777217e-06,0.0409486944899252,-0.00226314214449961,-470.406384083134,-56.9600445373816,-398.825402523189,-0.759522288284305,-0.0919681892755995,-0.643947005397758,-0.000686783422424148,-0.999999513608039,0.000707892800243581,-0.759015981880065,-0.0926520635961516,-0.644445757501759,-0.0105962379220046,0.000561666042841497,0.00839690668573986,-0.0272543973783958,-0.00332690775881045,-0.0231404623658499
0.18,0.0306900102169558,0.136871884931323,0.0270109565352436,0.0335643232335272,0.171119048540281,0.104073076472371,2.94018867482353e-15,1.20934932321399e-06,1.09869590649724e-15,2.20737318981897e-15,7.19851311167387e-15,8.52578694799519e-15,1.94912862618082e-14,0.0227914855614706,1.90038005417287e-15,5.12098095928308e-16,5.96553328536558e-07,2.00283749456006e-15,0.162926735673808,0.0504793826612359,6.92455785798171e-15,0.022388412357729,0.183042711883272,1.45837369371859e-15,0.000122096790004601,9.17860950746269e-05,0.000192409250879983,0.282086733975908,2.06242476878172e-06,4.46971028226085e-05,1.41745415635232e-16,0.173713606227582,8.76697540911573e-16,-5.16331751753412e-08,-0.00863206574652268,-0.162081416439374,-0.0322471808794917,2.66207101260641,-0.0122332093992152,-0.00742504461157072,-0.0185008258053449,0.000593018790794922,-0.000764612030369833,0.000392619859416283,0.000346929430192024,-0.000630679770146764,-0.000311404454112952,4.04382422454444e-05,0.0484995338550611,-0.00314996808607766,-468.647883861568,-56.9610017547237,-397.422081795707,-0.759428608954546,-0.0923034453304497,-0.644009520023961,-0.000429526001834671,-0.999999825000906,0.000406823759051544,-0.75913512586477,-0.0927311368121516,-0.644294029883722,-0.0105945671137907,0.000558963864842416,0.00839919494961383,-0.0272586755458942,-0.00332974708354444,-0.0231350142002065
