time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0495806240040871,0.109480157336468,0.0593936885610277,0.0172495121439572,0.122332446137906,0.0303089771905929,1.64146871909811e-15,0,9.74674286502853e-18,1.06559055612158e-15,0.00866402292192435,2.05258248417823e-14,3.94430452610506e-31,2.23886859936791e-19,2.93021358045709e-14,3.15544362088405e-30,0,0.0269225753643804,0.0246184712384641,0.0317575001183859,0.00244678171969303,0.00624539143432774,0,4.96224869582121e-14,0.0179975298404445,0.053680930201503,0.0454811271481689,0.0891451011427967,0.00187989987628502,0.0306364858596676,1.74898481122242e-16,0.0593948989816031,0.00817315259892366,-0.110524279126217,-0.0185718766187197,-0.153567271901362,-0.000581783632564726,2.65494752254594,-0.0012452403099513,-2.83877288678204e-06,-5.05160428336191e-06,0.000190147488969502,-0.00020626126456152,-2.14550453420556e-05,-0.000160500112291781,0.000307658242685143,-9.16455660511468e-05,0.00115504191402867,-0.00370298179264213,-0.00912555367054662,-238.061607467537,8.27780118360718,-311.667492402802,-0.606876642229566,0.0211021182323004,-0.794515853663272,-0.241366593049574,-0.969729463301219,0.0369720944114828,-0.562938199378066,-0.220986515944043,-0.796407900169187,-0.0123302714207482,-0.000316961990089473,0.00556486392645417,-0.0202137263925923,-0.00793508234950165,-0.0285970492119817
0.02,0.0489094015211742,0.109551277872631,0.05877259086958,0.0171036742041639,0.121619525794494,0.03036727677454,1.54016063059811e-14,5.80070333286636e-15,7.51789160998769e-18,1.11396460161972e-14,0.00911891752793282,1.53943686313364e-14,2.8948106789937e-15,1.73766373843813e-18,2.19814234786846e-14,9.25055841369238e-18,0,0.0265081299523991,0.0245248327089521,0.0320205420573243,0.00261517780726184,0.00628957525641506,0,3.72312002166467e-14,0.0182484951186064,0.0536900176473587,0.0455592851318981,0.0889632488235085,0.0017970219280989,0.0308261924036561,1.55677397617702e-16,0.0593822574591851,0.00845654082162809,-0.110472449093057,-0.0185150418538717,-0.153580537229465,-0.000933734468455766,2.65416074363779,-0.00145921391904101,4.98412720060869e-07,8.96657462420749e-07,0.000200853088135539,-0.000225932064278506,-4.20498500253359e-05,-0.00017812907422126,0.000320250781266272,-8.58833761134869e-05,0.00123157752964248,-0.00355039071123622,-0.00942281384688813,-237.910301469087,8.1542913684759,-311.786787014428,-0.606490280626185,0.0207872396858663,-0.794819117895521,-0.241391220337043,-0.969732543167592,0.0367297354456475,-0.562697149670134,-0.221316653195153,-0.796486570364876,-0.0123319301805416,-0.000314874024132841,0.00556130570132657,-0.0202050708903568,-0.00794693676633339,-0.0285998740652474
0.04,0.0486875617132119,0.10906371677873,0.0580700014358514,0.0172104963176307,0.119914133608382,0.0303651597996708,1.15512047294857e-14,5.73953757279563e-14,6.07143482272023e-18,1.68197897615549e-14,0.00977604034340802,1.91418688468925e-14,2.31824403032412e-15,2.09399769741465e-18,1.64864779357498e-14,3.86962131213461e-17,0,0.0270790655297437,0.0250923723592648,0.0324023153189856,0.0037743404478363,0.00660685281244378,1.37028815521212e-15,2.92638230830374e-14,0.018479383442407,0.0537053140110509,0.0456142791987152,0.0892281172160218,0.00180661069710935,0.0307264588069735,1.52587465402685e-16,0.0593567205980934,0.00958895294147071,-0.1102055969483,-0.0181639532493004,-0.153650030255764,-0.00112776139643066,2.65263660797764,-0.00097686436831216,-6.29345525786095e-07,-1.07493652243031e-06,0.000281651069713404,-0.000326927359498322,-0.000175222998581018,-0.000270235730650695,0.000324123289950973,-3.22437103254923e-05,0.00126144728587909,-0.00363726908262993,-0.00939959726221411,-238.303085831815,8.25673235889121,-313.272831609096,-0.605297469929101,0.0209723646224448,-0.795723025191286,-0.241899903110543,-0.969652976437433,0.0354618409157832,-0.562473467801308,-0.221637320114971,-0.796555394402565,-0.0123334723857492,-0.000312802579843056,0.00555800163623932,-0.0201970390245136,-0.00795845112685735,-0.0286023453671925
0.06,0.0482835597887515,0.108765096310088,0.057364008192208,0.0170898890686061,0.118658744076699,0.0300329568691516,8.6520737116384e-14,4.30465317959647e-14,4.55357611704017e-18,1.2614842321166e-14,0.0107859756486087,4.97590274037998e-14,2.01136653442282e-15,1.75001025165938e-18,1.23687387284547e-14,2.96374501077696e-17,-1.26217744835362e-29,0.0273895852033514,0.0259512077661833,0.0331858478435555,0.00447827678480373,0.00706811222539461,1.02771611640909e-15,2.19478673122774e-14,0.0189691805232373,0.0539814482186049,0.0458523429845763,0.0896247893234455,0.00186112544326199,0.0310826764376276,1.14440599052014e-16,0.0596444214142908,0.0108573749491727,-0.110134480552662,-0.0174852486097124,-0.153474038571472,-0.000827454442373627,2.65125538155929,0.00050602258214136,7.33250543830053e-07,1.18539733201151e-06,0.000213670194760955,-0.000236876971535401,-5.79245945756092e-05,-0.000186096279006721,0.000320097563874221,-7.96100120614149e-05,0.0012854599186518,-0.00364678144021451,-0.00954368624685889,-238.900517079808,8.4840645843789,-315.47525394644,-0.60356502813588,0.0214343808969933,-0.797025610709529,-0.242667637055322,-0.96953271317717,0.0334475111974143,-0.562312020707842,-0.221943038415107,-0.79658425735545,-0.0123345714508718,-0.000310907611208014,0.00555566848480579,-0.0201912418564092,-0.00796942871920939,-0.0286033817648524
0.08,0.0479075434476032,0.107956093282668,0.0566836769672505,0.0170904429404489,0.117327952503024,0.0299885986922454,6.48905528372824e-14,3.22969408887247e-14,2.05019082637566e-17,9.46942533108362e-15,0.0117511932866349,3.7319270552848e-14,1.70657772936478e-15,4.09808702696888e-18,3.55767140712273e-05,1.14320573071716e-16,2.0691519132067e-13,0.0279105239520946,0.0264118872252902,0.0331149845534946,0.00493938983343501,0.00793458395772208,8.35246646911294e-15,1.64609004842077e-14,0.0196519534241487,0.054180706262169,0.0462216485248745,0.0905418799264683,0.00224402448229266,0.0318530413245963,1.32312150341673e-16,0.0607467370677971,0.0127423217323776,-0.110134927228678,-0.0167667864318957,-0.153244721829545,-0.000618235481881693,2.65010786297945,0.00215327890842552,1.19265949572627e-08,2.02823517744938e-08,0.000159590126859993,-0.000215641115364487,-8.73472666374292e-05,-0.000219983493703095,0.000162143308591933,-2.40212714993341e-05,0.00128430695855585,-0.00375968825185644,-0.00976742865227596,-240.966876047567,8.45727687096914,-318.268553542657,-0.603490409075645,0.0211808592211638,-0.797088889244082,-0.242706720599096,-0.969525385611915,0.0333762554835097,-0.56225354848014,-0.222229196248949,-0.796545749819831,-0.0123349289752389,-0.000309351482202472,0.00555496152720281,-0.0201891422625041,-0.00797970394331884,-0.0286019990539439
0.1,0.0478290112864395,0.107841455693775,0.0565184616372518,0.017154000162674,0.116592854377881,0.0299117717302649,6.2158725613534e-14,2.42259723241151e-14,1.53764311978175e-17,7.15398923932893e-15,0.0123125887136074,2.79894529146349e-14,1.78220900301767e-15,3.40766183148476e-18,6.12464705531088e-05,9.89244626312385e-17,4.53223654983217e-07,0.0284279125472401,0.0274464107594383,0.0341069510149267,0.00497572526753094,0.00830800906330054,1.27513408784757e-14,1.23591039864979e-14,0.0198453862377243,0.0542650753239356,0.0463363766053804,0.0907095843065494,0.00222254290014829,0.0319190684982354,1.05013978628935e-16,0.0609704280146781,0.0134605187504041,-0.110241628533975,-0.0160225330569859,-0.152991026061104,-0.000609583417587287,2.64928168976829,0.00392856923250888,1.08726190727188e-08,-1.20225520961157e-08,4.05856010894057e-05,-0.000198449090568264,-0.000163524100596734,-0.000279942528847506,-2.3676140709838e-05,6.93465180222603e-05,0.00140437965422698,-0.00378654241842793,-0.00991334505049809,-240.690942119109,8.75791483256091,-319.616173088527,-0.601420467104585,0.0218836204764799,-0.798632912483917,-0.243670166316486,-0.969373672987152,0.0306517889639989,-0.562332819874427,-0.222492924762948,-0.796416158878325,-0.0123342867775448,-0.000308292058271244,0.00555644620495185,-0.0201919887033331,-0.00798917378570968,-0.0285973457619175
0.12,0.0473658029349623,0.107004045395556,0.0559791268412099,0.0170906999687492,0.115870124275614,0.0298845959887833,9.88318176868757e-14,1.81791642345984e-14,1.14614168344594e-16,5.45787981525667e-15,0.0131475622044986,7.13954765241361e-14,1.35046139650373e-15,2.55574637361357e-18,4.59320395672152e-05,1.33932014423731e-16,3.39917587184063e-07,0.0286004839421047,0.0275682163669372,0.0335781616335365,0.00471709104645829,0.00933924936381471,4.8224220371066e-14,9.26932798987329e-15,0.0206175459270941,0.054395186784863,0.0467737989285695,0.0916559989841903,0.00270649150678237,0.0329926279699569,1.06105299817817e-16,0.0624886509219644,0.0152481213654801,-0.110484181535241,-0.0152697693390677,-0.15274776274615,-0.000880552052533557,2.64885003775624,0.00579755236123036,-5.08744716715357e-08,2.04517919260775e-08,0.00012420197224435,-0.000168699190278884,-7.62216210731992e-06,-0.000155249625600408,0.000232409395209024,-7.32924259742751e-05,0.00133819136213256,-0.00386620368325295,-0.0102904068766658,-243.259119243514,8.55561943414148,-321.999628937656,-0.602651151453352,0.0211957270889425,-0.797723216914939,-0.243234233946736,-0.969445018954929,0.0318349282993092,-0.562577511341504,-0.22273391733373,-0.796175951534566,-0.0123324338905743,-0.000307874481080335,0.00556058057858588,-0.0202007749721838,-0.0079978272362906,-0.0285887205069079
0.14,0.0474552031278341,0.1070497652281,0.0561622297417805,0.0170735586238338,0.115922172764491,0.0297719749244264,7.41238632651494e-14,1.36348998531042e-14,8.59606262584452e-17,2.79050403943493e-14,0.0133140172865152,5.35466073930983e-14,1.05374055262661e-15,3.60879103498145e-18,3.44474473612226e-05,1.00449010817798e-16,2.54938104053371e-07,0.0290730958616299,0.028262812492269,0.0345319334963385,0.00396434966410699,0.00969916757455643,5.5416664079423e-14,6.96766214399024e-15,0.0206714504945163,0.0545379423415061,0.0467529166921532,0.0914947850697389,0.00279919972398711,0.0331628145472824,2.37189932680974e-16,0.0625596472379322,0.0152187209503132,-0.110900801399001,-0.0145271382100769,-0.152543624558858,-0.00147430860900498,2.64886532044803,0.0077177948088894,-9.48977802562808e-08,3.59338746610644e-08,0.000313999143833147,-9.89667643034407e-05,0.000351911955621993,0.000135698858004923,0.000831384841250343,-0.000403076336450044,0.00133745488009638,-0.00383540485168209,-0.0103400610501454,-242.571620359735,8.80226249501467,-322.351416272836,-0.601138074957192,0.0218136611515967,-0.79884740659523,-0.244070250570253,-0.96931259260485,0.0293736379128853,-0.563007808671138,-0.222954945425582,-0.795809838897207,-0.0123292089659546,-0.000308221695044603,0.00556770818137603,-0.0202162258911271,-0.00800576381152875,-0.0285755743024247
0.16,0.0473038835067457,0.10676136027058,0.0562402132270243,0.017155663005738,0.116156745569948,0.0298745567228112,7.90435529206035e-14,1.0232026438214e-14,6.44704696938339e-17,2.09287802957614e-14,0.0134376808933364,6.30591036606288e-14,7.90305414469957e-16,2.70659327623609e-18,2.58346955509479e-05,7.53367581133487e-17,1.91203534695556e-07,0.0289334354125686,0.0284442782576385,0.034324467505774,0.00296147519688576,0.0103072102076431,4.1562498059565e-14,5.22574660799264e-15,0.0209056586737619,0.0541969849835316,0.0469684709007585,0.0917379801787339,0.00289328628751993,0.0335925300815075,1.7789244951073e-16,0.0637044187006318,0.0158862438085702,-0.111515050214491,-0.0138238409649246,-0.152410610482764,-0.0023972779134278,2.64935431955142,0.00963298710372505,1.50743459150764e-07,-9.54154994399777e-08,0.000153903712428036,-0.000156071432128886,5.2454957943285e-05,-0.00010558954404039,0.000332924562024044,-0.000128043421823186,0.00138942833390883,-0.00386634226122902,-0.0107985766491562,-243.348234355379,8.6737388832926,-322.553530455191,-0.60212879903435,0.0214618692047193,-0.798110454475877,-0.24393210501199,-0.969334853184565,0.0297837295528388,-0.563636685608439,-0.2231619006095,-0.795306514969348,-0.0123244987258918,-0.000309423836788961,0.00557806030598021,-0.0202388073154456,-0.00801319506325025,-0.0285575011779222
0.18,0.0475535528684769,0.106947677835593,0.0568125424708492,0.0170654064681473,0.11705323489897,0.0297502704290603,8.07719399692927e-14,7.67650403617961e-15,9.11720681756695e-17,1.83077133643687e-14,0.0129038521223621,5.92453604005728e-14,6.70955759991179e-16,2.3875377444045e-18,1.93755210895964e-05,6.95957524378153e-17,1.43402623602573e-07,0.0293482340395839,0.0284595383914676,0.0350177893805157,0.002214528646158,0.0104410846458875,7.90209282885322e-14,3.92000425266384e-15,0.02051740104357,0.053891713279214,0.0465563696325272,0.0906506445849647,0.00342277203878108,0.0344827042682374,1.65371408946115e-16,0.0644974994476035,0.0149836980273302,-0.112348362007762,-0.013194454403979,-0.152375605955024,-0.00362215995869108,2.6503156154764,0.0114741101782657,-1.41281911900381e-07,1.08137968129765e-07,0.000184339013053934,-0.000143213676530681,0.000127633817285825,-4.6057562471759e-05,0.000470529379432371,-0.000198834565221064,0.00142452015143415,-0.00372585156621917,-0.0110814099565122,-242.577949435824,8.72043400993817,-321.540426148687,-0.60211699414423,0.021645502099053,-0.79811440132452,-0.244317667548146,-0.969270742964207,0.0286897918683321,-0.564470747974214,-0.223363331702148,-0.794658163446615,-0.0123182333186112,-0.000311526924179996,0.00559176605521008,-0.0202687564439197,-0.00802042795843884,-0.0285342204691318
0.2,0.0477004185539885,0.107035353098363,0.0574524254467507,0.0171139323200519,0.11817956375893,0.0298267293191828,6.49038131179539e-14,5.75891387255566e-15,1.04489094864858e-16,1.37924906807922e-14,0.0118593209386256,4.4434020300427e-14,5.03216819993384e-16,2.35184132852026e-18,1.45313592590844e-05,7.27201328398858e-17,1.07551952278696e-07,0.0291308600484053,0.0281286738387688,0.0349054292276905,0.00165721838177501,0.0104685443556923,5.92656962163945e-14,2.99513749280994e-15,0.0199625025269186,0.0527643942761248,0.0461239412229531,0.0894265597992501,0.0039214730503504,0.0355848649426686,1.33389356310028e-16,0.0664860721759097,0.0145268066386306,-0.113406979890424,-0.0126800334743322,-0.152466130670504,-0.00509329907298324,2.65171891911824,0.0131675111313319,7.84027919315388e-08,-4.8965154263676e-08,0.00022774523090391,-0.000123186856496866,0.000238536462966728,4.02935350210902e-05,0.000665381448169512,-0.000301555148790524,0.001254349697542,-0.00360290635633036,-0.0118860563062842,-242.500309934937,8.4526771534214,-319.743048914966,-0.604152223928611,0.0210585450458197,-0.796590627614126,-0.243945646223914,-0.969328248889275,0.0298875825996169,-0.565511444637798,-0.223569611875332,-0.793859833112612,-0.0123103797477032,-0.000314521916708888,0.00560886754734699,-0.0203061253018842,-0.00802783497218486,-0.0285055543900483
0.22,0.0479383716814271,0.107144147085882,0.0581819520741011,0.0170248522275802,0.1197193206666,0.0297341224891904,4.86778598384623e-14,4.31918540441672e-15,7.83668211486436e-17,1.0344368010594e-14,0.0110372436276537,3.33255152253188e-14,5.18469148065384e-16,7.33180145707334e-18,1.08983610740119e-05,5.45400996299143e-17,8.06639555334548e-08,0.0292108224972507,0.0272210139126013,0.0345447987096132,0.00124085400675759,0.0102653053167104,4.44856445704453e-14,2.33343056401174e-15,0.0192094679643683,0.0516957775676104,0.0454741630982607,0.0876844022310276,0.00478597954373529,0.0371689915363288,1.94434034662786e-16,0.0684186374014565,0.0128622209699595,-0.114686230436149,-0.0123215539660787,-0.152705606162237,-0.00673225943365461,2.65350485661289,0.0146465862794211,-1.20735157446851e-07,-2.02708780903223e-09,0.000182036658715254,-0.000146835081156131,0.00012504106298808,-5.2576917924884e-05,0.000470278858315953,-0.000197383730103739,0.00154635759329589,-0.00342867653241507,-0.0126026176753368,-242.336831082534,8.05249492184254,-317.218788905804,-0.606943651299514,0.0201678409678856,-0.794488931538954,-0.243289741984642,-0.969433048990137,0.0317752257384923,-0.566756364967297,-0.223791965657542,-0.792908808676124,-0.0123009349510666,-0.000318335482500549,0.00562933660235757,-0.0203508273294759,-0.00803581914970367,-0.0284714054412417
0.24,0.048498830889898,0.107788737102369,0.0595325761770165,0.0170194928417154,0.121638504450569,0.0298155449427859,7.72411333360239e-14,3.2435484638497e-15,1.40619681389205e-16,7.75827600794545e-15,0.00915054443918465,2.49941364189883e-14,1.10601150558925e-15,6.3977695553427e-18,8.17368172480333e-06,4.09050747224357e-17,6.04979663560496e-08,0.0291805093238039,0.0263788253918586,0.0348377617987223,0.000929485716068627,0.00938922959094738,6.46362908045054e-14,1.7500729230088e-15,0.0178312761425799,0.0503197487678228,0.0443441226841467,0.0850791014584078,0.00541443916811933,0.0382541464687582,1.45825525997089e-16,0.069729134721308,0.0102899808283644,-0.116167619974301,-0.0121555330728992,-0.153110954923978,-0.00844247625231503,2.65558483083141,0.0158621214589235,-1.60010925871784e-07,-1.07124651945728e-07,0.000102642083458473,-0.000201421512849011,-0.000127925599469075,-0.000229119819395271,0.000107259849602877,1.86010222413435e-05,0.00173057926541119,-0.00317221462686116,-0.0132283704439384,-240.243530112821,7.75867622897945,-312.804110210467,-0.608995417513652,0.0196675359673648,-0.792929864159716,-0.243047463558502,-0.969470196268276,0.0324879824755099,-0.568200292647046,-0.224041507861787,-0.791804161513962,-0.0122899205896609,-0.000322823148362537,0.00565308816905785,-0.0204026752216271,-0.00804477959659747,-0.0284317402781369
