time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0320632614319235,0.126358245595041,0.0113370868549758,0.0345520313138093,0.102319683478727,0.0995854229044256,1.43843001813883e-14,4.41460285003981e-16,8.9385178922932e-15,1.24923787354815e-14,0.000475966821204327,2.60110107980618e-14,2.22038403647049e-16,2.52434977315324e-15,3.09451478090583e-17,7.72591134628149e-15,4.72339748881178e-15,0.021342632167468,2.61548794806625e-15,0.0312647800792074,0.0843338608253155,0.0812588872215729,0.0208163738243755,1.5657849103806e-15,0.0292579008351702,0.0338612650873827,0.0237936254834427,0.0373116304798092,2.83249741647679e-15,2.41034202407651e-18,3.74930294213604e-17,0.0290725364308799,7.07674778919484e-05,-1.47307463142249e-08,-0.0403665656548162,-0.227903009329444,0.000825753086904061,2.65602323066274,0.000418927240139943,0.0750936142163321,2.60957447938814e-09,0.000354838637172756,-0.000202674947322276,0.000310676073922321,0.000326804259462634,0.0010824462362009,-0.000375569977922866,2.36869644953394e-06,-0.00204243509565102,-0.00037909596889604,-263.471418208368,49.0040628495134,-301.906298730007,-0.652657009586152,0.121390188485802,-0.747865796769342,-0.230703996545682,-0.97274269319912,0.0233948457052412,-0.635632755859831,-0.110913582519965,-0.763982445407369,-0.0117018879836788,0.00343841311603826,0.00586062296972958,-0.0228240091493437,-0.00398263399562815,-0.0274327308704037
0.02,0.0331732768584426,0.127446520130852,0.01180611235414,0.0353670906925414,0.102312526634855,0.0999662410183873,1.07882251360411e-14,3.31095213752986e-16,6.71362880449571e-15,9.37431221779411e-15,0.000356805207592081,1.95083317574563e-14,1.68505755479873e-16,1.89379715884111e-15,2.3492364769003e-17,5.79604397373927e-15,3.54323514266358e-15,0.0219510139204693,1.96967502173777e-15,0.0353808945239631,0.0827093451177305,0.0833912975680268,0.0209063122946043,1.19356578513238e-15,0.0301578495886364,0.0332611401154448,0.0246039148346622,0.0402507082688599,2.12523440686216e-15,4.67321713807543e-18,3.1261727462851e-17,0.0311150200007581,5.30718523920207e-05,1.84458602942247e-08,-0.0403992261714732,-0.228175807121516,0.00150514487768887,2.65623562325905,0.000253781560393947,0.0751007029579401,9.36174996073713e-08,0.000216843951071434,-0.000129683011450793,0.000207089236670653,0.00012786687668411,0.00057744147191705,-0.000217388568564166,1.04298244634986e-06,-0.00207897671859117,-0.000491402457615489,-264.746289098526,47.9072995540809,-306.934305934398,-0.648634007147107,0.117373897051286,-0.751995540587363,-0.225803457164304,-0.974023619907589,0.0170524659438212,-0.636171716430272,-0.109916610278579,-0.763677867951553,-0.0116948762743761,0.00344911291598528,0.00586832665691428,-0.0228433618980456,-0.00394683517414003,-0.0274217942429657
0.04,0.0329714492660325,0.127426275559027,0.0119213985987679,0.0350891333087632,0.102720029698882,0.0998483298127592,8.09143999377185e-15,2.50493720344677e-16,5.03894643024637e-15,7.03073416334552e-15,0.000267508423226937,1.46317261832931e-14,1.2676071039399e-16,1.42451335361651e-15,2.37757664475538e-17,4.34942416244574e-15,2.66105339987751e-15,0.0211867601130417,1.47801439672433e-15,0.0351540922904512,0.0828530878144291,0.0833545200303982,0.0209142093305864,8.98410136151091e-16,0.029929457127575,0.0337701911770281,0.0243858589973095,0.0393738644985056,1.59446121873798e-15,3.82381505888149e-18,3.36477734411009e-17,0.0317455932174783,3.98017768278944e-05,-5.02576784486629e-08,-0.0402498859590461,-0.228175645474521,0.00282204794112305,2.65658420663602,-0.000278626076852202,0.0757151581122017,-4.25938063416677e-08,0.000154949227237872,-6.48899961728478e-05,0.000171763790590965,5.0314716443545e-05,0.000278898393640015,-0.000136838044617096,2.89068766285801e-06,-0.00204348756605811,-0.000474904456362602,-264.650479513997,48.1222820380484,-306.279305967259,-0.649241075749125,0.11805367674096,-0.751364994505373,-0.225491684923427,-0.97409118870538,0.0173163540312219,-0.636708192953937,-0.108918435451721,-0.763373729862432,-0.0116878719201955,0.00345970748437355,0.00587603972349651,-0.0228626254507365,-0.00391099317076493,-0.0274108733921053
0.06,0.0330447302653452,0.127223946533737,0.0121302170940656,0.0350922434080656,0.103020024862383,0.0998252741063867,6.07698521884027e-15,2.04713711641829e-16,3.78002297268714e-15,5.27748444321229e-15,0.000200577646852836,1.09747505511362e-14,9.62780422424036e-17,1.0687046825488e-15,1.93760524477613e-17,3.26423349174662e-15,1.99621013064595e-15,0.0212832609594642,1.11013482503908e-15,0.0350750549754929,0.0825423962447006,0.0834202082766201,0.0214025454707291,6.74118722360535e-16,0.029942207712871,0.0334897132993969,0.0242866295924502,0.0394750233015053,1.19843331865857e-15,2.93055060347102e-18,2.52358300808256e-17,0.0316893087921419,2.98501444848488e-05,4.76590583232485e-08,-0.0399478456992543,-0.228160113122555,0.00408609154683958,2.65682764069671,-0.00103419327007813,0.0764562499019006,-5.25402995916641e-08,0.00016204834660485,-2.56702567203844e-05,0.000185797684424332,0.000103755811637147,0.00024550561990968,-0.000136795474066864,6.06637216179344e-06,-0.00204517157799871,-0.000504653696106598,-264.690625854372,48.5381608046777,-306.052680245029,-0.649490693348179,0.119101625201566,-0.75098378286648,-0.225538751914754,-0.974083696888245,0.0171237507942946,-0.637261360329175,-0.107916768826517,-0.763054342519229,-0.0116807280581229,0.00347017481072184,0.00588406726233182,-0.0228824883308621,-0.00387502578549805,-0.0273994049780309
0.08,0.0329215120237945,0.127024597657164,0.0122399618897789,0.034936405638219,0.103401436200763,0.0997866037845135,4.56079051388935e-15,1.53535283731372e-16,2.83501722951534e-15,3.95909154706672e-15,0.000150403061595314,8.23187882824293e-15,7.22085316818027e-17,8.0573820964997e-16,1.53109882256943e-17,2.44817511880996e-15,1.49715759798446e-15,0.0208996645730711,8.32601118779313e-16,0.0348375980180346,0.0826501516965566,0.0835077854154518,0.0217514315980251,5.13382736525052e-16,0.0298135985185893,0.0335675072419654,0.0240873158561525,0.0390343095793722,9.00219504690802e-16,2.19791295260327e-18,1.936848221959e-17,0.0319502550404284,2.23869400902923e-05,-1.12105842449748e-07,-0.0396261323189801,-0.22808961593007,0.00530484944583928,2.65702563579339,-0.00181965233397749,0.0772474946757847,3.12781008861102e-08,0.000158372933643985,-5.68303314980316e-05,0.000177634845261544,5.89018048567178e-05,0.00026951562746578,-0.000137476651940178,3.51998460486844e-06,-0.0020320806631732,-0.000518353719155759,-264.818609487714,48.8186010846714,-305.605229783847,-0.65015443226702,0.119854227516995,-0.750289396399718,-0.225292823182629,-0.974135637926888,0.0174041013320426,-0.63784908511496,-0.10691253848293,-0.762704565171301,-0.0116733092567518,0.00348050269579774,0.0058926836596927,-0.0229035920826188,-0.00383896634340862,-0.0273868453336203
0.1,0.0328841029971715,0.126863385707954,0.012420205543052,0.0348904295013923,0.103666861154421,0.0998573085855934,3.420592885417e-15,1.15151462798529e-16,2.20099957863334e-15,1.50332768446857e-14,0.000112785330392081,6.17390912118214e-15,5.41563987613526e-17,6.26740227792737e-16,2.83477571842308e-15,8.28702111934771e-15,1.12286819848834e-15,0.020950365171207,6.26247386592175e-16,0.0348175417102907,0.0824475508424701,0.0836792517246598,0.0220153600657427,3.85037052393789e-16,0.0298342650050384,0.0334667953246012,0.0238973122675164,0.0387382108202671,6.75164628518102e-16,1.64843471445253e-18,1.4916035275373e-17,0.031942108942611,1.67898292307296e-05,-2.14950633253884e-07,-0.0393214472114238,-0.227978075102705,0.00642046860688727,2.65720652266188,-0.00260636647569041,0.0779992828645407,-6.4337240317851e-08,0.000166209692697096,-0.000106665424988805,0.000189892651997436,-3.5584870304417e-05,0.000280279008821292,-0.000143105123845245,-9.53074723979706e-10,-0.00202772843619169,-0.000525998251588085,-264.616394010592,49.2598282073485,-305.177881495046,-0.650294840356327,0.121056037513668,-0.749974703831689,-0.225492134697077,-0.974097113850815,0.0169738026755376,-0.638486298549654,-0.105911243225679,-0.762310996328108,-0.0116655066036941,0.00349068404602532,0.00590210549739897,-0.0229264728500579,-0.00380301229305168,-0.0273727132443043
0.12,0.0329883400044692,0.126635011940963,0.0123860888623948,0.0349107298523284,0.104007677314812,0.0997460689549495,2.56544466406274e-15,8.63635970988968e-17,1.67151188459186e-15,1.12817556494082e-14,8.45794573959967e-05,4.63167976232844e-15,4.06172990710145e-17,4.71646626611815e-16,2.1262552783751e-15,6.21960254337234e-15,8.4601896129206e-16,0.0211255779316353,4.69685539944131e-16,0.0346227847775627,0.0826099508626104,0.0835874324767319,0.0229472878605988,3.05077877532877e-16,0.0295446097408877,0.0328954514863947,0.0237981339905694,0.0390660351396724,5.06373471388576e-16,9.08379497025588e-18,1.11870264565298e-17,0.0317569459578881,1.25921604992796e-05,5.11082136574519e-07,-0.0390767824459366,-0.227864844660407,0.00734818656352339,2.65740237992733,-0.00335526565324417,0.0786019417607989,1.15098811592881e-07,0.000211517380649783,-0.000134322444401934,0.000274824878266037,-0.000157006063892683,0.00020045295339308,-0.000159106892971186,-6.51057199079137e-08,-0.00205534693943329,-0.00059311998865845,-265.078417904735,49.6332931507034,-305.114780840478,-0.650952481817959,0.121884367700051,-0.749269689314468,-0.225337246502777,-0.974130573557306,0.0171099678392581,-0.639183802557816,-0.104923394447836,-0.76186294557832,-0.0116572485303208,0.00350071204631446,0.00591247330679426,-0.022951518503727,-0.00376754107270347,-0.0273566248437015
0.14,0.03276899328275,0.126690183237521,0.0125529240224214,0.0347750118844319,0.104019564952599,0.0999350504444547,1.92424208060166e-15,6.47726978241729e-17,1.27439989910087e-15,1.02783931545095e-14,6.34292277835375e-05,3.47375982174631e-15,3.04629743032603e-17,3.53817280617969e-16,1.59469145878132e-15,4.71042739589086e-15,9.07725804408797e-16,0.0209942960143937,3.52264154958098e-16,0.034779889333629,0.0825140287444619,0.0839242644751151,0.0223135426786723,2.32758606126797e-16,0.029741238612652,0.0333092548622421,0.0234715675823936,0.0379721595241731,3.79780103541432e-16,6.81284622769211e-18,8.5772839303109e-18,0.03181599934559,9.44400145258016e-06,-5.22833668750671e-07,-0.0389360875390227,-0.227811367998939,0.00798795388112541,2.6576412707605,-0.00401799747863252,0.0789370218098477,-1.36522789246135e-07,0.000170738434711922,-0.000108975731593735,0.000198195583726489,-4.7047001776089e-05,0.000272055719757601,-0.000144678756596124,-1.18188840874047e-08,-0.0020322100294919,-0.000534132540284137,-264.240669719863,50.08602605277,-304.163756265187,-0.650816717151554,0.123360355865692,-0.749146062711915,-0.225848092894787,-0.974028241316649,0.0161747968575751,-0.639947568010207,-0.103964007906636,-0.761353134398099,-0.0116485065369997,0.00351057705493193,0.00592384275038541,-0.0229789434429118,-0.00373309186128031,-0.0273383187779198
0.16,0.0326818311316645,0.126582667106743,0.012508264052003,0.0347487538135899,0.103931429921583,0.0999483861284026,1.45052938729297e-15,5.41032242270823e-17,9.55799924325649e-16,7.70879486588201e-15,4.75689033874502e-05,2.6103486334101e-15,2.28472307274452e-17,2.68185445797088e-16,1.19601859408599e-15,3.53282054691813e-15,6.84690909987688e-16,0.0208866450044924,2.64198116218574e-16,0.0344551214666246,0.082899345378951,0.084161111148129,0.0222482607021813,1.76742379578436e-16,0.0299000269031654,0.0332605372128678,0.0233648765471919,0.0377954419397569,2.84958903246902e-16,1.1432595440131e-17,7.45899270092769e-18,0.031508311040113,7.08293419756261e-06,-7.08741617013092e-07,-0.03893740185647,-0.227894148030388,0.00823913856554462,2.65793971338753,-0.00453723913802473,0.0788727309479415,-3.17374077350462e-07,0.000140266990930072,-9.72420837177366e-05,0.000136908548899993,3.27796239619346e-05,0.000342013114254507,-0.000135991733737239,-3.81367162753883e-07,-0.00203983914436833,-0.000528520032848347,-264.608367012639,50.2872296444016,-303.658376016544,-0.651905328623138,0.123890689236274,-0.748111315001531,-0.225474028373713,-0.97410654476416,0.0166703922136975,-0.64077851869212,-0.103051279168872,-0.760778104209362,-0.0116392956224528,0.00352026734856548,0.00593618429129411,-0.0230087808384705,-0.00370031801684017,-0.0273176708579253
0.18,0.0329570480139692,0.126690736482821,0.012088748054471,0.0347951477473832,0.103982452206914,0.0995381360738293,1.08789704046973e-15,4.05774181703117e-17,7.1701963162725e-16,5.78159614941146e-15,3.56749804401607e-05,1.95918801093181e-15,2.47709784085906e-17,2.15592264670249e-16,8.97013945564492e-16,2.64961541018859e-15,5.14339926419366e-16,0.021527205335016,2.00573587967209e-16,0.0346049355414607,0.083641689487864,0.0836714215590806,0.0233658158051232,1.37509641658796e-16,0.029042425600862,0.0323383364640377,0.0232538663562678,0.03824471078657,2.15124901144553e-16,9.23486636235019e-18,5.6529840683772e-18,0.0310355692588066,5.31216302220525e-06,6.51035755653402e-07,-0.0391060270061862,-0.228195338183966,0.00801499839178126,2.65829719323871,-0.00484633788540494,0.0783165139539971,2.77521207025812e-07,0.000166924101398657,-9.51483060731228e-05,0.000193638863895211,-2.62448975894517e-05,0.000262850338357548,-0.000141157981493144,3.62934112560704e-07,-0.0021159115289139,-0.000624402593070025,-265.007486877857,50.7987393347568,-303.786616613529,-0.652214044186474,0.125021566792061,-0.747653963008812,-0.225756289622215,-0.97405062867229,0.0161080873826518,-0.641672739860596,-0.102204672506183,-0.760138342565154,-0.0116296698473991,0.00352977512564685,0.00594938950946175,-0.0230408901216103,-0.00366991845351217,-0.0272946985905489
