Data File:	S8R_200809_1_39.AKF
Measurement Programm:	5.4.17

------------------------MEASURING INFOS------------------------
Diagram Title #1	Forces and Moments at Shoulder Joint
Diagram Title #2	Measured Relative to Humerus

Comment #1	Shoulder Joint; Standard Test; Standing Position; Elevation; 2,4 kg; 150 deg.
Comment #2	S8R, 11 Months PO  *  three times

BodyWeight [N]:	830

Implant Type:	Shoulder Joint

Axes Directions X, Y, Z:	Medial, Anterior, Superior
Axes Origin:	Center of
Angle of Rotation (Deg):	Y = -52	X = -90	Y = -63,1
Displacement X, Y, Z (mm):	0	0	0
Activity Code:	shoulderactivities	1P_1_1_1_2_6	2P_1_67






---------------------------DATA--------------------------------

Number of Data Sets =	1364
Number of analog channels =	0
Time-Offset(sec) =	0.0
Max. Force (N, sec):	1611,22	2,610

Time	Fx	Fy	Fz	F	Mx	My	Mz	Marker
[s]	[N]	[N]	[N]	[N]	[Nm]	[Nm]	[Nm]	[0/1]

0.000	00109.54	00056.00	00087.87	00151.18	00000.35	00000.27	00000.21	0
0.011	00114.11	00055.21	00094.12	00157.89	00000.37	00000.29	00000.22	0
0.021	00119.39	00053.96	00100.14	00164.91	00000.39	00000.31	00000.23	0
0.031	00123.36	00052.09	00104.25	00169.70	00000.39	00000.33	00000.23	0
0.042	00118.83	00050.49	00098.84	00162.60	00000.37	00000.32	00000.22	0
0.052	00111.63	00047.66	00092.41	00152.55	00000.33	00000.32	00000.19	0
0.062	00105.14	00047.39	00084.54	00142.99	00000.30	00000.31	00000.17	0
0.072	00097.52	00047.15	00075.58	00132.08	00000.27	00000.29	00000.14	0
0.083	00089.97	00047.08	00066.38	00121.32	00000.24	00000.26	00000.12	0
0.093	00082.98	00047.76	00057.90	00111.89	00000.22	00000.24	00000.11	0
0.103	00079.51	00049.57	00053.55	00107.92	00000.21	00000.21	00000.11	0
0.113	00084.20	00051.30	00058.95	00114.87	00000.24	00000.22	00000.12	0
0.124	00089.54	00053.25	00064.27	00122.41	00000.27	00000.22	00000.14	0
0.134	00093.26	00055.28	00067.09	00127.49	00000.29	00000.22	00000.16	0
0.144	00097.88	00056.20	00071.65	00133.69	00000.31	00000.23	00000.17	0
0.155	00102.69	00055.87	00077.44	00140.22	00000.33	00000.24	00000.19	0
0.165	00108.55	00053.99	00086.32	00148.83	00000.35	00000.27	00000.20	0
0.175	00114.16	00052.37	00094.13	00156.96	00000.37	00000.30	00000.22	0
0.185	00117.84	00050.67	00098.91	00161.97	00000.38	00000.32	00000.22	0
0.196	00118.93	00047.77	00100.58	00162.92	00000.37	00000.34	00000.21	0
0.206	00112.48	00045.32	00093.53	00153.15	00000.34	00000.33	00000.18	0
0.216	00107.12	00044.88	00087.41	00145.36	00000.31	00000.32	00000.16	0
0.226	00098.06	00044.94	00076.35	00132.15	00000.28	00000.30	00000.14	0
0.237	00088.71	00045.24	00065.05	00118.94	00000.24	00000.27	00000.11	0
0.247	00083.00	00047.10	00057.57	00111.45	00000.22	00000.24	00000.10	0
0.257	00078.62	00049.51	00051.96	00106.45	00000.22	00000.21	00000.10	0
0.268	00082.37	00051.57	00056.12	00112.22	00000.24	00000.22	00000.12	0
0.278	00086.04	00052.78	00060.17	00117.51	00000.26	00000.22	00000.12	0
0.288	00090.58	00054.33	00064.64	00123.83	00000.28	00000.23	00000.14	0
0.298	00096.21	00055.70	00070.18	00131.46	00000.31	00000.23	00000.16	0
0.309	00099.70	00055.90	00073.78	00136.05	00000.32	00000.24	00000.17	0
0.319	00105.27	00054.66	00080.88	00143.56	00000.34	00000.26	00000.19	0
0.329	00109.16	00052.70	00086.72	00149.04	00000.35	00000.28	00000.20	0
0.339	00113.27	00051.33	00092.49	00154.98	00000.37	00000.29	00000.21	0
0.350	00116.47	00049.13	00096.67	00159.14	00000.37	00000.31	00000.21	0
0.360	00114.38	00046.97	00094.44	00155.59	00000.36	00000.32	00000.20	0
0.370	00108.96	00045.14	00089.95	00148.33	00000.33	00000.32	00000.17	0
0.381	00102.18	00045.62	00082.10	00138.79	00000.30	00000.30	00000.16	0
0.391	00094.71	00046.72	00073.03	00128.40	00000.28	00000.27	00000.14	0
0.401	00088.23	00048.89	00065.10	00120.05	00000.26	00000.23	00000.13	0
0.411	00089.61	00051.29	00066.30	00122.70	00000.27	00000.23	00000.13	0
0.422	00092.34	00053.26	00068.62	00126.77	00000.29	00000.23	00000.14	0
0.432	00096.78	00055.23	00072.88	00133.15	00000.32	00000.24	00000.15	0
0.442	00099.93	00055.73	00076.02	00137.37	00000.33	00000.24	00000.17	0
0.453	00102.59	00055.16	00079.82	00141.21	00000.34	00000.25	00000.18	0
0.463	00108.05	00054.56	00087.19	00149.18	00000.36	00000.27	00000.20	0
0.473	00115.72	00054.46	00096.64	00160.30	00000.39	00000.29	00000.22	0
0.483	00119.29	00052.55	00101.01	00164.91	00000.39	00000.32	00000.22	0
0.494	00118.07	00049.48	00100.16	00162.55	00000.38	00000.33	00000.21	0
0.504	00111.25	00046.46	00093.96	00152.86	00000.34	00000.33	00000.18	0
0.514	00108.08	00046.32	00090.08	00148.12	00000.32	00000.33	00000.17	0
0.524	00102.61	00046.54	00082.85	00139.85	00000.29	00000.31	00000.15	0
0.535	00096.56	00047.09	00075.13	00131.09	00000.27	00000.29	00000.13	0
