time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,-2.01159530831358e-31,0,9.27750460737027e-17,2.20203184907897e-15,0.0871970163829538,0.0970408947858847,0.0332413855571058,0,6.94031685175099e-17,0.00252467488829016,1.9874135097983e-16,0,3.62101221207513e-16,0.000177641650211716,2.99225040473087e-15,0,7.08473089656994e-18,-5.02898827078395e-32,0.0260488344208222,1.24838302864062e-16,7.201365878584e-17,0,0.0140611705242125,0.00582357586276751,8.36825513416393e-15,0.037591826210484,0.0452593553868786,0.0912103052964266,0.00087843897550674,0.00947420975090926,1.56249488221243e-14,0.042180684292767,6.24354640307041e-15,-0.0220948770170359,-0.0192696175818139,-0.285321313390083,-0.000848580893181029,3.02519150473524,-0.00104329517279286,-1.07947422016464e-07,-4.45014420417136e-08,3.80611917036332e-05,0.000106281234529134,5.24144186511534e-05,0.000166389728168025,4.50948529030351e-05,-5.21847269013844e-05,9.12319685887146e-06,0.00416515851092983,0.00145923553790439,-266.05630619721,38.4991845995472,-187.393071749566,-0.811901127604191,0.117484647648401,-0.571851306339309,-41.5198243098787,3.80107647020703,-8.15807942109738,-0.768433542435134,-0.0813893968219035,-0.634732744503982,-0.0121165240510778,0.000801533234652846,0.00986720811045708,-0.0319052256757245,-0.00337927345673243,-0.0263539920355325
0.02,2.22586328046715e-16,1.21760921676e-17,7.74678027343556e-17,1.98899922297433e-15,0.086501332610087,0.0962737407896072,0.0311170995037885,8.86436461725408e-16,6.3114617346386e-16,0.0036455604179871,1.49056013234876e-16,1.31372246912259e-14,1.62797293144244e-15,0.000133207570241869,2.24437899263768e-15,1.13487681479063e-17,7.3186074385517e-16,3.48278464439794e-17,0.0232828644812866,9.82078510850511e-17,0.000647188614235466,1.82833604407229e-16,0.0133902365202263,0.00434224637020387,2.39097270181324e-05,0.0379802011397338,0.0448711343258072,0.0909422270614529,0.000658250490413069,0.00850294171146009,1.24782436578618e-14,0.0406884666156888,9.22854521513537e-15,-0.0226386885459539,-0.0203004531257847,-0.2856125650422,-0.00341402971822015,3.02567108690845,-0.00179138709074274,-3.74988872883395e-08,8.8840345697477e-08,4.30682933398552e-05,0.000104028846647015,6.16313966521857e-05,0.000161009164558238,9.5760531184198e-05,-8.72121444750232e-05,-1.26908916198203e-05,0.00387703885049719,0.00142171986152628,-266.032333312121,39.0056350488032,-186.202082095743,-0.813414360482372,0.119262735072156,-0.569327215390378,-41.5198243098787,3.91578269525743,-8.21304689096081,-0.768691034530784,-0.0810292159836545,-0.634466988573139,-0.0121126814695381,0.000804407109794361,0.00987169100614932,-0.031915916702297,-0.00336431881160855,-0.0263429578959745
0.04,1.66939746035036e-16,2.43767368659125e-17,5.84637329965013e-17,0.000921937408600483,0.0858653695570187,0.0955097896658083,0.0295865512416492,1.11767736965669e-15,4.73359630097895e-16,0.00437417268690595,4.5895531157849e-14,1.48276970954867e-14,1.22097969858183e-15,9.98923694888247e-05,1.68340222220256e-15,5.65667747109781e-16,5.49138786102835e-16,6.88184841204723e-16,0.0200450378688234,2.85901973820583e-15,0.00140568648461139,1.44103342085128e-16,0.0131455193552256,0.00324254344999854,0.000426736353235836,0.0382015932729443,0.0448618904022288,0.0907030598068543,0.000493362897528705,0.00859176146825998,1.21819005751552e-14,0.0404790442316322,6.92140891135147e-15,-0.0235907834405855,-0.0219745360483773,-0.286149269748108,-0.00962221625822561,3.02672447209512,-0.0029886772533135,3.87996022223283e-08,-8.42592195038842e-08,4.65817247102724e-05,0.000101592774906918,6.62089185786164e-05,0.000156894408633687,9.08153542004842e-05,-8.57176320583893e-05,-1.00779222976096e-05,0.00385849356167267,0.00143080630755139,-267.578987370424,39.4430782323803,-185.794637675618,-0.815448892299104,0.12020306515674,-0.566210497231452,-41.5198243098787,4.06135715049541,-8.23045105012695,-0.768945880752996,-0.0806875193594984,-0.634201668787311,-0.0121088650540913,0.000807088346694573,0.00987615319869561,-0.0319264978726693,-0.00335013162780631,-0.026331941865081
0.06,2.61558084066794e-15,1.92934985013828e-17,5.90886018389686e-17,0.00236714086724673,0.0853866762045405,0.0949144792390363,0.0278528132279842,2.96934562502621e-15,3.60563327406206e-16,0.00524324865233682,7.56335791720884e-14,1.15436529299601e-14,9.1573477393637e-16,7.4911793252507e-05,1.70167166484587e-15,4.78137873860952e-16,4.11978789799144e-16,1.59012153498277e-15,0.0171390464593795,2.94502259525055e-15,0.00181831074626966,1.09919692508603e-16,0.013256599704465,0.00242402202148123,0.000683665429956974,0.0386745815169442,0.0448781707886665,0.0906971672497586,0.000382956948283293,0.00841965511808237,1.46916498848255e-14,0.0401073853302198,6.63299530867825e-15,-0.0244659335783237,-0.0234680016003322,-0.286809090244158,-0.0164691429359462,3.0278455346654,-0.00377560435543316,-1.09838884310092e-07,-9.33899855958301e-07,4.78755771343915e-06,4.14060924559893e-05,1.16278331017691e-06,5.51948064972528e-05,-3.08851056664368e-06,-1.60601669408183e-05,-4.49115789069996e-06,0.00379479150115042,0.00142834165932342,-269.01991165266,39.8619455105531,-185.526312127237,-0.817162540184948,0.121082816695645,-0.56354621320663,-41.5198243098787,4.18315471136744,-8.24833254017049,-0.769197987456169,-0.0803824269029394,-0.633934635067823,-0.0121050657336864,0.000809259337900589,0.00988063203488637,-0.0319369652986924,-0.00333746424261171,-0.026320854671963
0.08,2.34757529206455e-15,2.00249845066147e-17,4.44647986473626e-17,0.0033531779007866,0.0849629776583495,0.0944248149212614,0.0266785777581398,3.43515668116082e-15,2.70422495554654e-16,0.00579263180665459,8.01603398629915e-14,1.31120042725728e-14,8.10362561562445e-16,5.6179636106804e-05,1.27659599506414e-15,3.82086722679556e-16,3.08984092349358e-16,1.62685267667598e-15,0.0142227716715183,3.54193050718808e-15,0.00229707244834408,8.50571778817319e-17,0.0131248227637154,0.00181360960404069,0.00108285126364656,0.0387710564296716,0.0449061497978699,0.0905627402699143,0.000287107719259069,0.00854872239043947,1.90630923058256e-14,0.0401319030333587,4.99321179473105e-15,-0.0251761371772163,-0.0247158735331768,-0.287439628366853,-0.0222275049047798,3.02889387424339,-0.00429813655360352,-6.9685119595272e-08,1.00648651577954e-07,2.36072103412099e-05,5.38844338688564e-05,3.96837894987252e-05,0.000102580352442041,9.23841979021526e-05,-4.99650106978397e-05,-1.90121125801416e-06,0.00380601561218466,0.00142683657353904,-270.481351318982,40.3101160320769,-185.175997846259,-0.818981863931912,0.122053715726705,-0.560688502671417,-41.5198243098787,4.31458835566963,-8.27214180261441,-0.769446131474813,-0.0801296640256512,-0.633665438304458,-0.0121012936544483,0.000810626265188422,0.00988513952600908,-0.0319472681947501,-0.00332696957235464,-0.0263096776696433
0.1,2.07337087026754e-15,1.50187383799611e-17,5.02114501013778e-16,0.00430608154665955,0.084678853271262,0.0941017190414584,0.0255563650068272,3.6290819965763e-15,2.0281687166599e-16,0.00633616151467648,8.46789201299442e-14,1.57087368383034e-14,7.52511929901918e-16,4.21323599664685e-05,9.78337019528546e-16,2.86565042009667e-16,1.88248390906834e-15,1.59581271368626e-15,0.0117802013068397,3.40188408995635e-15,0.00263185042280381,3.29596205184872e-16,0.0131636220512388,0.00135774031818362,0.00125974275615702,0.038945789166322,0.0449057779164644,0.0905078343245509,0.000215268966332092,0.00849782030516306,2.78602369074887e-14,0.0399848848885018,3.74490884604827e-15,-0.0257114868970048,-0.0256486637271468,-0.288004386569182,-0.0265278628373733,3.02981959499132,-0.00449914289116586,1.6495273881819e-07,-9.93484707215171e-08,3.70121253888384e-05,2.46375938315177e-05,5.94860295107526e-05,5.71976728388852e-05,9.58905871142457e-05,-5.4605197327037e-05,-2.46008076272808e-06,0.00377086547453229,0.00141615938239744,-271.623244269146,40.7276529421687,-184.825064591755,-0.82047462844521,0.123023366446725,-0.558289024955541,-41.5198243098787,4.42203552914376,-8.30036554383114,-0.76968813319845,-0.0799412527973762,-0.633395274465062,-0.0120975759745552,0.000810942118486181,0.00988966303379438,-0.0319573160637981,-0.00331914677125866,-0.0262984605144968
0.12,2.04567403756211e-15,1.13093158300299e-17,3.76585875760334e-16,0.00536841745600562,0.0845637879854873,0.0939282268401584,0.0243687520616742,5.05358785145262e-15,3.59009979927247e-15,0.00695326236745934,1.15758861562447e-13,5.923643680808e-14,6.82932293288581e-16,3.15979386230341e-05,7.33752764646409e-16,2.19349664748783e-15,1.41186293180125e-15,2.19818777559633e-15,0.00997503946236327,4.15822209752879e-15,0.00283650650564591,2.48885673419883e-16,0.0135170281544552,0.00101692264455923,0.00153106806310962,0.0392862702494191,0.04491735790076,0.0907368038991335,0.000161416969210604,0.00874387376342957,2.1030308854481e-14,0.0396673846696224,3.00404603077903e-15,-0.0260874539988839,-0.0262207987614294,-0.288475532503042,-0.029161647657297,3.03057871956095,-0.00433026395490403,7.57002234932763e-08,8.67977890285942e-07,6.95879417548526e-05,8.66856726229486e-05,9.58622155320121e-05,0.000140397563607484,8.07964890541581e-05,-8.05971469877052e-05,1.26854051970393e-05,0.00368057362747107,0.00138613054485891,-272.987531503665,40.9849077743169,-184.896845387632,-0.821637605618794,0.123356335378067,-0.556502344608816,-41.5198243098787,4.49789056820505,-8.3058990925107,-0.769921308686463,-0.0798244795198819,-0.633126552041457,-0.0120939501025408,0.00081002641551621,0.00989417175033305,-0.0319669974690938,-0.003314298365293,-0.0262873032066806
0.14,1.75080090862948e-15,8.72501652624557e-18,2.8293114124443e-16,0.00605435151619784,0.0845138493247635,0.0938620207650176,0.0236187457651541,3.93988877361186e-15,2.69452753004104e-15,0.00732663973086618,8.77973982876358e-14,4.66930998606078e-14,5.8781660703749e-16,2.36977051449817e-05,5.56661165176863e-16,9.96679054313248e-15,1.05896764294795e-15,2.55464584698288e-15,0.00846260703773112,3.59369917458892e-15,0.00289355469907541,1.91856263815203e-16,0.0136490777431957,0.000761916384672986,0.00148762796865902,0.0394944593535504,0.0449568602669969,0.0908120179560897,0.000167464330871477,0.00831406324409044,6.59975506180138e-14,0.0395770074860678,2.25303452308426e-15,-0.0263328185298546,-0.02641209913678,-0.288837938280215,-0.0300748451180967,3.03113481422935,-0.00376870753955638,-3.09254728261834e-08,2.99793161712061e-07,9.79847884584287e-05,4.90378589492304e-05,0.000142835933882501,9.37947907513563e-05,0.000130429590876915,-0.0001029656484358,1.32100557341986e-05,0.00365144057106259,0.00137911124534633,-273.582366654894,41.2429615195106,-184.567977640615,-0.822590664881323,0.124006804798222,-0.554947664571929,-41.5198243098787,4.56172895138537,-8.32958025055534,-0.770143155186984,-0.079781250468031,-0.63286212763318,-0.0120904531466219,0.000807780375236843,0.00989862819164317,-0.0319762084968192,-0.00331250350265507,-0.0262763243517056
0.16,3.39429359777073e-15,1.17981381959647e-17,2.99493447616519e-16,0.00626270473176536,0.0844730612946328,0.0938876358012579,0.0234030255547725,1.14545886906985e-14,2.02176625196961e-15,0.00737483022992342,7.29471892280185e-14,3.92243992896584e-14,1.41438941332694e-15,1.77728576728145e-05,1.12626068017243e-15,1.30927101031341e-14,1.37394848872566e-15,1.92278519275385e-15,0.00716824201940616,2.69527438094168e-15,0.00312505169701832,6.51366983826319e-16,0.0136767301225321,0.000571001901071885,0.00173580089313393,0.0394697343900983,0.0450933107823098,0.0908774934264111,0.000156136867667835,0.00845594819466695,4.97054241041488e-14,0.0399465664381654,5.92527512634795e-15,-0.0264818008682068,-0.0262282017425959,-0.289082411236139,-0.0293490982990361,3.0314614024623,-0.00283110513835055,-2.13939785377378e-08,-2.23001523101395e-07,3.24723905010789e-06,9.26034209690167e-05,1.69848252124912e-05,0.000158491962829337,0.000112030010435801,-5.78178529221214e-05,-2.68624809547973e-05,0.00372632677391174,0.00139650573979645,-274.619594031674,41.3499529825486,-184.529439841521,-0.823615156584974,0.124013175828142,-0.55342461642443,-41.5198243098787,4.62425570515705,-8.32844726265025,-0.770352167923843,-0.079807919753778,-0.632604326036117,-0.0120871092242098,0.000804196682411717,0.00990300281731199,-0.0319848866689321,-0.00331361080671376,-0.0262656204746888
0.18,5.69180137305884e-15,8.84860364697347e-18,2.42219808827544e-16,0.00654905299810416,0.0845350067173691,0.0939891861293229,0.0231317620891886,1.00006261714225e-14,4.00352511849166e-15,0.00752259303565874,5.50395171646448e-14,2.94550221886422e-14,1.0607920599952e-15,1.33294063487585e-05,1.69061918171799e-15,9.82073179405046e-15,1.03046136654424e-15,1.76157341997124e-15,0.00658103012672063,2.02145578570625e-15,0.00293423768370974,4.88525237869739e-16,0.0134053676878633,0.000428006893425643,0.00179568402629417,0.0395928413534064,0.0450564304023039,0.0906315373655376,0.000150505867286408,0.00869862409499258,3.73159066394752e-14,0.0398745003172556,5.00908936654837e-15,-0.026562616552912,-0.0257018560912733,-0.289215134473054,-0.0271833351461676,3.03154851854268,-0.00157414898852937,-2.55828995880487e-08,5.9548012399698e-08,-4.49548778752157e-05,9.56172065752112e-05,-3.98322351025598e-05,0.000172942156171211,0.000142012790032979,-4.19734263954921e-05,-5.45081288962777e-05,0.00374006577497875,0.00141557872988892,-274.539389791364,41.6404509052022,-184.119329183163,-0.824009015507698,0.124980633860109,-0.552620107779259,-41.5198243098787,4.64969683771614,-8.37457822059561,-0.770548633451433,-0.079895626313151,-0.632353929680332,-0.0120839170778259,0.000799363258800305,0.00990728887932404,-0.0319930438831206,-0.00331725236764975,-0.0262552240619888
