time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.00834898036842591,0.094367791892803,2.32830558809972e-16,0.0276210174296687,0.0485232858738981,0.0604827992257921,7.84346050392957e-16,0.0148680928368586,0.00137670378710713,0.0285151633855436,1.83489812233861e-15,6.29343763795826e-16,2.00788872506252e-15,0.01232115727972,0,3.7864487986282e-15,5.10681448657727e-16,2.05198383083233e-16,2.62554100298786e-15,5.78236205404086e-16,3.08758526635552e-16,0.0305474078369823,0.0346158536024543,1.77493703674728e-31,0.00906324481840563,0.0223733033153222,0.0292538724243477,0.0466669539896617,0.0157120612976065,0.0316163513283563,-2.02453755753986e-33,0.0664689410518796,2.0036897557796e-15,-0.0423513666577233,-0.0105640044224564,-0.358766775205683,0.000576289943779309,3.02538823064469,0.000189209043287608,0.0600295410152951,-0.00444050165925152,0.000155714173328284,-4.25468818474634e-06,0.000200036039104525,-2.18666446595664e-05,0.000122498258607098,-0.000108200673445854,-6.86192840675367e-06,0.00415990735164375,9.3966551834802e-06,-204.393692478709,82.3805746187092,-152.439861275439,-0.762783835637688,0.307438893674478,-0.568895549943985,-41.5198243098787,1.82397699419619,-6.78779894264913,-0.789157911093029,0.144431160765457,-0.59696685934751,-0.0109966270026552,0.00380244257898524,0.0104608810097269,-0.0327656978213334,0.0059967564198536,-0.0247859591189287
0.02,0.00849409577979991,0.0945423285329032,1.8569293493372e-16,0.027620456838952,0.0484573939994178,0.0603210864260443,3.35226661394497e-15,0.0148641788844146,0.00135329669267216,0.0284367021364079,1.37617359175395e-15,4.7200782284687e-16,1.70870003901769e-15,0.0124016662633669,0,2.83983659897114e-15,4.97814091079981e-15,1.05940037690898e-15,1.96915575224089e-15,4.35348543044692e-16,6.89260838057073e-15,0.0305779155712498,0.0346216871794017,0,0.00911854543663024,0.0223472834148191,0.029319256770983,0.0467709070273227,0.0157271956463421,0.0316066299215321,-2.46519032881566e-32,0.0664234652338076,1.65332803485631e-15,-0.0430047474786277,-0.0108590315095742,-0.359202854302813,0.000972118150365025,3.02559088339242,4.07555850116631e-05,0.0598024458209257,-0.00443994345445933,0.000161359365573922,3.51109790364408e-05,0.000199109904192506,5.88654083788161e-05,0.000156539598189935,-0.000126209264796741,-1.86987001491844e-06,0.00415739543822493,9.29906689544912e-06,-204.500334364513,82.6965824542918,-152.288886745124,-0.762917477261532,0.308511319848124,-0.568135272989161,-41.5198243098787,1.82829959039155,-6.79314923214991,-0.789435191720594,0.145403256482496,-0.596363958566708,-0.0109866112879725,0.00380555614687928,0.0104702684455373,-0.0327772104642745,0.00603711766323747,-0.0247609267844335
0.04,0.0086441707384641,0.0946639663774193,3.00763522639235e-16,0.0276747634820118,0.0485748637563109,0.0602305422927116,3.34275971527595e-15,0.0148490190395959,0.00121362391586712,0.0283564376138406,2.22543754561008e-15,3.54005867135153e-16,1.28152502926326e-15,0.0126381213785655,2.46519032881566e-32,4.21264625835568e-15,3.73360568309984e-15,7.94550282681733e-16,1.49003609147605e-15,3.26511407283519e-16,1.14992668764426e-14,0.03076787325966,0.0347358928270271,-1.97215226305253e-31,0.0093107956152522,0.0223310400417469,0.0295207051342088,0.0470368846837293,0.0158205593990431,0.0316724777403801,2.64815367353245e-33,0.066354679335582,2.38725498172694e-15,-0.044109176101188,-0.0109565234157696,-0.359402310305518,0.00186131587012879,3.02590347377876,-0.000190104607445599,0.0599696842335602,-0.00446116118246887,0.000136268663707665,1.70675870990813e-05,0.000165834477701496,4.116677478745e-05,0.000153367298066578,-0.000107474468021198,1.93716854790292e-07,0.00415273269761583,6.31068498361596e-06,-205.068355142553,83.3802041734125,-152.384648490905,-0.763046060162762,0.310252336328839,-0.567013401845657,-41.5198243098787,1.85018272978999,-6.82462114214068,-0.7897193075952,0.1463918633333,-0.59574561480649,-0.010976402851509,0.00380853088653699,0.0104798892851665,-0.0327890069054717,0.00607816444599439,-0.0247352532601461
0.06,0.00860648650564224,0.094706150756218,2.29042090275723e-16,0.0275541341765554,0.0485690568836191,0.0601962979144104,1.00719098880971e-14,0.0147565191332484,0.00112687368799345,0.028152824377681,1.96587862377941e-15,1.93604380728562e-14,9.79118930120223e-16,0.0127138257310351,4.56066991695116e-16,4.2546024478455e-15,4.50769906419381e-15,1.41715094979895e-15,1.12088116005207e-15,2.46443732239223e-16,8.62445015733183e-15,0.0309323041158456,0.035025261073293,3.35904694507256e-16,0.00927798672765091,0.022592619012158,0.029638795051639,0.0472972679529405,0.0158661689449484,0.0318549386096125,1.5024664543368e-16,0.0667444693974759,1.89314723193877e-15,-0.0452052540661984,-0.0107239160486908,-0.359409955768137,0.0029639242551834,3.0260932658665,-0.000343231267261574,0.0602811180252386,-0.00449706219353458,0.000129970236070338,1.92733859736594e-05,0.000159235535009522,4.18002200031718e-05,0.000141195494646183,-0.000102693255563678,4.76016235260663e-07,0.00418276910789548,1.17278703574983e-05,-205.941409839682,83.7181128110902,-152.736413581432,-0.763537147846565,0.310388712637433,-0.566277203254386,-41.5198243098787,1.84989148321987,-6.78597449850828,-0.790030088161117,0.147408190763732,-0.595082586785986,-0.0109656119689779,0.00381131877676598,0.0104901672927247,-0.0328019104599675,0.00612036218234724,-0.0247077244532223
0.08,0.00835217461902079,0.0946951663337345,1.81319665270964e-16,0.0273713313803357,0.0485167997355818,0.0601114163260795,7.55393241607274e-15,0.0146429748796463,0.00108157517019215,0.0279057187872,1.66790408735896e-15,4.12928910032625e-14,7.37395135467409e-16,0.0127143206853623,5.32687593060872e-16,3.19095183588411e-15,3.55841618978284e-15,1.06286321234921e-15,8.55464300520172e-16,1.13351536203619e-15,6.46833761799881e-15,0.0308664831693123,0.0352168068641972,6.31694403677635e-16,0.00896810248489415,0.0230264411677367,0.0294834336764233,0.0470875350958109,0.0158179786950632,0.0320459045862656,1.14076235759811e-16,0.0671894456440065,1.41986042395407e-15,-0.0461808625328261,-0.0104201909237182,-0.359207650692667,0.00428710385391317,3.02622577168256,-0.000450353800920361,0.0605948506344137,-0.00453190746031779,0.000258844784445919,-5.12119075847054e-06,0.000297917168900791,4.67268446835051e-05,0.000359320349043454,-0.000201006643478863,-4.02802525016244e-06,0.0042163521204553,2.08505986011087e-05,-206.047641460529,83.894028458722,-152.671362219472,-0.763650866653272,0.310926866648021,-0.565828452321153,-41.5198243098787,1.8311992048044,-6.76856066197717,-0.790384701023323,0.148456693454645,-0.594350599021138,-0.010953920778873,0.00381387937612032,0.010501445147038,-0.0328166339237044,0.00616389582986238,-0.0246773324498288
0.1,0.00832301973045325,0.094449977160367,1.35989748953223e-16,0.0273269310198476,0.0484799864037775,0.060008083252489,7.17425561621957e-15,0.014602363560899,0.00102992885063874,0.0278399632991767,2.72913085607233e-15,5.77088410957479e-14,2.28748717105303e-14,0.0127766190476875,3.99515694795654e-16,2.40082314840261e-15,4.4538198373393e-15,7.97147409261906e-16,6.65132712955836e-16,1.13049085262416e-15,1.68983665424283e-14,0.0305599101088448,0.0351708066208748,6.6157839562095e-16,0.00880207379798457,0.0229519059110837,0.0292755347204864,0.0466590874696074,0.0158385747704129,0.0320812010088975,1.3035610025927e-16,0.06693446525906,1.06489531796555e-15,-0.0470524834870941,-0.0100744569164902,-0.358807709394243,0.00577423994698217,3.0263083482452,-0.000461032553623947,0.0607235751404541,-0.00453921135529663,0.000133961709510684,1.21809908210597e-07,0.00016027228440437,2.15402031816441e-05,0.000164814018846278,-0.000103479417216585,-9.72109383436575e-07,0.00420252515955646,2.26528685575772e-05,-205.180420785449,84.1638168235785,-151.843042591084,-0.763397030150926,0.313141027605509,-0.564949264259112,-41.5198243098787,1.82991114537437,-6.82322634457056,-0.790796217264717,0.149533307127171,-0.593532756315458,-0.0109411173162983,0.00381618048272123,0.0105139490628386,-0.0328337200057477,0.00620859664039528,-0.0246433757643759
0.12,0.00826255313556206,0.0941406456736056,1.01992311714917e-16,0.0272449488941021,0.0483686736646201,0.0599218726112594,5.71447163413215e-15,0.0145608694347331,0.00104239843203469,0.0277869432645256,2.66868956854969e-15,4.32816308218084e-14,1.79322510106751e-14,0.0127467440364104,2.9963677109674e-16,4.03628142103235e-15,3.70302995305266e-15,7.49354835054637e-16,6.89609152526782e-16,8.47868139468123e-16,1.2673774906821e-14,0.0303279728280633,0.0351037304076713,4.96183796715712e-16,0.00863005965413666,0.0230670661274121,0.0291036580635333,0.0463314092875378,0.0157908715079294,0.0320941904336762,9.96680600170566e-17,0.0668957675391942,1.46575786051606e-15,-0.0478477745248607,-0.00971810807123429,-0.358273258151333,0.00730199785901478,3.02635503113787,-0.000322942594196601,0.0607612984267707,-0.00454477153579643,0.000145209646100944,5.72565369542982e-06,0.000174609807520053,2.90701382808385e-05,0.000172781756611085,-0.000112533921702147,-1.11979804126298e-06,0.00419095885296116,2.76692787818265e-05,-204.614622421563,84.1711931437578,-151.197307134692,-0.763548212348131,0.314096633444476,-0.564213995110739,-41.5198243098787,1.81649762654635,-6.82197617230544,-0.791272753186887,0.150625074773323,-0.592620888016592,-0.0109271129606352,0.00381820152936471,0.0105277702258525,-0.0328535056935136,0.0062539266412507,-0.0246055151528132
0.14,0.00808734311185361,0.0938243705417486,7.64942337861878e-17,0.0272227029166944,0.048243950825543,0.0597333631714392,4.37051813619785e-15,0.0145687926639631,0.00107590361599931,0.0278218736528565,3.12058020626285e-15,3.71856907632932e-14,1.34491882580061e-14,0.0127224370776526,2.28564690980414e-16,3.04832797138004e-15,2.87361572403614e-15,8.02141838284132e-16,5.21073232671838e-16,7.22715477412774e-16,9.50563028853275e-15,0.0304486698553916,0.0348962358351171,3.72166336086825e-16,0.00878180878046359,0.0229429542528798,0.0292554768837696,0.04658435482239,0.0157609906147736,0.0319488260910631,1.51473397889585e-16,0.0667425718277217,1.28501894846678e-15,-0.0485880270806034,-0.00938474088265528,-0.357710647183933,0.00870231554730321,3.0263850063344,-1.00231378156349e-06,0.0605840009136523,-0.00453564668385209,0.000146335645470637,1.23815389467575e-05,0.000176425895774993,3.75155985574553e-05,0.000170243386220605,-0.000114520783989149,-6.89348825294657e-07,0.00418846689877157,2.5423162753927e-05,-204.798075371747,84.0483753326554,-150.845138100747,-0.764509223022229,0.313751767467603,-0.563103433060839,-41.5198243098787,1.81771576985668,-6.75772171512304,-0.791817167662811,0.151711085890826,-0.591615854598463,-0.0109119433219475,0.00381994175793994,0.0105428622492292,-0.0328761096869057,0.006299017632048,-0.0245637863418669
0.16,0.007814341392799,0.0935571406844727,9.90362169564308e-16,0.027210015898587,0.0480836263055979,0.059499016552347,3.3443174890117e-15,0.0146122543540679,0.00114674358941137,0.027920715211842,2.38581855600141e-15,4.87957435444209e-14,1.00868911935044e-14,0.0127341574672494,1.7142351823531e-16,2.28624597853503e-15,2.20721269864317e-15,6.01606378713099e-16,5.958558969639e-16,5.86777673221465e-16,7.17423411616963e-15,0.0305058105481997,0.0344863351733133,2.79124752065119e-16,0.00898935030511278,0.0224666188796778,0.0293868709905255,0.0468579676230615,0.0157155162717371,0.0316083878986546,5.29189840405312e-16,0.0661425016168871,9.67343447890695e-16,-0.0492763755420638,-0.00910906246366315,-0.357255584147313,0.00979070785336192,3.02642052928531,0.000511252067101177,0.0600756279878283,-0.00449934985168858,9.18690177924843e-05,9.65779268293271e-05,0.000117891195674501,0.000129532199777089,5.0166070818947e-05,-8.51228436972116e-05,1.03819573767229e-05,0.00418003093268262,2.25312647829383e-05,-204.459395074408,83.9338534371331,-150.045999860816,-0.765371940300449,0.314197428974556,-0.561681198391494,-41.5198243098787,1.83072559917543,-6.72871552552638,-0.792427220569567,0.152764514860755,-0.590526970679365,-0.0108957547110173,0.00382143381637666,0.0105590520107663,-0.0329014389764139,0.00634275581780241,-0.0245185760728521
0.18,0.00772950527133212,0.0932790153741361,4.58876459519886e-15,0.0271523131531914,0.047830145161411,0.0594346753305941,4.69477915860971e-15,0.0146480814118754,0.00134605594942864,0.0280279162676926,1.78936391700106e-15,3.65968076583139e-14,1.16093797556991e-14,0.0125577703405579,2.1471265100242e-16,1.7494681608132e-15,1.65545670991988e-15,4.51204784034824e-16,4.64150984557814e-16,4.63689677355037e-16,5.38794591852364e-15,0.0300404524155709,0.0341431148542859,2.2664926552706e-16,0.00874375851404469,0.0223985190113566,0.0291192274686282,0.0464173889713334,0.0155838002752782,0.0314488741090634,4.00812532207453e-16,0.0659397011897642,1.59925106063892e-15,-0.0498958431097348,-0.00892482532558357,-0.357055408060056,0.0103947644645975,3.02648475123547,0.00119234560312879,0.0593450885829985,-0.00446152923409948,0.000145483653770015,2.48683534598044e-05,0.00016981755153695,7.0894102961033e-05,0.000211110921208246,-0.000123200471377993,6.45421222340608e-06,0.0041592273909586,2.84609991055171e-05,-203.224905545197,83.515257769019,-148.898832810114,-0.765682445812461,0.314657136435569,-0.561000248364308,-41.5198243098787,1.80299068015552,-6.71229086873789,-0.793096075352246,0.15375549829488,-0.589370733923019,-0.0108787795964632,0.00382276051630916,0.010576060846468,-0.0329292097094795,0.00638390127588126,-0.024470569325868
0.2,0.00761906695742022,0.0931037168668583,3.49356289623957e-15,0.027120716992704,0.0475606679623076,0.0593670584501814,3.52108436895727e-15,0.014730542242586,0.00159357906958494,0.0282178992313853,1.36601107888617e-15,3.03028438521507e-14,8.74215315241975e-15,0.0123082289584651,8.74122588998362e-16,1.32470458851028e-15,1.24178617403425e-15,3.38403588026118e-16,3.48113238418361e-16,3.50133800556479e-16,6.26392047930086e-15,0.0296152648092218,0.033787922826073,5.15033491466891e-16,0.00852530486052361,0.0223328802282728,0.0289200691118193,0.0460883735597751,0.0154797876825678,0.0313136728129139,3.01763785466771e-16,0.0658508289966397,1.64420828774974e-15,-0.0504311300716754,-0.00886672975058877,-0.357260669223286,0.0103552505671865,3.02661503980428,0.00202811297834333,0.0582794065674291,-0.00441064373677412,0.000144630406282085,3.16041826872075e-05,0.000181708958328407,4.3545865534074e-05,0.000112501941658721,-0.000109320186252018,-2.79585480707222e-06,0.00414354790869734,3.7837757577254e-05,-202.226255585438,82.9254425440137,-147.900050639,-0.766280640466144,0.314223101444504,-0.560426464904535,-41.5198243098787,1.76822734616073,-6.66033331992151,-0.793813054749191,0.15465456917808,-0.588169021916405,-0.0108613049657137,0.00382406919735807,0.0105935336747116,-0.0329589785680745,0.00642123054099387,-0.0244206744544823
