time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,9.54080181464584e-16,2.04630056591144e-34,3.64472513914113e-17,0.00676824067268553,0.088505696760468,0.0979138630312387,0.0239554839711245,-1.97215226305253e-31,0,0.0079066854018797,0,0,1.43630105614187e-15,6.86650290630496e-19,0,1.38819663071445e-14,1.00985137843605e-15,-1.64674713964886e-32,0.0353837007272493,1.3171111279835e-15,0.000369749995998507,0.00815163932311858,0.02342384047928,1.30376314124906e-15,0.0117317384762683,0.0462513732197018,0.0558723257589289,0.118626656199796,9.30025004414889e-14,0,6.27149224290038e-18,0.0507683162102383,2.38392777151511e-15,-0.0221138073631439,-0.0192804013737974,-0.285287327455287,-0.000848580893179748,3.02519150473524,-0.00104329517281363,-4.49267301241878e-06,-7.69892754154418e-07,5.99970327566597e-05,8.34238283426952e-05,9.83695508948819e-05,0.000124057887213616,0.000119773361852981,-7.41573517213678e-05,1.07106990624934e-05,0.00538815891480438,0.0011202974353962,-305.719891003591,19.094510488746,-217.487445450848,-0.813793023121481,0.0508275054156648,-0.578927871338064,-41.5198243098787,3.39031997832968,-5.31326039534775,-0.768433542435134,-0.0813893968219035,-0.634732744503982,-0.0121165240510778,0.000801533234652846,0.00986720811045708,-0.0319052256757245,-0.00337927345673243,-0.0263539920355325
0.02,3.00218841979802e-15,2.05173786761155e-17,2.93806112782431e-17,0.00839324734220651,0.0877644386868181,0.0971140448664507,0.0220153655253548,1.67658478901883e-15,1.12363387014753e-18,0.00895590431169913,0,0,1.0772257921064e-15,5.14987717972872e-19,1.2790347439581e-18,1.04117079521495e-14,7.57549932195251e-16,3.92690864700638e-16,0.0322891452937169,1.36627594136042e-15,0.00169707662761179,0.00861683879414648,0.0227485074489198,9.77822355936793e-16,0.0119767627794492,0.0469970724509182,0.055933183529998,0.118299157234234,9.7204671086015e-14,7.32439357789373e-15,4.70361918217529e-18,0.0500721434127866,2.23169750769816e-15,-0.0226566077480705,-0.0203117218325975,-0.285579999166917,-0.00341402971820349,3.02567108690845,-0.00179138709073488,3.69846731813002e-07,2.04879136527917e-07,6.30849731430959e-05,7.82033449223851e-05,0.000102679198353797,0.000119772408037038,0.000124868023332623,-7.81995790325869e-05,9.27366826668156e-06,0.0052511456021932,0.00113163879689926,-307.668935929625,19.370064754875,-217.377825758442,-0.815640458619673,0.0513506781320713,-0.576275758745816,-41.5198243098787,3.51169313410851,-5.31199636214674,-0.768691034530784,-0.0810292159836545,-0.634466988573139,-0.0121126814695381,0.000804407109794361,0.00987169100614932,-0.031915916702297,-0.00336431881160855,-0.0263429578959745
0.04,2.74945418860173e-15,1.60424638179391e-17,2.20354584586823e-17,0.0100742304142715,0.0871651187986099,0.096424632652048,0.020021020359458,2.28240374251087e-15,9.45497420047491e-19,0.0100045966513259,6.02171624155568e-15,1.25649790257223e-14,3.90433760931244e-15,6.44324421902122e-19,9.59276057968573e-19,7.81163856767384e-15,1.16899147180411e-15,2.94518148525479e-16,0.028950223865893,1.13889670806213e-15,0.00245942324258368,0.00908808926031843,0.0224064004371355,1.20353464563164e-14,0.0122783635014748,0.0477121265733949,0.0560751146429068,0.118362356435995,7.52278541625098e-14,8.78122354418552e-15,2.33317725257668e-15,0.0496537641485425,1.67377313077362e-15,-0.023607289580852,-0.0219862731302303,-0.286118765801038,-0.00962221625822694,3.02672447209512,-0.00298867725331227,4.06053910230705e-08,-5.15086453766232e-08,6.5300718576291e-05,7.08755331665297e-05,9.96085470779661e-05,0.000119481456379079,0.000113221895525925,-8.44519127087832e-05,1.88314738326553e-06,0.00518592098282674,0.00114268946731274,-309.883497929585,19.66262215681,-217.415486112863,-0.817512504005248,0.0518725249395997,-0.573570001788326,-41.5198243098787,3.635661598122,-5.31132382888223,-0.768945880752996,-0.0806875193594984,-0.634201668787311,-0.0121088650540913,0.000807088346694573,0.00987615319869561,-0.0319264978726693,-0.00335013162780631,-0.026331941865081
0.06,2.69224776600198e-15,0.000276332306786616,3.18512249268979e-17,0.0115418634683072,0.0866813175923144,0.0959446357618491,0.0183715284204586,2.86659089856646e-15,7.09123065035516e-19,0.0109439144772266,7.68659517966644e-15,2.47265150401925e-14,6.17829781129946e-15,4.87271392281921e-19,1.72827312872865e-18,5.8587779592617e-15,8.76912183522274e-16,2.20888611394109e-16,0.0261027239923722,1.7068043466892e-15,0.00285354299742378,0.00941591884239315,0.0222975371717657,1.51227765616941e-14,0.012456686006079,0.0484071624024404,0.0562141227428681,0.118328756599418,1.0822204984077e-13,1.30614885746808e-14,1.75089738255496e-15,0.049322372519268,7.41993872582986e-15,-0.0244808489056942,-0.0234800231251037,-0.286780997245666,-0.0164691429359498,3.0278455346654,-0.00377560435542421,-1.48195986855321e-07,-2.93568335075648e-07,8.17950162325292e-05,7.23363579552294e-05,0.000128320871047339,0.00011537701076378,0.000130246491231947,-9.33406892507093e-05,7.4353552230239e-06,0.00512818330084287,0.00114793071166889,-311.595264472586,20.0785667000495,-217.36047788337,-0.81902293232131,0.0527761761826467,-0.571328374544221,-41.5198243098787,3.73618935931929,-5.3300536487539,-0.769197987456169,-0.0803824269029394,-0.633934635067823,-0.0121050657336864,0.000809259337900589,0.00988063203488637,-0.0319369652986924,-0.00333746424261171,-0.026320854671963
0.08,2.42971583573857e-15,0.00186404259646009,2.42124577618835e-17,0.0119496816185511,0.0862642205030953,0.0959818043350587,0.018149129860975,2.9086854987855e-15,2.24743664283924e-18,0.011534808287152,6.14540016862141e-15,1.96173899681004e-14,5.33951787840951e-15,3.84348964889649e-19,4.89441771173882e-18,4.96107166776205e-15,6.57790687048314e-16,4.5461180977358e-16,0.0251400588809228,1.30855659990527e-15,0.00289240049867837,0.00962768301597308,0.0224262365747078,1.62759423016994e-14,0.0125920532480727,0.0485441131968587,0.0564033890239516,0.118691727424343,1.00484753465385e-13,9.79611643101044e-15,1.82195164554418e-15,0.0494892158372947,9.38443642149261e-15,-0.0251915615579101,-0.0247281806471669,-0.287410623030613,-0.0222275049047698,3.02889387424339,-0.00429813655361542,-1.14129290315719e-07,-1.69665214597719e-08,8.1257053340284e-05,7.88554243463278e-05,0.000125176307857569,0.000121058003764442,0.000115845355472806,-9.31843088213585e-05,6.27238083764919e-06,0.00514815431028958,0.00114594007044301,-312.728602863132,20.2231689790445,-217.628170838218,-0.819655581420556,0.0530045322875038,-0.570399200037231,-41.5198243098787,3.76816226463994,-5.32683979337146,-0.769446131474813,-0.0801296640256512,-0.633665438304458,-0.0121012936544483,0.000810626265188422,0.00988513952600908,-0.0319472681947501,-0.00332696957235464,-0.0263096776696433
0.1,2.3027890906903e-15,0.00328604613185008,1.81593433214126e-17,0.0123353305336178,0.0859782124071159,0.0961216887805788,0.0179802839478402,2.18151412408912e-15,1.28125542623042e-17,0.0120589825540868,5.78686631147301e-15,1.4713042476075e-14,4.10783611243974e-15,8.39842023276921e-19,1.82853070649623e-17,1.04560486075055e-14,8.79679920724118e-16,6.31050529498363e-16,0.0244741224119051,1.65207195016545e-15,0.00280434133836605,0.00975072542069336,0.0226233175591325,1.41327136384794e-14,0.0126216673163994,0.0487738967541246,0.0565479805068161,0.118856610661584,9.85718885246294e-14,8.92098135300373e-15,1.36921569709294e-15,0.0495813086791702,1.25768758443406e-14,-0.0257272137976299,-0.0256611316108056,-0.287974839528212,-0.0265278628373825,3.02981959499133,-0.00449914289116463,3.76286679256466e-08,-2.74476957421649e-08,8.72543957609714e-05,4.80733909473901e-05,0.00013591268467647,9.67824809364365e-05,0.000161283928546561,-0.000106138033068682,1.24599238937015e-06,0.0051572617269041,0.00114332123156112,-313.452639150307,20.45202494842,-217.761651642495,-0.820087572511028,0.0535087263528895,-0.569730804518292,-41.5198243098787,3.78723908315613,-5.33912160354801,-0.76968813319845,-0.0799412527973762,-0.633395274465062,-0.0120975759745552,0.000810942118486181,0.00988966303379438,-0.0319573160637981,-0.00331914677125866,-0.0262984605144968
0.12,1.90597695150613e-15,0.00454051816604175,1.36195074910595e-17,0.0126535903039598,0.0858274774691884,0.0963480812290311,0.0178738773496843,2.01241585810107e-15,1.34911008167235e-17,0.0125196794026644,4.34014973360473e-15,1.8408143358133e-14,3.53922036217742e-15,9.00481813880666e-19,1.42407889163869e-17,1.06646110505225e-14,4.9431831957332e-15,7.17668056105126e-16,0.0241243375261917,1.60574870555462e-15,0.00252412914386523,0.00981706106895562,0.0227613141879691,1.99018117657993e-14,0.0126564303360103,0.048975544572364,0.0566442166588518,0.118970781010847,7.39289163934647e-14,1.23131222169537e-14,1.02814396316661e-15,0.0496286019057394,1.02676143948288e-14,-0.0261021465861583,-0.0262332802183286,-0.288447610597173,-0.0291616476572973,3.03057871956095,-0.00433026395488366,5.9844229067378e-08,5.21661873993374e-08,7.69206793064486e-05,4.65234672256454e-05,0.000120498486609266,9.49103638682498e-05,0.00015115339627574,-9.66791866233862e-05,-2.74767389257504e-08,0.00516651674844822,0.00114201663662541,-313.785708698671,20.7060372384751,-217.768169397194,-0.82033534764605,0.0541321474672645,-0.569315051630481,-41.5198243098787,3.79371172271851,-5.36056488643999,-0.769921308686463,-0.0798244795198819,-0.633126552041457,-0.0120939501025408,0.00081002641551621,0.00989417175033305,-0.0319669974690938,-0.003314298365293,-0.0262873032066806
0.14,1.42948271362959e-15,0.00534153220892862,1.15153207281506e-17,0.012961797138113,0.0857583233775147,0.0965560915661293,0.0177627367201946,1.98033177954878e-15,1.01183256125425e-17,0.0128097083103452,8.56799221526218e-15,2.03120998648422e-14,6.83124508953157e-15,6.88559941078348e-19,4.33405790711196e-17,8.47353313551122e-15,3.71302844149714e-15,5.38251042078844e-16,0.0236144617437841,4.59500881342451e-15,0.00240272882862033,0.00982223467850528,0.0229852223368225,1.49984527686792e-14,0.0125653525499814,0.049223484405715,0.0567486799845634,0.118934048862306,1.59553518906648e-13,1.80190826278397e-14,7.71107972374952e-16,0.049735644006061,7.70071079612149e-15,-0.0263478160093335,-0.0264246073358643,-0.288809514150321,-0.0300748451180797,3.03113481422935,-0.00376870753957421,3.99755906400084e-09,5.85147502765397e-08,0.000101633875846271,9.72981701568608e-05,0.00013937864295821,0.000156504823657347,0.000110493237201138,-0.000122008409403702,1.20775075836096e-07,0.00518240895403475,0.00114434061898787,-314.156084517162,20.9665940340704,-217.704888406942,-0.820698407683202,0.0547729335395436,-0.568730207899782,-41.5198243098787,3.80915423830931,-5.38555518932885,-0.770143155186984,-0.079781250468031,-0.63286212763318,-0.0120904531466219,0.000807780375236843,0.00989862819164317,-0.0319762084968192,-0.00331250350265507,-0.0262763243517056
0.16,4.58537230530605e-15,0.00582526494971897,8.63649054611291e-18,0.0131337516536056,0.0857481518002565,0.096756737637179,0.0177573129576098,4.96316094944328e-15,2.22339807256625e-17,0.0129380277508624,8.32821650265682e-15,1.52340748986313e-14,5.12343381714864e-15,6.32483304877307e-19,3.25054343033397e-17,6.35514985163336e-15,4.48839392570636e-15,4.03688281559133e-16,0.0231092428342588,3.44625661006837e-15,0.00224426277031825,0.00981847517260869,0.0230133575374901,1.12495254925943e-14,0.0126114055953291,0.0492488502576923,0.056823316660817,0.119048738740285,1.19665139179967e-13,1.35143119708795e-14,6.36410804912521e-16,0.0497929176951126,5.77553309709107e-15,-0.0264967758854991,-0.0262407154285805,-0.28905400683084,-0.0293490982990406,3.0314614024623,-0.00283110513835668,-5.93473668391958e-08,-2.35194445572183e-07,0.00012874697355535,7.90961430977617e-05,0.000176317535547745,0.000135672751976435,0.000136646357658481,-0.000145917143475787,-2.6641314982074e-07,0.00517833107194275,0.00114368799157813,-314.443430690105,21.1402423660352,-217.542425680935,-0.821120677869294,0.055204492915699,-0.568078600492389,-41.5198243098787,3.82805634595905,-5.40465463803306,-0.770352167923843,-0.079807919753778,-0.632604326036117,-0.0120871092242098,0.000804196682411717,0.00990300281731199,-0.0319848866689321,-0.00331361080671376,-0.0262656204746888
0.18,1.27261809799814e-14,0.00597518064222287,9.88598434307192e-18,0.0133617717406195,0.0858261993618538,0.0969121074017764,0.0175977304928549,5.63911461919421e-15,1.66754855442469e-17,0.0130857775060413,6.27633933408291e-15,1.14300902573195e-14,3.3963911443566e-14,1.23170977994097e-18,1.55414869735223e-15,4.76636238872499e-15,3.38524492679582e-15,1.0999956322853e-15,0.0227417518636667,2.58469245755127e-15,0.00236151454197204,0.00979268858913042,0.0232169307264477,8.43714411944564e-15,0.0125860489781235,0.049381500859078,0.0569113449863531,0.119220988639254,1.18422340824929e-13,1.01357339781595e-14,5.02747877903483e-16,0.0499342204453381,4.5252633724487e-15,-0.0265794499572574,-0.025714486810726,-0.289183725299093,-0.027183335146185,3.03154851854269,-0.00157414898853302,-1.19087777111198e-07,-2.92120707353205e-07,0.000134175591871334,6.30149292771354e-05,0.000185971762252761,0.00011786636524179,0.000154647318179554,-0.000150178380633129,-1.21620848123169e-08,0.00520260463155278,0.00114511367609577,-315.043220387409,21.1274648153225,-217.601067171144,-0.821560137684299,0.0550955607971884,-0.56745345126151,-41.5198243098787,3.84514490573706,-5.40370365631362,-0.770548633451433,-0.079895626313151,-0.632353929680332,-0.0120839170778259,0.000799363258800305,0.00990728887932404,-0.0319930438831206,-0.00331725236764975,-0.0262552240619888
