time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0150093339282801,0.0815413688825196,0.00354193059069966,0.0198533773357383,0.0899421055305678,0.0621880477742638,5.42839683293558e-16,3.55087677893385e-15,8.65055514102665e-17,2.32928180209344e-15,9.60718400603444e-17,1.19311977540448e-18,1.41399485659748e-18,0.0400007126631276,5.37496037775429e-16,1.5782554960463e-15,0,9.90453819354834e-16,7.90981234309392e-18,0,0,0.0589552476227716,0.0697846235532767,0,0.0219878360346778,0.0394797496528983,0.0476261047608051,0.103296589893797,0.0196875550091204,0.0349404696909263,8.42580094555264e-18,0.12322401537392,-1.97215226305253e-31,-0.0140349822798029,-0.013864750405775,-0.306930421138251,-0.000799297319026872,3.02445168082576,-0.00185061671496035,0.107910596108659,-0.0061610749233811,9.23514932641037e-05,-2.15522825689782e-05,0.000110847347084111,2.18717695705175e-05,0.000237249179095182,-9.30045390735023e-05,-0.000272415167901382,0.00751588863284372,0.00339830639068593,-334.179728821734,110.603280094155,-250.62331937632,-0.773362765092683,0.255959446802845,-0.579995513052111,-41.5198243098787,2.59205853969703,-6.80580179428516,-0.771439977955019,0.0898937299175087,-0.629920215371977,-0.011792723080923,0.00226521284508889,0.0100306978623015,-0.0320300523503091,0.00373237187273465,-0.0261541766714855
0.02,0.0150550599416212,0.0813079194697691,0.00385956396083662,0.0197610662811017,0.0897642963367248,0.0618758790899185,4.07129762470168e-16,2.66315758420038e-15,3.02173082986043e-15,1.64021484259728e-14,7.20538800452583e-17,1.89107285373461e-15,1.06049614244811e-18,0.0398464307621057,4.03122028331572e-16,1.18369162203472e-15,2.05977947815229e-15,7.42840364516125e-16,5.93235925732044e-18,8.36187981707164e-19,0,0.0586770900913276,0.0693694908401531,9.86076131526265e-32,0.0216488529578424,0.0394855307266726,0.0474766259916447,0.102586713006256,0.0199396089646794,0.0357012171106489,6.31935070916448e-18,0.12376901143946,0,-0.0140902557921478,-0.013891403728639,-0.306972265388285,-0.0012378662214637,3.02366186820216,-0.00248904840166597,0.108247331101399,-0.00618310738512834,9.69507834540269e-05,-1.99887268398719e-05,0.000116567582196504,2.33962817011315e-05,0.000239872167578041,-9.67241783149569e-05,-0.000242252646213703,0.00751226065598511,0.00322401048921256,-333.465630531423,109.996446412547,-250.34895178015,-0.773260745690525,0.255066568751704,-0.580524646056793,-41.5198243098787,2.57877346810287,-6.79721026665949,-0.771378825350521,0.0892035392141812,-0.630093196592785,-0.0117953573795302,0.00226536709759906,0.010027565143341,-0.0320275133049142,0.00370371527599218,-0.0261613588213823
0.04,0.014937849537182,0.0803684894170443,0.00426352024005533,0.0195113982190476,0.0893056116643552,0.061284271212266,1.16663701549666e-15,3.06013173549457e-15,2.27118920058997e-15,1.37577395929553e-14,5.40404100339438e-17,1.88010520878722e-15,9.95220281200885e-18,0.0390616846821243,5.43851436207073e-16,1.78580377618139e-15,1.56193707492324e-15,6.62728364752153e-16,2.52561919273104e-17,8.57669214946957e-16,3.28938992793771e-16,0.0577576409505135,0.0679966292550457,4.99167575775232e-16,0.0205744258280652,0.0393111050231222,0.0469438789483559,0.100340889350452,0.0206912087816407,0.0379344338616196,6.77852793602559e-17,0.125435424757065,5.23344703931635e-15,-0.0140176635960569,-0.0135777020263609,-0.307034351280174,-0.00168404470304736,3.022035836021,-0.00250170147094842,0.109229043233724,-0.00624996518783929,9.9089167899816e-05,-5.06076103371333e-06,0.000117814526405937,5.41881473949464e-05,0.000258124953454994,-0.000104154869817669,-0.000131119133551553,0.00751649615115258,0.0026950780677904,-330.98753465996,108.298759633519,-248.938791551275,-0.773192094984802,0.252987608525263,-0.58152493857588,-41.5198243098787,2.54382766504585,-6.73729226655085,-0.77131338065743,0.0885407516451373,-0.630266772182162,-0.0117979857818331,0.00226552928129826,0.0100244358977906,-0.0320247960527551,0.0036761964525707,-0.0261685656493577
0.06,0.0147865877090806,0.0792738060012386,0.00479244504806374,0.0192682909993236,0.0890290160022818,0.0608260469425165,1.40442734690065e-15,4.39789810628988e-15,3.90621529142894e-15,1.26101281448831e-14,1.61339194945347e-15,1.55452380303596e-15,9.23291019581604e-17,0.0381401038037206,3.90762871580953e-15,1.52679693267348e-15,1.67556805172299e-15,7.68480735248857e-16,6.53208181844912e-16,8.329216976165e-16,5.06211900351523e-16,0.0567065411118812,0.0663133122064256,3.74375681831424e-16,0.0191981650891273,0.0391383133082708,0.0463768800252507,0.09748210157059,0.0218288936628129,0.0412181370266845,9.02506161931654e-17,0.12793161808597,8.89133379271175e-15,-0.0143711425021236,-0.0127123484775946,-0.306744603035634,-0.00170644693075383,3.02046913787891,-0.00103164284671813,0.110672541515472,-0.00635654052105611,7.5399469253104e-05,-8.04558314422722e-05,9.34214267225808e-05,-0.000101372390997291,0.000150952691561611,-5.54047401975437e-05,-0.00017974044840801,0.00751832110733922,0.00193519153666894,-328.369672852711,106.535064304856,-247.49460329247,-0.773052051763749,0.250806200615831,-0.582654936473132,-41.5198243098787,2.50020353897117,-6.6720885749131,-0.771269631312212,0.0879223878724964,-0.630406860310326,-0.0118001746712579,0.00226556734709225,0.010021850568895,-0.0320229795876279,0.00365052209737106,-0.026174382083827
0.08,0.0144617867901655,0.0783446707602269,0.00501518223278825,0.0187750841169545,0.0892358678604686,0.0599733239678125,1.05332051017549e-15,3.29864699218879e-15,3.98652502366168e-15,9.45759610866223e-15,1.2100439620901e-15,2.29468961178171e-14,7.33270196239663e-17,0.0373368018867272,2.93072153685714e-15,6.58806257568725e-15,2.73356693326472e-15,1.94120058274424e-15,4.89906136383684e-16,2.65874323362164e-15,4.98035580426107e-16,0.0558246026668845,0.0647625635770151,2.80781761373569e-16,0.018048777330813,0.0394919468417054,0.0458891506103894,0.0946857462118965,0.0230709817753936,0.044264872291218,6.7687962144874e-17,0.130253356118419,6.66850034453375e-15,-0.0148774237010039,-0.0116973949896928,-0.306370799891034,-0.00180543103162891,3.01915434466417,0.000873215616935545,0.112045147950047,-0.00645964695896771,0.000118097357386911,-2.05076698748665e-05,0.000142791199997414,2.2628622486913e-05,0.0002549325215523,-0.000109273641901699,-2.33929477844349e-05,0.00757549823389271,0.00137108476630154,-326.266590561931,105.059459278538,-246.391851916359,-0.77289987266605,0.248877589822769,-0.583682903738677,-41.5198243098787,2.45722664946961,-6.61580081203079,-0.771274503558822,0.0873594719717308,-0.630479153356329,-0.0118014933309141,0.00226533354632515,0.0100203505720086,-0.0320231818824512,0.00362714992807003,-0.0261773836783958
0.1,0.0142500658839694,0.0774413856365214,0.00537934729364299,0.0184819311412901,0.089420074071571,0.0595956746689658,1.88478640689871e-15,3.35298247608709e-15,3.65971949346638e-15,7.58142485261855e-15,9.07532971567576e-16,1.72104089487667e-14,1.25585838709854e-16,0.0366883066126333,2.26267272692921e-15,4.96332237310902e-15,2.05070939466334e-15,1.58054649097301e-15,3.76066801553883e-16,2.39135146994462e-15,4.55952348879958e-16,0.0550225867296014,0.0633998518043863,4.83760224252867e-15,0.0169780248841997,0.0394985373372658,0.0454492874653825,0.092232521529163,0.0241303236652236,0.0470598553895403,3.04036036462816e-16,0.132321702526686,5.53573355684052e-15,-0.0155774421,-0.0105367970041419,-0.305954752113797,-0.0021284793818631,3.01817471185041,0.00321453039240093,0.113289339633401,-0.00655588623378185,4.40096806126017e-05,-3.29008250856051e-05,4.87829713066405e-05,-3.12577334007578e-06,0.000182173053747142,-5.53965740120742e-05,5.68443902050365e-05,0.00760071103248325,0.000778739070769125,-324.312884965807,103.91878552867,-245.274087938336,-0.772749063483128,0.247610094813379,-0.584421188726468,-41.5198243098787,2.4219453918948,-6.58548026104632,-0.771354981044641,0.0868563007318469,-0.630450217099495,-0.0118015276345929,0.00226467177143733,0.0100204597578786,-0.0320265232935233,0.00360625834659227,-0.0261761822500959
0.12,0.0141352361636619,0.0765875613421629,0.00603945398746681,0.0185524807311606,0.0894523122874328,0.0599152250301846,1.76941723616688e-15,3.3189205983755e-15,2.78300051568687e-15,5.68698506807626e-15,1.18605191377388e-15,1.99582210778819e-14,3.99206723554682e-16,0.036203381398357,2.00504971557127e-15,5.03924455567949e-15,1.83407585805613e-15,1.36535391043429e-15,3.38078991568218e-16,1.90309357541908e-15,3.58384436363058e-16,0.0545251235510162,0.062475960454941,6.1853499162937e-15,0.0160523931744266,0.039250336805699,0.0452028727982049,0.0905894657185043,0.0249112442323013,0.0495883587202982,2.57481649273152e-16,0.134285174409481,4.15180016763037e-15,-0.0165080523860356,-0.00924617317925647,-0.305546165480532,-0.00280595909460222,3.01759642484569,0.00596057843723846,0.114372298521848,-0.00664636673695426,0.000173571989263772,-1.02306590345975e-05,0.000214449257482283,3.677595775135e-05,0.000297873547827045,-0.000151120166260783,6.76592868135083e-05,0.00754171115675705,0.000135094564093573,-323.368065445077,103.042199042132,-244.698450648311,-0.772860781191912,0.246274394281401,-0.584837700235508,-41.5198243098787,2.39618272781995,-6.54858771366739,-0.771537140690477,0.086410999484731,-0.630288489267583,-0.0117998907725648,0.00226342994961255,0.0100226677646427,-0.0320340865300148,0.00358776951704705,-0.0261694673389289
0.14,0.0139820134392245,0.0760422140171535,0.00640231159856727,0.0184363725327185,0.0900057364364601,0.0600197758730982,2.40166585311007e-15,4.91047196366513e-15,2.86985291241058e-15,4.35829049273079e-15,8.99805327233793e-16,2.05605742984447e-14,7.24601872500447e-16,0.0360002795656894,1.70313914498035e-15,4.10905392798051e-15,1.3755568935421e-15,1.89863114603985e-15,2.85391976245395e-16,2.05202150788093e-15,3.43355288469208e-16,0.0542281572038183,0.0618186258452701,5.40709533124275e-15,0.0154815087629164,0.0392625404881257,0.0450398299676618,0.0892101923245917,0.0256502911279496,0.0514940237010025,2.00263870223591e-16,0.135673110360396,3.25505926245967e-15,-0.0176978061883945,-0.00785498457142664,-0.305198765046105,-0.00393700515416385,3.01746861363405,0.00904142164671116,0.115242789104488,-0.00672152128806774,5.68430467064499e-07,-4.03096952301507e-05,-8.03248071468306e-06,-1.53742445069792e-05,0.000144097832500034,-2.13199513932117e-05,0.000148409288911178,0.00754627118470588,-0.000267295393104421,-322.846176986658,102.779020574419,-244.311976066865,-0.772895763297919,0.246053616924698,-0.584884395991551,-41.5198243098787,2.37809126693099,-6.55808617565747,-0.771845152483432,0.0860171819144836,-0.629965161737788,-0.0117962311360268,0.0022614759598235,0.0100274156177074,-0.0320468751255436,0.00357141828072023,-0.0261560428366973
0.16,0.0138397935769147,0.075762757710284,0.00673276294931684,0.0183792038476582,0.0908087605039044,0.0602953406305485,2.3734563018567e-15,5.3605377348002e-15,2.52277421498157e-15,3.58253543245551e-15,6.86430719634752e-16,1.54204307238332e-14,5.59530128776107e-16,0.0360471115173543,1.51945638215445e-15,3.61276882708942e-15,1.70704727519412e-15,1.96581263967265e-15,2.24760535626424e-16,1.53913393291201e-15,2.57585892313781e-16,0.0543360296387076,0.0617018550700042,4.05532149843204e-15,0.0152786246124178,0.0394187016096718,0.0451193310199045,0.0886884671344578,0.0262101443873789,0.0528043970893059,2.56058987040497e-16,0.136829686695571,3.36374032795396e-15,-0.0191626070075438,-0.00640678379905045,-0.304966303236345,-0.00557745732394728,3.01782439945137,0.012349705512162,0.115888902168927,-0.00678570964383116,1.58851767525491e-05,-3.78043441521143e-05,1.15268678415193e-05,-9.93940838065226e-06,0.000160113419504463,-3.30827364211218e-05,0.000189805418613553,0.00756481251481134,-0.000498620008496017,-323.671994661279,102.928377717272,-244.699227543326,-0.773203924408987,0.245880480538114,-0.584549810169234,-41.5198243098787,2.36954363233087,-6.56676684403105,-0.772300317049599,0.0856663647572188,-0.629454918349497,-0.0117902375938604,0.00225871474181029,0.0100350840403616,-0.032065773478363,0.00355685241398571,-0.0261348576208601
0.18,0.0138617654856069,0.0757265711210438,0.00704371867197392,0.0184156859915426,0.091806506912236,0.0608366774345814,1.81281189601198e-15,6.67535870744781e-15,1.97238984253489e-15,3.32715946903239e-15,5.54849232599224e-15,1.42819833794417e-14,8.84105710458486e-16,0.0364161678613885,1.88103594836859e-15,3.81262145051513e-15,2.22850963272099e-15,1.47435947975448e-15,2.19091048115854e-16,1.2510094692159e-15,3.70421713011049e-16,0.0547706000048594,0.0620301994672225,3.39175488963258e-15,0.0155040014587364,0.039400601954396,0.0455045800349644,0.0888930941815896,0.0266616804077998,0.0536020776146488,1.96265713263953e-16,0.137214359013675,1.21818581825417e-14,-0.0209015180794284,-0.00495767311733391,-0.3048983696013,-0.00773032782030969,3.01868179330327,0.0157467323056803,0.116256465635757,-0.00682713866128343,0.000150640163974088,-1.90286301454681e-05,0.000182199098792854,3.90943819252957e-05,0.000315944472829011,-0.000138161674702572,0.000267655587404471,0.00755998256566917,-0.000656102930751854,-325.397070158314,103.723373030804,-245.491284662716,-0.773642275758714,0.246605743321167,-0.583663633028385,-41.5198243098787,2.37631955329705,-6.61199882319028,-0.77292020571504,0.0853507153192401,-0.628736519530967,-0.0117816427539477,0.00225510407089188,0.0100459845784009,-0.0320915111468437,0.00354374670477732,-0.0261050298281304
