Patient: S8R
Motion description: Dynamic Trial; Backward flexion; Weight: 2.4 kg;
 
---------------------------DATA--------------------------------
Note: all force components are represenetd in a right-handed coordinate system
The local coordinate system of the glenoid is defined as: Xg forward, Yg upward, Zg lateral
 
Time:
starts at the time frame where the first "1" occurs in the original dataset
ends at the time frame where the last "1" occurs in the original dataset
 
Forces:
Fgx, Fgy, Fgz: force components in the glenoid system
Fg:  the resultant force

Moments:
Mgx, Mgy, Mgz: Moment components in the glenoid system
Mg:  the resultant moment

Marker column:
0: kinematic data do not exist
1: kinematic data exist
2: errors/jumps in kinematic data
3: NaN (Not-a-Number) in kinematic data
 
Time	Fgx	Fgy	Fgz	Fg	Mgx	Mgy	Mgz	Mg	Marker
[s]	[N]	[N]	[N]	[N]	[Nm]	[Nm]	[Nm]	[Nm]    [0/1/2/3]
0.821	-91.26	-90.34	-220.70	255.34	-0.46	-0.50	0.10	0.69	1
0.831	-91.08	-88.14	-217.53	251.76	-0.46	-0.50	0.10	0.69	1
0.841	-91.46	-88.39	-215.08	249.87	-0.47	-0.49	0.09	0.68	1
0.851	-90.28	-85.40	-211.82	245.58	-0.47	-0.49	0.10	0.69	1
0.861	-91.51	-88.85	-216.26	251.07	-0.47	-0.51	0.10	0.70	1
0.871	-92.80	-91.27	-222.37	257.67	-0.48	-0.54	0.11	0.73	1
0.881	-94.46	-94.81	-228.73	265.01	-0.49	-0.56	0.11	0.76	1
0.891	-94.33	-94.34	-228.48	264.57	-0.50	-0.57	0.10	0.77	1
0.902	-93.87	-93.35	-227.03	262.81	-0.51	-0.57	0.10	0.77	1
0.912	-93.84	-92.55	-225.53	261.22	-0.51	-0.57	0.09	0.77	1
0.922	-92.81	-89.64	-223.33	257.92	-0.51	-0.56	0.09	0.77	1
0.932	-94.19	-93.10	-228.78	264.34	-0.52	-0.58	0.10	0.78	1
0.942	-94.94	-94.08	-234.49	269.91	-0.53	-0.59	0.12	0.80	1
0.952	-95.45	-94.72	-239.38	274.57	-0.53	-0.61	0.13	0.82	1
0.962	-94.92	-92.35	-238.97	273.21	-0.54	-0.61	0.14	0.82	1
0.972	-93.41	-87.12	-234.59	267.11	-0.54	-0.58	0.14	0.80	1
0.982	-91.87	-81.34	-229.63	260.35	-0.54	-0.54	0.14	0.78	1
0.992	-91.26	-77.60	-225.16	255.05	-0.55	-0.52	0.14	0.77	1
1.002	-91.18	-74.73	-221.57	250.99	-0.56	-0.50	0.13	0.76	1
1.012	-89.54	-67.29	-214.93	242.36	-0.56	-0.46	0.14	0.74	1
1.022	-89.70	-63.83	-213.97	240.63	-0.57	-0.44	0.17	0.74	1
1.032	-91.46	-65.27	-218.05	245.30	-0.57	-0.45	0.17	0.75	1
1.042	-94.75	-71.49	-226.53	255.74	-0.60	-0.50	0.18	0.80	1
1.052	-98.23	-78.87	-235.52	267.09	-0.62	-0.54	0.17	0.84	1
1.063	-100.82	-83.92	-243.89	276.93	-0.63	-0.58	0.18	0.88	1
1.073	-102.78	-87.52	-252.38	286.22	-0.65	-0.63	0.20	0.93	1
1.083	-105.00	-93.05	-262.17	297.35	-0.67	-0.68	0.22	0.98	1
1.093	-108.16	-101.22	-274.28	311.73	-0.70	-0.75	0.20	1.04	1
1.103	-110.92	-107.85	-283.86	323.29	-0.72	-0.81	0.20	1.10	1
1.113	-112.90	-111.92	-289.86	330.59	-0.74	-0.84	0.20	1.14	1
1.123	-114.73	-114.97	-294.17	336.03	-0.76	-0.88	0.19	1.18	1
1.133	-116.69	-117.35	-297.52	340.45	-0.76	-0.91	0.18	1.20	1
1.143	-117.96	-118.57	-300.13	343.58	-0.78	-0.94	0.17	1.24	1
1.153	-118.31	-118.46	-301.97	345.27	-0.80	-0.96	0.18	1.26	1
1.163	-118.30	-118.55	-303.88	346.97	-0.80	-0.99	0.17	1.29	1
1.173	-117.85	-116.82	-304.38	346.67	-0.82	-1.01	0.17	1.31	1
1.183	-117.95	-116.34	-305.66	347.67	-0.84	-1.03	0.19	1.34	1
1.193	-117.97	-114.74	-305.19	346.73	-0.85	-1.04	0.19	1.36	1
1.203	-117.88	-112.99	-304.21	345.27	-0.87	-1.06	0.19	1.38	1
1.213	-117.18	-110.05	-302.31	342.40	-0.88	-1.07	0.20	1.40	1
1.223	-115.82	-105.32	-299.05	337.55	-0.89	-1.08	0.19	1.41	1
1.233	-115.01	-101.84	-297.89	335.16	-0.89	-1.10	0.20	1.43	1
1.243	-114.30	-98.61	-297.45	333.57	-0.89	-1.13	0.20	1.45	1
1.253	-114.07	-97.52	-298.33	333.95	-0.88	-1.16	0.18	1.47	1
1.263	-113.91	-97.07	-299.15	334.50	-0.87	-1.19	0.17	1.49	1
1.273	-113.55	-96.64	-299.44	334.52	-0.86	-1.23	0.15	1.51	1
1.284	-113.05	-96.15	-299.94	334.65	-0.84	-1.26	0.12	1.52	1
1.294	-113.29	-96.90	-301.42	336.27	-0.80	-1.30	0.07	1.52	1
1.304	-114.24	-99.04	-303.21	338.81	-0.74	-1.33	0.02	1.53	1
1.314	-115.83	-102.31	-305.66	342.51	-0.68	-1.37	-0.06	1.53	1
1.324	-116.26	-101.78	-304.44	341.40	-0.60	-1.38	-0.12	1.50	1
1.334	-114.56	-94.82	-298.11	333.14	-0.48	-1.35	-0.17	1.45	1
1.344	-110.48	-84.58	-289.20	320.93	-0.37	-1.31	-0.20	1.37	1
