time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.0149626548159066,0.082479725628422,0.00192185106098895,0.0201314692231313,0.0887088008885472,0.0623888028792826,1.24493561066457e-15,9.86076131526265e-32,1.02812803840849e-31,0,2.0099454196767e-14,0.0123981837833064,3.12611697668792e-15,0.0577810241180791,1.22189326525273e-15,4.93038065763132e-32,2.02061932695221e-15,0.00413342528326147,0,4.95272000472871e-16,0,0.0127146837115174,0.0154673706945257,1.18329135783152e-30,0.00210542301270416,9.86076131526265e-32,0,2.02740314867375e-16,0.00510092217366315,0.00638229260098701,9.5608092558559e-19,0.00570494548704949,0,-0.0140349822797944,-0.013864750405776,-0.306930421138254,-0.000799297319030114,3.02445168082575,-0.00185061671498194,0.102890631037586,-0.00413519796362038,9.20921201861684e-05,-2.38825184297277e-05,0.000112124685713266,1.12774138376546e-05,0.000220682019233411,-8.99549992455555e-05,4.91788570640935e-05,0.000704683135692546,-0.000910517857287591,-78.5080542484922,180.696684903745,-79.8084158405401,-0.369335424328391,0.850074395964791,-0.375452880747056,-41.5198243098787,3.30964826342276,-55.5732432950697,-0.771439977955019,0.0898937299175087,-0.629920215371977,-0.011792723080923,0.00226521284508889,0.0100306978623015,-0.0320300523503091,0.00373237187273465,-0.0261541766714855
0.02,0.0150150801043163,0.0822964055685524,0.00212699795825381,0.0200342204045533,0.0885195776246741,0.0620234875304653,5.09953643477882e-15,9.86076131526265e-32,4.62417353934068e-17,0,1.65113745033243e-14,0.0129278826068554,2.34458773251593e-15,0.0576750444600763,2.14546312549849e-15,6.47349777288058e-17,2.60809595336728e-15,0.00445474252473767,1.72210139762672e-17,6.79611769961722e-16,0,0.0126511310098407,0.0154765339807854,1.0267187596336e-15,0.00200446789230287,4.93038065763132e-32,5.6987874247512e-16,3.63037683234243e-16,0.00515084225666146,0.00657694674168202,4.01997303270139e-18,0.00582169181367555,2.82220837002305e-16,-0.0140902557921403,-0.0138914037286383,-0.306972265388288,-0.00123786622146044,3.02366186820215,-0.00248904840168176,0.103175691783029,-0.00414591169598057,4.79737374566336e-05,-1.52212885822805e-05,6.51556565016104e-05,-4.8953622548418e-06,0.000100417587900771,-4.6144327470938e-05,-6.15309188205468e-06,0.000686425155229181,-0.000838350160458289,-78.52341280801,180.699790714274,-80.1329635805746,-0.369181246867742,0.8495679397907,-0.376748619958939,-41.5198243098787,3.24575680230758,-55.561339272767,-0.771378825350521,0.0892035392141812,-0.630093196592785,-0.0117953573795302,0.00226536709759906,0.010027565143341,-0.0320275133049142,0.00370371527599218,-0.0261613588213823
0.04,0.014888386834009,0.0814917915512953,0.0022898986633439,0.0197877758550552,0.0879501277138317,0.0613710349260073,3.8246523260841e-15,7.39557098644699e-32,1.71111337310523e-14,0,1.2383530877493e-14,0.0144207665659926,1.80633337058922e-15,0.0570835792347505,1.60909734412386e-15,1.31811781598101e-15,2.30249871396937e-15,0.00544059584851975,3.75929071969296e-17,5.09708827471291e-16,3.28969756009379e-15,0.0125502622852881,0.0151782468763673,7.70039069725202e-16,0.00183730550151709,3.1487066305529e-16,9.43965423053197e-16,6.23476850839356e-16,0.00535754117951235,0.00714793985237048,4.85895169245647e-18,0.00616136369216603,2.11665627751728e-16,-0.0140176635960417,-0.0135777020263679,-0.307034351280193,-0.00168404470306973,3.022035836021,-0.00250170147098049,0.10406657312168,-0.00418584401779566,4.61256304015802e-05,-1.39492652654184e-05,6.40749624304373e-05,-6.18143116395216e-06,9.0642132158824e-05,-4.40114371450145e-05,-4.69048395886711e-05,0.000690527480730433,-0.00100194757477663,-78.4234257366236,180.368216432459,-80.6664158542891,-0.368913585859857,0.848474609139282,-0.379464891411532,-41.5198243098787,3.09098486950718,-55.4416141545573,-0.77131338065743,0.0885407516451373,-0.630266772182162,-0.0117979857818331,0.00226552928129826,0.0100244358977906,-0.0320247960527551,0.0036761964525707,-0.0261685656493577
0.06,0.0147142741179957,0.0805754364021152,0.00254233512570001,0.0195856049035544,0.0874674202136248,0.0608929246071136,2.86848924456306e-15,2.7498036408225e-16,3.76291760290526e-14,0,9.28764815811963e-15,0.0164668593620131,1.35475002794191e-15,0.0564581943227822,1.2068230080929e-15,9.88588361985753e-16,1.72687403547702e-15,0.00687420351000298,2.81946803976972e-17,2.95375097731037e-15,2.46727317007034e-15,0.0124254945952161,0.014928853923808,1.22027287364605e-14,0.00159001532838677,2.36152997291467e-16,1.50979948142293e-15,4.67607638129517e-16,0.00561105407869809,0.00790721842133166,1.03680925939529e-17,0.00673494028885998,5.86257606448473e-15,-0.0143711425021331,-0.0127123484775962,-0.306744603035635,-0.00170644693077032,3.02046913787892,-0.00103164284670135,0.105391577011712,-0.00425495658356678,3.43676241110803e-05,-1.05284893116367e-05,5.31746524639447e-05,-1.2083952008398e-05,5.08008545849845e-05,-3.17696029934792e-05,-0.000133025973920271,0.000677596984973525,-0.00109616912256194,-78.3690595847166,180.503193443906,-81.4729226537472,-0.367962505322212,0.847508029702482,-0.382535925459058,-41.5198243098787,2.8882108041477,-55.3614385936724,-0.771269631312212,0.0879223878724964,-0.630406860310326,-0.0118001746712579,0.00226556734709225,0.010021850568895,-0.0320229795876279,0.00365052209737106,-0.026174382083827
0.08,0.014508652056934,0.0797170762378531,0.00269310315618884,0.0193242298207234,0.0872421024920691,0.0603935523924133,2.15136693342229e-15,2.06235273061687e-16,3.99050033795404e-14,8.09874502449303e-20,6.96573611858965e-15,0.0184499857619658,1.01606252095643e-15,0.0559337672657274,1.13816111147154e-14,7.41441271489314e-16,1.29515552660776e-15,0.00814381134359687,2.11460102982729e-17,6.03428973750434e-15,2.16853350303072e-15,0.0123929166661688,0.0145879517074916,9.15204655234528e-15,0.00141015784378573,4.60506882520688e-16,4.67879799055426e-15,3.50705728597138e-16,0.00591476142803742,0.00867265856123224,1.23431674163514e-17,0.00717896666453064,4.39693204836352e-15,-0.0148774237009983,-0.0116973949896923,-0.306370799891041,-0.00180543103163421,3.01915434466417,0.00087321561690837,0.106644290002392,-0.00432097501447424,6.58427703925945e-05,-1.6229674992212e-05,8.57902281062868e-05,4.00733194963953e-07,0.000136926642650022,-6.29602845425028e-05,-4.77118076076142e-05,0.000694325532035187,-0.00136366535842991,-78.3440102560647,180.805437042893,-82.2173227352854,-0.36692741071567,0.846809738748701,-0.385068229831872,-41.5198243098787,2.71025012992087,-55.3285976588962,-0.771274503558822,0.0873594719717308,-0.630479153356329,-0.0118014933309141,0.00226533354632515,0.0100203505720086,-0.0320231818824512,0.00362714992807003,-0.0261773836783958
0.1,0.0142979643249416,0.078915217364506,0.00299231304541553,0.0192216735391105,0.0870690446301573,0.0602574885357766,1.61352520006671e-15,2.733351151521e-16,3.23132736967223e-14,3.06138149504638e-16,5.2243020889422e-15,0.0201874998273958,2.88279078688589e-15,0.0555159072301771,8.82169585970225e-15,6.68001908925276e-15,9.71366644955822e-16,0.00941332578813075,1.58595077237047e-17,4.52571730312823e-15,1.62857340654249e-15,0.0122783215710951,0.0144952931121526,6.86403491425889e-15,0.00118072930795246,3.45380161890516e-16,4.34435572946324e-15,2.63756620545456e-16,0.00609710139534583,0.00928655580142512,7.31318547036399e-17,0.00771849773779265,6.33974223831928e-15,-0.0155774420999951,-0.0105367970041439,-0.305954752113797,-0.00212847938185902,3.01817471185041,0.00321453039238703,0.107779278140249,-0.00438563565450714,5.12495579090542e-05,-1.15106149919574e-05,7.34087887742956e-05,-8.72876653769768e-06,8.13146849739156e-05,-4.7161842942752e-05,-0.000183724382122588,0.000665886591458534,-0.00132345784921636,-78.3637275942493,181.2444972992,-82.9465829136394,-0.365887846226402,0.84624814047332,-0.387285642296811,-41.5198243098787,2.54394906857237,-55.3163362003782,-0.771354981044641,0.0868563007318469,-0.630450217099495,-0.0118015276345929,0.00226467177143733,0.0100204597578786,-0.0320265232935233,0.00360625834659227,-0.0261761822500959
0.12,0.0140961323005511,0.0783019515419293,0.00307256921955014,0.018970933481224,0.0873598921410795,0.0599794572922681,1.21014390005003e-15,2.05001336364075e-16,2.48844128820975e-14,2.29729393056099e-16,1.23699811026788e-14,0.0217310834791288,3.72012373442533e-15,0.0552995729679822,6.61627189477663e-15,6.00969131401606e-15,7.28524983716866e-16,0.0102696652335153,9.88028294870504e-16,3.39428797734616e-15,1.22150058702981e-15,0.0123760141096219,0.0141676388496277,7.55234475735291e-15,0.0011147845626648,2.43668449359083e-15,4.42279429817553e-15,1.97817465409092e-16,0.00639555815208872,0.00990853636543044,5.48488910277299e-17,0.00796012042508371,1.08974607371059e-14,-0.0165080523860323,-0.00924617317925527,-0.305546165480528,-0.00280595909459318,3.01759642484568,0.00596057843723316,0.108738841956647,-0.00444050514328564,7.66677280064253e-05,-1.75128834359723e-05,9.73953616637133e-05,4.20381896654479e-06,0.000162896324215609,-7.33621085913484e-05,-1.51993125470026e-05,0.000709773928400454,-0.00170965430644964,-78.4462491701811,181.924431222783,-83.519277921993,-0.364863187130067,0.846152983666178,-0.388458469994046,-41.5198243098787,2.43180431770225,-55.3838231423378,-0.771537140690477,0.086410999484731,-0.630288489267583,-0.0117998907725648,0.00226342994961255,0.0100226677646427,-0.0320340865300148,0.00358776951704705,-0.0261694673389289
0.14,0.0139343804141891,0.0778228319562064,0.0033743834536909,0.0189476895927829,0.0877062815170054,0.0601918498409428,2.90985205549045e-15,2.89889894154113e-15,1.88025410120005e-14,1.81412914057112e-16,2.2309705064931e-14,0.0228523610711567,2.88632895246919e-15,0.055253506794516,6.08758579489244e-15,5.53301123208153e-15,4.53647390635491e-15,0.0110735213270684,7.41122343974829e-16,2.90542326382171e-15,9.51049614900329e-16,0.0123602613142083,0.0142058744993417,8.88255719226148e-15,0.000984370115271435,1.9956666552985e-15,4.73216359151653e-15,1.65272438344503e-15,0.00651268679524562,0.0102893034869468,1.59174310389645e-16,0.00833346156188522,1.37047496039676e-14,-0.0176978061883924,-0.00785498457142593,-0.305198765046106,-0.00393700515416583,3.01746861363405,0.00904142164671027,0.109511686531397,-0.00449172280871143,0.00012277857912211,-2.10166067184266e-05,0.000150437259343565,9.51762131601919e-06,0.000239229038925292,-0.00011318446362775,-0.000104608116851965,0.000689887180601864,-0.00165452106699879,-78.6063126676342,182.7698657331,-84.0546467020232,-0.363945574019217,0.846220633435678,-0.389171245982463,-41.5198243098787,2.34006971141723,-55.4745052475384,-0.771845152483432,0.0860171819144836,-0.629965161737788,-0.0117962311360268,0.0022614759598235,0.0100274156177074,-0.0320468751255436,0.00357141828072023,-0.0261560428366973
0.16,0.0137110212663595,0.0776201896183095,0.00364144564502066,0.0189387508738317,0.0884037703715807,0.0604833771123555,2.18238904161784e-15,4.63929377107708e-15,1.41019057590001e-14,3.25609903882642e-16,1.67322787986979e-14,0.0236260633904843,2.17866570910611e-15,0.0554583078318408,4.84046088308393e-15,4.14975842406113e-15,6.55978865292629e-15,0.0115338925260844,5.55841757981122e-16,2.17942914635841e-15,7.13287211175246e-16,0.0124528149962889,0.0142551453743725,6.66191789419605e-15,0.000955401686495592,1.49674999147388e-15,6.3227344872763e-15,4.50285703141532e-15,0.00661929251021876,0.0105486091123049,1.20224083321023e-16,0.00843014413460449,1.39460352354709e-14,-0.0191626070075423,-0.00640678379904918,-0.304966303236345,-0.00557745732394742,3.01782439945136,0.0123497055121656,0.110053451436872,-0.00453065021134997,0.000130135184665283,-2.01580473010394e-05,0.000160535906088264,7.21475222620631e-06,0.00023827806723882,-0.000118102809419979,-0.000147621118851879,0.000688400923369043,-0.00167587388321862,-78.8182253919932,183.912264695033,-84.429535944199,-0.362927256841118,0.846844411850796,-0.388765158365383,-41.5198243098787,2.29957735703385,-55.6672541981395,-0.772300317049599,0.0856663647572188,-0.629454918349497,-0.0117902375938604,0.00225871474181029,0.0100350840403616,-0.032065773478363,0.00355685241398571,-0.0261348576208601
0.18,0.0137365143163064,0.0776065664961249,0.0038927081004197,0.0189546272953415,0.0893993697917936,0.0609983108105656,1.63679178121337e-15,3.47947032830779e-15,1.88388894862477e-14,2.44207427911982e-16,1.25492090990232e-14,0.0238802653776058,1.63399928182958e-15,0.0558981966418166,3.63034566231293e-15,5.30919885576061e-15,5.36464455156481e-15,0.0116211463691583,4.16881318485841e-16,1.63457185976881e-15,1.32197572587227e-15,0.01260985086553,0.0143799710756663,1.32503715062465e-14,0.000988280230769561,1.1225624936054e-15,4.7420508654572e-15,5.50004173645463e-15,0.00668778873766307,0.0106351361389496,9.01680624907676e-17,0.00858479331403118,1.0459526426603e-14,-0.0209015180794225,-0.00495767311733296,-0.304898369601304,-0.00773032782031362,3.01868179330327,0.0157467323056744,0.110352485231976,-0.00456119584205642,0.000131635774415452,-1.93138849854992e-05,0.000162998233135013,5.77480703494135e-06,0.000233084326880776,-0.000118497611927293,-0.000135334584352389,0.000702263468875572,-0.00173929708269405,-79.1859701248722,185.165210866941,-84.6931532767267,-0.362455574801425,0.847551186557021,-0.387663439675649,-41.5198243098787,2.30748447007435,-55.8586144897313,-0.77292020571504,0.0853507153192401,-0.628736519530967,-0.0117816427539477,0.00225510407089188,0.0100459845784009,-0.0320915111468437,0.00354374670477732,-0.0261050298281304
