Patient: S8R
Motion description: Dynamic Trial; Abduction; Weight: 2.4 kg;
 
---------------------------DATA--------------------------------
Note: all force components are represenetd in a right-handed coordinate system
The local coordinate system of the glenoid is defined as: Xg forward, Yg upward, Zg lateral
 
Time:
starts at the time frame where the first "1" occurs in the original dataset
ends at the time frame where the last "1" occurs in the original dataset
 
Forces:
Fgx, Fgy, Fgz: force components in the glenoid system
Fg:  the resultant force

Moments:
Mgx, Mgy, Mgz: Moment components in the glenoid system
Mg:  the resultant moment

Marker column:
0: kinematic data do not exist
1: kinematic data exist
2: errors/jumps in kinematic data
3: NaN (Not-a-Number) in kinematic data
 
Time	Fgx	Fgy	Fgz	Fg	Mgx	Mgy	Mgz	Mg	Marker
[s]	[N]	[N]	[N]	[N]	[Nm]	[Nm]	[Nm]	[Nm]    [0/1/2/3]
0.934	-88.72	-119.37	-136.89	202.14	-0.13	-0.30	-0.30	0.44	1
0.944	-73.40	-125.40	-142.84	203.75	-0.10	-0.32	-0.31	0.45	1
0.954	-65.86	-128.34	-143.55	203.51	-0.08	-0.32	-0.32	0.46	1
0.965	-62.68	-125.42	-140.45	198.45	-0.07	-0.31	-0.30	0.44	1
0.975	-64.95	-126.37	-140.44	199.78	-0.08	-0.32	-0.32	0.46	1
0.985	-68.24	-125.03	-138.31	198.54	-0.08	-0.32	-0.32	0.46	1
0.995	-69.97	-122.80	-136.72	196.64	-0.08	-0.32	-0.31	0.46	1
1.005	-68.85	-120.74	-130.81	190.86	-0.07	-0.30	-0.32	0.45	1
1.015	-68.25	-120.74	-132.92	192.10	-0.06	-0.31	-0.31	0.44	1
1.026	-66.91	-118.04	-127.16	185.95	-0.06	-0.30	-0.30	0.43	1
1.036	-67.62	-118.67	-130.56	188.95	-0.05	-0.31	-0.29	0.43	1
1.046	-67.84	-119.70	-129.17	188.72	-0.06	-0.31	-0.31	0.44	1
1.056	-69.07	-121.97	-133.96	193.89	-0.06	-0.34	-0.31	0.46	1
1.066	-68.36	-121.61	-131.02	191.38	-0.06	-0.33	-0.31	0.46	1
1.076	-67.13	-119.89	-130.57	189.55	-0.07	-0.32	-0.31	0.45	1
1.087	-65.60	-118.16	-126.00	184.78	-0.06	-0.30	-0.32	0.44	1
1.097	-65.25	-117.25	-127.16	184.86	-0.06	-0.30	-0.31	0.43	1
1.107	-64.62	-115.66	-123.25	180.95	-0.06	-0.28	-0.31	0.42	1
1.117	-65.31	-116.01	-126.71	183.79	-0.07	-0.29	-0.29	0.42	1
1.127	-65.17	-115.59	-124.77	182.14	-0.08	-0.28	-0.29	0.41	1
1.137	-66.57	-118.04	-130.91	188.42	-0.09	-0.30	-0.28	0.42	1
1.148	-65.62	-117.57	-126.51	184.76	-0.09	-0.28	-0.28	0.41	1
1.158	-66.31	-119.61	-131.51	189.73	-0.10	-0.31	-0.28	0.43	1
1.168	-65.65	-119.22	-128.47	187.16	-0.11	-0.29	-0.29	0.42	1
1.178	-68.14	-123.40	-136.29	196.08	-0.11	-0.31	-0.29	0.44	1
1.188	-67.99	-121.50	-131.16	191.28	-0.12	-0.29	-0.29	0.43	1
1.198	-68.26	-124.67	-137.42	197.70	-0.12	-0.32	-0.28	0.45	1
1.209	-63.12	-123.51	-132.65	191.92	-0.10	-0.29	-0.29	0.43	1
1.219	-61.29	-125.73	-137.27	195.98	-0.10	-0.31	-0.29	0.44	1
