Patient: S8R
Motion description: Dynamic Trial; Forward flexion; Weight: 2.4 kg;
 
---------------------------DATA--------------------------------
Note: all force components are represenetd in a right-handed coordinate system
The local coordinate system of the glenoid is defined as: Xg forward, Yg upward, Zg lateral
 
Time:
starts at the time frame where the first "1" occurs in the original dataset
ends at the time frame where the last "1" occurs in the original dataset
 
Forces:
Fgx, Fgy, Fgz: force components in the glenoid system
Fg:  the resultant force

Moments:
Mgx, Mgy, Mgz: Moment components in the glenoid system
Mg:  the resultant moment

Marker column:
0: kinematic data do not exist
1: kinematic data exist
2: errors/jumps in kinematic data
3: NaN (Not-a-Number) in kinematic data
 
Time	Fgx	Fgy	Fgz	Fg	Mgx	Mgy	Mgz	Mg	Marker
[s]	[N]	[N]	[N]	[N]	[Nm]	[Nm]	[Nm]	[Nm]    [0/1/2/3]
0.812	-36.30	-135.01	-102.72	173.48	-0.14	-0.54	-0.17	0.58	1
0.822	-37.59	-135.64	-107.45	177.08	-0.15	-0.55	-0.15	0.59	1
0.833	-37.20	-129.17	-100.51	167.85	-0.13	-0.53	-0.13	0.56	1
0.843	-35.56	-119.87	-90.27	154.22	-0.12	-0.48	-0.10	0.51	1
0.853	-34.33	-114.39	-82.00	144.87	-0.11	-0.45	-0.08	0.47	1
0.863	-33.09	-107.68	-70.67	132.98	-0.09	-0.40	-0.06	0.42	1
0.874	-31.60	-100.68	-58.87	120.83	-0.08	-0.36	-0.05	0.37	1
0.884	-30.00	-95.48	-49.15	111.50	-0.08	-0.32	-0.04	0.33	1
0.894	-29.47	-96.89	-47.23	111.74	-0.08	-0.31	-0.06	0.33	1
0.905	-30.13	-101.84	-51.46	118.02	-0.10	-0.34	-0.07	0.36	1
0.915	-31.02	-106.81	-55.15	124.15	-0.11	-0.35	-0.09	0.38	1
0.925	-32.19	-111.16	-58.27	129.57	-0.12	-0.37	-0.11	0.40	1
0.935	-33.36	-115.55	-62.21	135.40	-0.12	-0.38	-0.13	0.42	1
0.946	-34.68	-120.38	-69.11	143.08	-0.13	-0.41	-0.15	0.45	1
0.956	-34.96	-122.62	-76.29	148.58	-0.12	-0.44	-0.15	0.48	1
0.966	-35.60	-126.02	-83.73	155.43	-0.13	-0.47	-0.15	0.51	1
0.977	-36.40	-127.88	-90.50	160.83	-0.13	-0.48	-0.14	0.52	1
0.987	-36.42	-124.90	-90.56	158.52	-0.12	-0.48	-0.12	0.51	1
0.997	-35.44	-119.11	-85.31	150.73	-0.11	-0.46	-0.10	0.48	1
1.007	-34.42	-113.50	-76.87	141.33	-0.09	-0.42	-0.08	0.43	1
1.018	-33.19	-106.92	-66.60	130.27	-0.08	-0.38	-0.06	0.39	1
1.028	-31.75	-99.67	-54.84	118.11	-0.08	-0.33	-0.04	0.34	1
1.038	-31.23	-100.36	-52.78	117.62	-0.08	-0.33	-0.06	0.34	1
1.048	-32.53	-107.23	-60.11	127.16	-0.09	-0.35	-0.08	0.37	1
1.059	-33.74	-112.38	-63.92	133.62	-0.09	-0.37	-0.10	0.40	1
1.069	-35.60	-118.15	-70.04	141.89	-0.11	-0.40	-0.12	0.43	1
1.079	-37.26	-123.24	-77.93	150.50	-0.11	-0.42	-0.14	0.46	1
1.089	-38.15	-126.73	-85.76	157.70	-0.11	-0.45	-0.15	0.49	1
1.100	-39.27	-128.48	-91.53	162.56	-0.11	-0.46	-0.15	0.50	1
1.110	-39.98	-127.13	-93.95	163.06	-0.10	-0.47	-0.14	0.50	1
1.120	-38.98	-123.56	-92.44	159.16	-0.09	-0.46	-0.11	0.48	1
1.131	-38.09	-118.70	-84.96	150.86	-0.08	-0.42	-0.09	0.44	1
1.141	-36.47	-112.02	-74.69	139.49	-0.07	-0.37	-0.08	0.39	1
1.151	-36.41	-114.78	-75.75	142.26	-0.07	-0.38	-0.09	0.40	1
1.161	-37.50	-120.43	-81.65	150.26	-0.07	-0.41	-0.11	0.43	1
1.172	-39.10	-126.32	-88.75	159.26	-0.07	-0.43	-0.14	0.46	1
1.182	-40.67	-131.27	-97.46	168.48	-0.08	-0.46	-0.15	0.49	1
1.192	-42.03	-135.21	-104.56	176.01	-0.09	-0.48	-0.16	0.52	1
1.202	-42.98	-133.49	-105.92	175.74	-0.08	-0.49	-0.14	0.51	1
1.213	-41.30	-125.50	-98.41	164.74	-0.06	-0.45	-0.11	0.47	1
1.223	-39.98	-119.02	-88.39	153.55	-0.05	-0.41	-0.09	0.43	1
1.233	-38.21	-111.91	-76.70	140.95	-0.05	-0.37	-0.08	0.38	1
1.243	-38.43	-115.13	-78.30	144.44	-0.05	-0.38	-0.09	0.39	1
1.254	-39.72	-121.51	-85.60	153.85	-0.06	-0.40	-0.11	0.42	1
1.264	-41.55	-129.65	-98.14	167.83	-0.07	-0.46	-0.14	0.48	1
1.274	-42.95	-136.01	-108.98	179.50	-0.08	-0.49	-0.15	0.52	1
1.284	-43.79	-138.03	-115.76	185.39	-0.08	-0.53	-0.15	0.55	1
1.295	-42.82	-131.17	-110.13	176.54	-0.08	-0.50	-0.13	0.52	1
1.305	-41.71	-125.56	-103.56	168.02	-0.06	-0.47	-0.11	0.49	1
1.315	-40.25	-117.94	-93.37	155.71	-0.06	-0.43	-0.09	0.44	1
1.326	-39.25	-114.72	-87.21	149.36	-0.06	-0.41	-0.10	0.42	1
1.336	-40.49	-117.94	-92.33	155.16	-0.07	-0.42	-0.10	0.44	1
1.346	-42.74	-124.22	-103.04	166.95	-0.08	-0.47	-0.13	0.49	1
1.356	-44.56	-128.93	-115.08	178.47	-0.08	-0.51	-0.14	0.53	1
1.367	-46.20	-129.06	-123.41	184.45	-0.09	-0.53	-0.13	0.55	1
1.377	-45.81	-122.00	-121.57	178.22	-0.07	-0.51	-0.10	0.52	1
1.387	-46.26	-115.22	-117.06	170.64	-0.07	-0.48	-0.10	0.49	1
1.397	-47.30	-109.55	-115.67	166.19	-0.06	-0.45	-0.09	0.46	1
1.408	-51.07	-111.44	-127.53	176.89	-0.07	-0.46	-0.11	0.48	1
1.418	-54.80	-112.65	-140.47	188.21	-0.07	-0.49	-0.13	0.51	1
1.428	-56.26	-105.28	-142.45	185.85	-0.07	-0.46	-0.11	0.48	1
1.438	-58.07	-99.39	-145.22	185.31	-0.08	-0.43	-0.10	0.45	1
1.448	-60.46	-95.23	-151.24	188.67	-0.08	-0.42	-0.09	0.44	1
1.458	-63.17	-91.83	-156.51	192.14	-0.09	-0.41	-0.09	0.43	1
1.469	-65.67	-89.09	-162.47	196.58	-0.10	-0.40	-0.07	0.42	1
1.479	-68.88	-88.79	-167.64	201.82	-0.11	-0.39	-0.10	0.42	1
1.489	-71.81	-86.52	-170.93	204.60	-0.12	-0.38	-0.09	0.41	1
1.499	-75.17	-87.52	-182.64	216.02	-0.13	-0.41	-0.07	0.43	1
1.509	-77.70	-85.53	-185.62	218.65	-0.13	-0.40	-0.07	0.43	1
1.519	-79.26	-82.12	-189.46	221.19	-0.14	-0.40	-0.05	0.43	1
1.529	-81.53	-82.09	-198.66	229.89	-0.14	-0.41	-0.04	0.43	1
1.539	-83.32	-78.71	-200.18	230.67	-0.15	-0.39	-0.04	0.42	1
1.549	-85.07	-73.85	-201.87	231.17	-0.15	-0.37	-0.02	0.40	1
1.560	-88.90	-74.80	-213.67	243.21	-0.17	-0.39	0.01	0.42	1
1.570	-92.10	-74.48	-225.46	254.68	-0.18	-0.41	0.03	0.45	1
1.580	-96.26	-76.08	-238.23	267.97	-0.19	-0.44	0.02	0.48	1
1.590	-98.90	-70.29	-241.54	270.31	-0.20	-0.41	0.04	0.46	1
1.600	-102.83	-66.54	-249.21	277.68	-0.22	-0.41	0.05	0.47	1
1.610	-108.24	-65.64	-262.00	290.98	-0.24	-0.41	0.05	0.48	1
1.620	-114.41	-63.85	-275.48	305.05	-0.26	-0.41	0.07	0.49	1
1.630	-120.20	-55.50	-279.84	309.58	-0.28	-0.37	0.09	0.47	1
