time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,5.16506787074015e-15,1.83357620614131e-17,-2.76852429505665e-34,0.0115704309602038,0.0891032242706042,0.0981931414990402,0.0188379395677623,3.21547485766355e-15,2.74227061766164e-18,0.0108963490459318,8.01852784239438e-16,1.77022208832972e-14,2.4376666057456e-15,0,2.15252992808244e-15,0,0,1.51327341055761e-15,0.0382739112543595,0.00152392979269912,-4.93038065763132e-32,0.0134525343118543,0.0259005622892412,0,0.0144581861753724,0.0500339682046078,0.0603150050645236,0.129016468648138,0,0,2.4332145403155e-19,0.0542601897113264,-1.57772181044202e-30,-0.0221121767109644,-0.0192864083382582,-0.285287652966894,-0.00084858089317718,3.02519150473525,-0.00104329517279555,-1.36672426802027e-05,-2.30450046818346e-06,6.84834816915112e-05,6.39793482222383e-05,0.000126266130863655,0.000120254748099365,0.000145087791049836,-0.000108727672294258,3.4972360267652e-06,0.00608520414947742,0.00103526293131743,-321.851414559322,12.4306625027965,-230.563076944114,-0.812532841944729,0.0313819392233598,-0.58207005991702,-41.5198243098787,3.19149209903063,-4.50210977842586,-0.768433542435134,-0.0813893968219035,-0.634732744503982,-0.0121165240510778,0.000801533234652846,0.00986720811045708,-0.0319052256757245,-0.00337927345673243,-0.0263539920355325
0.02,6.75640450483925e-15,0.00208651857667992,2.28165461770027e-16,0.0120605034179371,0.0882657609936697,0.0980161359447132,0.0185166614840022,4.12510494208048e-15,5.60441925667167e-18,0.0116382138632134,2.31559607362203e-14,1.73476384202572e-14,1.8282499543092e-15,1.3685873347715e-19,1.71383126297159e-15,3.8361282989232e-18,1.22686168851509e-21,2.48219571328936e-15,0.0376422675476813,0.00175522461337266,6.08007443070892e-17,0.0139545623978663,0.024895302348275,3.04663257306519e-15,0.014859725317881,0.0504160691552199,0.0603378938624109,0.129185244939119,0,2.02434130943255e-14,9.87856111906692e-15,0.0534970707312582,1.11232302239004e-15,-0.0226536043840092,-0.020317701190008,-0.285582506909884,-0.00341402971820226,3.02567108690846,-0.00179138709073618,1.36405303394967e-06,3.33822454329393e-07,0.000105407891462774,8.07156358672963e-05,0.000145456173427758,0.000128844912991491,0.000127082451757184,-0.000113862227477141,-3.47698589450738e-06,0.00590405154568536,0.00104702064882402,-322.045318586421,12.6620761394301,-230.561962966903,-0.812685380643914,0.0319529071631375,-0.581825991007174,-41.5198243098787,3.1891740837783,-4.51083103801583,-0.768691034530784,-0.0810292159836545,-0.634466988573139,-0.0121126814695381,0.000804407109794361,0.00987169100614932,-0.031915916702297,-0.00336431881160855,-0.0263429578959745
0.04,6.16117023894265e-15,0.00422914402012877,1.7112409632752e-16,0.0125364115645022,0.0876127535413564,0.0979646485551462,0.0182688374600251,3.18034899037618e-15,4.20331444250376e-18,0.012412990283198,3.1662690015662e-14,1.30107288151927e-14,1.37118746573189e-15,3.26791034215552e-19,1.29151108952683e-15,2.90640373840421e-17,9.24068188019163e-19,2.40147764238384e-15,0.0369581271961322,0.00177106659769702,4.55976011671264e-17,0.0141302272890492,0.0247294021890799,2.85628003887358e-15,0.0150090222085284,0.0506976026484995,0.0604628328373627,0.129249767562123,3.48539996724529e-14,2.83954145044271e-14,1.26429139308839e-14,0.0533418450659408,1.60488877430277e-14,-0.0236055668927565,-0.0219920251626354,-0.286119334313204,-0.00962221625821719,3.02672447209512,-0.00298867725330947,-1.93775334026829e-08,-1.87296569885359e-07,5.8545888916342e-05,3.3012439806434e-05,0.000104813150237309,8.19765241452066e-05,0.000157265537728795,-8.98081449760315e-05,3.95600167913616e-06,0.00587970625648582,0.00105011348680621,-322.573956713363,12.9493305568067,-230.618321713751,-0.813051461814196,0.0326389403719981,-0.581276199420888,-41.5198243098787,3.20294436792626,-4.52415835312572,-0.768945880752996,-0.0806875193594984,-0.634201668787311,-0.0121088650540913,0.000807088346694573,0.00987615319869561,-0.0319264978726693,-0.00335013162780631,-0.026331941865081
0.06,7.25555140430505e-15,0.00609739669861486,1.29174808791383e-16,0.0130222119630362,0.0870830394342942,0.0979901997215896,0.0180358874050939,3.33003449809519e-15,6.54342033967918e-18,0.0131061321668927,2.48095687775483e-14,2.34431379568357e-14,1.02839059929892e-15,3.44628640984101e-19,9.69339537328244e-16,2.25954804080934e-16,7.48922020493248e-19,1.80251257099335e-15,0.0361593978468871,0.0015942025779053,8.84814861064263e-05,0.0142615165388192,0.0249353980088522,9.84895890386729e-15,0.0150370464049804,0.0510863923877962,0.0606397165135034,0.129294651332984,3.81253010798856e-14,2.78823066698386e-14,1.78635922700995e-14,0.0533322134935677,1.95384740911724e-14,-0.0244807388756428,-0.0234856746378143,-0.286779053876853,-0.016469142935949,3.0278455346654,-0.00377560435542482,-3.86842003084911e-08,-2.00475854735979e-07,9.61917646462761e-05,6.97809194956998e-05,0.000136079664516512,0.000120213751878865,0.000137458590848304,-0.000108238717935575,-3.57867860942548e-06,0.00586673963179932,0.00104775824067743,-323.507227217108,13.194898960997,-230.757929375016,-0.813664139177879,0.0331869436024487,-0.580387194371352,-41.5198243098787,3.23387724225182,-4.53213600010031,-0.769197987456169,-0.0803824269029394,-0.633934635067823,-0.0121050657336864,0.000809259337900589,0.00988063203488637,-0.0319369652986924,-0.00333746424261171,-0.026320854671963
0.08,7.44722934274855e-15,0.00773559472482465,1.59337244015149e-16,0.0134064922838427,0.0866691723050525,0.0980551566172941,0.0178609829068435,2.83695040784894e-15,1.46817099583432e-15,0.013692529355095,1.86071765831608e-14,3.04851585978765e-14,4.70584049938708e-15,3.09728922546804e-19,7.2722497588169e-16,4.40829778147054e-15,6.00589153917119e-19,1.42534348220203e-15,0.035304068567902,0.00161187806105689,8.62113237344077e-05,0.0144088888844762,0.0250838672528618,7.82352532544637e-15,0.0151466413499577,0.05115566759791,0.0607914447983723,0.129600183357757,3.37090452847333e-14,3.13034327177623e-14,2.28432156855877e-14,0.0534854071845054,1.78194990902242e-14,-0.0251916465219584,-0.0247337799334887,-0.287408391368906,-0.0222275049047755,3.02889387424339,-0.0042981365536096,2.15061651075667e-08,2.23929345555905e-07,2.00557244287649e-05,6.08530480337367e-05,9.90555997074141e-05,9.98878360804396e-05,9.7566692974496e-05,-9.99412235981918e-05,3.49969872535025e-05,0.00588867208260162,0.00104156778081105,-324.436371301969,13.3945701717088,-230.947628647533,-0.814213366131208,0.0336153373421777,-0.57959175590122,-41.5198243098787,3.25971955952893,-4.53773111527959,-0.769446131474813,-0.0801296640256512,-0.633665438304458,-0.0121012936544483,0.000810626265188422,0.00988513952600908,-0.0319472681947501,-0.00332696957235464,-0.0263096776696433
0.1,6.64048188872166e-15,0.00917243872260352,1.28591643534636e-16,0.0137509377841944,0.0863951631813369,0.0982137873955761,0.017732673999231,3.35218306881637e-15,2.49654016168422e-15,0.0142206120090015,2.14510984925034e-14,4.30647670354999e-14,4.61428024496656e-15,5.17727281283767e-19,5.46353455957871e-16,3.3148168238903e-15,3.16058374902353e-16,1.06900761165152e-15,0.0347403303922012,0.00155952444834795,6.46529185066034e-05,0.0145345174426688,0.0253223638730455,1.26262281670758e-14,0.0151570262330826,0.0513028918331536,0.0609359599639691,0.129815051503674,3.03536134821614e-14,2.70740606148072e-14,3.52009252528e-14,0.0536617062116987,2.14270233376143e-14,-0.0257274372731289,-0.0256667485039979,-0.287972382142164,-0.0265278628373817,3.02981959499133,-0.00449914289116679,3.17670889062717e-07,-5.94925589185786e-08,9.68576527032021e-05,7.58359047087695e-05,0.000149150510747213,0.000128875154015965,0.000144815481884197,-0.000120546358409382,2.36398853104519e-06,0.00592225850998827,0.00103773603568807,-325.253883134954,13.5689902163935,-231.123634575342,-0.814683210846279,0.0339870762214589,-0.578909444226914,-41.5198243098787,3.27968363549363,-4.54420918735263,-0.76968813319845,-0.0799412527973762,-0.633395274465062,-0.0120975759745552,0.000810942118486181,0.00988966303379438,-0.0319573160637981,-0.00331914677125866,-0.0262984605144968
0.12,5.04278503850108e-15,0.0102773515248159,1.15237644948896e-16,0.0141116126756951,0.0862390748996171,0.0984339284623442,0.0176142383448541,2.54543124656055e-15,2.37077722844388e-15,0.0146509546964482,1.90183820053401e-14,3.34128008623114e-14,8.78366526556622e-15,4.40569226513373e-19,4.96967985785977e-16,2.49432088171333e-15,1.81972941951507e-14,1.07682304562672e-15,0.0343095570684376,0.00141002417572402,5.21184884730825e-05,0.0145786063676252,0.025635043548031,9.86523330568125e-15,0.0151006035207053,0.0515743805459922,0.0610621645565381,0.129842733485388,7.99836181616766e-14,2.03055454611049e-14,2.6401599830588e-14,0.0537645791575341,1.60702675032104e-14,-0.0261030672459438,-0.0262389247664755,-0.28844403907399,-0.0291616476572918,3.03057871956095,-0.004330263954892,-1.7526373400012e-10,5.01235191937233e-07,6.38617254935167e-05,2.07874576503662e-05,9.21475126278637e-05,6.29643075895025e-05,0.000145545640841188,-7.28959183776361e-05,-5.14144945417777e-06,0.005937078123808,0.0010331665865842,-325.913589473492,13.7665589364345,-231.179048861546,-0.815158679780348,0.0344322248908711,-0.578213411006546,-41.5198243098787,3.30069783213329,-4.5569534651547,-0.769921308686463,-0.0798244795198819,-0.633126552041457,-0.0120939501025408,0.00081002641551621,0.00989417175033305,-0.0319669974690938,-0.003314298365293,-0.0262873032066806
0.14,7.03308950576157e-15,0.0111083877864744,3.38733018868078e-16,0.0143712946838646,0.0861934940504694,0.0986743515048962,0.0175493940933538,1.90907343492041e-15,1.77879226795314e-15,0.0149722844139806,1.89818343641127e-14,2.50596006467327e-14,9.74880294908519e-15,4.66485808371819e-19,3.72725989339483e-16,1.87074066128499e-15,1.36479867326373e-14,1.10951529873492e-15,0.0339924332662905,0.00127607745479749,4.25015973563266e-05,0.014569171287367,0.0259614947631937,9.03358773938183e-15,0.0150461630174213,0.0517254907177166,0.0611597193497212,0.129957476281238,8.25444593591671e-14,1.52291590958284e-14,1.98011998729404e-14,0.0539132080742292,1.9340415850602e-14,-0.0263491488254387,-0.0264302655815045,-0.288805283151036,-0.0300748451180894,3.03113481422935,-0.00376870753956361,-5.70635245645919e-08,3.7608614925969e-07,9.97446440330398e-05,5.26982020545223e-05,0.00016197671344344,0.000102692750332652,0.000169829581801679,-0.000127526937370189,3.5509338728238e-06,0.00595995643188718,0.00102698204336977,-326.516856284032,13.898419112821,-231.215000787909,-0.815612406905978,0.0347171144356946,-0.577556164945277,-41.5198243098787,3.31970805670749,-4.56638711704346,-0.770143155186984,-0.079781250468031,-0.63286212763318,-0.0120904531466219,0.000807780375236843,0.00989862819164317,-0.0319762084968192,-0.00331250350265507,-0.0262763243517056
0.16,7.2937344530976e-15,0.0115226940193656,3.07331404678098e-16,0.0146188426099128,0.0861917684190096,0.0988629734499618,0.0174703019857875,5.02719030486004e-15,1.3510045214396e-15,0.0151164740439137,1.57565514461491e-14,2.67468552839398e-14,8.30160532442019e-15,4.41820743303694e-19,2.71065741351445e-15,2.03941098021243e-15,1.02359900494778e-14,1.02050310725699e-15,0.0334507105537514,0.00132853987881798,3.1874843227913e-05,0.014593062465519,0.0261516981993167,6.7764707123805e-15,0.0149678585144406,0.0519310379178076,0.0613135276035829,0.129996050773814,1.30336028084467e-13,1.44390286279438e-14,1.48511072991063e-14,0.0541775741884907,1.45604568292794e-14,-0.026498659546702,-0.0262464494619197,-0.289048871879459,-0.029349098299046,3.0314614024623,-0.00283110513835562,8.36676738085745e-08,-5.22752257701955e-07,5.41530979432459e-05,5.20821287701172e-05,5.75184847683863e-05,0.000101673615782687,0.000108761542411788,-4.99230011505859e-05,-9.67070228964744e-06,0.00601177601306738,0.00103831056943582,-327.069019423759,14.0380986310969,-231.241170612493,-0.816032719175059,0.0350248636149165,-0.576943550240849,-41.5198243098787,3.33689898259483,-4.58009478215963,-0.770352167923843,-0.079807919753778,-0.632604326036117,-0.0120871092242098,0.000804196682411717,0.00990300281731199,-0.0319848866689321,-0.00331361080671376,-0.0262656204746888
0.18,1.47603315980927e-14,0.0117584092165027,1.74376042491356e-15,0.0146857164561993,0.0862705801124,0.099023232947664,0.0174762319239278,5.6891691383824e-15,1.03711034249989e-15,0.0152147203042858,2.18695387490721e-14,2.53760349712685e-14,2.043581476636e-14,6.24417766342287e-19,2.03299306013583e-15,3.02795054519049e-15,7.6769925371083e-15,7.65377330442744e-16,0.0331479760919527,0.00139483178121513,2.39053704167594e-05,0.0146573288913753,0.0262530830051081,5.08397781793413e-15,0.0150768822882626,0.051964933503182,0.0614710961894036,0.130430260022352,1.03859156420357e-13,1.08292714709577e-14,1.11383304743296e-14,0.0543425204923243,1.12099934901942e-14,-0.0265807325556991,-0.0257203012299676,-0.289179506761375,-0.0271833351461881,3.03154851854269,-0.00157414898852166,-1.70159863902191e-07,-1.09688484591049e-06,8.0109893309266e-05,6.09063859000976e-05,0.000145953923448743,0.000113858079152045,0.00015272596898259,-0.000123693069881549,8.54977405236424e-06,0.00602008034057078,0.00103642501758096,-327.788714071046,13.9300247550719,-231.435616386385,-0.816411054050983,0.0346949901111591,-0.576428008067399,-41.5198243098787,3.34821849105115,-4.57001890261142,-0.770548633451433,-0.079895626313151,-0.632353929680332,-0.0120839170778259,0.000799363258800305,0.00990728887932404,-0.0319930438831206,-0.00331725236764975,-0.0262552240619888
