time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,1.06253913852449e-14,0.0183646861478792,-1.23259516440783e-32,0.0153071029533961,0.0912224763181404,0.103532567139988,0.0178579371804927,0.00112432181168955,-5.87408633038107e-33,0.0179966885738223,0,1.04334982947439e-13,3.36133631714673e-31,0,-3.08148791101958e-33,2.35550758622616e-15,2.94632787550876e-18,0,0.0686395002926524,0.00817342911397577,0,0.0224615945099717,0.0421958365146693,1.16803665545256e-14,0.0158115608061816,0.0514314711870448,0.0715784827897181,0.159398596254414,0,4.16109531531617e-15,1.88724077284371e-18,0.0721661951795927,0,-0.0221560561925898,-0.0192999824236706,-0.28521316053781,-0.000848580893166713,3.02519150473523,-0.00104329517280449,-0.000324034305536882,-5.64665899230788e-05,0.000118912247737567,7.32978010653454e-05,0.000134189130928412,0.000134329299041514,0.000172841476337489,-0.000126380218739305,2.06028859087127e-05,0.0103488920910703,0.000585018745029475,-356.801065814126,-7.00407472844805,-269.803872280797,-0.797532046184145,-0.0156557101001369,-0.603073406850767,-41.5198243098787,1.9708826677323,-2.60794981599097,-0.768433542435134,-0.0813893968219035,-0.634732744503982,-0.0121165240510778,0.000801533234652846,0.00986720811045708,-0.0319052256757245,-0.00337927345673243,-0.0263539920355325
0.02,1.20741538809164e-14,0.0201674870265726,8.07655780404755e-17,0.0164492625242267,0.0896188684685422,0.104159284463445,0.017405536743929,0.00154740698249547,6.63502290728057e-18,0.0176049367973432,1.97215226305253e-31,7.82512372105707e-14,1.46795263594667e-14,2.1549572135634e-19,9.86076131526265e-32,1.76663068966961e-15,3.06241472463251e-17,1.43987462216757e-15,0.0679426092629185,0.00794297371670311,0,0.0229014578206476,0.0412748154405264,1.51880300735959e-14,0.0163180581927607,0.0519893937330715,0.0716709559686501,0.159469750740532,7.62291075269483e-15,1.11459154494589e-14,7.20537018403947e-15,0.0706673181017146,1.44714560910523e-32,-0.0226979532223706,-0.0203312288034482,-0.285507294100327,-0.00341402971820028,3.02567108690846,-0.00179138709073405,5.72636428805823e-05,1.01258005281825e-05,0.00011332572059559,7.11950104909052e-05,0.000167561653051683,0.000123396447153888,0.000159836669136961,-0.000131661386197599,1.96676125796652e-06,0.00964821261875928,0.000352944029416395,-357.032678655257,-6.75797340687384,-269.559124414865,-0.797990074855793,-0.0151044877044207,-0.602481281769676,-41.5198243098787,1.98750624756326,-2.61455267986779,-0.768691034530784,-0.0810292159836545,-0.634466988573139,-0.0121126814695381,0.000804407109794361,0.00987169100614932,-0.031915916702297,-0.00336431881160855,-0.0263429578959745
0.04,1.00652503469736e-14,0.0223815958333429,7.02626998017982e-17,0.0168473002355664,0.0891437756207989,0.104070107966149,0.0171602474281792,0.00202372277523564,1.97002026037382e-16,0.0184288458746758,1.61936371450785e-14,6.26726779818165e-14,1.16271479699975e-14,2.15848705960518e-19,7.79318553395866e-16,2.80601388255301e-15,2.29681104347438e-17,1.07990596662568e-15,0.0675680659230036,0.00792875468826761,1.74398574419946e-19,0.0230763193035597,0.0411499377375441,1.38178738494262e-14,0.0164170571621728,0.0519702283871936,0.0717789482141502,0.159709627244698,3.80128255680588e-14,9.69674184962997e-15,1.08785151580669e-14,0.0706878285851901,-1.01804471971043e-32,-0.0236500475674014,-0.0220055503460676,-0.286043917998841,-0.00962221625821591,3.02672447209512,-0.00298867725331828,2.13198284993871e-05,3.71612024237222e-06,0.000116549818447149,8.39489112862341e-05,0.000164011307695529,0.000141762753658829,0.000152830083506644,-0.000135906280161748,7.92417905709626e-06,0.00971617889426942,0.000363827529584826,-357.526382938794,-6.5496835313385,-269.680501728809,-0.798265590315357,-0.014623779502778,-0.602128053151096,-41.5198243098787,1.99153351447259,-2.61986575977386,-0.768945880752996,-0.0806875193594984,-0.634201668787311,-0.0121088650540913,0.000807088346694573,0.00987615319869561,-0.0319264978726693,-0.00335013162780631,-0.026331941865081
0.06,9.04392186843952e-15,0.024230037763613,5.28687154590615e-17,0.0172570570337795,0.0887380284642204,0.104047587420912,0.0169418558162869,0.00240438460815861,5.92213467177419e-16,0.0191044915003635,2.19041534857935e-14,8.91467533736733e-14,8.72036097749801e-15,8.0696348049439e-19,2.18373152752614e-15,2.10618590038625e-15,9.08919152845308e-15,1.13846145099156e-15,0.0668728122438886,0.00783297173545245,4.89767351721608e-18,0.0232539852403248,0.0413904390179506,1.13169596611151e-14,0.0165089795989931,0.0523528250443191,0.0720311416800185,0.159872807108731,4.38933661224992e-14,7.89521912114734e-15,1.64490815436426e-14,0.0707774972343179,0,-0.0245252051781219,-0.0234992321430031,-0.286703649657376,-0.0164691429359456,3.02784553466541,-0.00377560435542558,1.93304163147308e-06,1.63819545302752e-07,0.000118708865240624,7.06329762035447e-05,0.000179910224376298,0.000117968932016707,0.000155510077268034,-0.000133558556547292,-2.30731738322706e-06,0.00974024326541837,0.000372352489181937,-358.548803993507,-6.35393948874065,-269.997285652457,-0.798757410114344,-0.0141549942253932,-0.601486688070405,-41.5198243098787,2.01056974936394,-2.6252218886384,-0.769197987456169,-0.0803824269029394,-0.633934635067823,-0.0121050657336864,0.000809259337900589,0.00988063203488637,-0.0319369652986924,-0.00333746424261171,-0.026320854671963
0.08,6.79911263029064e-15,0.0260252369541955,6.93227772001257e-17,0.0176475597394091,0.0884321124686511,0.104204775810361,0.0167671021505247,0.00279191427574993,1.20093847775608e-15,0.0197106121538238,2.29093643262237e-14,1.17502668805423e-13,6.79023923227486e-15,1.01897730293607e-18,3.65498590508285e-15,4.03974509831218e-15,6.98253935099562e-15,1.1600231349092e-15,0.0666050249408833,0.00779301815757977,4.5367602655731e-17,0.023334286545206,0.0417484754240934,9.88242489915043e-15,0.0164324708669029,0.0522899459272228,0.0721502040398377,0.160185447207659,5.24077290311771e-14,6.76202201338265e-15,1.85592112435518e-14,0.0710475436056518,6.10235460195016e-15,-0.0252370004881862,-0.0247472906047931,-0.287331597900649,-0.022227504904768,3.02889387424339,-0.0042981365536131,1.68064096618185e-06,2.62018359086192e-07,0.000135464608706345,9.15312240663488e-05,0.000202218328997699,0.000137337929683021,0.000141085156951494,-0.000146636680125416,-3.34897716289671e-06,0.00981922843078144,0.000353749014688087,-359.281635985601,-6.18633139887906,-270.244695850993,-0.799087077615959,-0.0137591710334236,-0.601057840477653,-41.5198243098787,2.0183516047369,-2.63057532637627,-0.769446131474813,-0.0801296640256512,-0.633665438304458,-0.0121012936544483,0.000810626265188422,0.00988513952600908,-0.0319472681947501,-0.00332696957235464,-0.0263096776696433
0.1,7.857502123902e-15,0.0273013055235131,5.37236175747991e-17,0.0180104487133983,0.088213330635564,0.104332104330852,0.0166275253444095,0.00303510227404077,9.00703858317056e-16,0.0201581769531912,3.11173474719749e-14,8.8127001604057e-14,6.38425937807327e-15,1.15339339388196e-18,3.55399066792453e-15,3.02980882373412e-15,6.52535305340877e-15,8.70017351181896e-16,0.0659969335972847,0.00778904588293138,3.68691732684078e-17,0.0234752403400861,0.042144453223099,7.79697448382233e-15,0.0164656816083395,0.052666180345458,0.0724047732535756,0.160358695620211,8.53327523384303e-14,8.89411264306182e-15,1.4993417279528e-14,0.071227291280809,8.10607548105422e-15,-0.0257732943312186,-0.0256802784360424,-0.287894777027135,-0.0265278628373977,3.02981959499134,-0.004499142891157,6.83918912301775e-07,5.0812696659723e-08,0.000104498858919779,6.25292936403677e-05,0.000162616583769553,0.00010955631518277,0.000153780693826181,-0.000120440932086773,-4.94174384514362e-06,0.00983440320245561,0.000349681995480629,-360.326080087841,-6.02787626122871,-270.604321773583,-0.799545090993159,-0.0133755482606329,-0.600457111022485,-41.5198243098787,2.03519693394308,-2.63759187370875,-0.76968813319845,-0.0799412527973762,-0.633395274465062,-0.0120975759745552,0.000810942118486181,0.00988966303379438,-0.0319573160637981,-0.00331914677125866,-0.0262984605144968
0.12,1.03201340521333e-14,0.0282045941174875,4.02927131810993e-17,0.0183445884412674,0.0880888219754114,0.104481916896793,0.016525301427084,0.00317627768882261,6.75748478280283e-16,0.0204853812944782,2.81700220331358e-14,8.01368583385554e-14,6.22383884510083e-15,1.35876699776853e-18,2.74098621776676e-15,6.87257876114331e-15,1.0842805235131e-14,6.68785420097748e-16,0.0653586220262053,0.00778765525744586,2.76518799513058e-17,0.0235833201183476,0.0425519336557941,7.98711388680102e-15,0.016492104256872,0.0531212339899152,0.0726750117146365,0.160455565577182,6.57393098114877e-14,1.32881860034244e-14,3.97790356370592e-14,0.0713989900111336,1.14277035415291e-14,-0.0261490660164569,-0.0262525184348183,-0.288366170664434,-0.0291616476573077,3.03057871956096,-0.00433026395486996,1.00321526795485e-08,6.73110504767877e-08,0.000101571686514924,-6.17304624993099e-06,0.000145976147688508,5.05235156115277e-05,0.000246119082960351,-0.000126914481324858,1.85971785751864e-05,0.00983695739929476,0.000348490985990199,-361.342361161462,-5.87221345909819,-270.912410794473,-0.800032652167117,-0.013001416420353,-0.5998155705194,-41.5198243098787,2.05442949911079,-2.64717555494181,-0.769921308686463,-0.0798244795198819,-0.633126552041457,-0.0120939501025408,0.00081002641551621,0.00989417175033305,-0.0319669974690938,-0.003314298365293,-0.0262873032066806
0.14,1.03979954250256e-14,0.0290202700304615,3.81245340993421e-17,0.0186184765518531,0.0880843084195751,0.104722907021403,0.0164589511865451,0.00331046552913528,5.08078050855028e-16,0.0207704723868358,2.11275165248513e-14,7.52781712314416e-14,7.81848108490515e-15,1.0190752483264e-18,2.44219769962362e-15,7.90981407712517e-15,8.13210392634816e-15,8.03791308554977e-16,0.0651433117253035,0.00787651304293466,2.07389099634794e-17,0.0236308715174752,0.0430878107927688,7.44544248176392e-15,0.0164221406511787,0.0533471091087156,0.0729161758647221,0.16078406149776,1.00396463866608e-13,2.52388492103942e-14,4.08792208073666e-14,0.0717694618587348,9.07587822270963e-15,-0.026395774899656,-0.0264439492857828,-0.288726365706418,-0.0300748451180746,3.03113481422934,-0.00376870753958056,-2.68605924976879e-08,1.23418290297641e-07,5.63192101103423e-05,1.16020627583899e-06,0.000150841403461292,3.94221348744325e-05,0.000198664626231301,-7.75005477844269e-05,-4.56831037785073e-05,0.00990014962170943,0.0003401733691086,-362.287011515893,-5.84781499166313,-271.345375138984,-0.800325283841846,-0.0129183604277574,-0.599426856261318,-41.5198243098787,2.05997505243722,-2.64874708505225,-0.770143155186984,-0.079781250468031,-0.63286212763318,-0.0120904531466219,0.000807780375236843,0.00989862819164317,-0.0319762084968192,-0.00331250350265507,-0.0262763243517056
0.16,9.42995310016317e-15,0.0295523251203917,5.00955704098126e-16,0.0187742452965466,0.0881631211612016,0.104968452924578,0.0164438385157046,0.00341430623502065,3.95951590842855e-16,0.0209731849831838,1.65012037997985e-14,5.74351691178893e-14,1.89852329425614e-14,1.87586248843267e-18,1.83164827471771e-15,9.68724846648484e-15,1.28231408598333e-14,6.11635251451021e-16,0.0650692341112085,0.00787970150852683,8.40366050769307e-16,0.0236432229862138,0.0434751510793406,6.61624926554085e-15,0.0163072599144893,0.0534605460266013,0.0730732232881501,0.161088962140762,1.00139900440947e-13,2.36505061504914e-14,3.20309958398934e-14,0.0720489420319687,7.92838623222212e-15,-0.0265460313729728,-0.0262601677300287,-0.288968730730989,-0.0293490982990485,3.0314614024623,-0.002831105138359,-8.2168551010504e-08,7.94981954187789e-08,8.53284210152809e-05,2.70147360632394e-05,0.000143409483692065,7.55363620857714e-05,0.000186701845747358,-0.000106116965365062,-6.20793046882731e-06,0.00994952491380237,0.000333933896793968,-362.977739885979,-5.85235346391265,-271.572347192456,-0.800632589579365,-0.0129087390053671,-0.599016544813857,-41.5198243098787,2.0669521051003,-2.65021850403572,-0.770352167923843,-0.079807919753778,-0.632604326036117,-0.0120871092242098,0.000804196682411717,0.00990300281731199,-0.0319848866689321,-0.00331361080671376,-0.0262656204746888
0.18,7.07246482512231e-15,0.0296738517427301,4.23906275374726e-16,0.0188912063397735,0.0882425287077648,0.10514234847916,0.0164489389998606,0.00340687411120865,2.9714192896019e-16,0.0210385867886978,1.30186835677968e-14,4.58144975622772e-14,1.48186331762948e-14,4.05301761789715e-18,3.5694297883429e-15,7.26543634986356e-15,9.61735564487488e-15,6.95325147817656e-16,0.0648122515095038,0.00790668108170758,6.3027453807698e-16,0.023492216971103,0.0435811731241585,5.12072120930481e-15,0.0162404668780043,0.0535457757588495,0.0731094911596204,0.161039820337556,7.51049253307028e-14,2.76702016620049e-14,2.40309944043845e-14,0.0721128276561395,6.05263789363091e-15,-0.0266285704480576,-0.0257338182964786,-0.289098665317009,-0.0271833351462109,3.03154851854271,-0.00157414898850566,-3.94785137757388e-08,-7.9608054636643e-08,0.000106158732927064,4.58328912039153e-05,0.000161938177528887,9.62599676323626e-05,0.000179726654089948,-0.00012407845935707,8.31994408334269e-07,0.00996359261267166,0.000337225039762467,-363.090278405031,-5.69573916466568,-271.346038548318,-0.800964539529855,-0.0125646027135421,-0.598579933822023,-41.5198243098787,2.07698349208298,-2.66817567329559,-0.770548633451433,-0.079895626313151,-0.632353929680332,-0.0120839170778259,0.000799363258800305,0.00990728887932404,-0.0319930438831206,-0.00331725236764975,-0.0262552240619888
