time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,1.68238287080335e-16,0.0616885254458518,1.28364324502685e-15,0.0265944046128148,0.0952614322407556,0.120196584704653,0.0150444969453609,0.00989041922469411,4.41632568579202e-17,0.0324767989087203,5.42255496319958e-15,2.03343766076717e-14,1.26191434052037e-14,9.88141020681534e-19,1.55628221732188e-14,1.40597974690558e-15,1.63961183001039e-17,2.65365450709722e-15,0.149482739571073,0.0126799825643498,1.62537759028459e-16,0.0340367743371956,0.0710189189437997,9.07397538505154e-18,0.0105365462038801,0.0321923180412231,0.0869431450889411,0.215627928258033,9.92121812408125e-18,7.46934021383968e-16,3.6282739479221e-16,0.105378600228295,7.35707396541356e-15,-0.0222428745946896,-0.0193196186572946,-0.285068481411404,-0.000848580893169539,3.02519150473523,-0.00104329517282314,-2.62972908799391e-05,-4.43103080486364e-06,4.69648157620916e-05,4.3536428879109e-05,0.000176347037697167,9.42603024454672e-06,0.000215464221347516,-0.00032179061328497,0.000131167411986143,0.0203030893253098,-0.00177332954210271,-398.799086410377,-42.224998698057,-329.401042275314,-0.768445073136694,-0.0813632561317747,-0.634722136153747,-41.5198243098787,0.000717262083834958,-0.00104246870345678,-0.768433542435134,-0.0813893968219035,-0.634732744503982,-0.0121165240510778,0.000801533234652846,0.00986720811045708,-0.0319052256757245,-0.00337927345673243,-0.0263539920355325
0.02,8.71898391172647e-07,0.0639824388882152,1.1456524603376e-15,0.0270220134998119,0.0944640924502438,0.120240704751576,0.0154055658432774,0.0104534757504869,1.63192689164278e-15,0.0328255765623579,1.03417192282978e-14,9.91230826706346e-14,1.87860904251224e-14,9.19638373007702e-19,1.1677572909457e-14,1.08455146432654e-15,1.25182268910239e-17,5.60617925281484e-15,0.149555355289826,0.0120731912194225,1.35659894876007e-16,0.0339951288557244,0.0702506786494971,4.75638767605787e-16,0.0118501295389484,0.033156200537137,0.0875063626368531,0.21483519316378,1.21985534125322e-16,1.3102692030479e-15,1.08260662032701e-15,0.104753530362845,3.33643605358696e-14,-0.0227864271249722,-0.0203503790156579,-0.285360186739827,-0.00341402971820967,3.02567108690844,-0.00179138709073784,-1.6826222378594e-05,1.79815856837668e-05,0.000197627590777508,-0.000131235511269518,1.97935509304661e-05,0.00018856433053374,0.000209660175466364,-0.000367390609877906,-0.000208195670809685,0.0191090616982895,-0.00173718213229499,-399.059508183898,-42.045910670601,-329.363431229391,-0.768707294132078,-0.0809929285183759,-0.634451922117158,-41.5198243098787,0.00101334198772416,-0.00144575418785438,-0.768691034530784,-0.0810292159836545,-0.634466988573139,-0.0121126814695381,0.000804407109794361,0.00987169100614932,-0.031915916702297,-0.00336431881160855,-0.0263429578959745
0.04,6.53923223753736e-07,0.0659261354338604,1.35437783582037e-15,0.0273766539273821,0.0940243084907985,0.12017247160318,0.0148206220310308,0.0110336085231289,2.74890746545715e-15,0.033712900530841,2.49135927950958e-14,8.54513490710954e-14,3.16799939366137e-14,9.17966351706192e-19,8.7702631512064e-15,8.35141981919664e-16,2.87141115733954e-16,5.81147069834529e-15,0.148933046481738,0.0121809799950258,1.01761334466477e-16,0.034573728917336,0.0702321361324567,2.00080642473539e-15,0.0114801611417866,0.0334624468121392,0.0872298324365455,0.215557077218049,2.197704065903e-16,1.74683639981894e-15,8.11954965245258e-16,0.104929133766226,2.87690530135319e-14,-0.0237380525825162,-0.022025086254149,-0.285897414356462,-0.00962221625821714,3.02672447209512,-0.00298867725331346,-9.22650539967513e-06,5.76015415677184e-05,-0.000111460096895675,-0.000166552829371452,0.000293755369894467,0.00014774579205514,0.000259899717024199,-9.62019542821216e-05,-2.73027021536166e-05,0.0192100439272461,-0.0017593562199998,-400.04461613955,-41.9546860113566,-329.922467576747,-0.76896867111539,-0.0806456026343879,-0.634179367071152,-41.5198243098787,0.00143283075657368,-0.00165187833715201,-0.768945880752996,-0.0806875193594984,-0.634201668787311,-0.0121088650540913,0.000807088346694573,0.00987615319869561,-0.0319264978726693,-0.00335013162780631,-0.026331941865081
0.06,4.9044209823501e-07,0.0678421813489094,1.19446231448872e-15,0.0276344775063868,0.0940010148562091,0.119988133937806,0.0145448420491564,0.0115734350329012,5.49919452475626e-15,0.0348226222073613,3.06987303451224e-14,1.20418697847511e-13,4.17073778686685e-14,9.50583440845681e-19,6.61530727869045e-15,6.65914085472138e-16,2.15752339168467e-16,8.02024167551703e-15,0.148742072080686,0.0120971837156943,1.54140768547747e-16,0.0343468620004699,0.0713058476498687,2.89161889608093e-15,0.0112010597696591,0.0324772802748893,0.0874127885123941,0.216756910521989,5.08056594425957e-16,2.95347473432755e-15,3.80362341261655e-15,0.103618823063575,2.89782788668826e-14,-0.0246172205365012,-0.0235185098820974,-0.286550902048089,-0.0164691429359311,3.0278455346654,-0.00377560435544485,-1.92171252899933e-05,-8.4381993455513e-05,9.26549530489667e-06,0.00013865623160897,0.000138575936104305,-0.000216071463320829,0.000565736421838016,-2.60957955791102e-05,-6.99811834350675e-06,0.0195892863804801,-0.0021608320170173,-400.481004640048,-41.7858168193271,-330.01787009166,-0.769241873178864,-0.0802619840391645,-0.633896643362599,-41.5198243098787,0.00271430370202748,-0.00484237435344631,-0.769197987456169,-0.0803824269029394,-0.633934635067823,-0.0121050657336864,0.000809259337900589,0.00988063203488637,-0.0319369652986924,-0.00333746424261171,-0.026320854671963
0.08,1.71770009423243e-06,0.0698665131062409,1.53311201399735e-15,0.0283155834221185,0.0931770626502068,0.121000079658931,0.0146416399903089,0.0117615535754228,4.62673095891423e-15,0.0348354655482395,5.25439976518766e-14,1.66100120933498e-13,4.12340304997281e-14,1.47801695589856e-18,5.40764953313586e-15,5.22617249621415e-16,4.76873233471045e-16,7.63861367778325e-15,0.149675525703634,0.0111983028131015,1.29303137631461e-16,0.0343178536999959,0.0716988789104768,2.17684560043451e-15,0.011286342766967,0.0334878615402044,0.0874992536402213,0.215985525044164,7.76798468293378e-16,3.27457175089995e-15,2.85324925900652e-15,0.104400424386535,2.94097721086504e-14,-0.0253292791027194,-0.0247663842496298,-0.287178496152407,-0.0222275049047573,3.02889387424339,-0.00429813655361862,4.55782027959459e-06,1.24709207050087e-05,0.000258010100486884,8.31637444987694e-05,0.000389069784621081,0.000238216086327238,0.000244967022773698,-0.000288910210530434,1.99117861291333e-06,0.0189965168676413,-0.00184634556605656,-401.111938734627,-41.6554793252192,-330.23867737257,-0.769544815351378,-0.0799172376838847,-0.633572420711942,-41.5198243098787,0.00617941904941468,-0.00844448266474,-0.769446131474813,-0.0801296640256512,-0.633665438304458,-0.0121012936544483,0.000810626265188422,0.00988513952600908,-0.0319472681947501,-0.00332696957235464,-0.0263096776696433
0.1,1.28827286236174e-06,0.0708049961438225,1.18479780808271e-15,0.0284699873186715,0.0935542898378212,0.120482296148578,0.0141282752080599,0.0123068411346487,3.47526120941822e-15,0.0358752939388144,3.9419468829523e-14,1.246210023523e-13,3.092853388264e-14,1.54857536871081e-18,1.16534086150405e-14,1.87763079654436e-15,3.57659603962257e-16,1.01565154457837e-14,0.148574549969364,0.0122540739515433,4.13754838522734e-16,0.0352974468303894,0.0721852293049096,1.6343742738658e-15,0.0108033933972068,0.0337157667111464,0.0889946619575412,0.216823183260326,1.70928564722724e-15,2.45592881317495e-15,2.1472526991438e-15,0.10567436872361,2.24605858460945e-14,-0.0258640126419698,-0.0257001762778332,-0.287743824615206,-0.0265278628374313,3.02981959499136,-0.00449914289114238,4.75484798918653e-05,-2.65714752681767e-05,3.14156254549253e-05,-2.56161771295279e-05,0.000578161912881382,0.000228155912923604,0.00029508330559218,0.000290894527232974,-2.57363909606773e-05,0.0199840967497285,-0.00212138103873966,-403.457445385519,-41.8471325781228,-331.972381433139,-0.769734465865919,-0.0798378629802275,-0.633352009306719,-41.5198243098787,0.00289849275821543,-0.00411750846363096,-0.76968813319845,-0.0799412527973762,-0.633395274465062,-0.0120975759745552,0.000810942118486181,0.00988966303379438,-0.0319573160637981,-0.00331914677125866,-0.0262984605144968
0.12,0.000128194923200951,0.0721416946323034,8.89778072418466e-16,0.0292116812687031,0.0922983418597613,0.121848560133932,0.0147342568048662,0.0116993289365897,8.29509116345912e-15,0.0348881977105877,3.12386794649625e-14,1.00140667874281e-13,4.54313762841527e-14,1.47944843841098e-18,1.28245955603675e-14,3.35924384572722e-15,5.04229208052689e-15,9.45232708142664e-15,0.148654605272227,0.0124667461907855,3.499172309014e-16,0.0352486196858021,0.0726595281614642,1.51668275379322e-15,0.0112895702321971,0.0338242495361157,0.0894861797570131,0.21708898801607,1.77529483861622e-15,1.84194660988121e-15,3.90589625051582e-15,0.106854343122496,2.18596578736796e-14,-0.0262402326645409,-0.0262722112625404,-0.288214556504191,-0.02916164765734,3.03057871956097,-0.00433026395484363,2.80592294360957e-06,1.52106899298709e-06,6.13386155682131e-05,-4.68792921723506e-05,0.00010706028787276,-9.95409697912964e-05,0.000404629640141441,-0.000133855292328768,6.55539847693145e-06,0.0208245595472145,-0.00217262471520125,-404.736509118976,-41.9289393130095,-332.794278467149,-0.769954174541304,-0.079763898563079,-0.633094218574485,-41.5198243098787,0.00207190530126493,-0.00238711947815844,-0.769921308686463,-0.0798244795198819,-0.633126552041457,-0.0120939501025408,0.00081002641551621,0.00989417175033305,-0.0319669974690938,-0.003314298365293,-0.0262873032066806
0.14,9.61338669471159e-05,0.0724146126977981,6.73245991042568e-16,0.029361495488672,0.093511200400356,0.120805974382187,0.0144313734798208,0.0122399056075406,9.91673614215559e-15,0.0363579409043684,2.79094390493834e-14,1.16199772394807e-13,3.4073532213113e-14,1.97561605659798e-18,9.70682126747534e-15,4.396899025736e-15,3.78419607547646e-15,9.12898343530549e-15,0.148053546770321,0.0131427296147897,4.03853035824013e-16,0.0350166689363629,0.0741616637242081,1.14652237132683e-15,0.0109754045498876,0.0334400937236748,0.0877101312881283,0.219637420347851,2.64518621470557e-15,3.14514895312183e-15,2.95974459701801e-15,0.106423520913104,3.1865453582603e-14,-0.0264911627168096,-0.0264635489558,-0.288568063957878,-0.0300748451180625,3.03113481422933,-0.0037687075396061,-2.0123656900655e-05,6.50586760823893e-05,0.000151729824191896,9.00500255504e-05,0.000135677891217112,0.000234037981712446,0.000359012142777145,9.77316746422646e-06,4.40750320445982e-07,0.0181192521168493,-0.0017204185868852,-406.063126211101,-42.0140326886882,-333.602120186722,-0.770221836674655,-0.0796923515945333,-0.632777568666,-41.5198243098787,0.00502832022782583,-0.00336726116254916,-0.770143155186984,-0.079781250468031,-0.63286212763318,-0.0120904531466219,0.000807780375236843,0.00989862819164317,-0.0319762084968192,-0.00331250350265507,-0.0262763243517056
0.16,7.20934689200767e-05,0.0726371580903063,5.06617535578459e-16,0.0293121779680988,0.0934519924484036,0.121147921820633,0.0142940758140316,0.0123614807748578,8.01447520791915e-15,0.0363128075936269,2.87758406502941e-14,9.33048911486431e-14,3.44911776360171e-14,3.6548443073155e-18,7.87418303204884e-15,3.47682604441471e-15,2.99158590327892e-15,8.62427864658572e-15,0.147667219198702,0.0135784528888017,4.12862359327994e-16,0.0359801829547024,0.0737429721848792,1.94395835761077e-15,0.011141369466353,0.034758290796572,0.0924564120393794,0.217200429823236,2.65227550512974e-15,4.37086353315706e-15,2.24200631602797e-15,0.108850940736429,4.88543327770806e-14,-0.0266362261689924,-0.0262805347599186,-0.288818303875819,-0.0293490982990477,3.03146140246232,-0.00283110513831599,5.03089259097846e-07,-1.5941901138787e-06,0.000331910576012941,0.000136560524182244,0.000381968114864772,-0.000373227502701054,0.00025924457950926,0.000264841252186067,1.17303094640077e-05,0.0203262763040499,-0.0014883523914565,-408.028586976163,-42.1150392130294,-334.955865399627,-0.770473819154124,-0.0795251512810893,-0.632491774106018,-41.5198243098787,0.00760287727472417,-0.0112865284420311,-0.770352167923843,-0.079807919753778,-0.632604326036117,-0.0120871092242098,0.000804196682411717,0.00990300281731199,-0.0319848866689321,-0.00331361080671376,-0.0262656204746888
0.18,5.40662035893283e-05,0.0732882310327164,3.97555749550964e-16,0.0295378710522946,0.0936301233462071,0.121678772827432,0.0147564420492959,0.0123723235253649,6.01614286653297e-15,0.0364735216898673,2.18187165113412e-14,7.78059638174715e-14,2.83544822677083e-14,3.69219712095915e-18,1.13483178222982e-14,2.64985666989735e-15,2.25760793960938e-15,1.62229068250907e-14,0.149294283800054,0.0127877177734074,3.13943038451975e-16,0.0349255836831081,0.074691776208993,2.15050057751843e-15,0.0110193817811375,0.0339064251808222,0.0892749066961038,0.219201219790365,2.19643827973926e-15,5.34738733993852e-15,1.71759754235274e-15,0.107311991657988,3.77786016867378e-14,-0.0267239376014882,-0.0257534852082325,-0.288940242758958,-0.0271833351462789,3.03154851854274,-0.00157414898848083,-3.05131284514889e-06,-8.01445808073837e-06,0.000421519102905892,0.000314936060734621,6.94628070386234e-05,0.000274710507682209,0.000498888151561477,-0.000150937813944111,2.18997348199817e-06,0.0204096371819609,-0.00219754761426897,-407.094852002042,-42.1468138019332,-334.050148556397,-0.770587320645621,-0.0797794424607922,-0.632321454499883,-41.5198243098787,0.00238455202811642,-0.00468854784568317,-0.770548633451433,-0.079895626313151,-0.632353929680332,-0.0120839170778259,0.000799363258800305,0.00990728887932404,-0.0319930438831206,-0.00331725236764975,-0.0262552240619888
