time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,2.48970708736957e-16,1.17590132337191e-17,4.5017889705476e-15,0.00217098856440595,0.0875445727466155,0.095592970156622,0.0277518561891602,5.42015676803515e-15,4.25089141089526e-18,0.00415207093582756,2.83730568118477e-14,0,2.35797772531246e-14,0.00259330612539327,-3.94430452610506e-31,0,4.85194719660253e-17,4.19805593461436e-15,0.0245656762053608,0.0109191080719533,1.73246989063361e-17,3.81737995997108e-20,0.0109169703213326,0.000651590212333398,4.35400942243318e-16,0.0426068878413758,0.0437025150450185,0.0854062421372852,0.000561190928068694,0.0125973391248314,1.52117435665512e-15,0.035202779354385,5.58969155620348e-14,-0.0220827406944791,-0.0192687421601904,-0.285340836689474,-0.000848580893184197,3.02519150473524,-0.00104329517281051,-5.16726136180927e-09,4.24606885815301e-08,0.000453947703312523,0.000410712594471601,0.000761873820885694,0.000937476812310161,0.00139784754176736,-0.000724072352413959,-7.6969607111022e-07,0.00317517514004652,0.00206348285250703,-255.109234271032,48.4101073263527,-187.949804923817,-0.795859775440406,0.151024157380617,-0.586343689079555,-41.5198243098787,3.0086540479835,-9.68414457386428,-0.768433542435134,-0.0813893968219035,-0.634732744503982,-0.0121165240510778,0.000801533234652846,0.00986720811045708,-0.0319052256757245,-0.00337927345673243,-0.0263539920355325
0.02,1.47283563606833e-15,2.39080050021608e-17,3.37671977788308e-15,0.00526068262451028,0.086885040531382,0.0948458434551158,0.0241639117662012,4.06511757602634e-15,3.1881685581714e-18,0.00589385442594142,2.232108214393e-14,1.0230469279476e-15,1.98851001309161e-14,0.00213410626807231,0,3.47355233995047e-15,3.6389603974519e-17,1.62680924940493e-14,0.0218080983475213,0.0123213398529398,3.92336981487423e-17,2.86303496997831e-20,0.0113660519903979,0.000488374231896442,1.18508181843619e-15,0.0423414258842706,0.0444582686547565,0.0869659851790854,0.00042065699460821,0.00967321691352199,1.14088076749134e-15,0.0385588595254167,5.85602424725669e-14,-0.0226308676255494,-0.0202998979918382,-0.285625142410248,-0.00341402971820964,3.02567108690844,-0.00179138709073613,1.28358350827816e-07,-2.69953325807523e-09,5.78346214993213e-05,4.75117839227693e-05,9.08736294067341e-05,8.3763409616016e-05,0.000103701801110386,-7.60124621922419e-05,-1.30948425825886e-06,0.00404333750877714,0.00158202385949805,-257.033453646061,47.0443913000903,-188.916795976496,-0.797145999748245,0.145900262411359,-0.585893649490816,-41.5198243098787,3.02433903843535,-9.43935675758709,-0.768691034530784,-0.0810292159836545,-0.634466988573139,-0.0121126814695381,0.000804407109794361,0.00987169100614932,-0.031915916702297,-0.00336431881160855,-0.0263429578959745
0.04,6.15548215566747e-15,1.80244422356901e-17,2.5325398334123e-15,0.00722779635090304,0.0863373243019643,0.0941505928728219,0.0218434470142088,7.00686471163884e-15,6.83926983716469e-18,0.00709556847132061,1.67408116079472e-14,1.72872294061332e-14,2.90310747279834e-14,0.00181050104461953,1.47764952431314e-15,2.60714278287171e-15,7.00583603457264e-17,1.22232045452494e-14,0.0186667688524442,0.0125004064823115,3.75402715630845e-17,5.84634677494191e-18,0.0123135019297202,0.000366101791879892,8.9017107180809e-16,0.0432703816999564,0.044836548688368,0.0873504048011874,0.000315360031725823,0.00960462218208813,8.556605756185e-16,0.0389384897186031,5.75375823018647e-14,-0.0235875675660143,-0.0219743114819765,-0.286154439874485,-0.00962221625823977,3.02672447209512,-0.00298867725330314,8.71385906555668e-08,-1.41882937135694e-07,0.000166447218729026,4.15985286860745e-05,0.000239343417603038,-3.56135250293667e-06,9.49020111069179e-06,-0.000136534640166321,-4.34512270625912e-06,0.00416013429880344,0.0015886145051138,-259.396524323082,46.7488684227015,-189.41493990516,-0.799184062789882,0.144030266767764,-0.583575287377271,-41.5198243098787,3.13375455192971,-9.33459453145828,-0.768945880752996,-0.0806875193594984,-0.634201668787311,-0.0121088650540913,0.000807088346694573,0.00987615319869561,-0.0319264978726693,-0.00335013162780631,-0.026331941865081
0.06,4.61661161675057e-15,1.35183316767675e-17,1.90309568335655e-15,0.00908574013946554,0.0859101179188817,0.0936294207804274,0.0197010211557187,5.2551485337291e-15,8.35455452063263e-18,0.0082324568586069,1.57345700308532e-14,1.29654220545996e-14,4.58476949145691e-14,0.00152663347949383,6.01748782390657e-15,1.97876081096258e-15,5.25437702592948e-17,1.38418280710501e-14,0.0157946762449178,0.012391551561261,6.09761235918114e-17,1.26493543220249e-17,0.0134461196987641,0.000274475821031828,6.68125036415891e-16,0.0439228434822419,0.0451928017307514,0.08823505379766,0.000236445434832996,0.0090570683217372,6.41745431713875e-16,0.0392068846245655,4.3153186726396e-14,-0.0244666659465009,-0.0234680519231982,-0.286807913128068,-0.0164691429359421,3.0278455346654,-0.00377560435544773,-2.14947403603311e-07,-1.49157398807917e-06,6.36332456107319e-05,8.1305404320067e-05,9.30024804555443e-05,0.000158825701077073,0.000151285590189289,-9.28770222542088e-05,2.84299949506514e-06,0.0041987181993727,0.00154199535964788,-261.943327394454,46.2688548639795,-189.890620784605,-0.801482680151609,0.141571408490527,-0.581018975348484,-41.5198243098787,3.2558130344318,-9.20481051888085,-0.769197987456169,-0.0803824269029394,-0.633934635067823,-0.0121050657336864,0.000809259337900589,0.00988063203488637,-0.0319369652986924,-0.00333746424261171,-0.026320854671963
0.08,4.08626065486169e-15,1.01387487575757e-17,1.42732176251741e-15,0.0108171711092748,0.0856012781746713,0.0932170963060126,0.0177331899582092,1.33972597442201e-14,6.41589493752875e-18,0.00926017747382744,1.18009275231397e-14,1.14420416066628e-14,1.26522822008227e-13,0.00126215385524458,9.24407013188298e-15,1.48407060822193e-15,7.99535059345071e-17,1.05995847858615e-14,0.013185837676931,0.0124376368571294,4.57320926938585e-17,6.90795305558042e-17,0.014498457331626,0.000205800363045805,5.01121147055455e-16,0.044713518519463,0.0456496276377946,0.0886999856725079,0.000177292146294146,0.00868922972233483,4.81309073785406e-16,0.0400198851476158,3.65595617903265e-14,-0.0251814417676153,-0.0247162324641143,-0.287431104062025,-0.0222275049047739,3.02889387424339,-0.00429813655360182,3.15590281972493e-06,3.78301629804027e-06,8.68633064803099e-05,6.83324488521145e-05,0.000120458771623421,0.000115908209402073,9.04861893355744e-05,-0.00010266460104049,4.24309617957164e-06,0.00442305550493545,0.00154569213919619,-264.356489354682,45.8965522313711,-190.475082945542,-0.803401595860127,0.139483480799629,-0.578869790499919,-41.5198243098787,3.35523679462474,-9.09536494259124,-0.769446131474813,-0.0801296640256512,-0.633665438304458,-0.0121012936544483,0.000810626265188422,0.00988513952600908,-0.0319472681947501,-0.00332696957235464,-0.0263096776696433
0.1,3.80249766070591e-15,0.00120587067042795,1.07263612151177e-15,0.0114647249941326,0.0853350631661265,0.0932718218747123,0.0172375731576952,1.72507753802098e-14,9.53972974806481e-18,0.00985454040135883,1.10629468623198e-14,6.31747870558145e-14,9.4892116506158e-14,0.00120527073048545,6.93305259891217e-15,1.1538395077022e-15,5.99651294508779e-17,7.94968858939603e-15,0.0122500798611869,0.0126110076903062,4.0434894602831e-17,5.18665127562233e-17,0.0152725170479249,0.000154318506943029,4.26377343762769e-16,0.0449911844599904,0.045837768152577,0.0891717337353264,0.000132945535342079,0.00894609980155186,2.7716527833438e-15,0.0401708296852025,3.82706343483013e-14,-0.0257196232140235,-0.0256492066644352,-0.287991313073761,-0.0265278628373797,3.02981959499133,-0.00449914289117608,4.89770579592268e-07,3.7405307858292e-07,7.48998276743938e-05,5.74318896260965e-06,0.000112829084864042,1.13829240028639e-05,3.66748375547554e-05,-7.88938316183973e-05,5.52049506327537e-06,0.00441127958208553,0.00151234860821529,-265.700135670795,45.954087040749,-191.037119028375,-0.804032225157776,0.139061151644451,-0.578095300976539,-41.5198243098787,3.38019617936284,-9.06701326655282,-0.76968813319845,-0.0799412527973762,-0.633395274465062,-0.0120975759745552,0.000810942118486181,0.00988966303379438,-0.0319573160637981,-0.00331914677125866,-0.0262984605144968
0.12,2.85187324552942e-15,0.00238253439065348,8.04477091133828e-16,0.0119881293819521,0.0851601045003692,0.0934818411692347,0.0169681034573762,1.29380815351571e-14,7.15479731104861e-18,0.0103044904354902,8.29721014673975e-15,4.73810902918579e-14,7.11690873796118e-14,0.00124016698046574,5.20940085513546e-15,1.11410370976876e-14,4.58647033726851e-17,1.24070487162729e-14,0.0117962489916982,0.0127396799876691,2.32952829704301e-16,3.88998845671675e-17,0.0159345820828611,0.000115721019556592,3.19783007822077e-16,0.0453149521898653,0.0459658525408518,0.0897300287631694,9.96958956277838e-05,0.00868828607653677,2.07873958750785e-15,0.0399137574654091,2.87029757612249e-14,-0.0260967722934415,-0.0262214133629862,-0.288460559668581,-0.0291616476573045,3.03057871956095,-0.00433026395488809,-6.71427782102201e-07,-1.16463283584433e-07,7.15607838189899e-05,6.47998412173248e-05,0.000111125869706742,0.000126453348967486,0.000166298393968706,-9.67161557716923e-05,-1.43873365219339e-06,0.00426783504943475,0.00146334530846866,-266.568454269317,46.0651871069214,-191.4373555197,-0.804359568304383,0.138999845712234,-0.577654505538701,-41.5198243098787,3.38716397431019,-9.05901391695813,-0.769921308686463,-0.0798244795198819,-0.633126552041457,-0.0120939501025408,0.00081002641551621,0.00989417175033305,-0.0319669974690938,-0.003314298365293,-0.0262873032066806
0.14,2.13890493414706e-15,0.00340425993995375,6.09992741874763e-16,0.0122055002991519,0.0851265459362777,0.0937381779072094,0.016923279121746,4.27438275295276e-14,5.36609798328645e-18,0.0106688095027933,2.54810763543636e-14,3.55358177188918e-14,5.56777550642839e-14,0.00124445069632285,3.91085284215608e-15,8.35577782326559e-15,3.43985275295139e-17,9.30528653720457e-15,0.0116234585439038,0.0127513412297516,1.74714622278226e-16,2.93578508967853e-17,0.0163239726674082,8.67807211592661e-05,2.40108414781269e-16,0.0453864482977863,0.0461376504189836,0.0899718746434162,7.47644672681138e-05,0.00868103902739447,1.55905469063088e-15,0.0403715197690867,2.15272318209181e-14,-0.0263431214426913,-0.0264127728082117,-0.28882138121452,-0.0300748451181024,3.03113481422935,-0.00376870753956265,-5.35506611289096e-07,5.49027190384297e-08,6.60096619040222e-05,7.0035050700733e-05,0.000102554406206548,0.000136460834481332,0.000177235125244036,-9.54504331525391e-05,-1.62743576827538e-06,0.00438273262097631,0.00146507668866868,-267.30747497112,46.1062166986913,-191.718077430564,-0.804738296085753,0.138804342336756,-0.577173829414899,-41.5198243098787,3.39641315559041,-9.04838113507372,-0.770143155186984,-0.079781250468031,-0.63286212763318,-0.0120904531466219,0.000807780375236843,0.00989862819164317,-0.0319762084968192,-0.00331250350265507,-0.0262763243517056
0.16,1.72682676084941e-15,0.00406776378070799,1.01087134400073e-15,0.0124005576715049,0.0851364928149196,0.093997646244447,0.016900964844224,3.20578706471443e-14,8.95037675524019e-18,0.0108685645958382,1.91108072657722e-14,2.69756787765905e-14,7.69759997429106e-14,0.00123381950578818,2.93313963161705e-15,6.54107940221755e-15,6.47265222684081e-17,1.45690939996199e-14,0.0114210707605189,0.0127951013621892,1.31035966708669e-16,2.23038799300497e-17,0.0166682702130299,6.50798926992759e-05,2.31080738498163e-15,0.0455236332443429,0.0463152234403374,0.0900986136448605,5.60691581572509e-05,0.00888695175973232,1.17199768505624e-15,0.0408733554533108,1.92102759757453e-14,-0.0264933205315214,-0.0262289511525695,-0.289063894109972,-0.0293490982990309,3.03146140246231,-0.00283110513833028,2.86996757424932e-07,-3.21339042497317e-08,9.72261357063991e-05,2.38443427352515e-05,0.000148220735097882,5.18893572542347e-05,0.000111933564832519,-0.000104464964638714,2.11939660712409e-06,0.0045052311090155,0.00147821628593871,-268.056292688648,46.1258494760664,-192.006977495169,-0.805121076125826,0.13854139813283,-0.576702985757307,-41.5198243098787,3.40535477569533,-9.03806443351671,-0.770352167923843,-0.079807919753778,-0.632604326036117,-0.0120871092242098,0.000804196682411717,0.00990300281731199,-0.0319848866689321,-0.00331361080671376,-0.0262656204746888
0.18,1.78030040024262e-15,0.00448521604594457,7.74522406469764e-16,0.012490978185925,0.0852319541056182,0.094220458615517,0.0169177081067297,2.40434029853575e-14,6.71805260211272e-18,0.0110415790295074,1.43331054493289e-14,2.06404277817106e-14,8.28129027297649e-14,0.00124791816967761,2.19985472371278e-15,7.56762709270128e-15,6.31746498152317e-14,1.09268204997148e-14,0.0114168343718032,0.0127916698775799,9.8276975031502e-17,9.03636256625577e-15,0.0167933800679773,4.88067429801335e-05,2.8454937578839e-15,0.0455635172538303,0.0464173931250703,0.0903058811032314,4.20495108079932e-05,0.00879673624623225,9.97212545688225e-16,0.0410466562868815,1.44234503585707e-14,-0.0265756674579691,-0.0257027041678547,-0.289194147961074,-0.0271833351461867,3.03154851854269,-0.00157414898853014,5.78521110264633e-07,-2.27932745305395e-08,3.69677934253775e-05,6.62139650984291e-05,5.82174908171578e-05,0.000128760992824824,0.000138680289470861,-6.62381424806672e-05,-9.46366412401276e-07,0.00454471156968575,0.00147756886419957,-268.417042662588,46.0984264478577,-192.064100122293,-0.805431351166797,0.138326231197004,-0.576321257911298,-41.5198243098787,3.40973340882979,-9.0330043640764,-0.770548633451433,-0.079895626313151,-0.632353929680332,-0.0120839170778259,0.000799363258800305,0.00990728887932404,-0.0319930438831206,-0.00331725236764975,-0.0262552240619888
