time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.00833465199361218,0.0943945898445001,3.44230441698606e-15,0.0275524575398114,0.048455189618807,0.0605597173187668,5.94000019515433e-15,0.0148328056159422,0.00137643551027019,0.028465027655589,1.68864760471408e-15,2.31375756881182e-14,2.29018491275025e-15,0.0155192055152448,0,0,0,1.7460486003383e-15,6.33998889588912e-16,2.89614302794652e-14,2.44717965078037e-16,0.0248138315896497,0.02988514579441,-2.46519032881566e-32,0.00731200919294421,0.0212011350864388,0.02259641002615,0.0345205942458333,0.0126456770215383,0.0261139248645702,0,0.0496546798600557,2.63979934628724e-15,-0.0423513666576911,-0.0105640044224676,-0.358766775205701,0.000576289943753504,3.02538823064467,0.000189209043235101,0.0571710303620542,-0.00392240615879359,0.000146189495553531,1.72153936925983e-05,0.000177486586506843,4.16845756479626e-05,0.000166115914717639,-0.00011441993444759,2.75190519006852e-06,0.00296771983792533,8.47515541947708e-05,-173.960359108605,89.6428127663634,-132.666496480861,-0.735784191549554,0.379153991504172,-0.561127324403494,-41.5198243098787,2.14169112551501,-10.111260845933,-0.789157911093029,0.144431160765457,-0.59696685934751,-0.0109966270026552,0.00380244257898524,0.0104608810097269,-0.0327656978213334,0.0059967564198536,-0.0247859591189287
0.02,0.00841797316258176,0.0946163069509922,2.58185393126428e-15,0.0274545656583299,0.048342089020355,0.0604571743888974,9.07470172867077e-15,0.0147860098805718,0.00138157000370393,0.0283157925617452,1.34093758385173e-15,4.56772287516208e-14,1.71763868456269e-15,0.0155641039527843,1.41935511100831e-15,1.82670088892486e-15,1.26082759729277e-15,1.3110326491359e-15,4.77653492772319e-16,2.19370594287287e-14,1.22065185432985e-15,0.0248226264037965,0.0299288843470126,0,0.00718096082993762,0.0212425646169567,0.0224916268755554,0.0346437725565054,0.0127014450007701,0.026249303907268,4.89920772216425e-16,0.0496549676179337,1.98201494133602e-15,-0.0430047474786242,-0.0108590315095875,-0.359202854302832,0.000972118150359569,3.02559088339241,4.07555849971769e-05,0.056929508961781,-0.00392083886152671,0.00018195630308033,2.37019734568453e-05,0.000216773565083181,2.81030314069159e-05,0.00018802877280657,-0.000129321633003644,4.97097203135642e-05,0.00296427413307395,7.65439792778732e-05,-174.011946995352,89.8844954957171,-132.543516988705,-0.735813356961619,0.380078572256145,-0.560463185792433,-41.5198243098787,2.13988754904427,-10.1124484004102,-0.789435191720594,0.145403256482496,-0.596363958566708,-0.0109866112879725,0.00380555614687928,0.0104702684455373,-0.0327772104642745,0.00603711766323747,-0.0247609267844335
0.04,0.00849025439535734,0.0947509584307902,1.93643805299542e-15,0.0275532434216665,0.0485290240534277,0.060268827698038,1.77469196152574e-14,0.0147991814939478,0.00126289926134226,0.0282397096376456,2.09165098080638e-14,3.4257921563714e-14,3.70541061513591e-14,0.0157296795663669,1.21919372617251e-15,1.37345042620641e-15,1.82248121055539e-14,9.83274486851923e-16,3.75829731322079e-16,1.64527945715462e-14,1.28434857234434e-15,0.0249405739317305,0.0300493556020488,0,0.0073165488943372,0.0213790405298834,0.022751035055557,0.0347135177956476,0.0127344476688945,0.0263257414576528,3.67440579162318e-16,0.0500327385795901,1.48651120600201e-15,-0.0441091761011842,-0.0109565234157891,-0.359402310305516,0.00186131587009955,3.02590347377876,-0.000190104607452703,0.0571521205206529,-0.00395360839250599,0.000193559887765978,2.66182869657576e-05,0.000229708858342594,2.42464309102212e-05,0.000193894714239539,-0.000134112098553653,6.52145434502042e-05,0.0029961766364168,8.4792182227147e-05,-174.590981565863,90.3722234406732,-132.760280829251,-0.735980332315568,0.380959992569101,-0.55964491823514,-41.5198243098787,2.14531411876012,-10.1091222821242,-0.7897193075952,0.1463918633333,-0.59574561480649,-0.010976402851509,0.00380853088653699,0.0104798892851665,-0.0327890069054717,0.00607816444599439,-0.0247352532601461
0.06,0.00847029098724743,0.0948047061491819,1.46220794251645e-15,0.0273796949548235,0.048453111729321,0.0603116217613216,2.37029595910109e-14,0.014671920344318,0.00115379906416142,0.0280182889760792,1.64872656877598e-14,2.56934411727847e-14,3.44338551525263e-14,0.0158498385993887,1.54809789463471e-15,1.03008781965481e-15,2.27562076377855e-14,7.37455865138942e-16,2.8944616026524e-16,1.23395959286594e-14,9.63261429258252e-16,0.0250737471380212,0.0302442654869363,0,0.00716952053023684,0.0214838840783463,0.0226335367746427,0.0350109903285127,0.0128589185726076,0.0265868399695367,2.80435911384684e-16,0.0500529604548218,1.11488340450151e-15,-0.0452052540662416,-0.0107239160486819,-0.359409955768096,0.00296392425522658,3.02609326586653,-0.000343231267182971,0.0573783396837814,-0.00397573156995794,0.00018341478610513,2.48311961660517e-05,0.000218479331225242,2.80055452538782e-05,0.000187366124570451,-0.000129826269282367,5.19729832985448e-05,0.00298957588209563,7.06467441508041e-05,-175.054260813954,90.7907366280291,-132.844312259304,-0.736233652450813,0.381842723082268,-0.558709355414829,-41.5198243098787,2.15438180871404,-10.1037656592409,-0.790030088161117,0.147408190763732,-0.595082586785986,-0.0109656119689779,0.00381131877676598,0.0104901672927247,-0.0328019104599675,0.00612036218234724,-0.0247077244532223
0.08,0.00841945451345718,0.0946090606754324,1.10082199160523e-15,0.0275914929186905,0.0486891317720388,0.0599113004925502,1.77772196932578e-14,0.0147530221779965,0.00106024989121924,0.0280520648916364,2.32361085521032e-14,1.9270080879588e-14,2.58253913643938e-14,0.0159546276412683,2.3921408187866e-15,8.01347937582707e-16,1.70671557283387e-14,5.53091898854206e-16,2.1708462019893e-16,9.25469694649447e-15,2.37496095090145e-15,0.0250613829501193,0.0301731917936863,1.4506307254555e-16,0.00743181470357344,0.0215469874215662,0.0229897347326298,0.0347005555297305,0.0127700336721978,0.026421813650103,9.56432598996521e-16,0.0503778557436471,8.80482167713957e-16,-0.0461808625328324,-0.0104201909237102,-0.359207650692641,0.00428710385393634,3.02622577168257,-0.000450353800893933,0.0576495442344018,-0.00400451887623564,0.000212648085608559,3.09278380179582e-05,0.000251322773935267,1.76025295646719e-05,0.000203877611237135,-0.000142152409973268,8.9805177723888e-05,0.00303183756690032,9.28355979343016e-05,-175.094497196738,91.0299740141972,-132.654697877939,-0.736355697931409,0.38282436696218,-0.557876142332645,-41.5198243098787,2.15410892481701,-10.1039271965137,-0.790384701023323,0.148456693454645,-0.594350599021138,-0.010953920778873,0.00381387937612032,0.010501445147038,-0.0328166339237044,0.00616389582986238,-0.0246773324498288
0.1,0.00829571163878318,0.0945164614708903,8.25616493703922e-16,0.0271389225138531,0.0482993232877405,0.0602074961038668,1.48965580076461e-14,0.0145008140589714,0.00100997448448733,0.0277368570546726,1.7427081414077e-14,1.44525606596907e-14,2.55383156449355e-14,0.0160109961083459,1.79410561408994e-15,6.14644215266286e-16,1.83564556521505e-14,4.14818924140653e-16,1.88696933822911e-16,7.01179795220909e-15,3.10392024122124e-15,0.0251761709138856,0.0303730989942447,1.08797304409163e-16,0.00703655602908509,0.02152612775855,0.0225015733624199,0.0352548081923924,0.0129663406483749,0.0267835335048167,7.1732444924739e-16,0.0498557311424715,7.02788015278357e-16,-0.0470524834871051,-0.0100744569164881,-0.358807709394228,0.00577423994699266,3.0263083482452,-0.000461032553612026,0.0577091565219345,-0.00400105004845013,0.000190406918674297,2.60926501241278e-05,0.000226295522566982,2.5180023981549e-05,0.000191267978556862,-0.000132722092983054,6.10387329990235e-05,0.00297702580824654,5.65199141888831e-05,-175.281673594159,91.2896150347508,-132.438315920721,-0.736780969110174,0.383727800264682,-0.556692714934461,-41.5198243098787,2.16779968511093,-10.0957842892796,-0.790796217264717,0.149533307127171,-0.593532756315458,-0.0109411173162983,0.00381618048272123,0.0105139490628386,-0.0328337200057477,0.00620859664039528,-0.0246433757643759
0.12,0.00819711743726654,0.0941163967906595,1.13707141863607e-15,0.027412040710526,0.0484998325962289,0.0597109820216761,1.14724872889901e-14,0.0146445316321022,0.00100354393810254,0.0278905552798577,1.37042004747056e-14,2.26961995000786e-14,1.91537367337011e-14,0.0160475123127762,2.05600202470642e-15,4.71755958625874e-16,1.37675253012573e-14,1.44069363729365e-15,1.44049589078026e-16,5.90714796592381e-15,6.70508826352603e-15,0.0250184425742946,0.0301165095904804,8.16698325803621e-17,0.00738047134501691,0.0215106003313323,0.0229005549150059,0.0347202765691854,0.0127787569665752,0.0264048429193097,5.37993336935542e-16,0.0499606223770372,5.27091011458768e-16,-0.0478477745248802,-0.00971810807123672,-0.358273258151307,0.00730199785903022,3.02635503113787,-0.000322942594152174,0.0577495977151084,-0.00400868027607069,0.000246751411842168,4.13754813866648e-05,0.000289572820829892,4.88328044592792e-06,0.00021691082719406,-0.000154597128459219,0.000141638150442036,0.00301032102381764,8.91974644872634e-05,-174.806477152456,91.2763262957388,-131.83543834749,-0.736922705774364,0.384788930265646,-0.555771900026629,-41.5198243098787,2.16250854510508,-10.0990289346636,-0.791272753186887,0.150625074773323,-0.592620888016592,-0.0109271129606352,0.00381820152936471,0.0105277702258525,-0.0328535056935136,0.0062539266412507,-0.0246055151528132
0.14,0.00798259415901417,0.0938906366447551,8.93154512261367e-15,0.0271320166531065,0.0481627226434097,0.0597830778598268,8.60436546674249e-15,0.0145236994912896,0.00104732907300425,0.0277728675292714,1.28317028901351e-14,1.70221496250586e-14,1.53584554011718e-14,0.0159741868064818,1.93423179260707e-15,3.53816968969405e-16,1.03300671753162e-14,1.08052022797023e-15,1.42433225137609e-16,4.43036097444283e-15,5.02881619764449e-15,0.024818826548041,0.0299890548140399,6.12523744352715e-17,0.00697779820498437,0.0214258019162099,0.0224343311537985,0.0346984659470754,0.0128175216977729,0.0265246179591413,6.61152123844512e-16,0.0496205811641878,4.67122948206675e-16,-0.048588027080608,-0.0093847408826502,-0.357710647183918,0.00870231554731484,3.02638500633442,-1.00231375280103e-06,0.0575155820294733,-0.00399105285420362,0.000169867682975913,2.31612258649483e-05,0.000202932578669581,3.21561019473255e-05,0.000177268611884025,-0.000123253694737893,3.7706610948368e-05,0.00297766186850727,7.19660242443097e-05,-174.069181840718,91.1344547565678,-131.043373412745,-0.737039347340653,0.385879213906404,-0.55486055252346,-41.5198243098787,2.15200093717158,-10.1051743331174,-0.791817167662811,0.151711085890826,-0.591615854598463,-0.0109119433219475,0.00381994175793994,0.0105428622492292,-0.0328761096869057,0.006299017632048,-0.0245637863418669
0.16,0.00790152503599198,0.0934883767068689,6.69865884196019e-15,0.0273142603092416,0.0481760407521274,0.0594193281410448,7.51019170343152e-15,0.0146656643342114,0.00116839640259375,0.0279789864704676,9.82417665324186e-15,3.41564152285427e-14,1.15188415508787e-14,0.0159740612291661,1.5801862815583e-15,2.73981480131804e-16,7.77645480829158e-15,1.99272830551351e-15,1.32677001215475e-16,3.32277073083211e-15,3.77161214823335e-15,0.0246517803742508,0.029675692360106,5.22630338710616e-17,0.00735365136444389,0.0212782653295587,0.0227812779192685,0.034418826983774,0.0126339935522955,0.0260530677235601,8.60108908333071e-16,0.0491456709813465,3.50342211155006e-16,-0.0492763755420568,-0.00910906246367088,-0.357255584147326,0.0097907078533512,3.0264205292853,0.000511252067092106,0.0570057009983211,-0.00395605445962492,0.000245772740718401,4.32224358215167e-05,0.000288605150828581,2.29857295310592e-06,0.000209229211557555,-0.000151803340552222,0.00014799074600066,0.00296866174258498,9.91142388791363e-05,-173.479248067913,90.9946843939414,-130.223448797491,-0.737487264470928,0.386832555608105,-0.553600134271018,-41.5198243098787,2.1560744288601,-10.1027715633351,-0.792427220569567,0.152764514860755,-0.590526970679365,-0.0108957547110173,0.00382143381637666,0.0105590520107663,-0.0329014389764139,0.00634275581780241,-0.0245185760728521
0.18,0.00769926863397918,0.0933237084481226,5.02650729083358e-15,0.0270337045030864,0.0477349758110135,0.0595415011541344,8.93169847483293e-15,0.0145926414435879,0.00133966051895309,0.0279670474527857,7.36813248993132e-15,2.56173114214061e-14,1.02660996349282e-14,0.0157837541850753,2.00096671506254e-15,2.20708321208014e-16,5.83237209449158e-15,3.58056250296038e-15,1.07267640667277e-16,2.49311356584729e-15,2.97945609472827e-15,0.0242416006674966,0.0293683414734969,3.86251773086804e-16,0.00680897938167748,0.0211277661614642,0.0221475416318713,0.0342040734541811,0.0126130259645755,0.0261029754646328,6.45081681249803e-16,0.0487740063111615,3.0005485783592e-16,-0.049895843109725,-0.00892482532558338,-0.35705540806004,0.0103947644646184,3.02648475123546,0.0011923456031188,0.0562199589536941,-0.00391002106117876,0.000169060611405235,2.53536944767937e-05,0.000202516423894093,3.45784678061801e-05,0.000173090229891424,-0.000122985238303033,3.62884491139508e-05,0.00292682652492037,8.22698320280428e-05,-172.13388109179,90.5577075960364,-129.053904777025,-0.737437411140452,0.387957565499986,-0.552878822186012,-41.5198243098787,2.12870069575015,-10.1188638520236,-0.793096075352246,0.15375549829488,-0.589370733923019,-0.0108787795964632,0.00382276051630916,0.010576060846468,-0.0329292097094795,0.00638390127588126,-0.024470569325868
