time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0,6.41120908509495e-18,0,-1.77493703674728e-30,0.0859850853075392,0.0936761705528448,0.0311526652613793,3.07630285428636e-15,2.31111593326468e-33,0.00103936701279773,0,0.000955611753057542,0,0.0108687278177951,0,0,0,0.00703776343766575,0.0138180107915837,0.0199339416750749,0.0169747574643323,1.74894512427005e-17,8.30357635259837e-16,0.00539606816237685,8.33349960158859e-17,0.0472327324916277,0.0406463875690316,0.0647648925642424,9.22190738967354e-17,0.0240182781992664,0,0.00644173943467738,0.000713838757279698,-0.0220406021968119,-0.0192657026106794,-0.285408623492659,-0.000848580893195804,3.02519150473524,-0.0010432951728053,-1.9645837931455e-07,-9.63289293980675e-08,3.99067888735195e-05,9.49070595205879e-05,5.34374366754535e-05,0.000147030876099364,7.09499884695825e-05,-6.13461250004762e-05,-1.64764961341324e-05,-0.000495816930972811,0.00472023175437956,-238.270562610718,78.3555959879268,-180.26705513647,-0.771394371584656,0.253674079856851,-0.58360961669278,-41.5198243098787,2.81116292533798,-14.4440175530868,-0.768433542435134,-0.0813893968219035,-0.634732744503982,-0.0121165240510778,0.000801533234652846,0.00986720811045708,-0.0319052256757245,-0.00337927345673243,-0.0263539920355325
0.02,4.88303608925134e-16,4.80840681382126e-18,7.85492046856246e-17,0,0.0852504305078914,0.092996902539061,0.0302055437782622,2.65895912400517e-15,4.92624887510425e-15,0.00159193646119211,3.11661679082634e-16,0.000716023919426348,1.21702560942373e-14,0.0103665563446082,1.90873719362355e-17,3.19687869490272e-17,0,0.00704978951544242,0.0114940383977753,0.0183364334066008,0.0170785450123442,1.44412145040968e-17,6.22768226444877e-16,0.00419299937748083,6.25012470119144e-17,0.0472605498788731,0.0406561044596862,0.0647799259736674,6.91643054225515e-17,0.0240140033226038,1.64826148322316e-20,0.00640842849746545,0.000878182581066047,-0.022586952169023,-0.0202967808441533,-0.285695765921713,-0.00341402971822469,3.02567108690844,-0.00179138709072583,-2.33652255252049e-07,-2.23441357768671e-07,2.99053282341963e-05,0.000113935058231739,4.00387284204948e-05,0.000175592183892169,5.17080077139694e-05,-5.86223555429688e-05,1.85345818099558e-06,-0.000502470379271732,0.0047226350536727,-240.047369819176,77.5375868189551,-179.306821101357,-0.775615523141208,0.250531201441586,-0.579357124204601,-41.5198243098787,3.04599356851214,-14.2620127082031,-0.768691034530784,-0.0810292159836545,-0.634466988573139,-0.0121126814695381,0.000804407109794361,0.00987169100614932,-0.031915916702297,-0.00336431881160855,-0.0263429578959745
0.04,1.55706840423204e-15,1.06639298401053e-17,5.89119035142185e-17,2.21769023439783e-14,0.0846465342797977,0.0924634353991322,0.0292181615417331,3.3617550220544e-15,3.71228110440508e-15,0.00219629319933988,2.33746259311976e-16,0.000536633421880925,9.12769207067784e-15,0.0099873048629373,3.34074981492613e-15,8.02256704984497e-15,3.65101917953614e-16,0.00706329621492241,0.00891095907682835,0.0166054785680676,0.0171327812203211,2.27167977530504e-17,4.67076169833658e-16,0.0031315636002779,1.31281114058844e-16,0.0472289819659952,0.040620245753221,0.0647208472791957,1.06672713986701e-15,0.0239798479260271,1.94791714147764e-18,0.00636588350459168,0.000986746814097727,-0.0235399739985238,-0.021970987994213,-0.286230955532595,-0.00962221625823425,3.02672447209512,-0.00298867725329285,-1.9349237223156e-07,-2.4999971440326e-07,4.36449013285081e-05,9.79828951613182e-05,6.31575558860591e-05,0.0001554362814338,7.28193009923465e-05,-7.05253278774489e-05,5.14300978360909e-06,-0.000507817890581051,0.00471954374185414,-241.806912076142,77.049918077609,-178.145772599416,-0.779847078741476,0.248492290870381,-0.574534694475778,-41.5198243098787,3.30467789439435,-14.1334439054986,-0.768945880752996,-0.0806875193594984,-0.634201668787311,-0.0121088650540913,0.000807088346694573,0.00987615319869561,-0.0319264978726693,-0.00335013162780631,-0.026331941865081
0.06,1.40386074617575e-15,8.03096110112448e-18,5.23284620036265e-16,0.000602251518712754,0.0842412237630633,0.0920120212225082,0.0280999540805905,2.52131626654079e-15,2.7842108283038e-15,0.00298378790263656,1.03737905412604e-14,0.000402259084838584,6.84576905300832e-15,0.00978447385130728,2.50556236119459e-15,9.30602216991487e-15,2.73826438465211e-16,0.00712692793297276,0.00662366541386958,0.0149292477634017,0.0172145133040059,2.71200291949766e-16,3.50307127375243e-16,0.00234131768227169,1.54579362852398e-16,0.0471534540722964,0.0404610610976198,0.0645522788449399,1.69598456903063e-15,0.0241363464924297,4.67488150762457e-15,0.0067488740227137,0.00139551774699722,-0.0244147056757827,-0.0234644816071686,-0.286891427502455,-0.0164691429359389,3.0278455346654,-0.00377560435544564,2.38844389667292e-07,1.55328473573879e-07,5.82702866921888e-05,0.000130856846842439,8.82826888840848e-05,0.0001989405103624,6.24113391049083e-05,-9.76108279159409e-05,3.96116555625088e-05,-0.000475476036755736,0.00469884912682058,-243.538333046609,77.177993546589,-177.139448047356,-0.78338627216063,0.248257347830859,-0.569801928601738,-41.5198243098787,3.54813897485004,-14.0946785159564,-0.769197987456169,-0.0803824269029394,-0.633934635067823,-0.0121050657336864,0.000809259337900589,0.00988063203488637,-0.0319369652986924,-0.00333746424261171,-0.026320854671963
0.08,1.05289555963181e-15,1.80994390938238e-14,3.96957627543735e-16,0.00184579636839076,0.0838039889429715,0.0918679374769198,0.0271842914360617,2.13630876236307e-15,2.08815812122784e-15,0.00353247638894399,7.78034290594522e-15,0.000301572954350437,5.1343267897562e-15,0.009431691620945,1.87917177089594e-15,6.97951662743609e-15,2.05369828848908e-16,0.00718209618421672,0.00493484435276602,0.0130368091706474,0.0171492716696348,2.03400218962324e-16,2.62730345531432e-16,0.00175187693533678,2.27517224038684e-15,0.0470922295578798,0.0404661894101508,0.0644886870715083,1.47287095809514e-15,0.0239147342069003,3.50616113071841e-15,0.00632038488252684,0.00114391856539397,-0.0251254528028251,-0.0247124440153042,-0.287521076513726,-0.0222275049047732,3.02889387424339,-0.00429813655360785,-4.40185352397949e-07,-2.20640736109192e-07,4.08657500718683e-05,7.45653501169001e-05,5.80938760163463e-05,0.000124684417802229,8.53035754975352e-05,-6.04519389660441e-05,-1.16618137390132e-05,-0.00051452932369429,0.00470207477713704,-244.77402445233,76.4566274310532,-175.863853325629,-0.787188904287653,0.245883152461307,-0.565575020931878,-41.5198243098787,3.77245178335787,-13.9570562650997,-0.769446131474813,-0.0801296640256512,-0.633665438304458,-0.0121012936544483,0.000810626265188422,0.00988513952600908,-0.0319472681947501,-0.00332696957235464,-0.0263096776696433
0.1,1.22589209083694e-15,1.35785323268398e-14,3.02975166849236e-16,0.00274921200684469,0.0836273149060158,0.0918047588915003,0.0261790137398591,6.97934405373541e-15,1.98695855995956e-15,0.00431025257008322,2.79277479857126e-14,0.000226111506078786,3.1083737961675e-14,0.00922357661374651,1.98358104005838e-15,5.23463747057703e-15,1.53122055580615e-15,0.00723666828378716,0.00368286874798551,0.0111812595984603,0.0171684273289094,1.53291082892903e-16,1.01726919170358e-15,0.00131160589690543,1.70637918029012e-15,0.0469914448316118,0.0403550191364977,0.0643299846865531,3.18013707429934e-15,0.0239025685858887,2.63041828816404e-15,0.00639074606782422,0.00128059561215163,-0.0256607003939429,-0.0256452747386774,-0.288085990704276,-0.0265278628373799,3.02981959499133,-0.00449914289117556,-2.4569798583341e-07,-1.56706714748006e-07,1.91687728929666e-05,8.05490624745194e-05,2.12184940489141e-05,0.000129209123836006,5.71849731949541e-05,-3.56897011406207e-05,-2.65044164596145e-05,-0.000507405993412722,0.0046890126366459,-246.044980984022,76.2385503743758,-174.803042618556,-0.790383631461233,0.244905228553117,-0.561529290549922,-41.5198243098787,3.97910937020917,-13.8909188542553,-0.76968813319845,-0.0799412527973762,-0.633395274465062,-0.0120975759745552,0.000810942118486181,0.00988966303379438,-0.0319573160637981,-0.00331914677125866,-0.0262984605144968
0.12,1.30161262229591e-15,1.01845265697765e-14,2.35541684871569e-16,0.00354865616548667,0.0835547114130801,0.0918586311154781,0.0252490799410783,7.59610536443232e-15,4.21843091570229e-15,0.00501509948688964,3.06064224969115e-14,0.000169545284749204,2.33128034712555e-14,0.00909693695718882,1.48963873676729e-15,7.05804882589719e-15,1.18099931239366e-15,0.007335962275748,0.00275197891932799,0.00959658637593959,0.0171845826506439,1.20877298957777e-16,9.56221396033569e-15,0.000982414190158188,1.42319209004222e-15,0.0469003251556477,0.0402359972727264,0.0641743524811719,2.48939898144594e-15,0.023931384274414,1.97282824600663e-15,0.00654730954536999,0.00146321455597265,-0.0260353535478134,-0.0262173624011516,-0.288559248619211,-0.0291616476572947,3.03057871956094,-0.00433026395487871,4.91966336492395e-08,1.78898744836168e-07,8.80930960771131e-05,8.22551573331187e-05,0.000137195235398371,0.00014142069204403,0.000131395690636534,-0.00011834786874032,2.95064254637086e-05,-0.000494094828220236,0.00467430242299612,-247.104724266682,76.2116312254374,-173.923778699972,-0.79292151753906,0.244551545765607,-0.558094981600091,-41.5198243098787,4.14898703699924,-13.8603611774279,-0.769921308686463,-0.0798244795198819,-0.633126552041457,-0.0120939501025408,0.00081002641551621,0.00989417175033305,-0.0319669974690938,-0.003314298365293,-0.0262873032066806
0.14,9.7620946672193e-16,7.64649574054766e-15,1.76656263653677e-16,0.00433999592118805,0.083500155785606,0.0920294500332983,0.0245501510201873,9.985003560597e-15,3.17512964923261e-15,0.0054715304310815,2.2954816872683e-14,0.000127137404360209,1.74846026034412e-14,0.0089672837102825,3.4111083966907e-15,9.80755305228731e-15,8.85749484295245e-16,0.00744999030995368,0.00205830414851727,0.00836883833620277,0.0171811427518639,9.06579742183321e-17,8.32892753208559e-15,0.000736086789388244,1.50364699111329e-15,0.0468473745898434,0.0401839128914468,0.064095131544936,1.86704923608445e-15,0.0238785475136937,1.47962118450497e-15,0.00646697806787909,0.0013694093133048,-0.0262802462748271,-0.0264086616207373,-0.288922423347155,-0.0300748451181038,3.03113481422935,-0.00376870753958165,-1.28718363584179e-07,-2.84370754664298e-07,0.000124115587564578,9.53348912848758e-05,0.000197891868117667,0.000163245219113907,0.000160521878251903,-0.000164912446133777,6.70799706490828e-05,-0.000499790802990317,0.00467202547623355,-247.853237467143,75.9704723710694,-173.162959783638,-0.795038091684859,0.243690257974941,-0.555454310396638,-41.5198243098787,4.27757691940714,-13.8113639403253,-0.770143155186984,-0.079781250468031,-0.63286212763318,-0.0120904531466219,0.000807780375236843,0.00989862819164317,-0.0319762084968192,-0.00331250350265507,-0.0262763243517056
0.16,3.54785548545792e-15,5.7348718054107e-15,1.32492197740257e-16,0.00473022830140033,0.0836140048980391,0.0921456577254012,0.0241407089309128,7.48875267044767e-15,2.38134723692445e-15,0.00587692067719335,2.78940219138884e-14,9.53409303304707e-05,1.31134519525807e-14,0.00894522992511901,2.55833129751801e-15,7.35566478921541e-15,6.64312113221433e-16,0.00744216570996629,0.0015405506494121,0.00746299260858833,0.0171938584336392,6.79934806637491e-17,6.24669564906414e-15,0.000551658724220124,3.11360628958536e-15,0.0468071676886302,0.0401349035667079,0.0640353764893241,1.26632735928441e-14,0.0238938524060345,1.10971783377027e-15,0.00656988536148305,0.00155636717564368,-0.0264291352440552,-0.0262247755886164,-0.289167067877705,-0.0293490982990442,3.03146140246231,-0.00283110513832913,1.35188330375756e-07,3.30676629502921e-07,7.15021250829659e-05,8.52128323542091e-05,0.000109690787918685,0.000143299259851992,0.000111744428961162,-9.99206195511008e-05,1.9853639449151e-05,-0.000493091641287007,0.00466764100475834,-248.52877534551,76.0620520057359,-172.616393999348,-0.796548555336427,0.243783109448246,-0.553245148681121,-41.5198243098787,4.3785684700161,-13.8130528605025,-0.770352167923843,-0.079807919753778,-0.632604326036117,-0.0120871092242098,0.000804196682411717,0.00990300281731199,-0.0319848866689321,-0.00331361080671376,-0.0262656204746888
0.18,3.89349831879004e-15,4.30145104538718e-15,9.93691483051931e-17,0.00490301011289443,0.0837422574633696,0.092249673430349,0.0239880171984228,5.61656450283571e-15,1.78601042769334e-15,0.00608654277802652,2.09205164354157e-14,7.14988803281856e-05,1.1331281871892e-14,0.00893323437016995,2.50420869070404e-15,5.51857010251556e-15,1.13753382927835e-15,0.00742815834015818,0.00115363301483162,0.00703793216456506,0.017202713602482,1.79638230427422e-16,4.70220122512928e-15,0.000413515797654587,2.40600751629855e-15,0.0468207834045099,0.040150186074975,0.0640540174103805,9.49745519463292e-15,0.0239120564053954,2.43072135640948e-15,0.00660927058174172,0.00163805031377518,-0.0265109779633065,-0.025698500502263,-0.289298171923358,-0.0271833351461911,3.03154851854269,-0.00157414898853089,1.40449323584599e-07,6.15233497542635e-07,4.51906261925893e-05,6.93940680909649e-05,6.47090467423702e-05,0.000119368100264646,9.56986565112693e-05,-6.33791932986309e-05,-1.44112041995648e-05,-0.000490605410042892,0.00466649570301648,-248.997703682322,76.0719863573917,-172.305793842891,-0.797528646555219,0.243655212169272,-0.551887846855271,-41.5198243098787,4.43451615418664,-13.8094843051618,-0.770548633451433,-0.079895626313151,-0.632353929680332,-0.0120839170778259,0.000799363258800305,0.00990728887932404,-0.0319930438831206,-0.00331725236764975,-0.0262552240619888
